Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
For #Shakespeare400 @CourseHero shares 4 #infographics on The Bard's most famous works: https://t.co/TewPGDkItp https://t.co/zrELmpkE4i,Fri Apr 22 21:17:17 +0000 2016,en,1,False,4,False,,Andrew Grauer,atgrauer
"""Beowulf has all the trappings of a Disney movie: the hero faces and defeats two monsters ... and becomes the king."" https://t.co/Es5bmVc9dk",Tue Mar 22 21:22:09 +0000 2016,en,1,False,2,False,,Andrew Grauer,atgrauer
New Course Advice feature on @CourseHero empowers students to help students with course-specific advice. Learn more: https://t.co/f1A63V2WT0,Thu Mar 17 19:05:17 +0000 2016,en,2,False,4,False,,Andrew Grauer,atgrauer
"RT @anesbit1: Happy Pi Day! @CourseHero
#edtech #education #masteryourclasses #campusoperations #learning https://t.co/gKU6oOfMFB",Mon Mar 14 18:13:57 +0000 2016,en,1,False,0,False,,Andrew Grauer,atgrauer
4 Top Techniques for Success in Collaborative Learning by @JessLynnWent @CourseHero  https://t.co/51gSkzUDhl,Fri Mar 11 02:12:45 +0000 2016,en,0,False,4,False,,Andrew Grauer,atgrauer
Excited to discuss growing in education at #SXSWedu2016 @CourseHero @Illuminateed @DreamBox_Learn  https://t.co/eaUs14SDMy,Mon Mar 07 17:41:00 +0000 2016,en,2,False,12,False,,Andrew Grauer,atgrauer
"It was fun to read this @CourseHero infographic as I watched the Hobbit this weekend, one of my favorite books https://t.co/adHZNk0O5Q",Mon Mar 07 17:33:21 +0000 2016,en,6,False,2,False,,Andrew Grauer,atgrauer
RT @ProfMDuncan: Train Your Brain: 3 Ways to Enhance Your Memory #lawstudents @CourseHero #learning @UHLAW https://t.co/vuzNfUP1hU,Thu Mar 03 16:30:37 +0000 2016,en,3,False,0,False,,Andrew Grauer,atgrauer
RT @The_CUI: Course Hero looks to help students with personal tutoring https://t.co/OePTuIGtPC https://t.co/XHQts5lhXT,Wed Mar 02 00:48:42 +0000 2016,en,4,False,0,False,,Andrew Grauer,atgrauer
RT @CourseHero: Improve your long-term learning skills by practicing these immersive learning strategies: https://t.co/jkTLsgjfpD,Tue Mar 01 00:15:45 +0000 2016,en,3,False,0,False,,Andrew Grauer,atgrauer
