Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
A real honor to be part of such a brilliant group of people! Thank you #YGL #wef https://t.co/oMb55Jqt7Q,Thu Mar 17 09:47:27 +0000 2016,en,1,False,6,False,,Avid LarizadehDuggan,avidl
"RT @thulme: I couldn't be more excited about our latest European GV investment - Cambridge Epigenetix:

https://t.co/mlH6V9vj8y",Thu Mar 17 09:44:16 +0000 2016,en,8,False,0,False,,Avid LarizadehDuggan,avidl
“Pitch perfect” by @rklau from the GV team. A simple and useful slide template for any entrepreneur's pitch. https://t.co/Hp4hGw6esL,Sun Mar 13 18:17:02 +0000 2016,en,1,False,4,False,,Avid LarizadehDuggan,avidl
RT @GVteam: Announcing ‘Sprint’: GV’s guidebook for startups (and everyone else) — https://t.co/NrM9CgL5Un https://t.co/rq9XMxKIzP,Sun Mar 13 18:12:40 +0000 2016,en,72,False,0,False,,Avid LarizadehDuggan,avidl
@janetcoyle2  It was a delight to spend the morning with you!,Sun Mar 13 18:09:32 +0000 2016,en,0,False,0,False,,Avid LarizadehDuggan,avidl
Congrats to @LostMyName for making @FastCompany's 'Most Innovative Media Companies' list — https://t.co/783jpFZd3z,Sat Feb 20 00:28:44 +0000 2016,en,0,False,4,False,,Avid LarizadehDuggan,avidl
Thank you @steepdecline for a great evening at #sthlmtech. It was wonderful to meet more of the Swedish and Nordic vibrant ecosystem!,Tue Jan 12 10:23:03 +0000 2016,en,4,False,11,False,,Avid LarizadehDuggan,avidl
RT @GoogleVentures: The New York Times profiles @lostmynamebook and the growing market for creative personalized books — https://t.co/dAEWX…,Sat Dec 26 10:05:54 +0000 2015,en,14,False,0,False,,Avid LarizadehDuggan,avidl
"RT @codeorg: Confidence is key. ""It might be a little hard but I think I'm gonna do it."" #HourOfCode https://t.co/dVL0y8G9WE",Tue Dec 15 03:55:47 +0000 2015,en,164,False,0,False,,Avid LarizadehDuggan,avidl
If you are looking for beautiful and smart tech gifts for children and #FutureInventors try @techwillsaveus https://t.co/LFilYPABXL,Mon Dec 14 15:38:14 +0000 2015,en,2,False,7,False,,Avid LarizadehDuggan,avidl
RT @Lostmynamebook: We helped some 4-7 year-olds make a newspaper! The #AmazingFantastic Year in Review https://t.co/P7TQcR3Sn5 https://t.c…,Fri Dec 11 19:10:12 +0000 2015,en,29,False,0,False,,Avid LarizadehDuggan,avidl
An inspiring show of support yesterday for #HourofCode from our Prime Minister who welcomed school children at No10! https://t.co/RduM93aGKj,Wed Dec 09 23:17:17 +0000 2015,en,0,False,4,False,,Avid LarizadehDuggan,avidl
"RT @educationgovuk: Parents, spend an hour coding with your children during #HourofCode https://t.co/7IdQBH4VRZ https://t.co/TxPUypA2zX",Wed Dec 09 18:25:05 +0000 2015,en,209,False,0,False,,Avid LarizadehDuggan,avidl
"RT @codeorg: ""In this digital age, coding matters."" — UK Prime Minister David Cameron @Number10gov  #HourOfCode https://t.co/JjCqc9kt3N",Wed Dec 09 18:23:25 +0000 2015,en,130,False,0,False,,Avid LarizadehDuggan,avidl
RT @thulme: ...and the world class GV operations teams will continue to support all of the global portfolio - this will be good news for EU…,Mon Dec 07 15:43:31 +0000 2015,en,5,False,0,False,,Avid LarizadehDuggan,avidl
RT @thulme: and reduces limitations of a specific fund size. In short we will be able to write bigger cheques in Europe if appropriate...,Mon Dec 07 15:43:25 +0000 2015,en,4,False,0,False,,Avid LarizadehDuggan,avidl
"RT @thulme: ...this gives us more flexibility and dollars to invest in the best founders and companies, regardless of where they are based.…",Mon Dec 07 15:43:15 +0000 2015,en,4,False,0,False,,Avid LarizadehDuggan,avidl
"RT @thulme: Re @GoogleVentures - starting in January we’ll operate as a global fund, rather than running separate US and European funds....",Mon Dec 07 15:43:10 +0000 2015,en,39,False,0,False,,Avid LarizadehDuggan,avidl
"RT @codeorg: Learn to code with MINECRAFT, our new #HourOfCode tutorial: https://t.co/moR55g81Vg https://t.co/68ChdVJO9L",Wed Nov 18 13:14:03 +0000 2015,en,1059,False,0,False,,Avid LarizadehDuggan,avidl
You cannot miss this! Pure magic for children :) https://t.co/oJTXEdyupz,Thu Sep 17 23:03:02 +0000 2015,en,1,False,1,False,,Avid LarizadehDuggan,avidl
Welcoming Resolution Games into the @GoogleVentures portfolio! Our first European investment in Virtual Reality: http://t.co/S9sMylvjnB,Wed Aug 26 15:27:40 +0000 2015,en,1,False,11,False,,Avid LarizadehDuggan,avidl
@jess the pleasure was all mine! Great to be on the same team @GoogleVentures,Tue Aug 18 05:32:04 +0000 2015,en,0,False,1,False,,Avid LarizadehDuggan,avidl
