Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"&lt;p&gt;In the first article of a series that will be published over the coming year, authors Barry Libert, Megan ... https://t.co/qD0OxwhwDn",Mon Apr 18 12:26:37 +0000 2016,en,0,False,6,False,,Barry Libert,barrylibert
"Network Revolution: Creating Value Through Platforms, People and Technology https://t.co/8pDYWDfhN4",Sat Apr 16 11:33:45 +0000 2016,en,0,False,1,False,,Barry Libert,barrylibert
"Network Revolution: Creating Value Through Platforms, People and Technology https://t.co/VC5hwVfBdn",Sat Apr 16 11:33:11 +0000 2016,en,1,False,3,False,,Barry Libert,barrylibert
@mkrigsman - very cool,Sun Jan 17 17:07:42 +0000 2016,en,0,False,2,False,,Barry Libert,barrylibert
Want to see how to change your business model for success - watch the video.  https://t.co/NFqPPNsxL1,Sun Jan 17 17:06:56 +0000 2016,en,3,False,7,False,,Barry Libert,barrylibert
just finished #cxotalk,Fri Jan 15 20:50:15 +0000 2016,en,0,False,1,False,,Barry Libert,barrylibert
on CXO talk,Fri Jan 15 20:03:51 +0000 2016,en,0,False,0,False,,Barry Libert,barrylibert
Why Companies Need Their Customers to ‘Love’ Them https://t.co/g3Y3wyCxyF,Fri Jan 15 19:54:27 +0000 2016,en,3,False,6,False,,Barry Libert,barrylibert
#cxotalk - join at 3:00 pm EDT for a convo,Fri Jan 15 19:52:44 +0000 2016,en,0,False,1,False,,Barry Libert,barrylibert
RT @SKaplanphotos: Sitting purposefully at the intersection of technology strategy/biz ops. @mkrigsman #CXOTalk https://t.co/zuHLuISvor htt…,Fri Jan 15 19:52:10 +0000 2016,en,12,False,0,False,,Barry Libert,barrylibert
RT @ScottIntel: I know what I'm doing on my lunch hour! #CXOtalk with @barrylibert at noon PT!  https://t.co/SIiI8K7vJI,Fri Jan 15 19:51:38 +0000 2016,en,4,False,0,False,,Barry Libert,barrylibert
Join the conversation https://t.co/VvWfpp1Gpw,Fri Jan 15 19:51:08 +0000 2016,en,0,False,0,False,,Barry Libert,barrylibert
The Best Posts From the Customer Support Community in 2015 https://t.co/G7TyLtVglE via kayako,Thu Dec 31 11:50:56 +0000 2015,en,1,False,6,False,,Barry Libert,barrylibert
Why Companies Need Their Customers to ‘Love’ Them https://t.co/MC80qgQPE2,Tue Aug 11 09:02:53 +0000 2015,en,0,False,8,False,,Barry Libert,barrylibert
Post title... - http://t.co/YZKvypKN9E,Mon Aug 10 20:26:14 +0000 2015,en,0,False,1,False,,Barry Libert,barrylibert
Why Companies Need Their Customers to ‘Love’ Them http://t.co/r8U1GKhHFb,Fri Aug 07 04:31:38 +0000 2015,en,2,False,1,False,,Barry Libert,barrylibert
Why Companies Need Their Customers to ‘Love’ Them http://t.co/r8U1GKhHFb,Tue Aug 04 23:09:39 +0000 2015,en,0,False,2,False,,Barry Libert,barrylibert
"Our newest article on Customer Co-Creation, likes and love! https://t.co/MC80qgQPE2",Tue Aug 04 23:09:18 +0000 2015,en,1,False,1,False,,Barry Libert,barrylibert
"To fly, to fall, to fly again | The Economist http://t.co/vCXe86Jfwh",Thu Jul 30 20:24:02 +0000 2015,en,1,False,2,False,,Barry Libert,barrylibert
Governance 2.0: the future for boards in the age of big data https://t.co/wtwUtKadQh,Mon Jul 27 10:22:13 +0000 2015,en,0,False,0,False,,Barry Libert,barrylibert
@BofA_Help you can reach me at: barry@openmatters.com,Thu Jul 16 01:26:59 +0000 2015,en,1,False,0,False,,Barry Libert,barrylibert
"@BofA_Help - i want to report that BofA provided the worst loan service ever.  with 185,000 followere and a long term customer, I want help!",Thu Jul 16 00:33:25 +0000 2015,en,1,False,0,False,,Barry Libert,barrylibert
"What Apple, Lending Club, and AirBnB Know About Collaborating with Customers - http://t.co/fIr1vgNnYV http://t.co/5F9zgQEQeT",Mon Jul 06 13:23:30 +0000 2015,en,6,False,4,False,,Barry Libert,barrylibert
Why you should stop giving your customers to Facebook - http://t.co/MP6gWbF2WC http://t.co/i50vW0AdKV,Mon Jul 06 13:14:28 +0000 2015,en,1,False,0,False,,Barry Libert,barrylibert
http://t.co/SLLQIjmyrC,Mon Jul 06 12:57:27 +0000 2015,und,0,False,1,False,,Barry Libert,barrylibert
"What Apple, Lending Club, and AirBnB Know About Collaborating with Customers http://t.co/wlWFAZhUcC via @seriouslyvcs",Sun Jul 05 11:36:06 +0000 2015,en,3,False,3,False,,Barry Libert,barrylibert
Read our newest article about the power of customers and co-creation  http://t.co/SLLQIjmyrC,Sun Jul 05 11:26:50 +0000 2015,en,2,False,2,False,,Barry Libert,barrylibert
@TedRubin - Ted:  thanks.,Sun Jul 05 11:16:59 +0000 2015,en,0,False,0,False,,Barry Libert,barrylibert
http://t.co/SLLQIjmyrC,Sat Jul 04 19:13:21 +0000 2015,und,0,False,0,False,,Barry Libert,barrylibert
Our newest article in HBR is all about the power of customer co-creation and digital networks.  Would love to hear y…https://t.co/FXpmpVd55D,Sat Jul 04 19:12:47 +0000 2015,en,0,False,4,False,,Barry Libert,barrylibert
Why you should stop giving your customers to Facebook http://t.co/hzhqw7SyDV via @VentureBeat,Sat May 09 14:45:47 +0000 2015,en,5,False,8,False,,Barry Libert,barrylibert
Why you should stop giving your customers to Facebook http://t.co/hzhqw8aa2v via @VentureBeat,Wed May 06 01:30:10 +0000 2015,en,2,False,3,False,,Barry Libert,barrylibert
Why you should stop giving your customers to Facebook https://t.co/jMjBndwbwE,Wed May 06 01:29:54 +0000 2015,en,0,False,0,False,,Barry Libert,barrylibert
Is Your Leadership Style Right for the Digital Age? - http://t.co/JBhi4essFz http://t.co/ci1wHrvA30,Sun Feb 15 14:41:21 +0000 2015,en,118,False,106,False,,Barry Libert,barrylibert
Is Your Leadership Style Right for the Digital Age? https://t.co/73kyz7HeJ2,Sat Feb 07 02:36:07 +0000 2015,en,4,False,7,False,,Barry Libert,barrylibert
Is Your Leadership Style Right for the Digital Age? http://t.co/gpWXmjf3RN,Sat Feb 07 02:33:03 +0000 2015,en,2,False,1,False,,Barry Libert,barrylibert
Ideas that Shaped 2014: HBR - http://t.co/XQseqSCTVG http://t.co/kMcSdqlZxE,Thu Jan 22 15:02:19 +0000 2015,en,4,False,4,False,,Barry Libert,barrylibert
‘Facebook At Work’ Hits App Stores https://t.co/2Qon0ZBdPx,Wed Jan 14 22:24:36 +0000 2015,en,2,False,1,False,,Barry Libert,barrylibert
The Value Shift:  Why CFO's should lead the change in the digital age - http://t.co/1i1dzUB8WX http://t.co/ANfhWzcO0A,Wed Jan 14 20:20:40 +0000 2015,en,1,False,1,False,,Barry Libert,barrylibert
The Value Shift: Why CFOs Should Lead the Charge in the Digital Age http://t.co/kXPyzvVs4g,Tue Dec 30 13:45:31 +0000 2014,en,3,False,3,False,,Barry Libert,barrylibert
The Value Shift: Why CFOs Should Lead the Charge in the Digital Age http://t.co/kXPyzvVs4g,Sat Dec 20 22:50:02 +0000 2014,en,2,False,4,False,,Barry Libert,barrylibert
The Value Shift: Why CFOs Should Lead the Charge in the Digital Age https://t.co/vkwy49MmbM,Tue Dec 16 18:46:45 +0000 2014,en,1,False,0,False,,Barry Libert,barrylibert
