Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @katyperry: When five planets are in retrograde sometimes you must @postmates the tools you need to get… https://t.co/JaE5SAA78H,Wed May 04 04:39:49 +0000 2016,en,2106,False,0,False,,Bastian Lehmann,Basti
"RT @Holger: It takes two German CEOs to forge a partnership like this! ;-) Thx, @tobi &amp; @Basti! h/t to @bloh @nikodownie @mager https://t.c…",Wed May 04 00:31:36 +0000 2016,en,3,False,0,False,,Bastian Lehmann,Basti
@BlakeMichelleM Done.,Wed May 04 00:31:07 +0000 2016,en,0,False,1,False,,Bastian Lehmann,Basti
Agreed! ;) https://t.co/oE7V9qmLBW,Tue May 03 16:55:13 +0000 2016,en,1,False,10,False,,Bastian Lehmann,Basti
"RT @mlevchin: Seeing more VCs play the ""let's see if -this- one will take a down round!"" game with co's. Fair enough, but has its own reput…",Tue May 03 16:47:01 +0000 2016,en,66,False,0,False,,Bastian Lehmann,Basti
"RT @Techmeme: Shopify announces partnership with Postmates, giving over 21K SMBs same-day delivery option https://t.co/ew0NRue9Ek https://t…",Tue May 03 16:45:07 +0000 2016,en,9,False,0,False,,Bastian Lehmann,Basti
RT @harleyf: Same Day Delivery: @Shopify + @Postmates 🚗🚗🚗 🚲 🚲 🚲  https://t.co/OLVMyJr9wo,Tue May 03 15:12:31 +0000 2016,en,6,False,0,False,,Bastian Lehmann,Basti
RT @andrewarrow: If I was telling a friend where to live in LA I'd say stick within postmates delivery zone. https://t.co/gy9qQfRceT,Tue May 03 15:11:48 +0000 2016,en,3,False,0,False,,Bastian Lehmann,Basti
RT @Shopify: Now Shopify Merchants Can Offer Their Customers Same-day Delivery Through Postmates » https://t.co/CJVXo3AEEd https://t.co/A3R…,Tue May 03 14:17:33 +0000 2016,en,52,False,0,False,,Bastian Lehmann,Basti
RT @Postmates: Introducing: Postmates x @Shopify: Shop local from home—with no waiting! https://t.co/Oc8G6MNQJt https://t.co/vgZwmh8Drc,Tue May 03 13:18:16 +0000 2016,en,14,False,0,False,,Bastian Lehmann,Basti
"RT @DelRey: Postmates deal with Shopify lets 21,000 small biz add same-day delivery as it looks to expand out f/ food delivery https://t.co…",Tue May 03 13:16:57 +0000 2016,en,17,False,0,False,,Bastian Lehmann,Basti
@aaina 425 Market,Mon May 02 19:01:34 +0000 2016,en,0,False,1,False,,Bastian Lehmann,Basti
View from our new office. https://t.co/7TVxx1eyKl,Mon May 02 18:34:02 +0000 2016,en,2,False,36,False,,Bastian Lehmann,Basti
RT @brittneytv: Date night = #WHCD &amp; #postmates! #partylikeajournalist,Sun May 01 01:54:13 +0000 2016,en,2,False,0,False,,Bastian Lehmann,Basti
RT @bcabby: When you order @TheMeatballShop through @Postmates and this is your conversation #winning #yeeew @Lindsey_Puckett https://t.co/…,Sun May 01 00:58:49 +0000 2016,en,2,False,0,False,,Bastian Lehmann,Basti
I still remember the very first Postmates Town Hall when we were 15 people! This photo is from last night. https://t.co/nIxDQCTFPE,Sat Apr 30 20:57:42 +0000 2016,en,7,False,86,False,,Bastian Lehmann,Basti
@timechange @MayfieldFund As long as people stop talking about our revenue numbers I'm ok with it. ;),Sat Apr 30 03:59:08 +0000 2016,en,0,False,1,False,,Bastian Lehmann,Basti
"RT @timechange: @Basti @MayfieldFund we figured out how to go virtual via AI &amp; chatbots, lol! :) (actually we're usually out meeting &amp; work…",Sat Apr 30 03:57:59 +0000 2016,en,1,False,0,False,,Bastian Lehmann,Basti
RT @aviel: @Basti they put $500m of it in a stealth stealth startup.,Sat Apr 30 02:23:05 +0000 2016,en,2,False,0,False,,Bastian Lehmann,Basti
RT @Dahveed: Wondering if @Postmates is actually able to deliver to the car? 🤔 https://t.co/zXWav2BzLw,Sat Apr 30 02:21:51 +0000 2016,en,3,False,0,False,,Bastian Lehmann,Basti
Did @MayfieldFund just raised money and got rid of all their people? @timechange what is going on? https://t.co/1Fapy5NIYs,Sat Apr 30 02:14:55 +0000 2016,en,1,False,12,False,,Bastian Lehmann,Basti
"RT @Holger: Room with a view (at @Postmates HQ in San Francisco, Calif) https://t.co/QDNCAubq5x https://t.co/EkMTxvc7O7",Fri Apr 29 23:17:58 +0000 2016,en,1,False,0,False,,Bastian Lehmann,Basti
"RT @andrewlowe: me: i've been pretty social this week!
my mom: what did you do? talk to your postmates guy?",Fri Apr 29 19:44:42 +0000 2016,en,330,False,0,False,,Bastian Lehmann,Basti
"RT @thetylerhayes: Just ordered a shirt for $15 and got it hand-delivered in 15 minutes 👏  @Everlane Now SF + @Postmates

❤️ the future htt…",Fri Apr 29 19:44:36 +0000 2016,en,5,False,0,False,,Bastian Lehmann,Basti
RT @AndreaRussett: how did we all survive before postmates,Fri Apr 29 15:00:24 +0000 2016,en,518,False,0,False,,Bastian Lehmann,Basti
Great to see @naval and team push the envelope again! ;) https://t.co/Dl2yjE0b5P,Fri Apr 29 00:29:37 +0000 2016,en,5,False,21,False,,Bastian Lehmann,Basti
My thoughts on AngelList Intros on @ProductHunt https://t.co/kEBmjqDoT3 https://t.co/YAuelw2Dhv,Fri Apr 29 00:28:35 +0000 2016,en,1,False,12,False,,Bastian Lehmann,Basti
