Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I couldn't have built a music tech business w/o access to talent that being in the EU helps with. Happy to sign: https://t.co/5zFyKEDNaE,Wed Apr 20 10:26:30 +0000 2016,en,2,False,0,False,,Ben Drury,bendrury
"RT @23andMe: Approximately 8% of your DNA is originally from viruses, which infected your ancestors... #DNAFacts https://t.co/rCI1aqoW98",Mon Mar 07 21:25:15 +0000 2016,en,101,False,0,False,,Ben Drury,bendrury
RT @Raspberry_Pi: ⚡️ Raspberry Pi 3 is a Twitter Moment: https://t.co/mswyASPxtj,Mon Feb 29 14:11:02 +0000 2016,en,186,False,0,False,,Ben Drury,bendrury
"RT @ruskin147: ""A product we thought in our wildest dreams might sell 10,000 has sold 8 million"" @EbenUpton of @Raspberry_Pi https://t.co/5…",Mon Feb 29 09:26:19 +0000 2016,en,52,False,0,False,,Ben Drury,bendrury
RT @pimoroni: New blog post! Raspberry Pi 3 - First Look: https://t.co/RhY4K1Qdog,Mon Feb 29 08:25:24 +0000 2016,en,81,False,0,False,,Ben Drury,bendrury
"RT @sandyjmacdonald: Now seems like a good moment to mention that from 18th April, I’ll be a @pimoroni pirate. P.S. Read my blog post! -&gt; h…",Mon Feb 29 08:25:17 +0000 2016,en,3,False,0,False,,Ben Drury,bendrury
RT @BlueReZZ: Just bought myself a new #raspberrypi3 from https://t.co/m4S8AdyRJ4 - made a DLNA client out of the last one so what next? /c…,Mon Feb 29 08:15:23 +0000 2016,en,1,False,0,False,,Ben Drury,bendrury
RT @ruskin147: Raspberry Pi becomes best-selling UK computer - here's the full story  https://t.co/NBjxPxqatR,Mon Feb 29 08:09:37 +0000 2016,en,89,False,0,False,,Ben Drury,bendrury
The £4 UK Computer - Raspberry Pi Zero back in stock (for a short time) at https://t.co/yeIEjYU9pK,Mon Feb 22 15:54:46 +0000 2016,en,0,False,2,False,,Ben Drury,bendrury
"RT @evarley: This will be terrible for tech startups as well as NHS, research, arts &amp; charities. Please sign &amp; take action https://t.co/yl5…",Thu Feb 11 14:39:33 +0000 2016,en,4,False,0,False,,Ben Drury,bendrury
@AnthonyHH Check out Flotilla by @pimoroni https://t.co/4F8slVIwbS - coming very soon!,Thu Feb 11 10:19:26 +0000 2016,en,0,False,1,False,,Ben Drury,bendrury
"RT @programmer1200: It finally arrived in Missouri , Thank You @pimoroni for the Pi Zero. https://t.co/ZylMcY8lxy",Thu Feb 11 10:17:40 +0000 2016,en,2,False,0,False,,Ben Drury,bendrury
+ Raspberry Pi Zero which retails at $5 sells out within hours every time new stock ships. Arguably this is the biggest success in UK tech..,Thu Feb 11 10:16:45 +0000 2016,en,0,False,1,False,,Ben Drury,bendrury
Nearly 4 years since the launch of the @Raspberry_Pi and over 7 million sold. It's probably now the biggest selling UK computer of all time,Thu Feb 11 10:13:04 +0000 2016,en,2,False,2,False,,Ben Drury,bendrury
BBC Micro! https://t.co/Kz3pspMq3V,Thu Feb 11 10:08:06 +0000 2016,cy,0,False,1,False,,Ben Drury,bendrury
Spinguins! Fun new iOS game for Christmas from the excellent team at Marmalade https://t.co/gUhJjdB0bi,Thu Dec 17 13:27:21 +0000 2015,en,2,False,2,False,,Ben Drury,bendrury
"RT @GameHub_HQ: https://t.co/zJaPGEEnew This, by the UK government is silly and irresponsible. Computer literacy does not make a person a c…",Wed Dec 09 15:24:11 +0000 2015,en,326,False,0,False,,Ben Drury,bendrury
I just backed Creator Ci40: The ultimate IoT-in-a-box dev kit on @Kickstarter https://t.co/wX99m8NB6A,Tue Nov 24 10:42:21 +0000 2015,en,1,False,3,False,,Ben Drury,bendrury
Rude awakenings. Sinking barge in Regent's Canal at King's Cross http://t.co/jnHfwTWSrV,Tue Oct 13 07:24:17 +0000 2015,en,1,False,1,False,,Ben Drury,bendrury
I've just reviewed Julie Curran on upmysport! https://t.co/UTp1wvbyTz,Thu Sep 24 15:38:37 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
"RT @StackDevJobs: Ruby / RoR / JS developer in the French Alps at @upmysport (London, UK) http://t.co/YXxq1OZcge #rubyonrails",Thu Sep 24 15:32:09 +0000 2015,en,1,False,0,False,,Ben Drury,bendrury
"RT @marmaladeapps: Marmalade 7.9 is here! Windows 10 and iOS 9 support, updated Maya/3ds Max exporters and more http://t.co/3SyCPwZ5VJ http…",Tue Sep 15 11:57:44 +0000 2015,en,6,False,0,False,,Ben Drury,bendrury
Being dazzled at the @EFLDN #ef4 Demo Day,Tue Sep 08 14:20:35 +0000 2015,en,2,False,1,False,,Ben Drury,bendrury
@ao Hello. It's AOL5756745. Thanks,Sun Aug 30 08:20:09 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
Shockingly bad service from http://t.co/vc5Wc3Ec8c. Delivery slot today. Waited 4 hours to find out product isn't even available to send.,Sat Aug 29 15:36:13 +0000 2015,en,2,False,2,False,,Ben Drury,bendrury
"Excited to see that @efLDN has raised £8.5m to invest in tech individuals
http://t.co/ClH4vaGu97",Thu Jul 16 13:34:42 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
Entrepreneur First raises £8.5M to find Europe’s best tech talent http://t.co/e2PQEvAbVk,Thu Jul 16 13:15:33 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
RT @msdev: Interested in bringing #Marmalade apps to #Windows10? You'll love this step-by-step guide: http://t.co/xmd8sf2Qta http://t.co/SW…,Fri Jul 03 09:24:38 +0000 2015,en,22,False,0,False,,Ben Drury,bendrury
Excited to be on board! https://t.co/Z0SYEG31pK,Fri Jul 03 09:23:08 +0000 2015,en,0,False,1,False,,Ben Drury,bendrury
Hello sunny San Francisco. I've missed you. Especially your Japanese food!,Sun Jun 14 01:24:53 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
@BenedictEvans are you in SF?,Sun Jun 14 01:23:48 +0000 2015,en,0,False,1,False,,Ben Drury,bendrury
RT @marmaladeapps: EA Mobile Claims that 'SimCity BuildIt' is Now The Most-Played 'SimCity' Game Ever! One of the best @marmaladeapps http:…,Thu Jun 11 11:22:00 +0000 2015,en,3,False,0,False,,Ben Drury,bendrury
Escape Lounge at Stansted airport bans children under 6. Shame on you Manchester Airport Group,Fri Jun 05 15:08:42 +0000 2015,en,0,False,1,False,,Ben Drury,bendrury
"RT @paulbenney: One more. @bendrury’s @7digital_UK presentation was spot on. No one needs 35 million tracks - room for niche, curated strea…",Fri Jun 05 15:08:25 +0000 2015,en,2,False,0,False,,Ben Drury,bendrury
Last chance to start a deep tech co in 2015 with Europe's only pre-team pre-idea investor in 2015 - @EFldn. Apply now http://t.co/6kFxMSmULw,Fri May 29 09:24:18 +0000 2015,en,0,False,0,False,,Ben Drury,bendrury
Hamburger icon: How these three lines mystify most people - BBC News http://t.co/3oattUw4Ot,Mon May 18 11:50:08 +0000 2015,en,1,False,0,False,,Ben Drury,bendrury
Trying out @buffer. Thinks I will post to Twitter 28 times a week! Not sure I can manage that. Seems to be a good tool though.,Mon May 18 08:42:03 +0000 2015,en,0,False,1,False,,Ben Drury,bendrury
Really in shock over Dave Goldberg's sudden passing. I got to know him quite well in '03 when Yahoo/Launch bought dotmusic. Genuine good guy,Sun May 03 09:47:33 +0000 2015,en,1,False,0,False,,Ben Drury,bendrury
RT @GregorPryor: #bbcadam best goal no question - now to watch #lcfc get pounded.,Sat Apr 04 22:15:20 +0000 2015,en,1,False,0,False,,Ben Drury,bendrury
RT @7digital: Join @BenDrury at 3pm at #Oxford Inspires @OxfordSBS He'll be talking about his #7digital journey! &gt;&gt; http://t.co/8bgm9wZ5Bp,Sat Mar 07 11:09:12 +0000 2015,en,1,False,0,False,,Ben Drury,bendrury
@brittneybean @rassami maybe delusional optimist ;),Wed Feb 25 21:31:47 +0000 2015,en,1,False,1,False,,Ben Drury,bendrury
RT @brittneybean: @rassami @bendrury I go for cynical optimist.,Wed Feb 25 21:31:25 +0000 2015,en,2,False,0,False,,Ben Drury,bendrury
RT @music4point5: Music 4.5 #Licensing speaker line-up incl @petedownton71 @bendrury @Fflic @sophie_goossens @relammers @C3S http://t.co/qs…,Thu Feb 12 19:21:17 +0000 2015,en,4,False,0,False,,Ben Drury,bendrury
Get out from behind your laptop and into some running shoes... challenge yourself to run more @techrunnersldn http://t.co/9BJ10Eg4kp,Mon Feb 09 09:11:14 +0000 2015,en,0,False,3,False,,Ben Drury,bendrury
Heading to the Musicmetric going away party. They are going away to somewhere very exciting in California involving some fruity friends,Sat Feb 07 18:03:11 +0000 2015,en,0,False,2,False,,Ben Drury,bendrury
Packed audience and impressive start-ups at @seedcamp mentor day http://t.co/TYSvi0EiY1,Wed Feb 04 12:41:26 +0000 2015,en,0,False,1,False,,Ben Drury,bendrury
RT @thesoundhorizon: Familiar #startup faces here at #Seedcamp @haynes_dave on stage with @richardmoross. In audience are @JeremyS1 and @be…,Wed Feb 04 12:39:13 +0000 2015,en,2,False,0,False,,Ben Drury,bendrury
Excited to be a mentor at @seedcamp today at Google Campus. 22 start-ups from across Europe in London here for #seedcamp week.,Wed Feb 04 07:11:39 +0000 2015,en,0,False,4,False,,Ben Drury,bendrury
