Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @juliamacfarlane: This is the most deliciously awkward thing I have seen on the Internets today https://t.co/IEZjvY6yL2,Mon May 02 17:15:02 +0000 2016,en,574,False,0,False,,Ben Kaufman,benkaufman
have tried almost every 3d printer out there. @formlabs Form2 is the most magical &amp; fantastic.,Wed Apr 27 20:58:49 +0000 2016,en,0,False,15,False,,Ben Kaufman,benkaufman
The Empire State of Mind #410 days to greatness  #HBDESB  ht @jdrive https://t.co/0KHf4ia9Hf,Wed Apr 27 18:35:33 +0000 2016,en,0,False,0,False,,Ben Kaufman,benkaufman
"@hova414 ah, man ❤️🙈",Wed Apr 27 17:46:17 +0000 2016,in,0,False,0,False,,Ben Kaufman,benkaufman
RT @laura_correnti: Congrats @lindaboff - GE's Smiling Assassin (hah!). Your passion for the new is often the best part of my work day! htt…,Tue Apr 26 12:15:52 +0000 2016,en,1,False,0,False,,Ben Kaufman,benkaufman
@silencebreed its in Chelsea! Dm for deets,Tue Apr 26 11:49:10 +0000 2016,en,0,False,0,False,,Ben Kaufman,benkaufman
"anyone in need of creative space (photo studio, layout tables) &amp; tools (woodshop, 3d printers, etc) in nyc?  Know of an awesome space.",Mon Apr 25 16:28:21 +0000 2016,en,2,False,7,False,,Ben Kaufman,benkaufman
RT @Medium: “Failure” by @JohnDeVore https://t.co/HZP9C6qQW7,Sun Apr 24 21:06:39 +0000 2016,en,15,False,0,False,,Ben Kaufman,benkaufman
"Just saw someone with a Cruz 2016 bumper sticker and felt like the Santa in that  M&amp;M commercial. ""They do exist""",Fri Apr 22 21:53:07 +0000 2016,en,0,False,8,False,,Ben Kaufman,benkaufman
.@JamieSiminoff is for sure the winner of tonight's cnn election coverage.,Wed Apr 20 01:28:25 +0000 2016,en,1,False,5,False,,Ben Kaufman,benkaufman
@yo https://t.co/lOrkDuZY8O,Mon Apr 11 18:12:07 +0000 2016,und,0,False,1,False,,Ben Kaufman,benkaufman
@yo YES.,Mon Apr 11 18:02:02 +0000 2016,und,0,False,1,False,,Ben Kaufman,benkaufman
@yo please return the favor.  I need to see him do the EXACT same thing.,Mon Apr 11 18:00:45 +0000 2016,en,0,False,0,False,,Ben Kaufman,benkaufman
"@yo ALL ABOUT YOU, ahaha",Mon Apr 11 17:59:04 +0000 2016,en,0,False,1,False,,Ben Kaufman,benkaufman
RT @ring: What’s Ring Video Doorbell? https://t.co/M8hQINlv5q,Sun Apr 10 23:31:14 +0000 2016,en,1,False,0,False,,Ben Kaufman,benkaufman
He did what? https://t.co/TmBZBewBw1,Fri Apr 08 02:17:48 +0000 2016,en,0,False,2,False,,Ben Kaufman,benkaufman
"Gettysburg Address, Trump Style.  Amazing https://t.co/anSgLPfGju",Tue Apr 05 12:50:01 +0000 2016,en,1,False,2,False,,Ben Kaufman,benkaufman
@TheWinkApp 🔌🍳,Mon Apr 04 20:24:08 +0000 2016,und,0,False,2,False,,Ben Kaufman,benkaufman
