Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Be brilliant at email with @SuperhumanCo! Join me on the VIP list at https://t.co/KiprFWmTRC https://t.co/YsgBbSVxpd,Fri Apr 15 16:21:15 +0000 2016,en,0,False,1,False,,Benjamin Boyer,bjamin999
"@timkawakami (3) as a journalist, it's your responsibility to find the 'real' story and this most certainly was not it.",Fri Dec 04 19:36:41 +0000 2015,en,0,False,1,False,,Benjamin Boyer,bjamin999
"@timkawakami (2) if you kept them, what does that say about your business judgement or ability to recruit his replacement?",Fri Dec 04 19:35:34 +0000 2015,en,0,False,1,False,,Benjamin Boyer,bjamin999
@timkawakami (1) if you had an employee that was leaking things would you keep them and change his title/ responsibilities or fire him?,Fri Dec 04 19:34:56 +0000 2015,en,0,False,1,False,,Benjamin Boyer,bjamin999
Kahuna Challenges The Marketing Technology Status Quo https://t.co/2wrBM1jZMT,Wed Aug 19 15:49:45 +0000 2015,en,0,False,2,False,,Benjamin Boyer,bjamin999
"@IMKristenBell be sure to try #Lyft and #LyftLine.  It's just like Uber but with a soul:
https://t.co/eVaTvr4mQC
https://t.co/jLtmtzd5hH",Sun May 31 17:10:00 +0000 2015,en,0,False,0,False,,Benjamin Boyer,bjamin999
RT @rocketgirlmd: life w/lung cancer: Paul Kalanithi on @TheLastWord w/@Lawrence O'Donnell :) http://t.co/b2fkoX4yS8 #LCSM @msnbc @ParsOper…,Fri Mar 13 01:44:03 +0000 2015,en,13,False,0,False,,Benjamin Boyer,bjamin999
"RT @ChaviKar: This is his beautiful, beautiful piece about death and parenting and joy and grace. http://t.co/8Z8LRNH0AP. @rocketgirlmd",Fri Mar 13 01:43:45 +0000 2015,en,9,False,0,False,,Benjamin Boyer,bjamin999
"RT @pdc63: The world lost a shining star of wisdom, kindness, and joy today @ParsOpercularis @rocketgirlmd http://t.co/mJmjXGboIB",Fri Mar 13 01:43:09 +0000 2015,en,7,False,0,False,,Benjamin Boyer,bjamin999
RIP @ParsOpercularis - heartfelt sympathy to @rocketgirlmd and Cady - hope this finds you as well as can be expected during a difficult time,Fri Mar 13 00:08:55 +0000 2015,en,0,False,1,False,,Benjamin Boyer,bjamin999
Join @Jet_Insider for a 6-mo. membership to a better way to shop + compete for 100k stock options #sharesforshares https://t.co/xnZWOVYzDg,Thu Jan 08 21:26:41 +0000 2015,en,1,False,0,False,,Benjamin Boyer,bjamin999
RT @karaswisher: Rut-roh Uber! But party on @SFmagEvents http://t.co/D6skJNKig8,Wed Dec 03 02:39:44 +0000 2014,en,10,False,0,False,,Benjamin Boyer,bjamin999
"Just reserved my Uber is Evil from https://t.co/RTlstXJRLM via @Teespring, available for the next 21 days",Thu Nov 20 00:41:50 +0000 2014,en,0,False,1,False,,Benjamin Boyer,bjamin999
"RT @justinmerkin: important words from @Moonalice on @Uber http://t.co/l6Syp9O47Y @SquawkAlley ""absence of moral compass is staggering"" cc-…",Wed Nov 19 23:59:37 +0000 2014,en,5,False,0,False,,Benjamin Boyer,bjamin999
RT @kaysteiger: Uber investor Ashton Kutcher endorses smearing “shady journalist” @sarahcuda: http://t.co/B491sJZBx5,Wed Nov 19 16:22:11 +0000 2014,en,22,False,0,False,,Benjamin Boyer,bjamin999
RT @sarah_sprague: Must be a fun day to be a journalist at SBNation knowing Ashton Kutcher is on your board of advisors.,Wed Nov 19 16:21:54 +0000 2014,en,4,False,0,False,,Benjamin Boyer,bjamin999
"RT @superglaze: Since it's Uber day, let us not forget how they encouraged their drivers to break German law without backing them up https:…",Wed Nov 19 14:00:32 +0000 2014,en,7,False,0,False,,Benjamin Boyer,bjamin999
RT @sarahcuda: @Jason @Uber just wow Jason. Enjoy the cash for soul exchange,Wed Nov 19 13:54:21 +0000 2014,en,12,False,0,False,,Benjamin Boyer,bjamin999
"RT @davewiner: Uber is a great example of a company that thoroughly deserves to be put down. Use Lyft instead, take a cab, public transit, …",Wed Nov 19 13:39:36 +0000 2014,en,30,False,0,False,,Benjamin Boyer,bjamin999
"RT @jjmccorvey: Uber driver on Spotify deal: ""I can see entitled passengers giving me 1-3 stars b/c I didnt let them turn-up"" #dead http://…",Wed Nov 19 06:51:21 +0000 2014,en,28,False,0,False,,Benjamin Boyer,bjamin999
RT @TIME: 7 dead-serious Uber controversies that somehow didn't sink the company http://t.co/5FA5r66Bzt,Wed Nov 19 06:43:32 +0000 2014,en,65,False,0,False,,Benjamin Boyer,bjamin999
"RT @gregde: @Jason @uber Lamest excuse for horrible behavior. Is @sarahcuda on the list of things it's ok to ""break"" if you're going fast?",Wed Nov 19 06:43:09 +0000 2014,en,17,False,0,False,,Benjamin Boyer,bjamin999
