Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@edwardlando was thinking the former but should have also said ""unless we take dramatic steps"" - had moment of despair when I heard news :-)",Thu May 05 09:38:42 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
"massive turnout for #PSLExpo -,kudos to all our #entrepreneurs - stay gritty #Philly #innovationcity https://t.co/yUsOfWo8qV",Thu May 05 00:11:31 +0000 2016,en,7,False,29,False,,Bob Moul,bobmoul
RT @TheEconomist: There is enough green-belt land in London to build over a million houses https://t.co/ycEBhVxCzF https://t.co/V8l52vNrzG,Wed May 04 19:00:20 +0000 2016,en,62,False,0,False,,Bob Moul,bobmoul
RT @TechCrunch: Astronomers discover three exoplanets similar to Earth and Venus https://t.co/q4iqZqpehh https://t.co/hAaFnmEwqf,Wed May 04 17:27:04 +0000 2016,en,72,False,0,False,,Bob Moul,bobmoul
see you there!  https://t.co/8rvscFmrQz,Wed May 04 13:53:34 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
@AlexU_A sure hope you're right,Wed May 04 11:49:28 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
"RT @chriscera: @bobmoul People get upset when I tell them I'm an Independent b/c of the primary, but it's liberating and empowering IMHO",Wed May 04 10:49:48 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
random playlist keeps coming up Doors...,Wed May 04 09:56:40 +0000 2016,en,1,False,1,False,,Bob Moul,bobmoul
RT @PhillyJoeD: @bobmoul Anyway it's you digital guys' fault. Us news guys tried to warn you,Wed May 04 08:47:54 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
I am convinced that history will view this election as one of the major inflection points on the path of our country's decline...,Wed May 04 01:07:17 +0000 2016,en,3,False,9,False,,Bob Moul,bobmoul
"been thinking about this for years. with Trump now the default #GOP nominee, I will be registering independent...",Wed May 04 00:45:16 +0000 2016,en,1,False,5,False,,Bob Moul,bobmoul
RT @WSJ: Breaking: Ted Cruz announces he is suspending his presidential bid https://t.co/teSW31EC5k,Wed May 04 00:39:43 +0000 2016,en,386,False,0,False,,Bob Moul,bobmoul
RT @mashable: Mercury will pass in front of the sun on Monday in rare transit https://t.co/niMHEqDscz https://t.co/A1ryg4OGwa,Tue May 03 20:48:19 +0000 2016,en,126,False,0,False,,Bob Moul,bobmoul
"RT @AcademiesInc: Our BOD member @bobmoul is #AllIn for #education. Join him, @daniellecohn and more for #PAIParty https://t.co/Du2yyeTfud",Tue May 03 13:33:58 +0000 2016,en,3,False,0,False,,Bob Moul,bobmoul
"RT @Jeff_A_Friedman: ICYMI: #NorthernLiberties named a Top American ""Boom Town"" https://t.co/2Psk9whx2Q #NoLibs",Tue May 03 09:54:44 +0000 2016,en,2,False,0,False,,Bob Moul,bobmoul
"RT @MichaelDell: ""What’s in a name: Introducing Dell Technologies"" by @MichaelDell on @LinkedIn https://t.co/EB4s92I85V",Tue May 03 09:54:13 +0000 2016,en,134,False,0,False,,Bob Moul,bobmoul
"RT @PhillyTechWeek: ""Now is the moment"": for Philly: @JimFKenney Public ed must be solved to leverage tech talent retention #ptw16 https://…",Tue May 03 00:15:32 +0000 2016,en,22,False,0,False,,Bob Moul,bobmoul
great to see @PhillyMayor @JimFKenney beginning to find his #tech legs. #PTW16 https://t.co/zmoAkqOQaL,Mon May 02 23:46:28 +0000 2016,en,3,False,23,False,,Bob Moul,bobmoul
another big crowd for the Mayoral Tech Town Hall @ #PTW16 https://t.co/GtaIXiCjab,Mon May 02 23:06:02 +0000 2016,en,8,False,16,False,,Bob Moul,bobmoul
big turnout for Future of Heath and Sciences in #Philly. panel is part of #PTW16 https://t.co/qvomSpHoua,Mon May 02 20:16:36 +0000 2016,en,4,False,7,False,,Bob Moul,bobmoul
RT @FortuneMagazine: Detroit schools can’t meet payroll after June 30 https://t.co/Ziyh9FOlu4,Sun May 01 23:13:34 +0000 2016,en,29,False,0,False,,Bob Moul,bobmoul
or warms to idea of VP https://t.co/I3LjmHxsxF,Sun May 01 20:00:08 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
2/ 4) takes on debt recklessly and 5) thinks he's great at everything...,Sat Apr 30 23:24:15 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
1/ @FortuneMagazine says Trump as president 1) he always comes first 2) wants you to know how rich he is 3) sues first asks q's later...,Sat Apr 30 23:23:05 +0000 2016,en,2,False,1,False,,Bob Moul,bobmoul
very presidential. in @FortuneMagazine https://t.co/J5QbI6DmAF,Sat Apr 30 23:19:19 +0000 2016,en,2,False,1,False,,Bob Moul,bobmoul
RT @covercash: @bobmoul also check out the Wim Hof method. I’ve incorporated 5 minute ice showers into my routine to reduce inflammation.,Sat Apr 30 17:12:43 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
.@rsolo20 $20 introductory special @RestoreMainline. gets rid of inflammation. invented for rheumatoid arthritis - trying it for my mom :-),Sat Apr 30 17:07:56 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
nitrogen vapor lowers air temp to below -200 degrees. good news is you get to keep your shorts on... @restore_cryo https://t.co/D0riN3qOjA,Sat Apr 30 17:01:53 +0000 2016,en,1,False,1,False,,Bob Moul,bobmoul
loved it! very refreshing!  https://t.co/BozJ6NExQm,Sat Apr 30 16:24:28 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
just did my first cryo sauna. WOW! Gets colder than dark side of the moon! no really... @restore_cryo https://t.co/g8ORR0xLZk,Sat Apr 30 16:24:05 +0000 2016,en,0,False,3,False,,Bob Moul,bobmoul
RT @heshnarayanan: @Cloudamize raises $1 million round as CEO @bobmoul ramps up activity https://t.co/H1XxKAcIfE #cloud #analytics #bigdata…,Sat Apr 30 16:20:54 +0000 2016,en,2,False,0,False,,Bob Moul,bobmoul
RT @StartupPHL: A little late to the party but not short on the enthusiasm and excitement! Congrats to @cloudamize team on the raise!! cc @…,Fri Apr 29 20:37:46 +0000 2016,en,6,False,0,False,,Bob Moul,bobmoul
Just me or do they look like Florida-Georgia Line?  congrats gents!  https://t.co/QZHKMucMFr,Fri Apr 29 19:43:47 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
Thanks Jamil!  https://t.co/1wqHmbeQOo,Fri Apr 29 18:57:57 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
Thanks Adel! https://t.co/EGk6Hnxh5c,Fri Apr 29 17:28:25 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
"RT @yyarden03: Over 800 community members have grabbed their ticket to #PSLExpo, have you? See you on May 4th ➡️ https://t.co/pV6XxYhdKL",Fri Apr 29 11:10:38 +0000 2016,en,4,False,0,False,,Bob Moul,bobmoul
RT @GradyJS: Thanks for all your support @daniellecohn @PIDCphila @bobmoul @lopezkriss @SelectPHL @ArtsBusinessPHL,Fri Apr 29 01:32:20 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
Thanks!  https://t.co/XIP0Jz3TSV,Thu Apr 28 21:21:23 +0000 2016,en,1,False,2,False,,Bob Moul,bobmoul
Thanks Danielle!  https://t.co/OsA4fasBMl,Thu Apr 28 21:10:50 +0000 2016,en,1,False,1,False,,Bob Moul,bobmoul
Team @cloudamize celebrates the round with a round!  Warming up for Startup Crawl 2016. #PTW16 https://t.co/ngxAmSWhiI,Thu Apr 28 21:00:27 +0000 2016,en,1,False,7,False,,Bob Moul,bobmoul
Thanks Steve!  https://t.co/PGpdEAY9Is,Thu Apr 28 20:58:45 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
RT @daniellecohn: The #rockstar team @PIDCphila is driving growth to every corner of #PHL #infographic https://t.co/09ozVRrhua,Thu Apr 28 17:30:43 +0000 2016,en,3,False,0,False,,Bob Moul,bobmoul
May have to wait for next round for that!  :-) https://t.co/ezcDykM6hH,Thu Apr 28 16:24:44 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
Thanks Sam!  https://t.co/YZvJCnpTol,Thu Apr 28 16:23:59 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
@JaredShelly thanks Jared!,Thu Apr 28 15:53:11 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
Thanks Bob!  https://t.co/OpezM4MdJH,Thu Apr 28 15:13:54 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
.@Squareknot and @cloudamize offices will be the hot spot on tonight's Startup Crawl - don't miss it! #PTW16,Thu Apr 28 14:53:39 +0000 2016,en,3,False,2,False,,Bob Moul,bobmoul
great post by @PHLBizDNorton @PHLBizJournal on the @Cloudamize funding announced today. https://t.co/6O6VAv1zqF,Thu Apr 28 14:37:14 +0000 2016,en,3,False,2,False,,Bob Moul,bobmoul
"Thanks Jeff! ""Philly becoming Cloud hub.""  Love it!  https://t.co/QCoszBh3S6",Thu Apr 28 14:34:40 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
@TeamDomb @MissionOG @dreamit thanks for your continued support Allan!,Thu Apr 28 14:29:35 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
RT @TeamDomb: More great news ahead of Philly Tech Week! Congrats @bobmoul and team https://t.co/leuMyCjB81,Thu Apr 28 14:29:09 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
Thanks Greg!  https://t.co/eHCtLD6GzX,Thu Apr 28 14:09:38 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
Thanks David!  https://t.co/jQazcMYlQR,Thu Apr 28 14:05:39 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
RT @cloudamize: and Startup Crawl tonight - what a great way to start Philly Tech Week! https://t.co/mvIO9XaWvk,Thu Apr 28 14:04:44 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
RT @startupleaders: Big congrats to the @cloudamize team! #AmplifyPhilly https://t.co/vY9O8NXiad,Thu Apr 28 14:04:41 +0000 2016,en,2,False,0,False,,Bob Moul,bobmoul
Thanks Kyle!  https://t.co/21Eua5gSgg,Thu Apr 28 14:03:35 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
RT @yyarden03: Congrats 👏🎉!!  https://t.co/GiTnGCothr,Thu Apr 28 13:51:18 +0000 2016,en,2,False,0,False,,Bob Moul,bobmoul
RT @cloudamize: We're thrilled with the continued support from our investors. Welcome Jon Palmer! https://t.co/5BrjUqn9mR,Thu Apr 28 13:43:49 +0000 2016,en,4,False,0,False,,Bob Moul,bobmoul
RT @rsolo20: @bobmoul @MissionOG @dreamit @PHLBizJournal Very nice!,Thu Apr 28 13:36:11 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
RT @ricknucci: congrats to @bobmoul and @cloudamize team!!! https://t.co/knNQjKOg7M,Thu Apr 28 13:35:59 +0000 2016,en,4,False,0,False,,Bob Moul,bobmoul
Thanks Josh! https://t.co/GyiGcUPiq6,Thu Apr 28 13:28:35 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
stoked to announce this round of funding.  props to our investors @MissionOG and @dreamit for continued support! https://t.co/6O6VAv1zqF,Thu Apr 28 13:26:46 +0000 2016,en,9,False,14,False,,Bob Moul,bobmoul
"jets, people, family, values, laws, country - it's all the same right?  there's still time people  https://t.co/mgQUoAWssp",Tue Apr 26 23:52:51 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
too many folks paid to talk about problems versus solving them,Tue Apr 26 23:23:12 +0000 2016,en,0,False,6,False,,Bob Moul,bobmoul
wow https://t.co/auyCHgXWSX,Tue Apr 26 18:53:51 +0000 2016,und,0,False,1,False,,Bob Moul,bobmoul
RT @NewsWorksWHYY: Are you a Republican voting for a presidential candidate in Pa. today? There's more to it than you think. https://t.co/K…,Tue Apr 26 13:42:40 +0000 2016,en,2,False,0,False,,Bob Moul,bobmoul
"RT @BenjaminsDesk: Join @startupleaders at #PTW largest annual event, #PSLExpo on May 4th! Grab a ticket--&gt; https://t.co/3jWDsWlxnG",Tue Apr 26 11:09:31 +0000 2016,en,4,False,0,False,,Bob Moul,bobmoul
RT @billy_penn: It’s Election Day! Here’s your Philadelphia primary pocket guide: https://t.co/7hIHWc77kG,Tue Apr 26 11:04:53 +0000 2016,en,6,False,0,False,,Bob Moul,bobmoul
thanks for the heads up. liked the message but had no idea... https://t.co/Ml70qAgs8d,Tue Apr 26 10:49:46 +0000 2016,en,1,False,1,False,,Bob Moul,bobmoul
RT @CGC3405: @bobmoul I wish I could. I'd still like to do what I can do stop the insanity of the right,Tue Apr 26 01:32:51 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
@CGC3405 fair point :-),Tue Apr 26 01:23:42 +0000 2016,en,0,False,0,False,,Bob Moul,bobmoul
"RT @CGC3405: @bobmoul I can complain about a closed primary, that supports the 2 party system",Tue Apr 26 01:23:33 +0000 2016,en,1,False,0,False,,Bob Moul,bobmoul
"If you don't exercise your right to vote, you forfeit your right to complain.  VOTE!  #phillytechvotes #PrimaryDay",Tue Apr 26 01:06:50 +0000 2016,en,6,False,20,False,,Bob Moul,bobmoul
@TO congrats!,Tue Apr 26 01:02:18 +0000 2016,en,0,False,1,False,,Bob Moul,bobmoul
"RT @thehill: Trump: If I lose, ""I don't think you're ever going to see me again"" https://t.co/9NVQUiNXpb https://t.co/IKNkjZ4n08",Mon Apr 25 19:41:34 +0000 2016,en,32,False,0,False,,Bob Moul,bobmoul
"thank goodness he's ""re-inventing"" himself. can't imagine how the old Trump would have handled this  https://t.co/23DoPRpNwJ",Mon Apr 25 19:24:05 +0000 2016,en,0,False,2,False,,Bob Moul,bobmoul
