Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Congrats to @davefeller and @Yummly team on their fundraising success. Great to see the platform accelerating! http://t.co/Kyd8AdhqNH,Thu Sep 03 06:24:24 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
@AlexaEileen @kcollege thanks! We are very excited and committed to the K to the Bay program! More to come!,Wed Aug 19 19:48:03 +0000 2015,en,0,False,0,False,,brad oneill,bradoneill
"My post on the ""4 People you need to be to bootstrap"" There are more, would love to hear http://t.co/H2nSaWxtOA @TechValidate @SurveyMonkey",Tue Aug 18 02:09:37 +0000 2015,en,3,False,6,False,,brad oneill,bradoneill
Great @SurveyMonkey hackathon preso by @jonwolfe of @TechValidate Awesome new full stack functioning app built in 24 hours? Rockstar stuff.,Fri Aug 14 20:24:22 +0000 2015,en,0,False,2,False,,brad oneill,bradoneill
RT @janakiramm: Hitachi Data Systems is Betting Big on Smart Cities @Forbes http://t.co/95kpoVNEE2,Thu Aug 13 20:12:07 +0000 2015,en,13,False,0,False,,brad oneill,bradoneill
RT @JonMitt: I love unexpected benefits like this...@Uber is a game-changer for women in Saudi Arabia: http://t.co/FMJxe7ETj2 by @EvieN via…,Wed Aug 12 17:25:36 +0000 2015,en,1,False,0,False,,brad oneill,bradoneill
Thanks @Knieriemen always fun to do your show!  https://t.co/lIY1Ijpz1X,Wed Aug 12 17:05:27 +0000 2015,en,1,False,2,False,,brad oneill,bradoneill
Thanks @LaissezWhere! I love the K to the Bay program at @kcollege and we have ensured its perpetual funding! https://t.co/KYu6hFeTnm,Wed Aug 12 03:07:55 +0000 2015,en,2,False,2,False,,brad oneill,bradoneill
@JeremyHurley33 thanks!,Thu Aug 06 21:44:08 +0000 2015,en,0,False,0,False,,brad oneill,bradoneill
"Thanks Ted. Also, thanks for the early office space :) https://t.co/H0v58Gpkh0",Wed Aug 05 14:40:23 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
Thanks Gary!  https://t.co/o7wJ3bwS7F,Tue Aug 04 23:05:55 +0000 2015,en,0,False,0,False,,brad oneill,bradoneill
"Thanks Josh. Your advice, always valued. https://t.co/47bWvbabTt",Tue Aug 04 21:22:26 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
@Knieriemen thx Greg!,Tue Aug 04 17:26:01 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
@toddcadley thanks Todd :),Tue Aug 04 17:04:11 +0000 2015,en,0,False,0,False,,brad oneill,bradoneill
"Nice @TechValidate mention in this ""cool tools"" piece in Entrepreneur @entmagazine http://t.co/MaLB8KQN1D",Tue May 26 18:28:00 +0000 2015,en,0,False,3,False,,brad oneill,bradoneill
"RT @hertelalex: The iPod's top design feature might have been its white earbuds, baking promo right into the product. Nissan, why is there …",Fri May 22 17:07:25 +0000 2015,en,1,False,0,False,,brad oneill,bradoneill
Sincere condolences to all our friends at @SurveyMonkey on their loss. Dave is simply an amazing human being. Irreplaceable.,Sat May 02 22:51:36 +0000 2015,en,0,False,0,False,,brad oneill,bradoneill
"RT @shervin: ""Do not despise these small beginnings..."" https://t.co/RfL41KZCM8",Thu Apr 30 04:53:40 +0000 2015,en,10,False,0,False,,brad oneill,bradoneill
@craigmod @gmc was more literal back then ;),Mon Apr 27 06:15:49 +0000 2015,en,0,False,4,False,,brad oneill,bradoneill
@steveisaacs Congrats,Sun Mar 29 06:54:25 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
RT @TheEconomist: A world of microdrones really is on the way. But they will need to be able to fly unsupervised http://t.co/tL2CEcjdya htt…,Sun Mar 29 06:49:14 +0000 2015,en,213,False,0,False,,brad oneill,bradoneill
@jsneedles I was 100. Woot,Sun Mar 29 05:46:47 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
Four Patents That Changed Enterprise Storage  @TechCrunch http://t.co/jhey5a8AkV,Mon Mar 23 18:32:13 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
“Don’t overestimate the downside of risk” by @Jason https://t.co/fFDxDyWHuL,Mon Jan 12 05:06:27 +0000 2015,en,0,False,2,False,,brad oneill,bradoneill
3 Secrets from a Chess Master Who Built One of the Fastest-Growing Companies in the U.S. http://t.co/Te2BbJbJM7,Sat Jan 10 13:30:09 +0000 2015,en,0,False,2,False,,brad oneill,bradoneill
“Could This Man Hold the Secret to Human Regeneration?” by @ReadMatter https://t.co/i9D6d32x1E,Wed Jan 07 03:25:36 +0000 2015,en,0,False,1,False,,brad oneill,bradoneill
@JoanHawxhurst @kcollege thanks Joan :) first hashtag usage: #k2tb,Fri Oct 31 16:03:59 +0000 2014,en,0,False,3,False,,brad oneill,bradoneill
$292mm in VC funding to content marketing startups. https://t.co/pbF0IiUwjM,Fri Oct 10 07:34:31 +0000 2014,en,1,False,15,False,,brad oneill,bradoneill
