Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @SpaceX: The 1st stage of the Falcon 9 just landed on our Of Course I Still Love You droneship. Dragon in good orbit https://t.co/SYyUCD…,Fri Apr 08 21:26:45 +0000 2016,en,18639,False,0,False,,Branden Spikes,BrandenSpikes
RT @elonmusk: Most telling is that the SpaceX Propulsion CTO switched from driving a Porsche 911 Turbo S to a Model X,Wed Apr 06 07:35:04 +0000 2016,en,838,False,0,False,,Branden Spikes,BrandenSpikes
Adobe patches negative day exploit. https://t.co/CY3hJELZUW,Fri Mar 11 18:55:48 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
@ABCecurity @SpikesSecurity Saw the email in question.  We'll just have to agree to disagree.,Thu Mar 10 01:27:44 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
RT @kevinmitnick: Headed to Alcatraz. Reminds of old times ;-),Fri Mar 04 03:02:13 +0000 2016,en,39,False,0,False,,Branden Spikes,BrandenSpikes
Excited for another SpaceX sea landing attempt  https://t.co/gVGYOtoKCG,Wed Feb 24 22:57:42 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
"Looks like those SPE attackers are still at large, and demonstrate quite an impressive arsenal. https://t.co/AXEk2R8Z0E",Wed Feb 24 19:40:57 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
"In support of the web going full SSL, I suggest it will impede phishing.  https://t.co/zcECebifFd https://t.co/3HR247givb",Wed Feb 24 00:01:16 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
A fresh perspective on the Apple vs. DoJ/FBI debate.  https://t.co/Uo9qccGbyh,Mon Feb 22 19:32:40 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
https://t.co/nQpX2dZIu9 US justice system really likes the back door.,Wed Feb 17 17:28:10 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
"RT @mdowd: If the FBI want to get into an iPhone w/o users permission, they should ask someone who's done it before, like U2",Wed Feb 17 17:23:39 +0000 2016,en,7536,False,0,False,,Branden Spikes,BrandenSpikes
RT @jeremiahg: A company with $200 billion in cash taking the side of people’s security and privacy. That’s something to think about.,Wed Feb 17 17:22:00 +0000 2016,en,167,False,0,False,,Branden Spikes,BrandenSpikes
"Ouch, this is gonna hurt. https://t.co/AshYtUatK6",Tue Feb 16 20:01:50 +0000 2016,en,0,False,0,False,,Branden Spikes,BrandenSpikes
Faith in humanity challenged.  #tellpuckno https://t.co/NaoAT75Zne,Fri Feb 12 23:07:03 +0000 2016,en,1,False,0,False,,Branden Spikes,BrandenSpikes
"Dude, good aim @elonmusk!   https://t.co/SWinUwIewm",Tue Dec 22 18:36:59 +0000 2015,en,1,False,4,False,,Branden Spikes,BrandenSpikes
"@JC_SoCal @SpikesSecurity Appreciate the feedback and your frustration.  Faught spam for over a decade, and will fix our process.",Mon Dec 21 20:30:37 +0000 2015,en,0,False,0,False,,Branden Spikes,BrandenSpikes
"@JC_SoCal @SpikesSecurity Sorry man, sometimes you have to break a couple eggs.  It helps that what we're pioneering is so important.",Mon Dec 21 19:13:23 +0000 2015,en,0,False,0,False,,Branden Spikes,BrandenSpikes
https://t.co/ZKERA779UD Browsers are really becoming quite the pestilence.,Thu Nov 19 01:36:24 +0000 2015,en,1,False,0,False,,Branden Spikes,BrandenSpikes
