Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @sevenly: Join us for @wayfarehq’s first holiday pop-up shop on December 5th in Costa Mesa! Come shop &amp; support great causes! https://t.…,Sun Nov 29 18:04:21 +0000 2015,en,1,False,0,False,,Brandon Arbini,brandonarbini
"RT @454Creative: We're sponsoring @creativecollab_ Nov. 5 @ROCKHARBOR w/ keynote @jefftanner + Q&amp;A w/ @brandonarbini of @wayfarehq 
https:/…",Thu Oct 29 03:40:54 +0000 2015,en,2,False,0,False,,Brandon Arbini,brandonarbini
Foster Care // What You Can Do by Jill Arbini http://t.co/y0CiAFTxkj,Tue May 26 16:16:28 +0000 2015,en,0,False,0,False,,Brandon Arbini,brandonarbini
@heff @johnriske @Brightcove @zencoderinc That is the best thing. Ever!,Fri May 15 20:55:44 +0000 2015,en,0,False,1,False,,Brandon Arbini,brandonarbini
It's so fun to see all of the cool stuff happening @wayfarehq. @jillarbini and Caitlin are doing such a good job! http://t.co/qN3bk5I066,Fri Apr 03 17:23:02 +0000 2015,en,1,False,1,False,,Brandon Arbini,brandonarbini
"RT @jeremycowart: My phone auto-corrected ""awesome"" into ""queso"" tonight. It turns out that Apple really IS brilliant.",Thu Mar 19 15:48:47 +0000 2015,en,14,False,0,False,,Brandon Arbini,brandonarbini
"RT @BrendaDSpringer: As Americans ""we need to learn our own story to be better and do better."" Inspiring words about race from @soledadobri…",Fri Feb 27 20:15:23 +0000 2015,en,2,False,0,False,,Brandon Arbini,brandonarbini
RT @keturahkennedy: Wedding speeches should never be more than 3 minutes.,Sun Feb 22 01:37:24 +0000 2015,en,1,False,0,False,,Brandon Arbini,brandonarbini
Another great @CreativeMarket bundle. There are some awesome typefaces in this one. http://t.co/dl2g6eSS6H,Tue Feb 10 17:04:33 +0000 2015,en,0,False,2,False,,Brandon Arbini,brandonarbini
Welcome to the Journey — Wayfare http://t.co/tJ1FXtRpHj via @wayfarehq,Sun Jan 11 06:36:14 +0000 2015,en,0,False,0,False,,Brandon Arbini,brandonarbini
RT @mattdollinger: @JaySherer Great speaking with you today about @helloagentapp - great potential here and keep up the great work!,Mon Sep 29 21:22:32 +0000 2014,en,1,False,0,False,,Brandon Arbini,brandonarbini
"RT @wayfarehq: More furniture, finish, and fixture selections underway for future coworking world changers! http://t.co/yg8x61vZIG",Mon Sep 29 21:19:18 +0000 2014,en,2,False,0,False,,Brandon Arbini,brandonarbini
RT @pmarca: My goal is not to fail fast. My goal is to succeed over the long run. They are not the same thing.,Sat Sep 13 01:45:43 +0000 2014,en,1002,False,0,False,,Brandon Arbini,brandonarbini
"RT @HelloAgentPro: Breaking #RealEstate News: 
Ohio Real Estate Agent Working to Acquire Zillow and Trulia.
http://t.co/GdSUAiMJbi http://t…",Fri Sep 12 21:25:30 +0000 2014,en,4,False,0,False,,Brandon Arbini,brandonarbini
@nokapixel that makes 2 of us.,Tue Sep 09 03:16:46 +0000 2014,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-117.93077494, 33.67057282]}",Brandon Arbini,brandonarbini
"RT @cloud66: Awesome Cloud 66 customers:
@helloagentapp: home search organization tool, boosts productivity for agents and buyers http://t.…",Sat Aug 23 00:49:45 +0000 2014,en,3,False,0,False,,Brandon Arbini,brandonarbini
RT @Mattermark: John Lilly (@johnolilly) belives the software revolution has barely begun – The Mattermark Daily http://t.co/atf2qKU0JR,Thu Aug 21 03:50:00 +0000 2014,en,6,False,0,False,,Brandon Arbini,brandonarbini
RT @helloagentapp: Our new public website is live: http://t.co/09G1xfY7T2. Share it with a realtor! http://t.co/DfHrZksAqb #realestate #rea…,Tue Aug 19 22:32:06 +0000 2014,en,4,False,0,False,,Brandon Arbini,brandonarbini
