Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @mysticflavor: Focus is mindfulness. https://t.co/Kr9PSZL2bj,Thu Dec 10 23:37:24 +0000 2015,en,2,False,0,False,,carnet williams,carnet
@rob_jonas @gospright Oh yum.  One of my favorites.  You should try the Butter Chicken next.  Definite crowd pleaser https://t.co/hturCKD1St,Mon Oct 26 22:08:09 +0000 2015,en,0,False,2,False,,carnet williams,carnet
@gospright @rob_jonas So intrigued.. what did you cook?  How was it?,Mon Oct 26 22:04:28 +0000 2015,en,0,False,0,False,,carnet williams,carnet
@trustedid website is down for me.  Anyone else?,Tue Oct 20 17:21:59 +0000 2015,en,0,False,0,False,,carnet williams,carnet
"RT @heatherdcRD: This is why @gospright is important, and we're putting it all out there: https://t.co/ruU1DAAOKw by @mollygoodson / @Medium",Fri Sep 18 13:57:35 +0000 2015,en,1,False,0,False,,carnet williams,carnet
RT @gospright: Five Vehicles for Your Morning Eggs http://t.co/u03r7GDkv6 http://t.co/5vtfOoRlZU,Fri Sep 18 13:47:22 +0000 2015,en,2,False,0,False,,carnet williams,carnet
"RT @gospright: The men of @gospright have joined the crew of @lululemon addicts. #lululemon #sprightlife 
http://t.co/gHkQR551l4 http://t.c…",Tue Sep 15 23:30:36 +0000 2015,en,3,False,0,False,,carnet williams,carnet
"RT @mollygoodson: Playing with @gospright podcasting. Danny, me, @heatherdcRD breaking it all down on #DrinkingWithDanny https://t.co/tKZwi…",Tue Sep 15 23:29:56 +0000 2015,en,3,False,0,False,,carnet williams,carnet
RT @mollygoodson: An approximation of me &amp; @carnet trying to stretch each other's legs/hips at #CrossFit this am. #CrossFitGIFaDay http://t…,Tue Aug 11 17:56:01 +0000 2015,en,1,False,0,False,,carnet williams,carnet
@TheSlackPost can't seem to revoke access to our slack channel?  Read the FAQ.  Am I missing something?,Fri Jul 31 00:12:17 +0000 2015,en,0,False,0,False,,carnet williams,carnet
Check out @gospright article on Yahoo's health page.  How an American Ninja Trains.  https://t.co/ZYmxyu3lvR,Wed Jul 01 21:01:01 +0000 2015,en,0,False,0,False,,carnet williams,carnet
RT @gospright: Why Composting Food Is The Best Thing You Can Do On Earth Day http://t.co/AxgRKOwc3u http://t.co/sgxCSIrn37,Wed Apr 22 19:33:43 +0000 2015,en,2,False,0,False,,carnet williams,carnet
RT @gospright: This Viral Video Captures Everything We Feel About Body Image http://t.co/Yat0aTBYNG http://t.co/8lUHxZkASV,Wed Apr 22 19:33:25 +0000 2015,en,1,False,0,False,,carnet williams,carnet
