Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@scottbelsky Excited to see new keynote materials this week!,Wed May 04 19:36:53 +0000 2016,en,0,False,1,False,,Clément Faydi,cfaydi
"PRINCE // Design of ""The Symbol"" // HDMG on @Behance https://t.co/YgYAV9lqEU",Wed May 04 16:19:08 +0000 2016,en,2,False,0,False,,Clément Faydi,cfaydi
“The Man Behind ‘The Symbol:’ Minneapolis Creative Talks About Collaborating With Prince” by @Behance https://t.co/dD7bSxEvjx,Wed May 04 16:18:23 +0000 2016,en,0,False,0,False,,Clément Faydi,cfaydi
@BjornBauerArt So glad to hear! Awesome work btw :),Tue May 03 21:50:34 +0000 2016,en,0,False,0,False,,Clément Faydi,cfaydi
@mari18 congrats on designing that sweet startup logo 😜,Mon May 02 11:05:02 +0000 2016,en,0,False,3,False,,Clément Faydi,cfaydi
"@milesfitzgerald @Citymapper It's a nightmare to know where to park, whether you rent or buy… &amp; all the parking apps out there are terrible!",Fri Apr 29 16:00:16 +0000 2016,en,0,False,1,False,,Clément Faydi,cfaydi
"Would be awesome to have parking information in @Citymapper (alternate side for street parking, garage locations, etc)",Fri Apr 29 15:28:34 +0000 2016,en,0,False,0,False,,Clément Faydi,cfaydi
Great piece on @AdobePortfolio https://t.co/8kZ0R8NmWj,Mon Apr 25 13:42:23 +0000 2016,en,0,False,1,False,,Clément Faydi,cfaydi
@grapheine Merci :),Sat Apr 23 14:49:56 +0000 2016,fr,0,False,0,False,,Clément Faydi,cfaydi
Stopped by the @Adobe Times Square office yesterday. Crazy view from the 43rd floor 👀 https://t.co/P2QalOpbom,Sat Apr 23 13:24:16 +0000 2016,en,0,False,11,False,,Clément Faydi,cfaydi
@jacobbrody @Behance yup,Wed Apr 20 20:16:29 +0000 2016,und,0,False,0,False,,Clément Faydi,cfaydi
Ammunition Group on Behance https://t.co/vOItJh6M8D via @Behance,Wed Apr 20 20:16:18 +0000 2016,en,0,False,1,False,,Clément Faydi,cfaydi
Behance round 2. First day back at the office! https://t.co/U1EqGKqtde,Wed Apr 20 17:59:33 +0000 2016,en,0,False,11,False,,Clément Faydi,cfaydi
"@dburka Manhattan: Upper West Side, Battery Park City, West Tribeca. Brooklyn: DUMBO, Brooklyn Heights, Cobble Hill, Fort Greene.",Mon Apr 18 12:58:11 +0000 2016,en,0,False,2,False,,Clément Faydi,cfaydi
@andrewcouldwell @glerenmeneghin but yeah the credit system is a giant game. Once you find the right options you can have great benefit 👍🏻,Fri Apr 15 23:41:15 +0000 2016,en,0,False,1,False,,Clément Faydi,cfaydi
