Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @stayful: Sorry Jon Snow, summer is coming. @dreamhotels NYC knows what's up. #dreambeachnyc https://t.co/hDCKDpDjHO",Wed May 04 02:26:32 +0000 2016,en,4,False,0,False,,Cheryl Rosner,cherylrosner
Going to #nyc? you may miss the #MetGala but on Thursday you can still toast the cool clothes w free 🍷 https://t.co/55yOQHChBz,Tue May 03 02:51:15 +0000 2016,en,0,False,0,False,,Cheryl Rosner,cherylrosner
Revisiting What I Know About Network Effects &amp; Startups - Innovation Footprints https://t.co/gZqZSs8G4q via @GrowthHackers,Tue May 03 02:45:38 +0000 2016,en,0,False,1,False,,Cheryl Rosner,cherylrosner
"A Conference Call in Real Life https://t.co/JvzXYyxdii pretty funny &amp; true, enjoy! https://t.co/Fin399NHRT",Mon May 02 19:14:13 +0000 2016,en,0,False,0,False,,Cheryl Rosner,cherylrosner
"Famous quotes, the way a woman would have to say them during a meeting @washingtonpost sadly funny &amp; still true https://t.co/Qe1l6KXUo7",Mon May 02 04:36:13 +0000 2016,en,0,False,0,False,,Cheryl Rosner,cherylrosner
RT @MurrayNewlands: You are far too smart to be the only thing standing in your way. #Smartypants #Inspiration #Motivation https://t.co/0vh…,Mon May 02 01:21:51 +0000 2016,en,85,False,0,False,,Cheryl Rosner,cherylrosner
This Is The Most Fun Way To Improve Every Part Of Your Life https://t.co/sYUW8bDTim via @bakadesuyo another grt post!,Mon May 02 01:18:28 +0000 2016,en,0,False,1,False,,Cheryl Rosner,cherylrosner
"Going to #Charleston? The Inn At Middleton Place, great independent, boutique hotel @stayful https://t.co/E48AJzuWVc https://t.co/X0XuSSvD5O",Mon May 02 00:11:02 +0000 2016,en,3,False,2,False,,Cheryl Rosner,cherylrosner
Beautiful day at #SFArtMarket https://t.co/nPAR4vDYWh,Sun May 01 01:11:55 +0000 2016,en,0,False,0,False,,Cheryl Rosner,cherylrosner
Going to #NYC? Night Hotel Times Square a New York City Boutique Hotel By Stayful https://t.co/0uR2VHG8wK,Sat Apr 30 17:18:14 +0000 2016,en,1,False,1,False,,Cheryl Rosner,cherylrosner
Art Market San Francisco | Fort Mason Center looking forward to this! #sf  https://t.co/jYJwTDgu2E,Sat Apr 30 07:11:20 +0000 2016,en,1,False,4,False,,Cheryl Rosner,cherylrosner
RT @cj_wentz: My first #businesstrip as an #NFL QB! RT for a chance to win tickets to the @Eagles home opener https://t.co/1seNOhCcFk,Sat Apr 30 03:47:45 +0000 2016,en,14685,False,0,False,,Cheryl Rosner,cherylrosner
