Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@EddiecAuthor book is released today http://t.co/j0u3HTCmVE,Mon Jun 01 17:53:20 +0000 2015,en,1,False,1,False,,darrenconte,darrenconte
@EddiecAuthor is my doorman and very talented writer.  Check it out! https://t.co/Kp8RccSGyr,Fri May 01 17:29:04 +0000 2015,en,0,False,0,False,,darrenconte,darrenconte
"My doorman @EddiecAuthor is a talented writer.  Books, blogs, shorts.  His latest #HisPanic - the early years coming May/June",Wed Apr 08 11:37:52 +0000 2015,en,1,False,1,False,,darrenconte,darrenconte
my wife and i love #LongIslandMedium would like @Theresacaputo to help connect to loved ones that are in our house that we can't see. @TLC,Mon Mar 10 02:14:00 +0000 2014,en,0,False,0,False,,darrenconte,darrenconte
"Pet peeve #12...in sake bar watching #ncaa on 50"" hi-def TV not on HD channel. What?",Sun Mar 17 01:01:15 +0000 2013,en,0,False,0,False,,darrenconte,darrenconte
"#Beyonce was so hot, she blew a fuse at #Superbowl",Mon Feb 04 01:49:29 +0000 2013,en,0,False,0,False,,darrenconte,darrenconte
Alot is broken in this country. Gun control needs the most fixing. http://t.co/9ocJ2RVm,Sat Dec 15 00:13:35 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Sick over #Newtown.  I grew up in CT.  I know these families. Stricter gun control petition http://t.co/n2YeQyJD http://t.co/JsV2cxG3,Sat Dec 15 00:08:49 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
"As a CT native, my deepest sympathy for #Newtown #PrayForNewtown #SandyHook you are in our hearts",Fri Dec 14 21:10:59 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
@Siftsort office lobby looking cheerful http://t.co/QbMQaMu0,Tue Nov 27 20:39:35 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
@gailblanke sits down with @siftsort CEO to talk about Hurricane #sandy  http://t.co/Z11PUoCc,Tue Nov 20 22:15:38 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Getting the house warm...yeah baby. http://t.co/ePJ9lPhV,Fri Nov 16 20:32:30 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
All you need is the passion to teach and the willingness to learn. http://t.co/G366WqJw,Tue Nov 13 19:38:38 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
#IVOTED http://t.co/BZHk8XSA,Wed Nov 07 01:47:16 +0000 2012,und,0,False,0,False,,darrenconte,darrenconte
"If you can, bring gas to those how need it..it will make them smile #Sandy. @Siftsort CEO http://t.co/3NNggaRc",Mon Nov 05 02:02:24 +0000 2012,en,1,False,0,False,,darrenconte,darrenconte
"RT @MikeBloomberg: More than 1,000 NYC Service volunteers are involved in recovery efforts. If you want to help, visit http://t.co/UhIfv ...",Mon Nov 05 01:46:07 +0000 2012,en,336,False,0,False,,darrenconte,darrenconte
Midnight craze for gas in NYC #Sandy http://t.co/ecRu4HCE,Fri Nov 02 04:37:44 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Trying to help friends with generators but can't find gas..only diesel. Ughh http://t.co/cGK9qzxb,Thu Nov 01 18:42:18 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Delivering gas to friends in NJ http://t.co/KxH0Q3If,Thu Nov 01 16:13:32 +0000 2012,en,1,False,0,False,,darrenconte,darrenconte
Wind is crazy... #sandy is really starting,Mon Oct 29 22:27:04 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
#Sandy is here....,Mon Oct 29 22:25:33 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
"As of 5:34AM EST, BoA/ML goes live with private label http://t.co/mFuj0gD7 platform",Sat Aug 18 11:41:02 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
On Launchpad...new CV app swing about to happen with baml teams,Sat Aug 18 08:35:21 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Thanks http://t.co/mFuj0gD7 Team,Fri Aug 17 23:44:33 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
"After a long 8 mos, getting amp'd to Go Live with my new client at 5AM. WHooHOOo",Fri Aug 17 23:42:53 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Today should be national hoodie day.,Fri May 18 14:16:04 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Watching Facebook make history.,Fri May 18 13:34:33 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Towed! Ughh.,Sat Mar 31 18:52:57 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
Back in biz!,Sat Mar 24 18:01:57 +0000 2012,en,0,False,0,False,,darrenconte,darrenconte
