Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Kiwi Crate is hiring! Developers, designers, marketers. Check out our jobs page http://t.co/OVCcFkV3t0",Thu Apr 04 18:59:10 +0000 2013,en,0,False,4,False,,David Li,davidli
Power outage in Cupertino?,Thu Jan 17 05:21:04 +0000 2013,it,0,False,0,False,,David Li,davidli
"Win $500 Plum District shopping spree! To enter, follow both @kiwicrate & @plumdistrict & retweet #sweepstakes http://t.co/7GgH3tgF",Wed Apr 18 02:18:18 +0000 2012,en,2,False,0,False,,David Li,davidli
Win $500 to Pottery Barn Kids or 6m subscription to Kiwi Crate! Thanks @kiwicrate. #sweepstakes Please Retweet! http://t.co/5BclRXVX,Wed Jan 25 06:04:00 +0000 2012,en,1,False,0,False,,David Li,davidli
Anyone taking piano lessons or has kids taking piano lessons? If so I'd love to pick your brain on something. Thanks!,Sat May 28 00:36:37 +0000 2011,en,0,False,0,False,,David Li,davidli
Specialty's Bakery & Peet's Coffee: Great cookies. http://bit.ly/l7wDjC. #crumbs,Sat Apr 30 17:05:00 +0000 2011,en,1,False,0,False,,David Li,davidli
Sylvan Park: Pick up ultimate game. http://bit.ly/iSZRmf. #crumbs,Thu Apr 28 22:00:43 +0000 2011,en,1,False,0,False,,David Li,davidli
Stanford GSB: New Stanford GSB. http://bit.ly/lo4gip. #crumbs,Wed Apr 27 23:05:29 +0000 2011,de,0,False,0,False,,David Li,davidli
Free UserTesting site test courtesy of @AppSumo! Get yours here: http://appsumo.com/tweet/?r=WS49,Sat Apr 02 03:32:56 +0000 2011,en,0,False,1,False,,David Li,davidli
"Need free legal advice? Google Ventures backs LawPivot, a legal Q&A service for startups http://bit.ly/gdLtqN",Fri Jan 21 07:03:05 +0000 2011,en,0,False,0,False,,David Li,davidli
Just bought an awesome deal on LivingSocial today - 50% off Amazon gift card! http://bit.ly/gHkA00,Wed Jan 19 17:38:57 +0000 2011,en,0,False,0,False,,David Li,davidli
"Stanford Football fans, get Washington State (10/23) tix for only $17 each on Groupon. This is the Home Coming game FYI http://bit.ly/9DCV66",Mon Oct 11 17:18:33 +0000 2010,en,0,False,0,False,,David Li,davidli
