Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Humanities teachers: tell stories with Ready, the open-ended software creator! Lesson: https://t.co/T14XtanQGK #edchat #steam #cs4all",Fri Apr 29 17:53:25 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
Make interactive model of nervous system in DIY kids coding app Ready? WOW! https://t.co/6kQr8NGI3P h/t @Technobiologist #DIY #STEM,Thu Apr 21 02:43:53 +0000 2016,en,0,False,1,False,,David S. Bennahum,dbennahum
Make interactive model of nervous system in DIY kids coding app Ready? WOW! https://t.co/6kQr8NGI3P #edchat #steam #cs10k,Thu Apr 21 02:43:00 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
RT @ADSH_11: See how to use https://t.co/27etXPsg3j in live webinar. @dbennahum #coding #ukcomped #compiting https://t.co/WVUyhFRt0m,Sun Apr 17 03:32:43 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
RT @tmsjen: Enjoyed the https://t.co/PmJNNiaVQP sneak peek w/ @dbennahum. Thanks for the opportunity @reneehobbs @MedEduLab,Tue Apr 12 01:23:15 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
RT @reneehobbs: Thanks @rushkoff for bringing @dbennahum to the @MedEduLab https://t.co/ctbliDBrTw,Tue Apr 12 01:19:24 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
RT @reneehobbs: Teachers who are non-CS experts can help teach computational thinking: Ready is ideal for post-Scratch learning @MedEduLab…,Tue Apr 12 01:03:05 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
"RT @reneehobbs: The progressive moral vision at the heart of coding is rooted in becoming a creator, not just a consumer of digital media,…",Tue Apr 12 01:02:54 +0000 2016,en,4,False,0,False,,David S. Bennahum,dbennahum
RT @vanessadomine: Stop Teaching Programming &amp; Start Teaching Computational Thought https://t.co/gWKzsEge5U #mediaLiteracy @dbennahum @Proj…,Tue Apr 12 01:02:27 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
At 8pm EST join live Webinar hosted by @reneehobbs. Talking Ready kids coding app. Free &amp; Fun! #edchat #STEAM https://t.co/rdpK7qwEjV,Mon Apr 11 23:44:36 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
@uniboxapp loving your OS X app for years and iOS.  Nagging iOS issue: sent messages show up as new unread. Distracting. Help?,Sun Mar 27 18:18:21 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
"@jason wanna make Flappy Bird? Now you can, with Ready kids coding app! iPad Mac PC: https://t.co/CqGYTKbqo5 #gamedev",Thu Mar 24 22:12:42 +0000 2016,en,4,False,1,False,,David S. Bennahum,dbennahum
Make Flappy Bird using kids coding app Ready! PC Mac iPad! https://t.co/CqGYTKbqo5 #edchat #dyi #STEAM,Thu Mar 24 22:11:17 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
@timbdesignmpls thanks of the like! https://t.co/0VHoWwRNXP,Tue Mar 22 01:46:31 +0000 2016,en,0,False,1,False,,David S. Bennahum,dbennahum
@jason we're now live on iPad: https://t.co/0VHoWwRNXP. Now 3 platforms w PC Mac. Best kids coding app. Try it!,Tue Mar 22 01:45:20 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
Ready kids coding app now live for iPad! Get: https://t.co/0VHoWwRNXP #edchat #steam #diy Mac &amp; PC too! Built w @unity3d &amp; #love.,Tue Mar 22 01:44:05 +0000 2016,en,0,False,2,False,,David S. Bennahum,dbennahum
@jason build your own spacewar game this w/e using Ready kids coding app! https://t.co/YFBBA76w2t  #STEAM #DIY,Fri Mar 18 23:17:13 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
#edchat pals: build your own spacewar game this w/e using Ready kids coding app! https://t.co/YFBBA76w2t  #STEAM,Fri Mar 18 23:15:42 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
@Edutopia check out this #DIY game built w Ready kids coding app. Mindblowingly pro. https://t.co/5ooR3MYXvy  #STEAM,Fri Mar 11 18:09:17 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
@Edudemic check out this #DIY game built w Ready kids coding app. Mindblowingly pro. https://t.co/5ooR3MYXvy #STEAM,Fri Mar 11 18:07:42 +0000 2016,en,0,False,0,False,,David S. Bennahum,dbennahum
Kid #DIY game built on Ready. Visual coding. Amazing! Powered by @unity3d https://t.co/5ooR3MYXvy #edchat #STEAM,Fri Mar 11 17:32:36 +0000 2016,en,1,False,0,False,,David S. Bennahum,dbennahum
@Jason thanks man. Nothing is easy. And the hard things are best! Now let's inspire the next generation to code! #edchat,Fri Mar 11 01:22:15 +0000 2016,en,0,False,2,False,,David S. Bennahum,dbennahum
RT @Jason: Huge win for my old pal @dbennahum! Check it out peeps!  https://t.co/pkK3Dacw7e,Fri Mar 11 01:07:33 +0000 2016,en,3,False,0,False,,David S. Bennahum,dbennahum
@unity3d thx4 tweet love. Let's teach kids to code together! Ready + @unity3d = awesome kids https://t.co/IQN2x0PpNs #edchat,Thu Mar 10 23:12:18 +0000 2016,en,0,False,1,False,,David S. Bennahum,dbennahum
Yo @Jason remember Kandu? It's now best kids coding app Ready. Mac &amp; PC; iPad next. Runs on @unity3d boom! https://t.co/IQN2x0PpNs,Thu Mar 10 23:07:17 +0000 2016,en,0,False,5,False,,David S. Bennahum,dbennahum
Submitted kids coding app Ready to iPad store today. On PC and Mac. On @unity3d engine. Teachers getready.io #edchat,Thu Mar 10 22:53:43 +0000 2016,en,0,False,4,False,,David S. Bennahum,dbennahum
