Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Personal submarine brings ocean exploration to all. https://t.co/E389ddHr3u,Wed Apr 27 17:07:51 +0000 2016,en,0,False,0,False,,Demian Sellfors,demian_sellfors
"RT @AdviceToWriters: Any word you have to hunt for in a thesaurus is the wrong word. There are no exceptions to this rule.
STEPHEN KING htt…",Sat Apr 23 19:09:32 +0000 2016,en,268,False,0,False,,Demian Sellfors,demian_sellfors
RT @MayorOfLA: City Hall will turn purple tonight at 10PM in memory of Prince. #PrinceRIP https://t.co/ouEIB4TWEk,Fri Apr 22 03:19:40 +0000 2016,en,101,False,0,False,,Demian Sellfors,demian_sellfors
"Fastlane. Book Uber from your menubar, fast and simple. https://t.co/mlZ0agwdSR",Sat Apr 16 05:31:50 +0000 2016,en,0,False,1,False,,Demian Sellfors,demian_sellfors
"RT @patagonia: 20 years of looking ""unprofessional"" in a classic pullover. More rad #WornWear stories at: https://t.co/Fk86dapL5Y https://t…",Fri Apr 15 16:55:48 +0000 2016,en,15,False,0,False,,Demian Sellfors,demian_sellfors
RT @thereaIbanksy: https://t.co/lEbYYuJdBs,Fri Mar 11 02:20:13 +0000 2016,und,3811,False,0,False,,Demian Sellfors,demian_sellfors
There is hope for email after all. Seeing massive reductions in inbox processing time thanks to @uniboxapp. Just needs AppleScript support.,Wed Mar 02 18:08:47 +0000 2016,en,0,False,2,False,,Demian Sellfors,demian_sellfors
RT @AmyLeaman: .@InVisionApp has mastered the email newsletter.,Wed Mar 02 16:38:34 +0000 2016,en,1,False,0,False,,Demian Sellfors,demian_sellfors
The best technique for getting in control and creating space. https://t.co/6yc2FNVcTx,Wed Mar 02 06:05:05 +0000 2016,en,0,False,2,False,,Demian Sellfors,demian_sellfors
Surprised? https://t.co/f2j65OpAYI,Tue Feb 23 18:01:44 +0000 2016,en,0,False,1,False,,Demian Sellfors,demian_sellfors
"RT @UberFacts: A hound dog named Ludivine snuck out of her owner’s yard in Elkmont, Alabama and joined the town’s half marathon—she got 7th…",Fri Jan 29 23:41:15 +0000 2016,en,259,False,0,False,,Demian Sellfors,demian_sellfors
"RT @herbgreenberg: For all of the things that have been “disrupted,” noisy gas-powered leaf blowers aren’t among them. WHY NOT???!!!",Sat Nov 21 04:41:15 +0000 2015,en,46,False,0,False,,Demian Sellfors,demian_sellfors
"RT @SciencePorn: Star trail, taken from ISS 🌌✨🔭 https://t.co/pmEgTa9RqN",Sat Nov 21 04:29:59 +0000 2015,en,1401,False,0,False,,Demian Sellfors,demian_sellfors
Design lies = https://t.co/RHj6MssL4Y,Thu Nov 05 04:23:47 +0000 2015,en,0,False,0,False,,Demian Sellfors,demian_sellfors
RT @bilalfarooqui: Kids can now get high paying tech jobs out of high school just like they could get high paying manufacturing jobs out of…,Thu Nov 05 03:24:19 +0000 2015,en,44,False,0,False,,Demian Sellfors,demian_sellfors
RT @SciencePorn: Hubble Space Telescope captures a brief but beautiful phase late in the life of a dying star https://t.co/yPYWGQ7Bqw,Wed Nov 04 00:59:57 +0000 2015,en,1504,False,0,False,,Demian Sellfors,demian_sellfors
"RT @dasjoshua: While you debated whether the glass was empty or full, I sold the glass. #Entrepreneurship",Thu Oct 22 17:16:18 +0000 2015,en,18,False,0,False,,Demian Sellfors,demian_sellfors
Whoo. It’s @keyboardmaestro 7 upgrade day!,Wed Jul 22 20:17:21 +0000 2015,en,0,False,1,False,,Demian Sellfors,demian_sellfors
"RT @Summit: The Mirror Gallery is open on @powdermountain today, featuring artist Bridgette Meinhold’s ""A Layered Approach"". http://t.co/5C…",Mon Jul 13 18:09:09 +0000 2015,en,2,False,0,False,,Demian Sellfors,demian_sellfors
@bassdrive Locked.,Sat Jun 27 04:01:55 +0000 2015,en,0,False,0,False,,Demian Sellfors,demian_sellfors
RT @joshuatopolsky: Let's ban guns real quick while everyone is in a good mood,Fri Jun 26 15:11:01 +0000 2015,en,3082,False,0,False,,Demian Sellfors,demian_sellfors
"RT @cspan: ""Running of the Interns"" outside the Supreme Court. #SCOTUS https://t.co/bPjNKf2Sd9",Fri Jun 26 15:04:26 +0000 2015,en,1484,False,0,False,,Demian Sellfors,demian_sellfors
"""Simplicity is so alluring that many of us find ourselves in the process of architecting lies."" https://t.co/R9hRsa5eDn",Thu May 07 16:18:54 +0000 2015,en,0,False,1,False,,Demian Sellfors,demian_sellfors
"""If you can't explain it simply... you don't understand it well enough."" - Albert Einstein",Thu Mar 12 04:13:23 +0000 2015,en,15,False,12,False,,Demian Sellfors,demian_sellfors
Congrats @citizenfour @ggreenwald Thank you for your work. Thank you Mr. Edward Snowden.,Mon Feb 23 03:55:36 +0000 2015,en,0,False,2,False,,Demian Sellfors,demian_sellfors
.@mediatemple http://t.co/ckc2NOOieU,Wed Jan 28 11:45:25 +0000 2015,und,0,False,3,False,,Demian Sellfors,demian_sellfors
"RT @jaltucher: Great podcast with the one and only Seth Godin. Released today on ""The James Altucher Show"" https://t.co/3CKVEdcgX9",Wed Jan 28 02:00:26 +0000 2015,en,36,False,0,False,,Demian Sellfors,demian_sellfors
@bassdrive Locked.,Thu Dec 04 06:30:37 +0000 2014,en,0,False,0,False,,Demian Sellfors,demian_sellfors
RT @verge: .@foofighters' American music history lesson Sonic Highways premieres tonight on @HBO http://t.co/q37gd2uPf3 http://t.co/Sp1pUIH…,Sat Oct 18 01:50:23 +0000 2014,en,80,False,0,False,,Demian Sellfors,demian_sellfors
Solid advice. Build Space For Your Creative Process. http://t.co/5zT6ZNSSAW Thx @GregHuntoon,Sat Jun 21 01:46:06 +0000 2014,en,1,False,3,False,"{'type': 'Point', 'coordinates': [-118.45811027, 33.9838581]}",Demian Sellfors,demian_sellfors
"RT @Future_Insights: ""A truthful tone of voice cuts through sales patter, and is an amazing thing to now adopt."" -@sazzy #filive",Wed Jun 18 19:07:13 +0000 2014,en,3,False,0,False,,Demian Sellfors,demian_sellfors
