Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
If anyone sees this please call my cell. 3106610309,Wed Oct 29 00:27:25 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"@JohnKerry please call me asap, need some help",Tue Oct 28 23:58:17 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
@StateDept please call me asap,Tue Oct 28 23:57:20 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"@headhntr hi morgan, would love to chat about the projects you're working on!  Please DM me :)",Sun Jul 06 04:54:31 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
Please help me raise funds for animal battery awareness and to help starving entrepreneurs. https://t.co/hXEpQfMI7v,Sat Jun 28 13:53:12 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Hey folks, I am working on a nonprofit that helps kids make waves. Help out if you can guys! Dinesh https://t.co/oWBx5mgotX #fundly",Sun Jun 15 17:41:03 +0000 2014,en,0,False,3,False,,Dinesh Ravishanker,dineshloveslife
#bighugz http://t.co/c3L57H1xm2,Tue Jun 03 21:32:07 +0000 2014,und,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
#NoFear,Fri May 30 00:10:48 +0000 2014,und,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
#WreakHavoc,Thu May 29 23:41:31 +0000 2014,und,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
I continually see the darkest sides of humanity #disgusted #sad #nextstep,Thu May 29 20:54:55 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
#tree #wyoming http://t.co/izAH81ii1k,Tue May 27 05:41:12 +0000 2014,und,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
#RoadTrip #America #Integrity http://t.co/yp9yaQmEya,Tue May 27 02:38:56 +0000 2014,und,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
@dineshloveslife: My annoying younger #brother #love http://t.co/8OQtE6eSgv,Fri May 02 01:52:21 +0000 2014,en,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
Lucky has always loved holding business cards! I didn't even have to teach him this one. #jrt #bigbusiness http://t.co/0kiMGShoMS,Tue Apr 29 13:59:13 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Best places to live (internationally) as a tech entrepreneur? (Not in terms of capital, but wellness.) #tech #gov20 #nsa #cia #helpme",Tue Apr 22 13:44:04 +0000 2014,en,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
@ten4kristen would love to chat! :),Tue Apr 22 01:28:52 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
Almost 20k on my baby... she's growing up so fast http://t.co/KQ7lHjB3ZC,Sat Apr 19 18:32:54 +0000 2014,en,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
Et tu #blues ... #exhale :( http://t.co/SuxETrXPNw,Mon Apr 14 06:17:02 +0000 2014,fr,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Noam speaks @ Google.  Speechless, in a good way. #theman #noamchomsky http://t.co/yntw3VruTh",Wed Apr 09 23:24:38 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
... Speechless http://t.co/knSKTvBG0s,Wed Apr 09 12:04:49 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
Teen dies saving girlfriend from train http://t.co/NE7Hvr6x9v #cnn #inspirational #ty,Tue Mar 25 16:10:18 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Scott was a rockstar all on her own, and though I never knew her... I'm sure her name and reputation will survive with distinction. #missyou",Tue Mar 18 09:50:45 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"My thoughts are with #MH370 passengers &amp; families. I'm certain they were many kind, intelligent folks on that flight that deserved better.",Tue Mar 18 09:34:27 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"@conecktie he's available before noon, so lets do 10am. I'll send out an invite",Wed Mar 12 15:00:46 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
@conecktie @dineshloveslife  lol there are children reading this! Say no to drugs kids! :),Fri Mar 07 08:41:48 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Dear linked-in, sometimes it's just #tmi http://t.co/APkxuCL4dl",Thu Mar 06 18:59:29 +0000 2014,en,0,False,1,False,,Dinesh Ravishanker,dineshloveslife
@BarackObama Great speech today! Well done. #crushedit #thankyou,Wed Mar 05 20:17:44 +0000 2014,en,0,False,0,False,,Dinesh Ravishanker,dineshloveslife
"Checks and balances around data are required for organizations like Northrop, McKinsey, the NSA and others. Still #digging #abuse #power",Wed Mar 05 13:58:53 +0000 2014,en,1,False,0,False,,Dinesh Ravishanker,dineshloveslife
