Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"snaps from the met ball
https://t.co/rOfk2IPgmK",Thu May 05 00:17:33 +0000 2016,en,246,False,893,False,,dip,diplo
@AntaresAudio anyway I can use auto tune w/o dongle it's killing me I keep losing this shit,Wed May 04 18:28:51 +0000 2016,en,5,False,19,False,,dip,diplo
@66illusions Sunday,Wed May 04 16:02:30 +0000 2016,en,2,False,17,False,,dip,diplo
🙌🙌🙌 https://t.co/BZXuaQOiky,Wed May 04 16:00:41 +0000 2016,und,52,False,313,False,,dip,diplo
I'm still alive https://t.co/vanr7J1nop,Tue May 03 18:03:24 +0000 2016,en,904,False,3923,False,,dip,diplo
@dnainfo_breen lol,Mon May 02 20:50:00 +0000 2016,und,7,False,41,False,,dip,diplo
@HAIMtheband r u ready for the Bet Mall tonight ?,Mon May 02 19:04:24 +0000 2016,en,31,False,100,False,,dip,diplo
@paul_ee end of the summer!!,Mon May 02 18:41:19 +0000 2016,en,6,False,33,False,,dip,diplo
@teresitatovar23 it ends pretty early,Mon May 02 18:40:39 +0000 2016,en,8,False,31,False,,dip,diplo
She will be happy if you do it https://t.co/AkUzSFigjr,Mon May 02 18:39:17 +0000 2016,en,119,False,835,False,,dip,diplo
@taaawndogg it's @RinseFM podcast,Mon May 02 18:38:05 +0000 2016,en,4,False,30,False,,dip,diplo
Atlanta! I dont know if you noticed but our venue closed last year! until you guys get another one we have nowhere 😞 https://t.co/oyN2fwcSCL,Mon May 02 18:07:51 +0000 2016,en,71,False,365,False,,dip,diplo
MDBP2016 https://t.co/r9NcspXzLy,Mon May 02 17:37:16 +0000 2016,lt,37,False,209,False,,dip,diplo
"RT @MDBlockParty: pre sale code for ft. lauderdale, bk, philly, chicago, berkeley: MDBP2016
tix: https://t.co/n9Hixe9UvC",Mon May 02 17:33:56 +0000 2016,en,88,False,0,False,,dip,diplo
👊 https://t.co/j6uT6ScNBY,Mon May 02 17:20:07 +0000 2016,und,47,False,342,False,,dip,diplo
"We're back. This summer finna be lit @mdblockparty #MDBP16
Tix available now: https://t.co/ssownzGAn3
https://t.co/LLLHkEFgmb",Mon May 02 17:10:27 +0000 2016,en,728,False,1069,False,,dip,diplo
@Synagie I been trying to sell out !! Finally they buying!  Helps me a lot!,Mon May 02 01:42:37 +0000 2016,en,11,False,48,False,,dip,diplo
https://t.co/UIIRw6SOXl,Sun May 01 23:40:20 +0000 2016,und,1816,False,2840,False,,dip,diplo
On my grind  https://t.co/mRaOLuh43y,Sun May 01 18:48:21 +0000 2016,en,129,False,571,False,,dip,diplo
@charleeatkins 👊,Sun May 01 16:12:16 +0000 2016,und,5,False,26,False,,dip,diplo
https://t.co/btfW0uysUG,Sun May 01 15:41:06 +0000 2016,und,1599,False,3103,False,,dip,diplo
#diploinarkansas https://t.co/OrVQEXKhvk,Sun May 01 15:30:23 +0000 2016,und,78,False,332,False,,dip,diplo
@darkwaveduchess soon,Sun May 01 15:26:02 +0000 2016,en,5,False,26,False,,dip,diplo
out here in nyc 🗽,Sun May 01 14:53:16 +0000 2016,en,247,False,1319,False,,dip,diplo
Arkansas 👌🏼 https://t.co/RaELl6fvLI,Sun May 01 05:55:18 +0000 2016,lt,1165,False,1768,False,,dip,diplo
Arkansas is cool 🐷 https://t.co/Fzmcr133No,Sun May 01 05:40:20 +0000 2016,en,564,False,2023,False,,dip,diplo
🙌 https://t.co/2thiLQMnHi,Sun May 01 05:34:22 +0000 2016,und,80,False,412,False,,dip,diplo
RT @1Xtra: Lets go deep with @motez_music on @diplo &amp; friends https://t.co/eb5ieEHNV0 loads of originals &amp; remixes in the mix! https://t.co…,Sun May 01 04:00:39 +0000 2016,en,35,False,0,False,,dip,diplo
RT @1Xtra: Your next 2 hrs are spent here... https://t.co/igXo5XuAUS @diplo &amp; friends starts with @badroyalemusic - let's go! https://t.co/…,Sun May 01 04:00:36 +0000 2016,en,40,False,0,False,,dip,diplo
RT @R1Dance: Massive show on @diplo &amp; friends 2nite - @badroyalemusic &amp; then @motez_music go in here... https://t.co/AwyiM685YK https://t.c…,Sun May 01 01:41:10 +0000 2016,en,42,False,0,False,,dip,diplo
"First home game of the season for @AZUnitedSC ⚽️ stream here: https://t.co/C1hCHIlBBN kick off @ 7pm PDT 
cc: @petewentz",Sat Apr 30 23:01:01 +0000 2016,en,95,False,347,False,,dip,diplo
@Cascadia_Colin @AZUnitedSC @petewentz haha we are comin,Sat Apr 30 18:31:16 +0000 2016,en,7,False,32,False,,dip,diplo
@steviexmcfly Jacksonville right,Sat Apr 30 10:22:36 +0000 2016,en,9,False,44,False,,dip,diplo
RT @killthenoise: Hard summer 🔜 @HARDFEST #riptheinternet https://t.co/SOTcCGNayy,Sat Apr 30 10:22:19 +0000 2016,en,114,False,0,False,,dip,diplo
.@DILLONFRANCIS + me https://t.co/qjPdn4y2p7,Sat Apr 30 09:53:46 +0000 2016,und,455,False,1973,False,,dip,diplo
Spongebob Marley,Sat Apr 30 08:19:25 +0000 2016,en,505,False,1021,False,,dip,diplo
Huh https://t.co/X4W2IIThyV,Sat Apr 30 06:12:37 +0000 2016,und,104,False,432,False,,dip,diplo
"RT @AZUnitedSC: FOOTBALL FRIDAY BEFORE OUR FIRST HOME MATCH SO WE MADE A LONGER VIDEO. LET'S GO @MADDECENT #RAGEFACEUNITED
https://t.co/dZH…",Sat Apr 30 04:16:21 +0000 2016,en,48,False,0,False,,dip,diplo
Encore beach club was lit https://t.co/ZY0GcwdtFP,Sat Apr 30 03:26:51 +0000 2016,en,179,False,701,False,,dip,diplo
Beach club today was litted 🔥 https://t.co/6SIXPPNodz,Sat Apr 30 02:29:02 +0000 2016,en,599,False,1703,False,,dip,diplo
@_kevTN yep,Fri Apr 29 20:01:53 +0000 2016,und,8,False,41,False,,dip,diplo
😕 https://t.co/IPksMmqD6t,Fri Apr 29 20:01:25 +0000 2016,und,678,False,1671,False,,dip,diplo
Heading to vegas for Ebc today .. Arkansas w @iamkevingates tomorrow and New York Sunday. 🌎,Fri Apr 29 17:53:25 +0000 2016,en,174,False,608,False,,dip,diplo
"RT @MAJORLAZER: MIGHT SEE A GHOST
@WYFYBY
@VINCESTAPLES 
https://t.co/RCJwfecprZ",Fri Apr 29 15:31:46 +0000 2016,en,87,False,0,False,,dip,diplo
"back in Paris on june 5 🇫🇷
tix: https://t.co/5QM758bl0x https://t.co/wmuyjPCDCX",Fri Apr 29 14:09:34 +0000 2016,en,214,False,780,False,,dip,diplo
RT @shittyAandRguy: Your album is definitely coming out this year!,Fri Apr 29 08:02:49 +0000 2016,en,145,False,0,False,,dip,diplo
RT @yungskeeter: pray you catch me twittering,Fri Apr 29 08:01:26 +0000 2016,en,148,False,0,False,,dip,diplo
@ashstradamus @Young_Dirty_805 hey,Fri Apr 29 04:59:10 +0000 2016,und,8,False,39,False,,dip,diplo
@HTFMag we never even made a rider .. All I need is toothbrush and a pizza,Fri Apr 29 02:41:00 +0000 2016,en,10,False,41,False,,dip,diplo
@SANTINORICE your going in today,Fri Apr 29 01:39:52 +0000 2016,en,5,False,25,False,,dip,diplo
"skip work and come to @encorebeachclub tmrw 
tix: https://t.co/vOkXC4PzGw https://t.co/C9v2kkFJCA",Thu Apr 28 21:13:09 +0000 2016,en,159,False,620,False,,dip,diplo
@mc_dreams dale,Thu Apr 28 19:54:49 +0000 2016,it,14,False,56,False,,dip,diplo
When u can't afford Snapchat faceswap filter https://t.co/xjQkYwyLXH,Thu Apr 28 19:47:14 +0000 2016,en,160,False,697,False,,dip,diplo
Taking application  https://t.co/S6vbdQJV8K,Thu Apr 28 19:45:54 +0000 2016,en,46,False,304,False,,dip,diplo
Good question . It was an old mantronix song.. He was a legend  https://t.co/XehEBdW1dB,Thu Apr 28 19:45:10 +0000 2016,en,39,False,282,False,,dip,diplo
Diplo a all arm workout plan 💪 https://t.co/NKhxi4laJb,Thu Apr 28 19:44:13 +0000 2016,en,56,False,306,False,,dip,diplo
Exactly !! https://t.co/ldAidH7QUL,Thu Apr 28 19:42:34 +0000 2016,en,143,False,389,False,,dip,diplo
This how we do afterparties @MAJORLAZER https://t.co/4ktuoHLdkN,Thu Apr 28 19:41:15 +0000 2016,en,524,False,1376,False,,dip,diplo
I just used Shazam to discover Photo Copied by Future. https://t.co/EyduJ1T7cd,Thu Apr 28 18:28:41 +0000 2016,en,80,False,362,False,,dip,diplo
RT @MAJORLAZER: https://t.co/j2pcFtSZCi,Thu Apr 28 14:52:31 +0000 2016,und,412,False,0,False,,dip,diplo
@AntaresAudio follow back!,Thu Apr 28 00:32:54 +0000 2016,en,4,False,29,False,,dip,diplo
@idolator @arzE I deleted it on purpose u want the real demo you have to come see me and Ezra perform it at the laugh factory Thursday night,Thu Apr 28 00:00:29 +0000 2016,en,10,False,56,False,,dip,diplo
🤔 https://t.co/B37TfgkJRm,Wed Apr 27 21:46:01 +0000 2016,und,574,False,2025,False,,dip,diplo
