Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @jwyattsports: Strike the pose: The @Titans now have the last two @HeismanTrophy winners on the roster. Marcus Mariota and now Derrick H…,Sat Apr 30 00:17:28 +0000 2016,en,348,False,0,False,,Derrick Morgan,dmorg91
"RT @ArmorOGod: A thankful attitude releases so much joy in your life. Wherever you go, give thanks to God!",Fri Apr 29 23:59:34 +0000 2016,en,96,False,0,False,,Derrick Morgan,dmorg91
"@GoMikeMartin haha, so you can keep inking those contracts!",Fri Apr 29 17:13:21 +0000 2016,en,0,False,2,False,,Derrick Morgan,dmorg91
@Countrychick524 thank you,Fri Apr 29 14:13:47 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
@GoMikeMartin congrats bro!,Thu Apr 28 19:29:12 +0000 2016,en,0,False,2,False,,Derrick Morgan,dmorg91
RT @GTFootball: #TBT to when these four Yellow Jacket greats were selected in the first round of the #NFLDraft! #ProJackets https://t.co/wp…,Thu Apr 28 17:12:50 +0000 2016,en,25,False,0,False,,Derrick Morgan,dmorg91
*DVR https://t.co/pOWKtaDuXX,Thu Apr 28 01:58:29 +0000 2016,und,0,False,0,False,,Derrick Morgan,dmorg91
Come enjoy a great evening while giving back! #WINWIN https://t.co/hR4MsKFUyF,Wed Apr 27 01:31:17 +0000 2016,en,4,False,15,False,,Derrick Morgan,dmorg91
In PHX havin fun supporting a great cause #firstdownfund #wewon #theotherteamhadGONZO  @campbell93 @LarryFitzgerald https://t.co/y5cfhdQnQ7,Sun Apr 24 04:13:02 +0000 2016,en,6,False,27,False,,Derrick Morgan,dmorg91
RT @ArmorOGod: Pray that we may be given a hunger &amp; burning desire to fellowship more closely with Jesus,Sat Apr 23 15:29:47 +0000 2016,en,75,False,0,False,,Derrick Morgan,dmorg91
@Dre_GA who u tellin,Sat Apr 23 04:03:06 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
"6 yrs ago a dream was realized, Only possible through the guidance of family and God #blessed # stillhungry #titans https://t.co/Mnrpjxk3uh",Sat Apr 23 02:52:59 +0000 2016,en,68,False,364,False,,Derrick Morgan,dmorg91
I'm listening to Stay Tough by Gravez https://t.co/NhHWbBNd3E @muzikconnect #connectsmarter https://t.co/pjwCQFq0nB,Sat Apr 23 00:45:33 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
Excuse me while I get the hang of this @MuzikConnect app/headphones,Sat Apr 23 00:40:14 +0000 2016,en,0,False,1,False,,Derrick Morgan,dmorg91
I'm listening to SpottieOttieDopali... by OutKast https://t.co/3tN2wdkZXi @muzikconnect #connectsmarter https://t.co/yxhF8pq6kv,Sat Apr 23 00:38:53 +0000 2016,pl,2,False,6,False,,Derrick Morgan,dmorg91
RT @fallhamiltoneos: Our students share the love of reading with @delaniewalker82!  @MetroSchools @Titans https://t.co/Bqn66SsVyT,Fri Apr 22 15:36:43 +0000 2016,en,14,False,0,False,,Derrick Morgan,dmorg91
When that sweatband go on...#pops #notagame #workingsincehelanded https://t.co/Ll47CigoFg,Sun Apr 17 00:05:15 +0000 2016,en,2,False,18,False,,Derrick Morgan,dmorg91
RT @TakeoSpikes51: Smh. Just arrived to @iWillSmith funeral and my/the emotions are very heavy. Your impact will stay w/me forever 🙏🏾 https…,Sat Apr 16 19:17:01 +0000 2016,en,33,False,0,False,,Derrick Morgan,dmorg91
"Those who accept my commandments and obey them are the ones who love me. And because they love me, my Fa…
https://t.co/jVUw31u6FK",Fri Apr 15 13:05:41 +0000 2016,en,1,False,11,False,,Derrick Morgan,dmorg91
Lol https://t.co/AIhFiXAAyj,Thu Apr 14 23:31:57 +0000 2016,und,2,False,9,False,,Derrick Morgan,dmorg91
RT @rak98: U have to BUILD thru the @NFL Draft GREAT trade fellas #TitanUp,Thu Apr 14 13:30:24 +0000 2016,en,127,False,0,False,,Derrick Morgan,dmorg91
When's the last time you used an actual map?? https://t.co/LAu0g31i0T,Wed Apr 13 22:15:58 +0000 2016,en,3,False,13,False,,Derrick Morgan,dmorg91
"Will was an intelligent, hard-working, father of 3. Prayers to his family. #RIPWillSmith",Sun Apr 10 12:44:14 +0000 2016,en,29,False,102,False,,Derrick Morgan,dmorg91
"Waking up hearing this news about Will Smith, sat next to him for the last year in class and can't believe it.",Sun Apr 10 12:43:35 +0000 2016,en,5,False,32,False,,Derrick Morgan,dmorg91
RT @FreshKingAce: The biggest sports report in the south up next tune into @957Jamz @1051JAMZ,Sat Apr 09 22:10:19 +0000 2016,en,3,False,0,False,,Derrick Morgan,dmorg91
@FreshKingAce what's good,Sat Apr 09 22:09:34 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
"Don’t copy the behavior and customs of this world, but let God transform you into a new person by changin…
https://t.co/zDIhFahRwm",Sat Apr 09 12:46:37 +0000 2016,en,2,False,7,False,,Derrick Morgan,dmorg91
"@Artj97 haha its looks like it, I'm doing good man, how is everything?",Wed Apr 06 23:19:10 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
Got a chance to tour the #UnitedNations today https://t.co/dEVWLdAGFX,Wed Apr 06 23:01:45 +0000 2016,en,2,False,15,False,,Derrick Morgan,dmorg91
RT @NFLPlayerEngage: Current players enrolled in @univmiami Executive MBA program learn from NFL Executives at NFL League Office https://t.…,Wed Apr 06 17:12:53 +0000 2016,en,9,False,0,False,,Derrick Morgan,dmorg91
@LegerDouzable yes sir,Tue Apr 05 00:16:08 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
@LegerDouzable I love it,Tue Apr 05 00:10:27 +0000 2016,en,0,False,0,False,,Derrick Morgan,dmorg91
"Had a great time visiting @google @GettyImages and @WeWork today in New York, great businesses to learn from https://t.co/haaRHn6VPw",Mon Apr 04 22:03:56 +0000 2016,en,1,False,8,False,,Derrick Morgan,dmorg91
"#Google has made an investment in nutrition for their employees and have researched which foods are best for production, #NFL should follow",Mon Apr 04 16:06:07 +0000 2016,en,2,False,12,False,,Derrick Morgan,dmorg91
If #Google feeds their employees like this why shouldn't every #NFL cafeteria look like this or better?Food is fuel! https://t.co/2fopRzRMOH,Mon Apr 04 16:02:39 +0000 2016,en,5,False,25,False,,Derrick Morgan,dmorg91
@VicisPro FB,Sun Apr 03 02:23:50 +0000 2016,und,0,False,0,False,,Derrick Morgan,dmorg91
RT @marcuswhitney: Doing business on a handshake is gonna bite you in the ass. Get it in ink. Episode 9 of C+O https://t.co/ezWgCi0CAP http…,Wed Mar 23 23:11:47 +0000 2016,en,2,False,0,False,,Derrick Morgan,dmorg91
https://t.co/YzlTMP6Gds,Sun Mar 13 14:25:07 +0000 2016,und,0,False,1,False,,Derrick Morgan,dmorg91
"I praise God for what he has promised. I trust in God, so why should I be afraid? What can mere mortals d…
https://t.co/g8xrvhzisr",Fri Mar 04 13:11:04 +0000 2016,en,1,False,11,False,,Derrick Morgan,dmorg91
Higher predictor of success than IQ https://t.co/LBhLD4eqR0,Tue Mar 01 14:59:56 +0000 2016,en,2,False,5,False,,Derrick Morgan,dmorg91
