Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Babies represent an unprecedented growth opportunity for our economy. Introducing @ZipRecruiter's #JobsForBabies: https://t.co/kvBy3U3Hkk,Fri Apr 01 05:01:01 +0000 2016,en,2,False,1,False,,Edward Fu,edfu1
ZipRecruiter has more leads than we can handle. We need #InsideSales people in Santa Monica. Job desc http://t.co/IF3Fqid8ki Know anybody?,Wed Mar 05 06:10:47 +0000 2014,en,0,False,0,False,,Edward Fu,edfu1
"Join me. I'm about to learn how to have a profitable product launch, thanks to @seanmalarkey  http://t.co/7a47hTvL",Mon Mar 12 07:06:18 +0000 2012,en,0,False,0,False,,Edward Fu,edfu1
"I'm at The Platinum Hotel (211 E Flamingo Rd, at Koval Rd, Las Vegas) http://t.co/i2cAo1uG",Sat Nov 12 02:19:27 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-115.16351, 36.114611]}",Edward Fu,edfu1
"I'm at The Penthouse (1111 2nd St, at Wilshire Blvd, Santa Monica) http://t.co/FGGQlbck",Thu Oct 06 19:05:00 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.501121, 34.018728]}",Edward Fu,edfu1
"I'm at Pinkberry (10250 Santa Monica Blvd # 678, btw Century Park West & Ave of the Stars, Los Angeles) http://t.co/XzqrQef",Sat Aug 13 03:52:45 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.41967821, 34.05908599]}",Edward Fu,edfu1
"I'm at N.Y. and C. Pizza (1120 Wilshire Blvd, 11th St, Santa Monica) http://4sq.com/oNnLK2",Tue Aug 09 07:51:15 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.491016, 34.024785]}",Edward Fu,edfu1
"I just unlocked the ""Crunked"" badge on @foursquare! http://4sq.com/qcqvuG",Tue Aug 09 07:51:14 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
"I'm at Los Angeles International Airport (LAX) (1 World Way, Off S. Sepulveda Blvd. / SR 1, Los Angeles) w/ 104 others http://4sq.com/rbHO51",Tue Aug 09 04:58:43 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.40502262, 33.94389398]}",Edward Fu,edfu1
"I just unlocked the ""Swarm"" badge on @foursquare! http://4sq.com/qD5DKn",Tue Aug 09 04:58:42 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
"I'm at Pinkberry (6020 Seabluff Dr, Suite 4, btw Pacific Promenade & Runway Rd, Playa Vista) http://4sq.com/mV3o2R",Tue Aug 09 04:57:13 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.42274532, 33.97353742]}",Edward Fu,edfu1
"I'm at Ralphs (8701 Lincoln Blvd, at Loyola Blvd, Los Angeles) http://4sq.com/qGoMMH",Tue Aug 09 04:41:42 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-118.41848731, 33.95815135]}",Edward Fu,edfu1
"I just unlocked the ""Newbie"" badge on @foursquare! http://4sq.com/nAoYVw",Tue Aug 09 04:41:42 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
@DanHardman your stream is full,Tue Jul 12 21:12:18 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
Get an early adopter invitation to HiGear http://t.co/IpxhwED via @_higear,Thu May 26 22:44:43 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
RT @gigaom: Why Google Needs +1 and Identity to Work Together http://dlvr.it/Qyl86,Sun May 08 01:10:51 +0000 2011,en,19,False,0,False,,Edward Fu,edfu1
RT @TechCrunch: A couple updates on Supyo - the new Fanning/Parker project http://tcrn.ch/fkNdYe,Sat Apr 16 18:58:33 +0000 2011,en,31,False,0,False,,Edward Fu,edfu1
RT @allthingsd: What Connect.me–The Sign-up Page That Got 50K Users in a Day–Actually Does (Video) http://Dthin.gs/6019u7IP -by @lizgannes,Wed Mar 23 07:18:26 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
RT @TechCrunch: Big Data Needs To Think Bigger http://tcrn.ch/gIGqsW,Mon Mar 21 06:35:06 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
RT @RWW: SXSW: Accelerator Finalists and Winners http://rww.to/g0uTo0,Mon Mar 21 06:32:50 +0000 2011,en,0,False,0,False,,Edward Fu,edfu1
"RT @arstechnica: Etsy reacts to user outrage, makes changes to feedback system: http://t.co/9zvYs1i by @ejacqui",Wed Mar 16 06:51:21 +0000 2011,en,17,False,0,False,,Edward Fu,edfu1
RT @VentureBeat: LinkedIn’s Reid Hoffman explains the brave new world of data http://bit.ly/g3AwuT,Wed Mar 16 06:48:33 +0000 2011,en,32,False,0,False,,Edward Fu,edfu1
"RT @arstechnica: Etsy users irked after buyers, purchases exposed to the world: http://t.co/aINNOos by @ejacqui",Tue Mar 15 07:35:23 +0000 2011,en,45,False,0,False,,Edward Fu,edfu1
