Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @VentureBeat: Elon Musk says 'ludicrous mode' is coming to the Tesla Model 3 https://t.co/WNxpjEPo4i https://t.co/f9pskxyACr,Mon May 02 06:51:11 +0000 2016,en,35,False,0,False,,ekomo,ekomo
"@ValaAfshar, most of the cash is offshore.",Sun May 01 17:10:46 +0000 2016,en,0,False,0,False,,ekomo,ekomo
RT @onekingslane: Professional organizer Helena Butler is spilling her tidy home secrets and we’re listening 👉 https://t.co/nXrUVvFKHa http…,Tue Apr 26 14:34:18 +0000 2016,en,3,False,0,False,,ekomo,ekomo
"@holon , what's your source for the 3-4% cancellation number?",Wed Apr 13 00:11:36 +0000 2016,en,0,False,0,False,,ekomo,ekomo
"RT @LO2daPEZ: My replacement #Fitbit is being shipped! It took a little longer than In wanted but, @fitbit was very helpful and made the ex…",Tue Apr 12 21:04:55 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"@elonmusk, but of course, and keep up your amazing vision and work!!",Sat Apr 09 01:46:33 +0000 2016,en,0,False,0,False,,ekomo,ekomo
RT @onekingslane: Time to raise the bar on at-home #entertaining! 🍸 This #glam barware should do the trick 👉 https://t.co/wzR5RHJOjD https:…,Sat Apr 09 01:37:24 +0000 2016,en,1,False,0,False,,ekomo,ekomo
RT @onekingslane: What a bright idea! 💡 Let these brand new table + task lamps light up your life 👉 https://t.co/tVMlZuqp4h https://t.co/lU…,Sat Apr 09 01:37:12 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"Big Congrats to @spacex, @elonmusk, and the team!! Wow! https://t.co/lnwriP3db1",Fri Apr 08 20:59:44 +0000 2016,en,0,False,0,False,,ekomo,ekomo
RT @Elliedalden: YAAAAAYYYY!! So proud of @SpaceX !! ☄🚀 https://t.co/iwA2JKycdK,Fri Apr 08 20:57:53 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"RT @frenchrh: shift to large-area modules and back to module sales!

""First Solar goes back to the future"" https://t.co/IFWThMvWcK #scitech…",Thu Apr 07 03:57:25 +0000 2016,en,1,False,0,False,,ekomo,ekomo
RT @onekingslane: The perfect bit of #WednesdayWisdom: 6 of our founder @SusanKFeldman's BEST decor tips 🙏🏼  👉 https://t.co/0Uxne1se6o http…,Thu Apr 07 03:55:21 +0000 2016,en,2,False,0,False,,ekomo,ekomo
"RT @onekingslane: Coveting the look of sunny Southern #California? Shop all the breezy, boho pieces you need 👉 https://t.co/0ywuZI0WIN http…",Thu Apr 07 03:51:18 +0000 2016,en,4,False,0,False,,ekomo,ekomo
"@Splexant @elonmusk, this is my favorite mod so far. Super job, Jordan!",Tue Apr 05 05:16:31 +0000 2016,en,0,False,1,False,,ekomo,ekomo
"RT @onekingslane: If we stare at this sunny breakfast nook hard enough, will it be Saturday again? @ryangarvin https://t.co/BXgDFa2T0p http…",Mon Apr 04 20:19:28 +0000 2016,en,2,False,0,False,,ekomo,ekomo
RT @onekingslane: Today we’re working from our brand new office. Don’t you guys love it?? JK #aprilfools we’re… https://t.co/oM5qL0ejgp,Fri Apr 01 19:35:44 +0000 2016,en,1,False,0,False,,ekomo,ekomo
RT @danjmitchell: Not everyday the CEO comes by and thanks you for buying the product! #Model3 https://t.co/Qg1F9e0B5I,Thu Mar 31 23:52:23 +0000 2016,en,188,False,0,False,,ekomo,ekomo
RT @shannL18: Ted Cruz is just like us! He wears a Fitbit #howmanysteps https://t.co/yF2QNe8tZR,Thu Mar 31 04:19:42 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"RT @onekingslane: Ever gone into a laundry room and thought ""Wow!""? Us neither—until we saw these 7 beauties 👉 https://t.co/UZW56xZTXQ http…",Wed Mar 30 21:19:29 +0000 2016,en,4,False,0,False,,ekomo,ekomo
RT @stayful: Boutique hotels on sale! Download our app and save an extra 15% with code MOBILEMADNESS. https://t.co/S163j72i79 https://t.co/…,Wed Mar 30 21:19:00 +0000 2016,en,11,False,0,False,,ekomo,ekomo
RT @TeslaMotors: Only 1 hour to go in Australia #Model3 https://t.co/29mxX8ooBw,Wed Mar 30 20:58:35 +0000 2016,en,453,False,0,False,,ekomo,ekomo
RT @googleanalytics: How to track your life in Google Analytics with @fitbit and @ifttt: https://t.co/SbUY7e0RBi /via @datarunsdeep https:/…,Fri Mar 25 21:19:45 +0000 2016,en,102,False,0,False,,ekomo,ekomo
"RT @FitspoGabby: Julianne Hough's #Fitspo? ""Matching My Fitbit to My Workout Gear!"" - InStyle https://t.co/vNatww4CTU",Fri Mar 25 21:19:31 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"RT @Trivium10164: My brother-in-law is a car tech for Tesla. That instantly makes me cool. 👍😊",Fri Mar 25 21:10:01 +0000 2016,en,1,False,0,False,,ekomo,ekomo
"RT @megtirrell: Sat down w the CEO of $GILD, visited biotech's birthplace, and rode in my first Tesla. Pretty amazing SF trip! Can't wait t…",Thu Mar 24 21:56:25 +0000 2016,en,2,False,0,False,,ekomo,ekomo
"RT @BrittanyHodak: ""Robots will never control humans!""...as I walk circles around my office because @Fitbit Alta reminds me I don't have 25…",Thu Mar 24 21:37:36 +0000 2016,en,9,False,0,False,,ekomo,ekomo
RT @nytimes: How your Fitbit may make you a bit fit https://t.co/tiJoBSXajt via @nytopinion,Mon Mar 21 22:51:36 +0000 2016,en,103,False,0,False,,ekomo,ekomo
Surely much better use of Google Glass than for scrolling Facebook ... :) https://t.co/evJUwrFs0c,Mon Mar 21 22:21:07 +0000 2016,en,0,False,0,False,,ekomo,ekomo
RT @TeslaMotors: “Owning a Tesla in Brooklyn totally works” - Will https://t.co/yB3KSMAcMN https://t.co/umAB32X67S,Mon Mar 21 22:12:39 +0000 2016,en,562,False,0,False,,ekomo,ekomo
RT @BrittanyHodak: OBSESSED with my new @fitbit Alta! So awesome!! Working out has never been more fun. https://t.co/bIDiTTVdAn,Wed Mar 16 22:14:52 +0000 2016,en,33,False,0,False,,ekomo,ekomo
RT @k_lli: I went to Vegas but the only thing I won was my Fitbit step challenge.,Mon Mar 14 00:46:19 +0000 2016,en,52,False,0,False,,ekomo,ekomo
RT @Recode: Google's Go machine finally lost to Korean champ Lee Sedol https://t.co/HLvOzQFolD by @KurtWagner8 https://t.co/hdROcW0V8g,Sun Mar 13 20:58:33 +0000 2016,en,38,False,0,False,,ekomo,ekomo
"RT @HillaryClinton: The Castro Brothers: Whether you’re born here or you immigrate, America should be a land of opportunity.
https://t.co/A…",Sun Mar 13 20:51:13 +0000 2016,en,1637,False,0,False,,ekomo,ekomo
RT @onekingslane: Take a tour of @ciretrudon1643's—the world's oldest candle maker—first stateside boutique 👉 https://t.co/PqUpg9cL4U https…,Sun Mar 13 20:49:59 +0000 2016,en,4,False,0,False,,ekomo,ekomo
"RT @VentureBeat: Tesla's new racing series to show electric cars can go really fast, 10 teams to compete https://t.co/oayzv9vq6C https://t.…",Fri Mar 11 06:24:31 +0000 2016,en,49,False,0,False,,ekomo,ekomo
RT @IronMillTech: New “Super Battery” Energy Storage Breakthrough Aims At $54 kWh (half price cells from Tesla Gigafactory) https://t.co/dk…,Sun Mar 06 01:27:36 +0000 2016,en,5,False,0,False,,ekomo,ekomo
"RT @TeslaRoadTrip: Chelsea Sexton, EV advocate from ""Who Killed the Electric Car"" will be a guest at this years @TeslaRoadTrip event! https…",Sat Mar 05 15:18:50 +0000 2016,en,4,False,0,False,,ekomo,ekomo
"RT @Recode: You're reading this, so you're not observing National Unplugging Day https://t.co/9H1HCdqq1a by @DawnC331 https://t.co/SiyW6m95…",Sat Mar 05 15:15:03 +0000 2016,en,41,False,0,False,,ekomo,ekomo
"RT @LeilaniMunter: GM engineer tells me: ""Get your facts straight. There is no global warming."" https://t.co/9UXCQuu2SF @gm @mtbarra vs. @T…",Sat Mar 05 07:45:31 +0000 2016,en,35,False,0,False,,ekomo,ekomo
"RT @LeilaniMunter: Utah car dealers block Tesla, now @TeslaMotors will take fight to Utah Supreme Court. What happened to free market?! htt…",Tue Mar 01 02:10:38 +0000 2016,en,27,False,0,False,,ekomo,ekomo
RT @FortuneMagazine: Tesla will now tow cars for free for 500 miles https://t.co/4PSWbQcB7P https://t.co/Tpk0Mo1KbQ,Mon Feb 29 04:05:35 +0000 2016,en,54,False,0,False,,ekomo,ekomo
"RT @LeilaniMunter: ""What if I told you there was a car without an engine and because of that the whole world is about to change?""
https://t…",Tue Feb 23 23:13:07 +0000 2016,en,272,False,0,False,,ekomo,ekomo
"RT @JMPyper: Tesla’s #Powerwall Hits the Australian Market, Fertile Ground for Storage https://t.co/lMlQRT8JZN #tesla",Tue Feb 16 16:34:08 +0000 2016,en,9,False,0,False,,ekomo,ekomo
"RT @onekingslane: The best-of-the-best vintage runner #styling ideas to steal from Instagram, right this way 👉 https://t.co/D2D2FJpS1I http…",Tue Feb 16 16:17:17 +0000 2016,en,5,False,0,False,,ekomo,ekomo
"RT @AllAboutTesla: ""Failure is an option here. If things are not failing, you are not innovating enough."" Elon Musk 

#ElonMusk
#Tesla http…",Tue Feb 16 01:03:35 +0000 2016,en,19,False,0,False,,ekomo,ekomo
RT @davidbrear: This is so awesome! See a guy summon his Tesla with an Apple Watch - @brettking you will love this! https://t.co/ei6vTlJrHn,Sat Feb 06 07:37:15 +0000 2016,en,26,False,0,False,,ekomo,ekomo
"RT @TeslaMotors: Summon ✓ Autosteer ✓ Auto Lane Change ✓ Autopark ✓ - Experience it yourself https://t.co/aocAEwoB7M
https://t.co/LxDgXTdLnp",Fri Feb 05 04:22:47 +0000 2016,en,1042,False,0,False,,ekomo,ekomo
"@AwardsDarwin ouch!! I got buzzed by lane splitters almost everyday, it's a small wonder this doesn't happen more often",Mon Jan 25 07:43:14 +0000 2016,en,0,False,0,False,,ekomo,ekomo
RT @AVAETC: This is one of my favorite images of Dr. King. Unburdened. With the future in front of him. I'm glad he chose us. xo https://t.…,Sat Jan 16 20:51:24 +0000 2016,en,5554,False,0,False,,ekomo,ekomo
"RT @onekingslane: After all the #Christmas chaos, take a moment and indulge with these little luxuries 🌸🛁💆  https://t.co/ejCropJqWD https:/…",Sat Dec 26 02:37:24 +0000 2015,en,4,False,0,False,,ekomo,ekomo
"RT @Earth_Pics: Monte Fitz Roy, Patagonia  - Ted Gore https://t.co/h0PQOaaR38",Sat Dec 26 02:36:40 +0000 2015,en,668,False,0,False,,ekomo,ekomo
RT @onekingslane: Tray chic! 💁 Get organized for the #NewYear ahead with these stylish storage solutions 👉  https://t.co/Pc8p78bK4i https:/…,Sat Dec 26 02:19:45 +0000 2015,en,3,False,0,False,,ekomo,ekomo
"RT @Earth_Pics: Dancing clouds, Tuban Beach, Bali, Indonesia - Halim Zen https://t.co/Sfmc8HDuRT",Fri Dec 25 21:13:12 +0000 2015,in,348,False,0,False,,ekomo,ekomo
"RT @TahoeWeather: New Post is Up:  ""Fixating...""... https://t.co/YP6ozxZ7w5",Thu Dec 10 08:32:28 +0000 2015,en,2,False,0,False,,ekomo,ekomo
"RT @AllAboutTesla: ♺ How Does Autopilot React to Disappearing Lane Markings?

#Tesla
#Autopilot

https://t.co/0Cimhvs9st https://t.co/uciud…",Sat Nov 28 05:38:42 +0000 2015,en,5,False,0,False,,ekomo,ekomo
RT @TeslaMotors: Thanks Tesla owners for driving towards a zero-emission future #Thanksgiving https://t.co/PMuUcv0axx,Sat Nov 28 02:50:43 +0000 2015,en,318,False,0,False,,ekomo,ekomo
"RT @Earth_Pics: Sky on fire. Mount Fitz Roy, Los Glaciers National Park, El Chalten, Argentina - Paul Weeks https://t.co/GevROAokvS",Sun Nov 22 08:14:55 +0000 2015,en,515,False,0,False,,ekomo,ekomo
"RT @Earth_Pics: The best time of the year. Boardman, Oregon - Claudio Bezerra https://t.co/0ifjAHuvnD",Sun Nov 22 03:26:17 +0000 2015,en,533,False,0,False,,ekomo,ekomo
RT @mashable: The reactions to Charlie Sheen prove we need to address HIV stigma and shame https://t.co/YlkznuLqVr https://t.co/vkCo87Ae9X,Sun Nov 22 03:09:59 +0000 2015,en,86,False,0,False,,ekomo,ekomo
RT @bonnienorman: Kudos to @TeslaMotors for handling of mfr-initiated recall &amp; prioritizing safety. You schooled other auto mfrs with actio…,Sat Nov 21 16:37:56 +0000 2015,en,5,False,0,False,,ekomo,ekomo
RT @SunPower: . @ucdavis Chancellor Katehi &amp; SunPower dedicate UC system's largest #solar plant today https://t.co/ZBNuJwaNoo https://t.co/…,Sat Nov 21 16:37:42 +0000 2015,en,6,False,0,False,,ekomo,ekomo
RT @SunEdison: Did you hear? All electricity in Austria's largest state is now produced from renewables: https://t.co/H2ngB8uB3x https://t.…,Sat Nov 21 16:30:37 +0000 2015,en,18,False,0,False,,ekomo,ekomo
"RT @rmsazad: Maples: ""it's a myth you can't coach entrepreneurs. The best ones are sponges for information and wisdom."" #HBSAngels",Thu Nov 19 20:58:17 +0000 2015,en,1,False,0,False,,ekomo,ekomo
"RT @SunPower: These four green building projects will inspire you to learn more about #solar #greenbuild
https://t.co/LgKYzp9j5u https://t.…",Thu Nov 19 20:52:28 +0000 2015,en,8,False,0,False,,ekomo,ekomo
"RT @cdixon: ""The battle comes down to whether the startup gets distribution before the incumbent gets innovation."" https://t.co/0o7peT3HLq",Wed Nov 11 22:48:47 +0000 2015,en,225,False,0,False,,ekomo,ekomo
"RT @SunEdison: Love this: ""#solar suburbs"" would include panels on every roof, EVs in every garage &amp; more: https://t.co/12utq7JXI6 https://…",Tue Nov 10 06:32:47 +0000 2015,en,17,False,0,False,,ekomo,ekomo
"RT @vijaypande: In any game where machine learning is driving advancement, the first to get all of the data wins. And wins big.

https://t.…",Fri Oct 30 21:58:36 +0000 2015,en,55,False,0,False,,ekomo,ekomo
RT @FortuneMagazine: Watch Tesla’s autopilot stop an Uber driver’s head-on collision https://t.co/8PKlqBPBcB,Fri Oct 30 00:39:34 +0000 2015,en,26,False,0,False,,ekomo,ekomo
"RT @coolcat1987: RSS: Tesla Model S Saves Woman, Child In Landslide #conceptcars #cars https://t.co/0h2l7AYlTa",Sun Oct 25 21:40:41 +0000 2015,en,2,False,0,False,,ekomo,ekomo
RT @DI_Renewables: 10GW have been installed by @FirstSolar enough to send Marty into the future 8 times...#solar #renewables #BackToTheFutu…,Sun Oct 25 21:23:48 +0000 2015,en,1,False,0,False,,ekomo,ekomo
RT @FortuneMagazine: Here’s the reason Tesla can get away with reliability issues https://t.co/Dl5bGSPfBX,Sat Oct 24 18:56:46 +0000 2015,en,18,False,0,False,,ekomo,ekomo
RT @elonmusk: Congrats on driving a Tesla from LA to NY in just over two days! https://t.co/hjAnAAIdMB,Thu Oct 22 05:40:12 +0000 2015,en,537,False,0,False,,ekomo,ekomo
RT @bonnienorman: @elonmusk Many owners have bought a 2nd &amp; then 3rd Tesla--it's clear reliability improved. Customers vote with dollars :),Thu Oct 22 05:39:44 +0000 2015,en,13,False,0,False,,ekomo,ekomo
"RT @NYINNOVATES: Alex Roy claims coast-to-coast Tesla Autopilot record in 57 hours, 48 minutes: The road rally enthusiast embra... https://…",Thu Oct 22 05:37:21 +0000 2015,en,1,False,0,False,,ekomo,ekomo
@InvestorsLive actually Oprah already bought a Tesla S,Tue Oct 20 18:46:10 +0000 2015,en,0,False,0,False,,ekomo,ekomo
RT @Jalopnik: Tesla's Autopilot system is awesome and creepy and the sign of a beautiful future http://t.co/6rLu6bI1du http://t.co/HYVPl6gy…,Thu Oct 15 20:01:29 +0000 2015,en,1314,False,0,False,,ekomo,ekomo
RT @mashabletech: I took my hands off the wheel and Tesla's Model S with Autopilot handled the road with aplomb http://t.co/oHFthi3DNi http…,Thu Oct 15 14:23:33 +0000 2015,en,21,False,0,False,,ekomo,ekomo
RT @SunEdison: We do not inherit the Earth from our ancestors. We borrow it from our children. Happy #IndigenousPeoplesDay http://t.co/C3Oj…,Tue Oct 13 08:42:00 +0000 2015,en,33,False,0,False,,ekomo,ekomo
"RT @StormHour: Tesla against a backdrop of #AuroraAustralis in Tasmania. Photo: Roy H. http://t.co/ByS35HmkXP ""@Astropular #surreal http://…",Mon Oct 12 16:06:45 +0000 2015,en,7,False,0,False,,ekomo,ekomo
@mcuban yes you can!!,Sat Oct 10 20:06:05 +0000 2015,en,0,False,1,False,,ekomo,ekomo
RT @Susankfeldman: News flash @onekingslane new holiday magazines now available at your local newstands check it out… https://t.co/0LVfNn1E…,Fri Oct 09 04:29:59 +0000 2015,en,3,False,0,False,,ekomo,ekomo
RT @jeffweiner: Model X isn't just a next gen SUV; it's Tesla's move towards an autonomous car -- Elon Musk's Clever Slight of Hand https:/…,Wed Oct 07 07:22:09 +0000 2015,en,43,False,0,False,,ekomo,ekomo
RT @MarketWatch: Watch a Tesla Model S race against a tricked-out Australian gas-powered supercar http://t.co/sNV9iUENoR http://t.co/g2qv3V…,Wed Oct 07 06:36:20 +0000 2015,en,25,False,0,False,,ekomo,ekomo
"RT @seikatsu: “If you invest in growth before retention, you’re renting users, not acquiring” — @gillianim https://t.co/Jak9KjSlVK http://t…",Thu Oct 01 04:11:36 +0000 2015,en,182,False,0,False,,ekomo,ekomo
RT @PlanetGreen: Stunning photo of solar eclipse wins astronomy photography prize http://t.co/sT3xpZHipH http://t.co/51nv5S8MO8,Sun Sep 27 05:21:23 +0000 2015,en,33,False,0,False,,ekomo,ekomo
RT @PMOIndia: PM @narendramodi at @TeslaMotors with @elonmusk. http://t.co/AxL5eE9pdo,Sun Sep 27 05:19:45 +0000 2015,en,879,False,0,False,,ekomo,ekomo
RT @GreenTechnology: SunEdison Signs 5-Year Solar PPA With Equinix to Speed Up Development Before Tax Credits Drop http://t.co/E64pZTz90M #…,Wed Sep 23 23:57:29 +0000 2015,en,1,False,0,False,,ekomo,ekomo
RT @adamparris: This is why electric car range anxiety is a BIG myth http://t.co/vYdTXfnnIU @renew_economy @TeslaMotors @VoltaPrize,Wed Sep 23 08:32:03 +0000 2015,en,2,False,0,False,,ekomo,ekomo
RT @DansAwesome: Kermit sells his Tesla because it's just not easy being green. @midnight #NewMuppetPlotlines,Wed Sep 23 08:20:57 +0000 2015,en,2,False,0,False,,ekomo,ekomo
RT @yvepain: VW’s diesel emissions revelations will help electric car makers like #Tesla http://t.co/Gf3CKAXBFx via @thenextweb #pollution,Wed Sep 23 08:17:04 +0000 2015,en,6,False,0,False,,ekomo,ekomo
RT @LeilaniMunter: Wow @VW @Audi really? So disappointed. You just gave me another reason I'll be a Tesla customer for life. http://t.co/qA…,Mon Sep 21 02:39:12 +0000 2015,en,12,False,0,False,,ekomo,ekomo
RT @TechCrunch: Want to take a spin in a Tesla Model S? Just get arrested in Los Angeles http://t.co/KqxzsTdBpg http://t.co/d4OtrtE5yN,Wed Sep 16 06:55:05 +0000 2015,en,259,False,0,False,,ekomo,ekomo
RT @Oprah: Test driving my new Tesla with dealer Dan. Love it!! https://t.co/LHLroJ6Acl,Thu Sep 03 08:43:13 +0000 2015,en,1149,False,0,False,,ekomo,ekomo
RT @SunEdison: The US installed a record amount of #wind capacity in the 2nd quarter of 2015! http://t.co/yTY8TDb17y http://t.co/WmGScPC0rA,Thu Aug 27 06:24:16 +0000 2015,en,21,False,0,False,,ekomo,ekomo
RT @BjornNyland: @TeslaMotors @elonmusk #P85D setting new world record in #hypermiling driving 728.7 km/452.8 mi on a single charge http://…,Tue Aug 25 17:07:56 +0000 2015,en,645,False,0,False,,ekomo,ekomo
RT @SunEdison: Have you heard? There's an airport in India going 100% solar! http://t.co/i9SqS7BuZ0 http://t.co/9OUTobCIeV,Tue Aug 25 14:59:33 +0000 2015,en,12,False,0,False,,ekomo,ekomo
