Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@gomezramirez_ac @DavideCannarozz By this logic it was started by whoever first said ""Thanks"" over a meal on the American Continent.",Fri Nov 27 11:04:36 +0000 2015,en,0,False,0,False,,Erica Starks,estarks
thanks @pharmaguapa and @DattaPamela! it is interesting that even the greenest countries aren't 50/50. south africa is a study in contrasts.,Thu Sep 17 10:14:05 +0000 2015,en,0,False,0,False,,Erica Starks,estarks
Thanks for sharing @ericaswallow! Love what you are doing with @NobleImpact.,Mon Sep 14 12:57:16 +0000 2015,en,0,False,1,False,,Erica Starks,estarks
"El Rey León, el musical de Broadway: http://t.co/jezBWt1nUh via @YouTube",Wed Jan 14 10:04:33 +0000 2015,es,0,False,0,False,,Erica Starks,estarks
I've seen Chicago the musical 3 times... what about you? ;-) http://t.co/758kjOiLEe,Thu May 08 10:22:14 +0000 2014,en,0,False,0,False,,Erica Starks,estarks
http://t.co/FWtBSyt6s7 Manhattan Solstice here we come!,Tue May 06 10:42:08 +0000 2014,en,0,False,0,False,,Erica Starks,estarks
An oldie but a goodie: http://t.co/J3i2EsDfLN,Fri Apr 25 06:40:41 +0000 2014,en,0,False,0,False,,Erica Starks,estarks
"Some barrios never lose their cool... Soho, NY60-style: http://t.co/dvBokvPzAS",Wed Apr 23 09:33:14 +0000 2014,en,0,False,0,False,,Erica Starks,estarks
Les Miserables is back on Broadway http://t.co/6jhZ21M5cD,Mon Apr 14 10:29:57 +0000 2014,en,0,False,0,False,,Erica Starks,estarks
please vote for newyork60!!!!! Mission: Small Business℠: http://t.co/vAHPmyZr,Tue Jun 19 13:07:31 +0000 2012,en,0,False,0,False,,Erica Starks,estarks
"#dotnetnuke looking for well-rounded dnn developer for hot trend multilingual e-commerce site, projects to start, then f-t",Mon Apr 27 17:05:36 +0000 2009,en,0,False,0,False,,Erica Starks,estarks
"#dot net nuke looking for well-rounded dnn developer for hot trend multilingual e-commerce site, projects to start, then f-t",Mon Apr 27 17:05:27 +0000 2009,en,0,False,0,False,,Erica Starks,estarks
"#dnn looking for well-rounded dnn developer for hot trend multilingual e-commerce site, projects to start, then f-t",Mon Apr 27 17:05:09 +0000 2009,en,0,False,0,False,,Erica Starks,estarks
joining twitter,Mon Apr 20 22:58:40 +0000 2009,en,0,False,0,False,,Erica Starks,estarks
