Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @JoshAtCoravin: Special thanks to Professor McNicholas @RoySocMed for his generous invitation to speak today @NEAVC @NeoTractInc https:/…,Fri Feb 26 16:39:15 +0000 2016,en,4,False,0,False,,Josh Makower,exploramed
My recent interview with MDDI is here: http://t.co/yy88SqWn,Sun Mar 04 05:33:22 +0000 2012,en,4,False,1,False,,Josh Makower,exploramed
We stand firmly behind our work.  A tale of dueling studies | StarTribune.com http://t.co/j1kyws7,Fri Jul 22 23:28:18 +0000 2011,en,0,False,1,False,,Josh Makower,exploramed
"An encouraging proposal.  An EIR program, if well run, could add balance and important mutual insights. http://t.co/mdGhXlH",Mon Jul 18 13:19:14 +0000 2011,en,1,False,0,False,,Josh Makower,exploramed
IDE process delays highlighted as one of the real areas of concern for medical innovation http://t.co/qKc6u9m,Fri Jul 01 06:35:11 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
New wellness caucus formed. http://t.co/1W2VfI7,Tue Jun 14 21:25:46 +0000 2011,en,1,False,0,False,,Josh Makower,exploramed
“@AdvaMedUpdate: 92% of Americans say it’s important for the U.S. to be the global leader in #medtech #innovation. http://t.co/ga2wz4l”,Tue Jun 14 19:29:34 +0000 2011,en,4,False,0,False,,Josh Makower,exploramed
@AdvaMedUpdate This is very powerful!,Tue Jun 14 19:29:18 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
Our study is downloadable here and other sites http://t.co/It146dX,Sat Jun 04 12:57:45 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
Device chief has his facts wrong about my study which has now been validated by several other recent studies http://t.co/qzguFsM,Sat Jun 04 12:55:18 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
Rep. Paulsen activating efforts for regulatory overhaul  http://t.co/AC86ZP6,Fri Jun 03 04:58:01 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
NeoTract in the news.  http://t.co/kc8K8ta,Thu Jun 02 14:22:33 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
More details on the discussion surrounding the Northwestern study  http://t.co/mNmMznC,Wed Jun 01 14:12:49 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
Editorial on the Northwestern Study adds emphasis http://t.co/uREnv9H,Mon May 30 05:10:12 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
New study released by Northwestern confirms and elaborates further on our research findings http://t.co/fFkq7ll,Wed May 25 23:18:06 +0000 2011,en,1,False,1,False,,Josh Makower,exploramed
SVB Report: 83% of all life science companies report the government could help them by improving the FDA process http://t.co/przjcqz,Thu May 12 04:35:22 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
Important perspective on IOM 510(k) report from Professor Ralph Hall released today: http://t.co/MTjj22c,Wed May 11 23:42:58 +0000 2011,en,0,False,0,False,,Josh Makower,exploramed
http://www.boston.com/business/healthcare/articles/2011/05/02/investors_mobilize_in_fight_to_shake_up_the_fda/,Mon May 02 05:16:05 +0000 2011,und,1,False,1,False,,Josh Makower,exploramed
