Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @trinityventures: Go Owler! Blowing past 250K active users @pnakache @owlerinc @ohttp://www.prweb.com/releases/owler/competitiveintellig…,Tue Apr 26 17:55:56 +0000 2016,en,3,False,0,False,,Jim Fowler,fowlinator
"Thanks @NorwestVP we're excited, and @owlerinc is only getting started",Tue Apr 26 17:29:01 +0000 2016,en,0,False,1,False,,Jim Fowler,fowlinator
I’m so proud of my team at @owlerinc for blowing past 250K Active Users! https://t.co/QOUdVGWj78 https://t.co/Ezd7S9QnRx,Tue Apr 26 16:49:28 +0000 2016,en,6,False,2,False,,Jim Fowler,fowlinator
@AnandThaker @owlerinc @fowlinator,Sat Apr 09 14:58:22 +0000 2016,und,0,False,0,False,,Jim Fowler,fowlinator
"""17 Awesome Business Tools You Need To Be Using"" by Dan Waldschmidt https://t.co/eqHGosWGhs - thanks for the shout-out Dan!",Wed Feb 17 17:28:57 +0000 2016,en,1,False,2,False,,Jim Fowler,fowlinator
I voted for Bridget Dolan (@Sephora) in the #CojonesAwards! http://t.co/sedtJTLbKb #SXSW #CMO @nFusion,Tue Mar 03 18:48:45 +0000 2015,en,0,False,6,False,,Jim Fowler,fowlinator
"I got ""Ross Perot"" on ""Which Business Tycoon Are You?"" What about you?",Tue Feb 17 17:45:33 +0000 2015,en,0,False,0,False,,Jim Fowler,fowlinator
10 Signs You’re a Tech Marketer - Owler Blog http://t.co/DN2HNRe6IP,Wed Feb 04 19:15:51 +0000 2015,en,1,False,3,False,,Jim Fowler,fowlinator
This Startup helps you Outsmart Your Competition | http://t.co/kTFGbO1oVp - Sales 4 Startups http://t.co/iGsTaPAH8y via @sales4_startups,Wed Dec 17 20:32:24 +0000 2014,en,1,False,10,False,,Jim Fowler,fowlinator
Great article by Barbara Giamanco: Smarter = More Sales - http://t.co/JlLqKMVjvo,Sat Dec 13 12:31:49 +0000 2014,en,1,False,0,False,,Jim Fowler,fowlinator
"RT @AdamJanofsky: When building a crowdsourced business, money is a bad motivator, says @fowlinator http://t.co/98UKFt4UGL",Fri Oct 31 15:36:59 +0000 2014,en,1,False,0,False,,Jim Fowler,fowlinator
"If I Had 1 Million Profiles...: http://t.co/BdtfTw1zdj via @YouTube

Very proud of my amazing team.  DnB - we are coming for you!",Wed Aug 27 06:48:47 +0000 2014,en,1,False,0,False,,Jim Fowler,fowlinator
Gold leaf on my Sushi.  A first.  At Kabuto in SF. http://t.co/qp1sFiQ2un,Thu Jan 09 03:57:39 +0000 2014,en,0,False,0,False,,Jim Fowler,fowlinator
The Sources of Inequality http://t.co/cwmkV4vp0n,Tue Jan 07 16:36:17 +0000 2014,en,0,False,0,False,,Jim Fowler,fowlinator
What to Do When ObamaCare Unravels http://t.co/1SOJJZMpg5 via @CatoInstitute,Fri Dec 27 00:58:33 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
I found this incredibly moving: http://t.co/EIHZ7KSiAE,Thu Nov 21 18:05:43 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
@sullytoduffy @garthm  Love it!  Yes I do! : ),Wed Oct 30 21:54:53 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
"We won, but it was painful. We should have never had to fight this battle.  http://t.co/feeShGk2so via @Shareaholic",Mon Oct 07 18:04:32 +0000 2013,en,2,False,3,False,,Jim Fowler,fowlinator
"Just back from India. Went to Kashmir and rented a Royal Enfield. Rode it up to Khardung La pass-18,380 feet! http://t.co/aCcpJwyWiA",Mon Jul 15 02:12:14 +0000 2013,en,0,False,1,False,,Jim Fowler,fowlinator
Getting steaks at Bobo's with the founders of Personify - @stkrause  @adam_g.  Awesome guys! http://t.co/kbpNbDOOSY,Wed Mar 27 02:33:45 +0000 2013,en,2,False,2,False,,Jim Fowler,fowlinator
Irish Car Bombs to celebrate Jake Dupont's 48th. http://t.co/8rKTbbtLRh,Sun Mar 24 00:22:17 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
California businesses fuming over retroactive $120M tax grab | Fox News http://t.co/sZapHF5e19 via @foxnewspolitics,Wed Mar 20 00:24:33 +0000 2013,en,1,False,1,False,,Jim Fowler,fowlinator
Driving my little Yeti to school. http://t.co/zkke9GEKE3,Wed Feb 27 16:46:58 +0000 2013,en,1,False,0,False,,Jim Fowler,fowlinator
The California tax that terrifies tech http://t.co/96UKhgVkqe via @FortuneMagazine,Thu Feb 21 19:31:43 +0000 2013,en,3,False,1,False,,Jim Fowler,fowlinator
@ethanprater pulls 4 bullets and a big ass pot in the Man Cave. http://t.co/4X2IoOgo,Wed Feb 06 04:52:01 +0000 2013,en,0,False,1,False,,Jim Fowler,fowlinator
Stop the Retroactive Tax on Small Business Owners in California https://t.co/jG9CdPsW via @change,Fri Feb 01 17:24:34 +0000 2013,en,1,False,1,False,,Jim Fowler,fowlinator
"CEOs, Legislators Fight Retroactive Tax on Small-Business Investors | Xconomy http://t.co/nlb21fps via @xconomy",Tue Jan 29 22:46:04 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
Really funny:  http://t.co/MHLZhKwy,Wed Jan 16 19:49:17 +0000 2013,en,0,False,0,False,,Jim Fowler,fowlinator
My friend Marc Parrish wrote this. Great article! How Big Data Can Solve America's Gun Problem - The Atlantic http://t.co/FcRsKpJT,Thu Dec 27 23:21:32 +0000 2012,en,0,False,0,False,,Jim Fowler,fowlinator
Playing poker in India with the original Jigsaw Cobra (Rajan Madhavan).  First taste of the Black Dog. http://t.co/798wC8M3,Wed Dec 05 14:07:16 +0000 2012,en,0,False,0,False,,Jim Fowler,fowlinator
Obama is killing the goose that is laying the golden egg: http://t.co/cgzO0fP2,Mon Dec 03 03:01:17 +0000 2012,en,0,False,0,False,,Jim Fowler,fowlinator
Rating the toilets at Changi Airport in Singapore.  I want these in the U.S.! http://t.co/Sj9V9j0g,Wed Nov 28 13:07:09 +0000 2012,en,5,False,5,False,,Jim Fowler,fowlinator
Running Wild in San Francisco.  Fundraiser for Toys For Tots. http://t.co/otnJRJau,Sun Nov 25 16:56:44 +0000 2012,en,1,False,1,False,,Jim Fowler,fowlinator
"On the Bourbon Trail near Lexington, KY.  My favorite distillery so far is Four Roses. http://t.co/LgTtgiVX",Sun Nov 18 02:11:51 +0000 2012,en,0,False,0,False,,Jim Fowler,fowlinator
