Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
8 Ways of Treating Struggle as Your Pathway to Success. Read more at: https://t.co/aTkfPOA7GO,Thu May 05 13:02:04 +0000 2016,en,5,False,7,False,,Gurbaksh S. Chahal,gchahal
"RT @mkoori: ""You quit you lose, you keep going you may still lose but your ambiton will never die.""~@gchahal",Thu May 05 13:01:02 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
"RT @vindiandiary: Gurbaksh Chahal : Who Sold Two Companies Worth US $340 Million At The Age of 25

Gurbaksh Singh Chahal has... https://t.c…",Thu May 05 08:31:57 +0000 2016,en,3,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @kapoorgaurav7: Gurbaksh Chahal : Who Sold Two Companies Worth US $340 Million At The Age of 25  https://t.co/WvV6DuTrsG,Thu May 05 06:09:02 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @PrivCo: .@Gravity4 ranked #1 as the top acquirer in the Internet sector in the PrivCo Private Tech Co. M&amp;A Report https://t.co/4VSh9bOM…,Wed May 04 04:19:02 +0000 2016,en,5,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @rishu_banarasi: @myperchlibrary @gchahal great times https://t.co/542WpVc8NC,Mon May 02 02:12:47 +0000 2016,en,3,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @mrsharma: One of the most interesting articles I've read all week - all about high-frequency ad arbitrage https://t.co/8ObmJCct2q (h/t…,Sun May 01 09:19:34 +0000 2016,en,5,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @gurpreetgurm: So glad I stumbled upon this ❤️. Just WOW.  I feel great @gchahal  https://t.co/PwbbDReSTm,Fri Apr 29 19:28:46 +0000 2016,en,5,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @WITNewMan: “A reputation for fair play and integrity is priceless.” – All great tips via @gchahal https://t.co/cXExxXeN10,Fri Apr 29 19:28:13 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
"RT @HillaryClinton: Turning away Muslims, pitting Americans against each other, inciting violence and chaos—these aren't our values.
https:…",Thu Apr 28 06:34:32 +0000 2016,en,2695,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @kevinhuanghk: The Rise of Digital Advertising in Asia https://t.co/EsThSgp9RL via @business #pixels #gravity4,Thu Apr 28 04:41:02 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
"Congrats @KevinHuangHK, on a great interview on Bloomberg Television today! https://t.co/Qqn6xeTS36",Thu Apr 28 03:12:02 +0000 2016,en,1,False,3,False,,Gurbaksh S. Chahal,gchahal
RT @kevinhuanghk: Pixels launches programmatic offering with 'the human touch' - #gravity4 via @RobinHicks_  https://t.co/ST7yX1bNqt,Thu Apr 28 01:32:53 +0000 2016,en,2,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @kevinhuanghk: PR: Pixels redefines Programmatic Advertising in Asia #pixels #gravity4  https://t.co/x0EPW5L8Xb,Thu Apr 28 00:41:02 +0000 2016,en,2,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @katkatrink: The definition of being rich is knowing you have made a difference. https://t.co/L5OnqoqW0j,Wed Apr 27 17:33:37 +0000 2016,en,3,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @c_isHappy: A must read!! #goals #purpose #blessings  https://t.co/tSXFIXcctQ,Wed Apr 27 17:33:24 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
"RT @amysusd: Worth a read...
#inspiration #intentions https://t.co/siSlMHqUiN",Wed Apr 27 17:33:12 +0000 2016,en,3,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @DrEdwardMooney: Remind yourself of why you teach - do that every day.  Never forget your purpose. https://t.co/DeTgenHDPG,Wed Apr 27 17:33:02 +0000 2016,en,2,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @purposefulpath: #TuesdayMotivation #limitless #leadership #inspiration  Your life is a song and only you can make sure it's in tune htt…,Wed Apr 27 17:33:01 +0000 2016,en,3,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @ChristinaGirou1: @gchahal loved this! Thank you for the reminder.,Wed Apr 27 17:32:40 +0000 2016,en,2,False,0,False,,Gurbaksh S. Chahal,gchahal
"RT @danmacadam: Awesome...  Attract what you expect, reflect what you desire, become what you respect, mirror what you admire. https://t.co…",Wed Apr 27 17:32:31 +0000 2016,en,2,False,0,False,,Gurbaksh S. Chahal,gchahal
"RT @PrabhleenKaur8: Such a beautiful article by @gchahal  #AlwaysInspiring #RulesToLiveBy #PerfectMorningRead #DreamBigHustleHarder :D 
htt…",Wed Apr 27 17:32:16 +0000 2016,en,6,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @austelli: 🙏🏽💕 https://t.co/5KpHD8QbWY,Wed Apr 27 03:14:39 +0000 2016,und,2,False,0,False,,Gurbaksh S. Chahal,gchahal
RT @SRiesterer: Outstanding perspective for positivity and personal power from @gchahal #LiveWithPassion #Leadership https://t.co/1cROd96stQ,Tue Apr 26 08:54:02 +0000 2016,en,4,False,0,False,,Gurbaksh S. Chahal,gchahal
