Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"LookingGlass Cyber Solutions, chosen for our 20 Most Promising Enterprise Security Companies list, has... https://t.co/tqyKEErqix",Fri Apr 22 23:22:26 +0000 2016,en,0,False,0,False,,Gilman Louie,gglouie
Sanders lectures about divisiveness as he preaches class warfare.,Sat Mar 05 16:23:56 +0000 2016,en,0,False,3,False,,Gilman Louie,gglouie
It's not about the income gap but about the opportunity gap.,Thu Mar 03 14:46:36 +0000 2016,en,0,False,1,False,,Gilman Louie,gglouie
Sanders and Trump have made this race not about the American Dream but about American Disillusionment.  We need to united not hate.,Thu Mar 03 14:45:17 +0000 2016,en,0,False,2,False,,Gilman Louie,gglouie
The problem with a 72% aggregate income tax rate is not that the rich gets taxed but rather that the middle class is not allowed to get rich,Wed Mar 02 04:40:51 +0000 2016,en,1,False,1,False,,Gilman Louie,gglouie
"Hard to imagine how Rock, who was supposed to call out the Oscars on diversity, could then make a cheap Asian joke.  Asians don't matter?",Wed Mar 02 03:42:38 +0000 2016,en,1,False,2,False,,Gilman Louie,gglouie
"We must take responsibility for what we code.  Today, our code lives in a gobal virtual system and can have unintended and emergent behavior",Mon Jan 11 14:42:19 +0000 2016,en,2,False,1,False,,Gilman Louie,gglouie
"Time to reinvent high schools in America!
https://t.co/kCTjKy9wSM",Sun Sep 13 23:47:10 +0000 2015,en,2,False,1,False,,Gilman Louie,gglouie
The U.S. will move from a knowledge economy to a design economy within the next 20 years. Design skills will out weight knowledge skills.,Wed Sep 09 16:02:32 +0000 2015,en,4,False,4,False,,Gilman Louie,gglouie
"Wage inequity is the wrong issue, opportunity inequity is the right issue. The wealth of a family should not be the principle success factor",Tue Sep 08 13:45:20 +0000 2015,en,1,False,1,False,,Gilman Louie,gglouie
The presidential candidates should all read America's Moment.  It is a bipartisan approach to moving the country forward and restoring hope,Fri Jun 19 20:07:49 +0000 2015,en,1,False,2,False,,Gilman Louie,gglouie
"@thecipherbrief 

For those who will never be fully recognized for those who made the ultimate sacrifice for our country",Fri May 29 13:49:17 +0000 2015,en,0,False,0,False,,Gilman Louie,gglouie
RT @thecipherbrief: Soldiers Without Uniforms: How the CIA Remembers Its Fallen: http://t.co/5z6l2v7szs,Fri May 29 13:47:58 +0000 2015,en,3,False,0,False,,Gilman Louie,gglouie
Another oldie I just acquired.  Commodore Pet 2001 http://t.co/Y0SA12kLg4,Thu Jan 22 07:59:42 +0000 2015,en,1,False,7,False,,Gilman Louie,gglouie
@Krewell @gglouie @salsop @alsoplouie @ComputerHistory that's my favorite s100 machine!  Very cool,Thu Jan 22 07:58:26 +0000 2015,en,0,False,0,False,,Gilman Louie,gglouie
@Krewell @salsop @gglouie @alsoplouie I got it at http://t.co/DurvRIjiBC. They make a functional clone using modern ICs to emulate the 8080.,Thu Jan 22 06:25:38 +0000 2015,en,2,False,1,False,,Gilman Louie,gglouie
@fcc_cio @milouness @lewisshepherd @bobgourley @gglouie @Gov20LA @AndrewNebus @ValaAfshar @mdennedy   Great group to be associated with!,Sat Jan 03 21:58:02 +0000 2015,en,5,False,2,False,,Gilman Louie,gglouie
"Someone complained to me, •why technology never seems to work?""  I replied, "" if it worked we wouldn't have to call it technology.""",Fri Dec 05 18:55:36 +0000 2014,en,3,False,2,False,,Gilman Louie,gglouie
@Baha_AbuNojaim you're right!,Fri Oct 03 05:08:42 +0000 2014,en,0,False,0,False,,Gilman Louie,gglouie
@comatose_kid @oculus got to get a development kit!,Fri Oct 03 05:08:09 +0000 2014,en,0,False,0,False,,Gilman Louie,gglouie
Entrepreneurs should fear successful irrelevancy more than bold failure.,Thu Oct 02 20:51:05 +0000 2014,en,1,False,5,False,,Gilman Louie,gglouie
Great CEOs make great strategic investments based on vision and not on stock price or for the approval of pundits.,Wed Aug 27 04:56:26 +0000 2014,en,5,False,7,False,,Gilman Louie,gglouie
Leadership is doing the right thing regardless of popularity.,Thu Jun 12 18:50:38 +0000 2014,en,2,False,3,False,,Gilman Louie,gglouie
"The brave embraces one's own fear and uses it to inform decisions, not to make decisions.",Thu Jun 12 18:48:49 +0000 2014,en,0,False,1,False,,Gilman Louie,gglouie
Knowledge and data are the new battle grounds for Free Trade,Wed May 14 15:49:32 +0000 2014,en,0,False,1,False,,Gilman Louie,gglouie
"EU vs Google:while I am a believer in privacy, I am also a believer that access to the whole truth is a fundamental tenet of an open society",Wed May 14 14:28:04 +0000 2014,en,1,False,1,False,,Gilman Louie,gglouie
Google Glass faces the same challenges the Apple Newton did.  Immature technology suffering from social stigma. http://t.co/6TnLlD3OkU,Tue Apr 29 15:20:27 +0000 2014,en,10,False,8,False,,Gilman Louie,gglouie
"We all can help to make the world a better place by starting with the question, "" how can I help?"" rather than ""what's in it for me?""",Sun Apr 20 19:28:16 +0000 2014,en,8,False,7,False,,Gilman Louie,gglouie
@SkyKnight2013 go Falconeers!,Sun Apr 20 19:21:14 +0000 2014,en,0,False,0,False,,Gilman Louie,gglouie
Hard makes work worth doing.,Wed Mar 05 13:45:14 +0000 2014,en,0,False,0,False,,Gilman Louie,gglouie
I 3D-Printed An AR-15 Assault Rifle — And It Shoots Great! http://t.co/amWsznGAni via @bi_contributors,Wed Dec 04 17:39:07 +0000 2013,en,6,False,1,False,,Gilman Louie,gglouie
"Visionaries are not forecasters.  They envision a better alternative to what ""should"" happen and then find a disruptive way to get there.",Fri Nov 15 14:02:23 +0000 2013,en,9,False,9,False,,Gilman Louie,gglouie
@gglouie nike fuel meter. Simple UI.  Good looking.  Brilliant display. Makes a good reminder to get off your seat and exercise every day.,Sat Feb 02 17:43:26 +0000 2013,en,1,False,0,False,,Gilman Louie,gglouie
Bug.  Woke up. Circle Goal Meter already said I did 3200 fuel units in phone. Daily chart only shows 107.  Band also shows 3200-wrong,Sat Feb 02 17:36:36 +0000 2013,en,0,False,0,False,,Gilman Louie,gglouie
End of traditional values? Immigrant spirit. Opportunity.  Civil rights. Diversity. Big Tent. Women rights. Fair play. Respect.  US is OK.,Sat Nov 10 02:48:10 +0000 2012,en,0,False,1,False,,Gilman Louie,gglouie
"Welcome to Net Power and Light who has just launched Spin to revolutionize how people learn and share.

http://t.co/89obRIAS",Tue Oct 02 21:37:48 +0000 2012,en,3,False,0,False,,Gilman Louie,gglouie
Great startups optimize for exit value not round price.,Sat Jun 09 18:18:37 +0000 2012,en,6,False,4,False,,Gilman Louie,gglouie
"Great entrepreneurs are not
hampered by everyone else's reality because they create their own.",Sun Mar 25 15:13:50 +0000 2012,en,36,False,15,False,,Gilman Louie,gglouie
