Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
.@RyverApp enables building LARGE #teamofteams. Why Ryver is free! https://t.co/FyNX9acVBZ #dontpayslack #startups https://t.co/Ebtqnud2L9,Thu May 05 03:14:22 +0000 2016,en,0,False,0,False,,Pat Sullivan,Golfsullivan
The problem @ryverapp and Slack solve? https://t.co/85L4WnNWRo via @golfsullivan #startups #entrepreneur https://t.co/8NRStw2JoS,Wed May 04 15:14:17 +0000 2016,en,0,False,1,False,,Pat Sullivan,Golfsullivan
Perhaps the most important 3 qualities for every entrepreneur.  #entrepreneur #startup #tech https://t.co/9yU00bShw9 https://t.co/vLOFqu4DXT,Wed May 04 03:14:21 +0000 2016,en,0,False,2,False,,Pat Sullivan,Golfsullivan
I want to close a sale before my competitor even knows there is an opportunity!  @ryverapp allows you to so it. https://t.co/JXDTsFubwj,Tue May 03 18:35:06 +0000 2016,en,1,False,1,False,,Pat Sullivan,Golfsullivan
@ryverapp is all about speed. Email kills #TeamCommunication.  Here is an example. https://t.co/ll3I6rUryG https://t.co/ySlqvJH2Ec,Tue May 03 18:30:46 +0000 2016,en,0,False,0,False,,Pat Sullivan,Golfsullivan
".@victor_ruiz Thx Victor.  Saw it.  Not sure I agree with their reasons or product, but certainly their conclusion!  :)",Tue May 03 15:38:13 +0000 2016,en,0,False,1,False,,Pat Sullivan,Golfsullivan
"Best biz book I've read in a decade ""Team of Teams"". Team Comm Software like @ryverapp is needed by every #startup https://t.co/iQS2MS8HP3",Tue May 03 15:14:16 +0000 2016,en,2,False,0,False,,Pat Sullivan,Golfsullivan
.@ryverapp - on a mission to give Team Comm Software to everyone for free! https://t.co/fIQV9LPszo @golfsullivan https://t.co/z1f8F9T7N4,Tue May 03 03:14:22 +0000 2016,en,1,False,1,False,,Pat Sullivan,Golfsullivan
This is painfully all true!  Software is simply hard shit...  https://t.co/ONVcOyrDy4 via @techcrunch,Tue May 03 00:18:41 +0000 2016,en,0,False,0,False,,Pat Sullivan,Golfsullivan
Ryver is the best for #teamofteams. Team Communication has to be free! #dontpayslack  https://t.co/VECrgBPQ3U https://t.co/PKVd1k1cG6,Mon May 02 15:14:16 +0000 2016,en,1,False,1,False,,Pat Sullivan,Golfsullivan
.@ryverapp makes #teamofteams possible. Every startup will love Ryver! https://t.co/OjFR9Eqt2F  #entrepreneur https://t.co/Fse6SSXrxY,Mon May 02 03:14:21 +0000 2016,en,1,False,1,False,,Pat Sullivan,Golfsullivan
Big Slack Communities have great pain. @ryverapp makes the pain go away! #dontpayslack https://t.co/dhVxTBsXEv https://t.co/ZnshaaqMRc,Sun May 01 15:14:18 +0000 2016,en,0,False,0,False,,Pat Sullivan,Golfsullivan
.@sgblank interview. Insights on #entrepreneurship and #startup by @Golfsullivan @RyverApp. https://t.co/gLsa1dBx22 https://t.co/WsKo82IUc1,Sun May 01 03:14:21 +0000 2016,en,1,False,11,False,,Pat Sullivan,Golfsullivan
Free ebook for #entrepreneurship and #startup from experience with my 6 startups. https://t.co/0xK7gyyPvv https://t.co/oHsbhcNyis,Sat Apr 30 15:14:17 +0000 2016,en,0,False,1,False,,Pat Sullivan,Golfsullivan
