Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
i.am.art_'s photo https://t.co/fkYSW27xEA check this awesome workout . Looks just like me,Sun May 01 05:39:28 +0000 2016,en,0,False,2,False,,Glen Davis,iambigbaby11
I love this song !!!! Who sings it ? https://t.co/dnbwFMybfa,Wed Apr 27 01:33:12 +0000 2016,en,0,False,11,False,,Glen Davis,iambigbaby11
Here's the link ! https://t.co/MJZX8lbTd4,Wed Feb 17 20:07:37 +0000 2016,en,0,False,2,False,,Glen Davis,iambigbaby11
Thanks to The Fumble @Obsevsports for putting this hilarious content together+check my interview w/@IamCrystalMarie https://t.co/urwHc4zUCw,Wed Feb 17 20:07:22 +0000 2016,en,4,False,10,False,,Glen Davis,iambigbaby11
Please vote for my Foundation's Christmas Ornament https://t.co/EAUq5RlZpL,Tue Dec 08 15:56:07 +0000 2015,en,2,False,8,False,,Glen Davis,iambigbaby11
I had an amazing time with my people at the Grand Opening of Raising Cane's in Costa Mesa. Make sure you stop thru!! https://t.co/754DT8pGQY,Thu Oct 29 19:41:10 +0000 2015,en,7,False,23,False,,Glen Davis,iambigbaby11
"Im here with my people for the Grand Opening of Raising Cane's at 3150 Harbor Blvd in Costa Mesa. Come thru, get some food &amp; show some love!",Thu Oct 29 16:22:26 +0000 2015,en,0,False,12,False,,Glen Davis,iambigbaby11
You might see a familiar face around Costa Mesa this Thursday. Stay Tuned!,Tue Oct 27 01:17:56 +0000 2015,en,1,False,20,False,,Glen Davis,iambigbaby11
RT @HisAndHers: When Kanan killed Shawn in the second season of @Power_Starz... http://t.co/bdx7zvXjWl,Tue Aug 18 18:54:13 +0000 2015,en,117,False,0,False,,Glen Davis,iambigbaby11
RT @espn: Well @RoFloESPN was certainly excited about having Glen @iambigbaby11 Davis here on campus today ... http://t.co/mshCxyoYV6,Tue Aug 18 18:51:28 +0000 2015,en,121,False,0,False,,Glen Davis,iambigbaby11
