Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@JackHeat_On lads trip?,Tue May 03 19:01:57 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@JackHeat_On OMG HANDKE WAAAAAA,Tue May 03 18:48:11 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @zoe_murtagh: https://t.co/3QZjQzx4CZ Some thoughts on Get Yourself Together by @J_JCoates @anna_ryder  @mrjvarney in advance of @rxthea…,Tue May 03 13:25:39 +0000 2016,en,9,False,0,False,,Josh Coates,J_JCoates
WHat a lovely morning to wake up to. Weather is a bit shit but the new Death Grips album is out so...,Tue May 03 07:55:29 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@TheConkerGroup heya! hooray! Looking forward to seeing you on Friday :),Mon May 02 22:22:07 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @newdiorama: A little emotional. Over £600 in under an hour. Lucky that you're in our corner. Thank you. https://t.co/NFNZVa1NWM https:/…,Mon May 02 22:21:13 +0000 2016,en,12,False,0,False,,Josh Coates,J_JCoates
@AlexJMarlow it is true. I am a rascal,Mon May 02 16:21:50 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@churlishmeg @mrjvarney he's very good at presents. He got me a Eddie Stobart toy once as well 👍,Mon May 02 16:21:00 +0000 2016,en,0,False,2,False,,Josh Coates,J_JCoates
@churlishmeg @mrjvarney he made me a mug in the style of his blog for my birthday last year https://t.co/YWyokJWPhX,Mon May 02 16:04:32 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @guardianstage: Tonight's top tickets inc shows @rxtheatre @marlowetheatre and @royalcourt  https://t.co/rvakm2SQNa,Mon May 02 13:12:30 +0000 2016,en,3,False,0,False,,Josh Coates,J_JCoates
"RT @hannahnicklin: You can now play the storygame Teviot Tales, based on the stories of the Teviot Estate, E14 https://t.co/HctH2i28bC http…",Mon May 02 12:14:48 +0000 2016,en,18,False,0,False,,Josh Coates,J_JCoates
This is my mate Johnny. He's top. Go see him. https://t.co/Ru4Ut3L1eG,Sun May 01 10:38:03 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
Washed the chocolate stain off my jeans so it doesn't look like I've shit myself. 😶👍,Sat Apr 30 18:24:01 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @MatthewLinley: Morning @J_JCoates @danielbye can I interest either of you in this https://t.co/WbEchBodcK ..and do share!,Sat Apr 30 09:13:17 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
If theatre could ever be as good as Happiness of the Katurkuris the world would be a better place,Fri Apr 29 20:58:06 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@Postcards_Gods somewhere centralish or easy to get to the centre,Fri Apr 29 09:02:30 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
If i were to hypothetically spend a week in Birmingham in June where would you suggest I stayed?,Fri Apr 29 07:52:08 +0000 2016,en,0,False,1,False,,Josh Coates,J_JCoates
@harriepw just read up their website. Was a little sick in my mouth.,Thu Apr 28 19:14:47 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @ajlatimer: BLOG: an intro to North East progression routes and young theatre-makers https://t.co/Jd62N3ZYT4,Thu Apr 28 17:58:10 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
@ajlatimer INTERESTING,Thu Apr 28 17:50:46 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
°·‚·° - argh - a bear,Thu Apr 28 15:21:22 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
This is proper miserable news.   https://t.co/N2LYRB3ogv,Thu Apr 28 15:07:22 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @piglungs: Manchester and Salford - @Gartykitching is coming to @The_Lowry this week with one of the best shows I've ever seen https://t…,Thu Apr 28 08:19:25 +0000 2016,en,4,False,0,False,,Josh Coates,J_JCoates
I realise that my tweets or either pathos riddles quips or promotion tweets. Sorry.,Wed Apr 27 21:37:47 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
I'm terrified by how significant this week has become.,Wed Apr 27 21:37:06 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
This week has turned into a really significant week.,Wed Apr 27 21:26:46 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
RT @climatemessages: https://t.co/jDcETwUWeF,Wed Apr 27 21:12:27 +0000 2016,und,1,False,0,False,,Josh Coates,J_JCoates
@MatthewLinley @FrederiksHopeSt @danielbye one of the many fringe events happening over the week,Wed Apr 27 19:52:09 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
"RT @ambermb: I'm going to do a FREE intro to marketing workshop on Mon 23 May, 11am for emerging artists. Please email anna@cptheatre.co.uk…",Wed Apr 27 15:25:24 +0000 2016,en,26,False,0,False,,Josh Coates,J_JCoates
RT @ManchesterMind: TONIGHT @kraakgallery art &amp; music 7pm til late - suggested £1 entry for @ManchesterMind https://t.co/mg4O6F53tU https:/…,Wed Apr 27 12:36:19 +0000 2016,en,3,False,0,False,,Josh Coates,J_JCoates
@danielbye @MatthewLinley @unitytheatre The price of Going 404 on an Oil Rig.,Wed Apr 27 07:52:40 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@danielbye @unitytheatre The Dan Bye festival of Dan Bye featuring Dan Bye.,Wed Apr 27 07:43:56 +0000 2016,ht,0,False,0,False,,Josh Coates,J_JCoates
RT @rampantplays: QUESTIONS OF ENGLAND is a new quirky experimental performance free to experience in Manchester 8-10 May 6-8pm https://t.c…,Wed Apr 27 07:41:26 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
RT @NICritics: .@TheStage launches it's 2nd Critic Search! Who's going to enter? https://t.co/wlXzjRMbsp,Wed Apr 27 06:59:21 +0000 2016,en,3,False,0,False,,Josh Coates,J_JCoates
RT @42ndStreetmcr: One week left to apply for @42ndStreetmcr IAPT Practitioner post.Full details at: https://t.co/yzmhGCXBTU #mentalhealth…,Wed Apr 27 06:56:35 +0000 2016,en,4,False,0,False,,Josh Coates,J_JCoates
@EstherArwenDix @rxtheatre cheers Esther :),Tue Apr 26 17:18:45 +0000 2016,es,0,False,1,False,,Josh Coates,J_JCoates
"RT @Seniath: Fuck whoever thought this ad was a good idea. “what if, right, a giant banker was taking a literal shit on the city” https://t…",Tue Apr 26 09:13:48 +0000 2016,en,1514,False,0,False,,Josh Coates,J_JCoates
RT @designingout: @thechapesszine O! If U kno any1 who might wana submit to the 2nd issue of Designing Out Suicide- here's the info https:/…,Mon Apr 25 16:28:11 +0000 2016,en,4,False,0,False,,Josh Coates,J_JCoates
Someone help! Does anyone know anyone with a roland tr 606 in the Manchester area? Looking to borrow or possibly purchase.,Mon Apr 25 09:06:55 +0000 2016,en,6,False,0,False,,Josh Coates,J_JCoates
RT @zoe_murtagh: I want to be a submerging artist,Fri Apr 22 20:28:16 +0000 2016,en,8,False,0,False,,Josh Coates,J_JCoates
RT @PowderKeg_: We let @J_JCoates update our twitter page. He's very proud of it.,Fri Apr 22 12:38:58 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
RT @ahcayley: 👏🏻 mocking 👏🏻 people 👏🏻 who 👏🏻mourn 👏🏻 celebrities 👏🏻 is 👏🏻 to 👏🏻 wilfully 👏🏻 deny 👏🏻 the 👏🏻 impact 👏🏻 art 👏🏻 has 👏🏻 on 👏🏻 ou…,Fri Apr 22 08:55:38 +0000 2016,en,296,False,0,False,,Josh Coates,J_JCoates
RT @QueenTrackZine: RESEARCH CALL OUT: Are you a creative living outside of London aged 18-34? See below and help out our pal Myrid! https:…,Thu Apr 21 15:16:01 +0000 2016,en,9,False,0,False,,Josh Coates,J_JCoates
The excellent @BureauBlackburn are running this tomorrow https://t.co/9GlOkftm8k if you're in and about Lancashire pop down!,Thu Apr 21 11:55:12 +0000 2016,en,1,False,0,False,,Josh Coates,J_JCoates
RT @The_Lowry: Tonight we have an extraordinary show from @whoustoun - will you be joining us for Pact with Pointlessness? https://t.co/QkF…,Thu Apr 21 10:27:12 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
RT @GreyscaleTC: Does one need a room of one's own? Our highly recommended studio can be booked for May rehearsals now. Go to https://t.co/…,Thu Apr 21 10:01:39 +0000 2016,en,3,False,0,False,,Josh Coates,J_JCoates
"RT @theatremagazine: ""an act of faith in the possibility of theatre"" - Maddy Costa on Preston's Derelict fest  https://t.co/59Zi4Bfoxb http…",Thu Apr 21 09:38:07 +0000 2016,en,7,False,0,False,,Josh Coates,J_JCoates
RT @Sleepw_lk: BIG NEWS: https://t.co/SQGRbq7EdZ,Wed Apr 20 21:47:58 +0000 2016,en,5,False,0,False,,Josh Coates,J_JCoates
This is proper exciting  https://t.co/1d4TWLoXVk,Wed Apr 20 16:25:58 +0000 2016,en,3,False,0,False,,Josh Coates,J_JCoates
Heartbreaking news about Victoria Wood. What a fucking miserable year,Wed Apr 20 15:11:22 +0000 2016,en,0,False,2,False,,Josh Coates,J_JCoates
@MeganMegaMegMe It's my public engagement,Wed Apr 20 15:06:49 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@mrjvarney yaaaaay,Wed Apr 20 13:45:51 +0000 2016,und,0,False,0,False,,Josh Coates,J_JCoates
lol https://t.co/dC3KxCxKQ5,Wed Apr 20 13:35:01 +0000 2016,und,0,False,0,False,,Josh Coates,J_JCoates
@PlymouthFringe Josh Coates : official fan boy of Plymouth Fringe,Wed Apr 20 13:26:24 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@PlymouthFringe @JackHeat_On happiest day of my lyf,Wed Apr 20 13:23:47 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@JackHeat_On @PlymouthFringe gonna kiss it. Exited for you to come down!,Wed Apr 20 13:14:14 +0000 2016,en,0,False,0,False,,Josh Coates,J_JCoates
@inbedwithmybro @PlymouthFringe Sound!,Wed Apr 20 12:46:01 +0000 2016,en,0,False,1,False,,Josh Coates,J_JCoates
"To conclude, @PlymouthFringe line up this year looks really fucking strong.",Wed Apr 20 11:56:36 +0000 2016,en,0,False,3,False,,Josh Coates,J_JCoates
"Oh yeah, supposed to promote my own show...",Wed Apr 20 11:53:58 +0000 2016,en,0,False,1,False,,Josh Coates,J_JCoates
And this also sounds great @Full_Pelt https://t.co/6sHIOuplab right up my street,Wed Apr 20 11:51:36 +0000 2016,en,1,False,0,False,,Josh Coates,J_JCoates
Also hope I'm down in Plymouth in time for @DissolveTheatre https://t.co/5I0TIqjTQ8 This just sounds wonderful.,Wed Apr 20 11:50:19 +0000 2016,en,1,False,0,False,,Josh Coates,J_JCoates
.@PlymouthFringe has gone on sale! Means I can buy tickets to finally see @inbedwithmybro.Gonna bring my maracas https://t.co/0Gy1sytJ2s,Wed Apr 20 11:47:34 +0000 2016,en,1,False,3,False,,Josh Coates,J_JCoates
@sophiewillan @artwith_heart Have a cracking day! Sending lots of love,Wed Apr 20 10:53:10 +0000 2016,en,0,False,2,False,,Josh Coates,J_JCoates
RT @_creedon_: @creativetourist looking for replacement act for mental health charity gig this Sat in Manc. Can you help pls? https://t.co/…,Wed Apr 20 09:21:43 +0000 2016,en,2,False,0,False,,Josh Coates,J_JCoates
@Nadia_Molinari @lee_mattinson Will have to make sure I catch that!,Tue Apr 19 23:15:46 +0000 2016,en,0,False,2,False,,Josh Coates,J_JCoates
