Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @drseisenberg: @JaredHeyman, CEO, @CrowdMed LIVE on the @drstevenshow TODAY 3:30 PM PST WATCH here: https://t.co/IzcwbUhQWH #xmed #digit…",Thu Apr 07 21:23:48 +0000 2016,en,1,False,0,False,,Jared Heyman,jaredheyman
"Speaking Thursday at @CAWorld in #vegas. Many thanks to @wiredinsider and @CAinc for the invite, and helping to fund 30+ @CrowdMed cases!",Tue Nov 17 00:57:10 +0000 2015,en,3,False,5,False,,Jared Heyman,jaredheyman
"It's not every day I'm intro'd as a ""founder, CEO, and genius"" :) Thanks @rebeccacosta for the in-depth interview! https://t.co/BGYi0N4Z4H",Fri Aug 28 15:59:57 +0000 2015,en,1,False,3,False,,Jared Heyman,jaredheyman
"RT @rebeccacosta: Don't miss CrowdMed CEO, Jared Heyman, this week on The Costa Report! @jaredheyman @CrowdMed #tech #health",Mon Aug 24 22:33:34 +0000 2015,en,27,False,0,False,,Jared Heyman,jaredheyman
Looking forward to my interview with @rebeccacosta about @CrowdMed being on the air!  https://t.co/dMn1tLTEr8,Fri Aug 21 18:28:30 +0000 2015,en,3,False,2,False,,Jared Heyman,jaredheyman
The @CrowdMed fundraiser to help patients with rare and undiagnosed diseases ends in 7 days. Please donate today! https://t.co/MCMcfg61Rk,Thu Jul 02 21:59:43 +0000 2015,en,0,False,1,False,,Jared Heyman,jaredheyman
An in-depth and impressively well-researched story about @CrowdMed just published by @ELLEmagazine  https://t.co/krU29zJpu7,Thu Jul 02 19:35:40 +0000 2015,en,0,False,1,False,,Jared Heyman,jaredheyman
RT @CrowdMed: We’ve exceeded our goal for the @IndiegogoLife Campaign! Please continue to give to fund more patients. http://t.co/JHnV4a2WCx,Fri Jun 26 22:48:11 +0000 2015,en,6,False,0,False,,Jared Heyman,jaredheyman
"@EricTopol Thanks retweeting the @TheEconomist about @CrowdMed. Would love to connect with you directly sometime, send me a PM!",Fri May 22 15:21:03 +0000 2015,en,0,False,2,False,,Jared Heyman,jaredheyman
RT @jessgreenwalt: Got $5? Wanna save a life? Donate today! https://t.co/T7c6eSkLmF #crowdfunding #healthcare #medicine @IndiegogoLife http…,Thu May 14 19:12:39 +0000 2015,en,15,False,0,False,,Jared Heyman,jaredheyman
"@ProductHunt And our product too, please: http://t.co/HAw609n00K",Wed Feb 04 02:06:13 +0000 2015,en,0,False,1,False,,Jared Heyman,jaredheyman
"@ProductHunt I've just joined! Can I get an ""M"" (maker/founder) icon please?",Fri Jan 30 20:00:33 +0000 2015,en,0,False,1,False,,Jared Heyman,jaredheyman
RT @TEDMED: Support our stage program w/ your med/science/health background! Apply to be a #TEDMED Research Scholar by 2/6 http://t.co/0Q7T…,Thu Jan 29 23:34:49 +0000 2015,en,14,False,0,False,,Jared Heyman,jaredheyman
"Thrilled to chat about @CrowdMed and medical crowdsourcing w/ @23andMe, @ancestry today at #PMWC15 Personalized Medicine World Conference!",Wed Jan 28 20:16:24 +0000 2015,en,1,False,2,False,,Jared Heyman,jaredheyman
@edhawan @Forbes @CrowdMed I can't wait to see the book! I'll message you my email address,Thu Jan 15 02:27:16 +0000 2015,en,0,False,0,False,,Jared Heyman,jaredheyman
What a pleasant surprise to see this article by @edhawan published on @Forbes inspired by me and @CrowdMed. Thanks! http://t.co/qnauyNn4t6,Wed Jan 14 20:08:01 +0000 2015,en,1,False,2,False,,Jared Heyman,jaredheyman
Excited to discuss @CrowdMed tonight on @FBNStossel (9PM ET on Fox Business). Looking forward to your questions! #STOSSEL #Trust,Thu Jan 08 19:42:35 +0000 2015,en,6,False,5,False,,Jared Heyman,jaredheyman
"RT @CrowdMed: Tune in! John Stossel @FBNStossel will discuss CrowdMed tomorrow (Thursday 1/8, FOX Business Network, 9pm ET) http://t.co/8WX…",Wed Jan 07 20:01:04 +0000 2015,en,3,False,0,False,,Jared Heyman,jaredheyman
"An important essay by @paulg about immigration reform. I share his concern that ""the US could be seriously fucked"" http://t.co/F6Zqz51yXx",Fri Dec 26 20:02:24 +0000 2014,en,0,False,1,False,,Jared Heyman,jaredheyman
@BrennaMiller1 @foxandfriends @DrMarcSiegel @CrowdMed We exist to help people just like you. Please submit your case if you haven't already!,Thu Dec 18 23:00:48 +0000 2014,en,0,False,1,False,,Jared Heyman,jaredheyman
"RT @foxandfriends: Do you have a medical condition that baffles your doctors? At 6:22am/et tomorrow, @DrMarcSiegel will discuss @CrowdMed &amp;…",Wed Dec 17 04:14:47 +0000 2014,en,8,False,0,False,,Jared Heyman,jaredheyman
"Gave a well-received talk today about @CrowdMed at #NIPS2014 in Montreal. Smart questions asked from a sharp, machine learning focused crowd",Sun Dec 14 02:17:19 +0000 2014,en,1,False,1,False,,Jared Heyman,jaredheyman
RT @jessgreenwalt: Learning to #leanin with help from @manservantsCO @LeanInOrg #ManServant #GIRLBOSS #Photography by @MeganMoura1 http://t…,Tue Dec 09 21:33:18 +0000 2014,en,27,False,0,False,,Jared Heyman,jaredheyman
RT @CrowdMed: The Crunchies Awards are coming... Please share and nominate CrowdMed for Best Health Startup! http://t.co/4KLQ9AqtFm,Tue Nov 18 00:05:38 +0000 2014,en,2,False,0,False,,Jared Heyman,jaredheyman
RT @CBSSF: #SanFrancisco based website @CrowdMed helping patients solve mystery medical illnesses: http://t.co/1L3WFvL4AV,Tue Nov 11 01:52:17 +0000 2014,en,4,False,0,False,,Jared Heyman,jaredheyman
RT @CrowdMed: Are Doctors The Only Ones Qualified To Diagnose Us? CrowdMed's analysis might surprise you. http://t.co/Bsye43mz1c,Wed Nov 05 18:38:49 +0000 2014,en,4,False,0,False,,Jared Heyman,jaredheyman
@mishachellam Glad to chat but CrowdLegal won't happen anytime soon. Lots to do in the medical space before we think about other verticals.,Sun Oct 26 17:48:21 +0000 2014,en,0,False,0,False,,Jared Heyman,jaredheyman
"Fireside chat with @pmarca &amp; @peterthiel ""the idea it's very easy or very hard to start a company are equally wrong"" http://t.co/P2cpidTsFq",Sat Oct 11 00:02:36 +0000 2014,en,0,False,3,False,,Jared Heyman,jaredheyman
@CrowdMed hit a big milestone last week:  Over 500 patients have submitted a case on our site since launch!,Sun Oct 05 17:44:30 +0000 2014,en,1,False,1,False,,Jared Heyman,jaredheyman
RT @ycombinator: Thanks to @LonghornStartup and @BobMetcalfe for having us + @CrowdMed at UT tonight.,Fri Oct 03 17:25:10 +0000 2014,en,11,False,0,False,,Jared Heyman,jaredheyman
Enjoyed an in-studio interview this morning with @drbrucenbcla at @NBCLA. I'm told it will air in a few weeks! http://t.co/dZUKMoBePt,Thu Oct 02 18:30:42 +0000 2014,en,1,False,2,False,,Jared Heyman,jaredheyman
Enjoyed chatting about @CrowdMed this morning with @daniel_kraft at the @singularityu IPP. Great questions asked! http://t.co/8LDLS5QZQc,Fri Sep 19 18:16:58 +0000 2014,en,1,False,2,False,,Jared Heyman,jaredheyman
@ctsinclair @TEDMED Crowds are only wise with the right mechanisms in place. At @CrowdMed we build those mechanisms.,Thu Sep 11 20:23:49 +0000 2014,en,0,False,1,False,,Jared Heyman,jaredheyman
"@DocJohnG @TEDMED It's not about crowds vs doctors, it's about each recognizing the other's limitations &amp; working together to help patients",Thu Sep 11 20:19:24 +0000 2014,en,1,False,1,False,,Jared Heyman,jaredheyman
At the @BloombergTV studio in San Francisco for a live interview this afternoon about @CrowdMed http://t.co/gsqYb52EMK,Wed Aug 20 21:19:25 +0000 2014,en,3,False,1,False,,Jared Heyman,jaredheyman
"Thanks @PBS for publishing ""How Crowdsourcing Solves Medical Mysteries"" on the front page of your Health section http://t.co/ltdbuCWCYX",Thu Aug 07 19:45:37 +0000 2014,en,2,False,3,False,,Jared Heyman,jaredheyman
RT @TEDMED: At #TEDMED 2014 @jaredheyman of @crowdmed will talk about crowdsourcing diagnoses for mysterious illnesses: http://t.co/GLiPX2b…,Wed Aug 06 19:09:31 +0000 2014,en,15,False,0,False,,Jared Heyman,jaredheyman
Today I finalized the script for my talk at @TEDMED 2014. I can't divulge any details but will say this:  it's gonna blow people's minds,Thu Jul 31 01:59:14 +0000 2014,en,0,False,3,False,,Jared Heyman,jaredheyman
Very pleased to announce that I'll be giving a talk at @TEDMED 2014 in San Francisco. This has been a dream for years so I'm pretty stoked.,Wed Jul 09 20:31:16 +0000 2014,en,8,False,10,False,,Jared Heyman,jaredheyman
Many thanks to @CCTV_America for the 6 minute segment on @CrowdMed recently aired on DishTV and throughout China http://t.co/AXdHEFS8rl,Wed Jul 09 17:55:51 +0000 2014,en,1,False,2,False,,Jared Heyman,jaredheyman
Thanks @FUTUREMAGfr for featuring @CrowdMed on public TV stations across France and Germany! http://t.co/z2AWhxsf6P http://t.co/wHIOFUgSML,Sun Jun 08 18:33:13 +0000 2014,en,4,False,2,False,,Jared Heyman,jaredheyman
RT @RonConway: Great night w/ @SnoopDogg @GabbyGiffords &amp; @JoeMontana to STOP gun violence #nogunsallowed http://t.co/Rf2gQAVeWF http://t.c…,Fri May 30 17:13:01 +0000 2014,en,156,False,0,False,,Jared Heyman,jaredheyman
Thanks @BloombergTV for inviting me in-studio today to talk about @CrowdMed and our investment from @PatrickDempsey http://t.co/PUwtzUFit8,Wed May 21 22:37:13 +0000 2014,en,4,False,21,False,,Jared Heyman,jaredheyman
RT @PatrickDempsey: Excited to announce my investment in @CrowdMed! Check out the @WSJ story by @lorakolodny: http://t.co/KhJbIW8szc. @jare…,Tue May 20 15:59:39 +0000 2014,en,207,False,0,False,,Jared Heyman,jaredheyman
RT @Medgadget: [News] Crowdsourcing as a Medical Tool: Interview with CrowdMed CEO Jared Heyman http://t.co/JTWJlUpOB2 #medicaldevice,Thu May 08 01:12:37 +0000 2014,en,7,False,0,False,,Jared Heyman,jaredheyman
Take 30 seconds to vote for @GoIntengo for the Insight Innovation Competition!  http://t.co/Vggsdis9zz,Wed May 07 20:38:07 +0000 2014,en,0,False,0,False,,Jared Heyman,jaredheyman
"@FuturaMarkets @CrowdMed Maybe one day Watson can solve medical mysteries better than a crowd of humans, but so far it's nowhere close",Tue Apr 22 20:04:04 +0000 2014,en,3,False,2,False,,Jared Heyman,jaredheyman
Had an interview today with Men's Health Mexico about @CrowdMed entirely in Spanish. Gracias a @MHMX por la oportunidad!,Tue Apr 22 19:28:09 +0000 2014,en,1,False,4,False,,Jared Heyman,jaredheyman
I'm appearing on Al Jazeera America today at 7:30pm ET to discuss @CrowdMed and how #Crowdsourcing impacts decision making #AJAMStream,Tue Apr 08 14:35:36 +0000 2014,en,1,False,3,False,,Jared Heyman,jaredheyman
"PSFK posted a video about what's driving the future of health. I'm honored to be quoted at 3:57, 5:28 and 8:09 http://t.co/kUzA0YQwV5",Thu Mar 27 00:46:40 +0000 2014,en,1,False,1,False,,Jared Heyman,jaredheyman
"Per a UN report, more people worldwide have access to mobile phones than toilets. Win for tech, loss for sanitation.  http://t.co/fCuCpjFcCx",Mon Mar 24 17:52:12 +0000 2014,en,1,False,1,False,,Jared Heyman,jaredheyman
Yesterday an article came out about @CrowdMed in French. I hope it says good things. http://t.co/bDJVVTcSKF,Tue Mar 18 19:26:30 +0000 2014,en,0,False,2,False,,Jared Heyman,jaredheyman
I'll be discussing how crowdsourcing can expedite medical research at noon ET tomorrow with @TEDMED #GreatChallenges http://t.co/sj0tx3jupG,Tue Feb 25 03:25:39 +0000 2014,en,1,False,2,False,,Jared Heyman,jaredheyman
"The FB/WhatsApp deal will have Valley investors FOMOing for months. A great thing for my company's valuation, terrible thing for my SF rent.",Thu Feb 20 00:52:32 +0000 2014,en,0,False,2,False,,Jared Heyman,jaredheyman
"Thanks to @SheKnows for prominently featuring @CrowdMed today in ""Crowdsourcing as the next health care solution""  http://t.co/mhIeET8aNT",Fri Feb 14 18:14:54 +0000 2014,en,2,False,5,False,,Jared Heyman,jaredheyman
"@Forbes just published a list of ""The 10 Best Startup Websites"" and 4 are in my @ycombinator batch. Congrats guys! http://t.co/LdKb5G5u44",Wed Feb 12 22:30:34 +0000 2014,en,1,False,4,False,,Jared Heyman,jaredheyman
"I just spoke at an event for ""good energy"" leaders sponsored by a VC firm. I'm glad that Silicon Valley hasn't forgotten its hippie roots!",Fri Sep 27 14:43:12 +0000 2013,en,0,False,2,False,"{'type': 'Point', 'coordinates': [-122.212409, 37.418206]}",Jared Heyman,jaredheyman
