Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@bobcotte @JebBush @JohnKasich the whole establishment got behind lucifer...what a joke...Kasich was the guy who could win,Wed May 04 12:06:50 +0000 2016,en,0,False,0,False,,Jeff Bennett,jeffbennett
@mviser Trump is doing the same thing....everywhere in Massachusetts on Saturday...he tries to be deceptive blaming others for what he does,Mon May 02 23:31:29 +0000 2016,en,0,False,0,False,,Jeff Bennett,jeffbennett
Where is @MassGovernor ???  He first endorses Chris Christy.  Then he lets Donald Trump run rough shod over the Mass Delegate Caucus.  Why?,Mon May 02 16:49:45 +0000 2016,en,0,False,0,False,,Jeff Bennett,jeffbennett
RT @mikebarnicle: A great read for wildly interesting politics today. 'Off Script' https://t.co/gp4oWBDrXK,Wed Apr 27 11:37:39 +0000 2016,en,2,False,0,False,,Jeff Bennett,jeffbennett
RT @dellavolpe: Thx @mikebarnicle for Q to @SenSanders on what #Millennials shld believe in since they reject socialism &amp; capitalism https:…,Tue Apr 26 23:21:17 +0000 2016,en,1,False,0,False,,Jeff Bennett,jeffbennett
"RT @dellavolpe: 1000s of data points not released yet via #HarvardIOPPoll, here's some more.  Social media use x #Millennial demo. https://…",Tue Apr 26 21:57:03 +0000 2016,en,6,False,0,False,,Jeff Bennett,jeffbennett
@realDonaldTrump you have it all wrong again.  Delight in kasich and Cruz collaboration to save your train wreck,Mon Apr 25 09:43:48 +0000 2016,en,0,False,0,False,,Jeff Bennett,jeffbennett
@robert_gatsby unfavorable or unelectable....Trump is both....see you later at the convention.,Mon Apr 25 00:26:59 +0000 2016,en,0,False,1,False,,Jeff Bennett,jeffbennett
RT @robert_gatsby: Convention system was made to ensure an unfavorable candidate would have a hard time being elected. Trump hates it. http…,Mon Apr 25 00:25:53 +0000 2016,en,54,False,0,False,,Jeff Bennett,jeffbennett
@mlundgren18 @JefferyThomas @KasichPresident @JohnKasich @guardian @politico  probably funded by Mr insider Trump.,Sun Apr 24 19:04:06 +0000 2016,en,0,False,1,False,,Jeff Bennett,jeffbennett
@politico @POLITICOMag what a waste of an article.  Electability and your plan for governing are all that matters.,Sun Apr 24 17:26:19 +0000 2016,en,0,False,0,False,,Jeff Bennett,jeffbennett
