Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @HunterListco: StockTouch https://t.co/OFoyl8mMJK,Thu Jan 21 03:34:46 +0000 2016,de,3,False,0,False,,Jenn Johnson,jennifernyc
"RT @gracereglos: Best Stock Market apps for iPad: Bloomberg, StockTouch, Stock Guru, and more! http://t.co/WsuYivz62o",Tue Oct 13 12:15:42 +0000 2015,en,1,False,0,False,,Jenn Johnson,jennifernyc
RT @fintechna: RT InfinitySector: Big shout out to StockTouch! I love your application. #Finance #Business #ETF #Stocks #Education #FinTech…,Tue Oct 13 12:15:14 +0000 2015,en,1,False,0,False,,Jenn Johnson,jennifernyc
RT @tradier: Join us and @goodwinprocter @InovanceTech @wealthbot @stocktouch for a great night of #FinTech innovation -- 10/13 http://t.co…,Tue Oct 13 12:14:48 +0000 2015,en,2,False,0,False,,Jenn Johnson,jennifernyc
"RT @EverythingNYC: Lunar Eclipse over the Empire State Building in New York #SuperBloodMoon

(📷: @GaryHershorn) http://t.co/wGmScjKewB",Mon Sep 28 02:31:17 +0000 2015,en,776,False,0,False,,Jenn Johnson,jennifernyc
RT @ClassTechTips: StockTouch App to Access Data on iPads. How else could you use this in the classroom? http://t.co/Kjuu0zhrbH,Wed Sep 09 03:35:16 +0000 2015,en,2,False,0,False,,Jenn Johnson,jennifernyc
"Rangers +1, killing it! #NYRPlayoffs #NYRangers",Mon May 26 01:08:38 +0000 2014,en,0,False,4,False,,Jenn Johnson,jennifernyc
RT @jkhoey: Reminder! Join me @ Apple 6pm Tonight for #meettheinnovators w founders of @learnvest @stocktouch http://t.co/F0JGhWGeiC,Tue Mar 18 17:18:53 +0000 2014,en,5,False,0,False,,Jenn Johnson,jennifernyc
Speaking at Apple Retail Soho Meet the Innovators event Tues 3/18 6pm @stocktouch w @alexavontobel @learnvest @jkhoey http://t.co/bg0w59CnOW,Mon Mar 17 16:36:23 +0000 2014,en,2,False,5,False,,Jenn Johnson,jennifernyc
RT @LearnVest: Meet the Innovators—Catch @alexavontobel tomorrow night @ Soho Apple store (cc: @stocktouch @jkhoey) Register here: http://t…,Mon Mar 17 15:37:14 +0000 2014,en,6,False,0,False,,Jenn Johnson,jennifernyc
RT @stocktouch: Jennifer Johnson @StockTouch founder speaking @LearnVest @WIMaccelerator Tues 3/18 6pm Meet the Innovators Apple Soho http:…,Mon Mar 17 15:36:14 +0000 2014,en,1,False,0,False,,Jenn Johnson,jennifernyc
RT @jkhoey: #MeetTheInnovators tonight #Data &amp; on Tues @LearnVest @stocktouch http://t.co/a4N4fcdCBL,Wed Mar 12 21:10:27 +0000 2014,en,3,False,0,False,,Jenn Johnson,jennifernyc
RT @toddthomas: Found in Mac App Store in New &amp; Noteworthy: @stocktouch app. Very cool use of gestures. Check it out.,Wed Aug 28 18:40:29 +0000 2013,en,5,False,0,False,,Jenn Johnson,jennifernyc
RT @petercurley: Xignite webinar on building mobile financial apps featuring  @openfintech @stocktouch @TABBGroup please retweet! http:/ ...,Sun May 06 03:22:20 +0000 2012,en,2,False,0,False,,Jenn Johnson,jennifernyc
"RT @mashable: The new StockTouch app allows you to visualize the stocks of 1,350 companies on one interface - http://t.co/fsBnxpou",Sun Apr 15 12:19:40 +0000 2012,en,47,False,0,False,,Jenn Johnson,jennifernyc
@StockTouch in Forbes - @joemckendrick Awesome piece on Cloud+App Economy! http://t.co/GJdrFL2Y,Mon Mar 19 18:04:12 +0000 2012,en,1,False,1,False,,Jenn Johnson,jennifernyc
RT @sdubois: Cloud/App Economy Create Extremely Lightweight Businesses #forbes #stocktouch #xignite http://t.co/CC41pyRX,Mon Mar 19 17:54:52 +0000 2012,en,1,False,0,False,,Jenn Johnson,jennifernyc
I just told the Senate to pass the #JOBSAct and fix old laws for startups and investors. Please add your support: http://t.co/58NF1nLh,Sun Mar 18 13:46:24 +0000 2012,en,0,False,1,False,,Jenn Johnson,jennifernyc
Awesome! @StockTouch in TechStars NYC http://t.co/VdZyysl3,Mon Mar 12 18:01:45 +0000 2012,en,1,False,0,False,,Jenn Johnson,jennifernyc
Super nice job StockTouch! Apple's #1 Finance iPad App for 2011 http://t.co/0mcuKcB1,Fri Dec 09 12:29:03 +0000 2011,en,0,False,0,False,,Jenn Johnson,jennifernyc
Congrats John Morris! Xignite Developer Spotlight - StockTouch – Getting to the top of the iTunes Store http://t.co/AvYcSO1Y,Thu Dec 08 21:01:10 +0000 2011,en,1,False,0,False,,Jenn Johnson,jennifernyc
Owen and River relieved they can check the market at Apple store w/ @stocktouch http://t.co/2ztYDYh3,Sat Nov 12 17:09:41 +0000 2011,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-73.995414, 40.739547]}",Jenn Johnson,jennifernyc
RT @stocktouch: Hey now! StockTouch is now installed on all demo iPads and iPhones in Apple retail stores. Stoked. http://t.co/8kpwYC3l,Fri Nov 11 23:52:24 +0000 2011,en,2,False,0,False,,Jenn Johnson,jennifernyc
@robpas really great to meet you and super you have @stocktouch esp in green today,Fri Oct 28 00:26:55 +0000 2011,en,0,False,0,False,,Jenn Johnson,jennifernyc
Awesome MSNBC piece on @SkipHop Congrats @mdiamant & ellen! http://t.co/HSLN9elm,Mon Oct 03 14:13:46 +0000 2011,en,0,False,0,False,,Jenn Johnson,jennifernyc
A great review today :) AppAdvice: StockTouch App Gets A Terrific Update http://t.co/HlU3wihc,Wed Sep 28 18:04:49 +0000 2011,en,0,False,0,False,,Jenn Johnson,jennifernyc
RT @NYTM: Demoing at #NYTM tonight are: @Bromly @voyurl @stocktouch @dibsie @WANTapp @knwbt @zaarly @ideaflight @brianaugust - big YAY!  ...,Tue Aug 02 16:49:12 +0000 2011,en,19,False,0,False,,Jenn Johnson,jennifernyc
"RT @mikewalsh: If a stock market rally was a colour, what would it be?  http://tumblr.com/xvm3in7dpp",Sat Jul 16 04:28:02 +0000 2011,en,0,False,1,False,,Jenn Johnson,jennifernyc
RT @jraphs: Great blog post on stock patterns and outliers found via the amazing @stocktouch ipad app http://t.co/Do4vhLa,Sat Jul 16 04:21:00 +0000 2011,en,0,False,0,False,,Jenn Johnson,jennifernyc
"v funny rant on human psych, peter orszag's nyt pieces, success, intellectuals, genius  & hard work all in 1 http://bit.ly/9Rxmee",Thu Sep 16 13:01:04 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"Aronofsky fans, The Black Swan sounds insanely good http://bit.ly/bQgVMR",Sat Sep 11 17:04:22 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"cool, microscopic shrimp things that eat baby mosquitoes in nyc tap water  http://bit.ly/cPItXq",Thu Sep 02 14:37:50 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
pop psychology: paths to insanity are many.  malthusian economics + too much TV = discovery gunman http://bit.ly/9UH9bP,Thu Sep 02 12:06:52 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"crazy waits for iphone 4g, 6:30am my friend passed a blocks long line for west village apple from 14th/9th to 16th/10th",Thu Jun 24 11:12:12 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
lots of geek love for the bot-ted http://bit.ly/c5alPy kiva warehouse  used by diapers.com http://bit.ly/cDX8Fr,Wed Jun 16 14:52:37 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"Oil spill visualization moves spill anywhere on map, ""if it was my home""  http://bit.ly/am7q5a",Thu Jun 03 13:42:01 +0000 2010,en,0,False,1,False,,Jenn Johnson,jennifernyc
the secret ingredient is lye? http://nyti.ms/c92Pnt  pretzel logic,Thu May 27 13:59:24 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
Good article: Silicon Alley Insider http://bit.ly/a9vWR0 on how Yahoo's The Newsroom's more journalistic approach to news raising traffic,Fri May 21 16:06:12 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"Terrific piece in alley insider today on NYC tech entrepreneurship scene ""hot or not?"" http://bit.ly/96vMgO",Tue May 18 15:38:25 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"brilliant, ""goldman sachs, the musical"" piece, the new yorker, by ben greenman http://bit.ly/bqkWyf",Thu Apr 29 16:07:19 +0000 2010,en,1,False,1,False,,Jenn Johnson,jennifernyc
"omg, funny, politically incorrect, salon article with South Park transcript http://bit.ly/d8QS9f",Thu Apr 29 15:57:51 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"ace hotel w @ceciliany, malcolm gladwell sighting, he's perusing the lobby scene",Tue Apr 27 18:56:36 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"dear pagans, a little piece of deep thinking about the enduring popularity of stairway to heaven http://bit.ly/8ZnnCB",Sat Mar 20 14:38:44 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
RT @antonyvc:  A rather clever video re: the future of publishing - http://bit.ly/cfyNf4,Thu Mar 18 15:58:32 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"theory: ""click here to accept these Terms of Service"" will create the tobacco companies of the future",Wed Feb 17 17:54:07 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
RT @bfeld: We Need More Female IT Leaders http://bit.ly/9N1y1o & bizweek on why lack of women entrepreneurs http://bit.ly/aenkl8,Thu Feb 04 15:30:16 +0000 2010,en,1,False,0,False,,Jenn Johnson,jennifernyc
"NYTimes article - Kids  do much better in school when they eat lunch after recess, so simple, great idea http://bit.ly/5f7klx",Mon Jan 25 23:31:56 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"NY Times Friedman editorial, too circuitous http://bit.ly/8GVA3T  Obama incentives now for adult entrepreneurs, kids will see that",Sun Jan 24 14:41:43 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
Senator-elect Scott Brown wife Gail Huff gives toothpaste a liberal squeeze n 80s Girl with a Curious Hand vid http://bit.ly/7KM8K6,Fri Jan 22 15:28:40 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
@billgates joins twitter http://bit.ly/7xwZaE maybe he will get a basecamp account and share a few google docs this week as well,Wed Jan 20 15:22:36 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
intense and sad pictures out of haiti http://bit.ly/90W68a,Tue Jan 19 16:56:35 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"new blog post: http://bit.ly/6RzsEl Understanding and Misunderstanding Twitter, changing nature of influence on the web.",Thu Jan 07 01:27:12 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
The Lights in The Tunnel by Martin Ford http://bit.ly/7GTWXW tech eliminates most jobs in future via @bfeld debate at http://bit.ly/7zCa6v,Tue Jan 05 17:31:11 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"stalkers delight, tweetpsych creates personality profiles from twitter names by analyzing tweets http://bit.ly/5KGf0o",Tue Jan 05 16:44:25 +0000 2010,en,1,False,0,False,,Jenn Johnson,jennifernyc
"yummy 10/11"" apple tablets in march http://bit.ly/8xeOv7",Tue Jan 05 16:06:43 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"for laughs, see perez hilton ""separated at birth"" jennifer lopez in her new years catsuit http://bit.ly/7uCdzQ",Sun Jan 03 16:34:08 +0000 2010,en,0,False,0,False,,Jenn Johnson,jennifernyc
"I'm at Crema in New York, NY http://gowal.la/s/24sX",Sun Dec 13 23:45:13 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
geeky trivia: coldest place in the universe? hint: somewhere in vanity fair  http://bit.ly/8GB9G8,Sun Dec 13 15:29:21 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
"I'm at West Elm in New York, NY http://gowal.la/s/Zb2",Fri Dec 11 02:19:22 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
"http://twitpic.com/stm4b - Isaac mizrahi studio, Twitter lesson for Isaac on cam",Wed Dec 09 19:11:46 +0000 2009,ht,0,False,0,False,,Jenn Johnson,jennifernyc
"motivational quotes anyone? fun list @jasonfried http://bit.ly/8WlKpM hawking, jobs, einstein, jefferson, dylan - the ""works""",Mon Dec 07 21:03:49 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
"lies, lies - very funny animation video by Mint on official unemployment statistics http://bit.ly/5bDgs6 #humor #economy #unemployment",Mon Dec 07 18:36:14 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
completely agree w @howardlindzon  on asset shifters & where Bernanke sends profits with his low rates http://bit.ly/4DB2sB,Tue Nov 24 15:52:57 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
ny state votes 4 breathalyzer-test engine locks after dd 1st offense http://bit.ly/1z1KSc  why r breathalyzers not everywhere?,Wed Nov 18 15:07:09 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
lol at new fake steve jobs post on super evil ad scheme  http://bit.ly/3vnHpx,Sun Nov 15 23:47:22 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
liking seth godin's blog today  http://bit.ly/PbRfD,Fri Nov 13 17:14:15 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
blog:  what's the most compelling backstory for teen twitter adoption? http://bit.ly/2hpLDS,Thu Nov 05 17:39:28 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
cool piece: Berkeley physicist Luie Alvarez's approach to life/work by Richard Muller http://bit.ly/2qDdjE (Hacker News Chicken Soup),Wed Nov 04 14:45:13 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
extracurricular read - RT @carr2n Washington Post piece on why we crave narrative in the ADD age http://bit.ly/1uJLfR,Thu Oct 29 19:13:02 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
disney refunds for false claims of baby einstein dvds http://bit.ly/2OibE1 what parent would admit kid not a genius to get refund? not many,Sat Oct 24 15:22:43 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
new blog post: thumbs up for twitter's firehose deals! http://bit.ly/59BRB,Thu Oct 22 17:19:50 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
"mary meeker 2.0 internet trend report, great research data w/ lots of stats and charts, http://bit.ly/2sGFLJ",Wed Oct 21 14:16:45 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
great vampire squid wrapped around humanity relentlessly jamming its blood funnel into anything that smells like money http://bit.ly/3uFIFW,Sun Oct 18 17:47:22 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
"David Rohde tells incredible story of his kidnapping in Afghanistan, part 1 NYTimes http://bit.ly/mgHoE",Sun Oct 18 17:38:22 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
Read Write Web posts a good list of 100 top real-time web companies with categories http://bit.ly/Q4Wnr,Tue Oct 13 16:06:20 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
testing 3taps #other #OTHER http://3taps.org?p=8,Wed Sep 23 16:53:41 +0000 2009,en,0,False,0,False,,Jenn Johnson,jennifernyc
