Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @saikocat: So it turns out that kangaroos are what nightmares are made of https://t.co/WsjAmmY1jS,Sun May 01 03:27:48 +0000 2016,en,20472,False,0,False,,Jonathan Murray,jmurz
"Hey @Matt_Winkelman, I love these updates, thanks.",Tue Apr 26 16:10:41 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@MaxRappaport You like apples?,Tue Apr 26 15:48:26 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
".@howardeskin @OnTheRun_HM @SpikeEskin yeah, except that he's been saying all along that he's coming over.",Sun Apr 24 23:53:51 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@semil I had a VC share a PDF doc with a competitor once. I couldn't track the PDF being shared but I found out later that it happened.,Fri Apr 22 20:11:22 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
RT @Slate: ESPN fires Curt Schilling for anti-trans Facebook post: https://t.co/3DuG1atsEc https://t.co/I0jv0dnrn1,Thu Apr 21 05:35:34 +0000 2016,en,48,False,0,False,,Jonathan Murray,jmurz
@ryanjsweeney I hear $11MM cap hit if we trade him this yr. But maybe they are giving up on this yr &amp; don't care. It all feels very un-Howie,Thu Apr 21 03:50:35 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"@ryanjsweeney puzzling after the Bradford and Daniels deals. I hope they are right about this kid, and I hope there is another deal coming.",Thu Apr 21 00:02:50 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@Eric_111 @tmoore76ers unless they front load contracts while they're still swimming in rookie deals &amp; excess cap space,Mon Apr 18 00:40:49 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
RT @SethMacFarlane: Just do away with the live audience format for the debates. Becomes pandering one-upsmanship for applause rather than s…,Fri Apr 15 04:04:05 +0000 2016,en,3565,False,0,False,,Jonathan Murray,jmurz
"RT @Phillies: Seven years ago today, we lost our voice. We miss you, Harry. https://t.co/84dVGKYPvV",Wed Apr 13 15:48:58 +0000 2016,en,1804,False,0,False,,Jonathan Murray,jmurz
Bodner has the best words. Friends who haven't understood why I've been so supportive of Sam Hinkie: this nails it https://t.co/dkxHXPcBm4,Sun Apr 10 12:47:08 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"RT @SarahKSilverman: If ur wondering how @timheidecker &amp; @ericwareheim get thru vids w/out laughing, they don't:
https://t.co/kDKcohpODH",Sun Apr 10 02:17:49 +0000 2016,en,145,False,0,False,,Jonathan Murray,jmurz
"@terryangelos I am having flashbacks to answering 2am customer emails, ""THAT'S NOT FREE, YOU ASSHOLES!""",Sat Apr 09 21:13:41 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
@MaxRappaport We need a tshirt to commemorate the Hinkie years.  You on it?,Sat Apr 09 04:08:56 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
Seems like a pretty fair breakdown of Sam Hinkie's tenure: https://t.co/R0LSyruq3B,Sat Apr 09 03:50:13 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"@inkstainedretch ummm... read my words again. Also show me where I argued he didn't quit. You like putting words in people's mouths, eh?",Fri Apr 08 20:36:15 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
.@inkstainedretch Have no problem w/ quitting if a job is materially changed as it was. Any1 w/ options would do same. Team abandoned plan.,Fri Apr 08 19:20:40 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
".@inkstainedretch Employer changes the job and employee doesn't agree to the change, so he's a baby? This is America. Team abandoned plan.",Fri Apr 08 18:32:26 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
.@inkstainedretch You can't have it both ways. Either he quit the job he agreed to or he was demoted and didn't accept it.,Fri Apr 08 17:59:34 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
".@inkstainedretch Thanks for adding words to what I said and then saying we agreed. Is this how you report the news, too?",Fri Apr 08 17:58:22 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
.@inkstainedretch He abandoned the idea of supporting an organization that stripped him of the role they had given him: President &amp; GM,Fri Apr 08 15:34:46 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
So disappointed w/ @ScottONeil and the @Sixers for not being willing to stand up to the NBA and other owners and see through your plan.,Thu Apr 07 23:15:29 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
RT @JakePavorsky: Three years of misery pissed down the drain for the Colangelo family. Absolute disgrace. Ownership should be embarrassed.,Thu Apr 07 00:36:54 +0000 2016,en,304,False,0,False,,Jonathan Murray,jmurz
RT @JakePavorsky: When the Sixers hired Colangelo they should have just fired Hinkie then. This PR bullshit of a collaborative relationship…,Thu Apr 07 00:36:45 +0000 2016,en,61,False,0,False,,Jonathan Murray,jmurz
"@flynnola if not, he'll understand. Arguably His fault.",Sat Mar 26 18:21:02 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA seems like only last week we had hope the Pelicans could overtake the Kings...,Sun Mar 20 21:48:13 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
@JakePavorsky always?,Fri Mar 18 04:01:49 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
@legsanity @DerekBodnerNBA murray looks awesome right now tho,Fri Mar 18 03:34:58 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA do you have kids?  that's totally a dad joke.,Tue Mar 15 14:29:00 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"That's for everything, Demarco! https://t.co/xnv1lxyyJW",Tue Mar 08 03:39:31 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA My kids are fine with it,Tue Mar 08 02:07:47 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@JakePavorsky Do you really think this is a loss? Didn't feel like a long term piece. Would personally rather take a shot on CWood,Mon Feb 22 16:01:55 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
RT @Matt_Winkelman: Spring Training 2016 Phillies Mailbag https://t.co/LOPxyo4oTJ https://t.co/sLBCs8iaap,Fri Feb 19 13:14:43 +0000 2016,en,3,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA Would rather have Christian Wood back.,Fri Feb 19 00:50:10 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@NickGossNESN he's a beast. they're still awful. have you ever seen the youtube video of the kings draft room a few yrs ago? it's comical.,Thu Feb 18 21:13:26 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@NickGossNESN Sacramento Kings,Thu Feb 18 20:56:27 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"@JakePavorsky OK, I'll give it a shot. Sixers and Kings each get 1st rounder from Boston. https://t.co/YkJoZoSixb https://t.co/Tgp5Fu6tmP",Wed Feb 17 15:27:34 +0000 2016,en,0,False,1,False,,Jonathan Murray,jmurz
@Matt_Winkelman what prospects outside of top 10 have the highest upside?,Tue Feb 16 02:24:16 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
RT @SheaSerrano: allen iverson you magnificent bastard thank you https://t.co/V34Gh3HIZE,Fri Feb 12 21:13:01 +0000 2016,en,762,False,0,False,,Jonathan Murray,jmurz
@flynnola I guess you missed that orange sweater I wore to the Super Bowl,Tue Feb 09 18:59:15 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
Everyone stop with the @CameronNewton stuff. I'd take him on my team in a heartbeat and so would you. He's talented and a fierce competitor.,Tue Feb 09 17:47:05 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"Maybe I just wasn't paying attention, but I definitely do not remember seeing these kinds of ads on @LinkedIn https://t.co/te2QmpfYrR",Wed Jan 27 22:31:06 +0000 2016,en,0,False,2,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA which, to an earlier point of yours, is why ""jump shooters putting up stats on a bad team"" makes little sense.",Fri Jan 08 18:48:09 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
earphone vendors at the airport definitely understand the concept of a captive audience. sheesh.,Fri Jan 08 18:13:59 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
RT @TheClemReport: My entire life is a lie https://t.co/3VGrrONvKX,Thu Jan 07 04:41:17 +0000 2016,en,650,False,0,False,,Jonathan Murray,jmurz
@JakePavorsky dislike this move.  I'd lose Landry over Wood.  They're messing with the process.,Mon Jan 04 18:56:00 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA this is what I was afraid of.  The process has been altered.,Mon Jan 04 18:53:09 +0000 2016,en,0,False,0,False,,Jonathan Murray,jmurz
"RT @DerekBodnerNBA: DeMarcus Cousins, still hasn't committed a foul in his career.",Thu Dec 31 06:03:48 +0000 2015,en,9,False,0,False,,Jonathan Murray,jmurz
RT @richarddeitsch: Remarkably done. The Thursday's front page of the @NYDailyNews: https://t.co/eP3B4MTlYf,Thu Dec 31 02:53:03 +0000 2015,en,508,False,0,False,,Jonathan Murray,jmurz
RT @Eagles: Eagles Release Head Coach Chip Kelly: https://t.co/oOkQ3eITpl https://t.co/uiyW0UwAOD,Wed Dec 30 00:20:43 +0000 2015,en,11767,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA damn, forgot!",Sun Dec 27 14:29:59 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"RT @longwall26: Humans: Okay, so
Dog Negotiator: Yes
Humans: Uh
Dog Negotiator: Absolutely. We'll do it
Humans: I haven't even
Dog Negotiat…",Sat Dec 26 18:27:23 +0000 2015,en,1917,False,0,False,,Jonathan Murray,jmurz
@AmberTozer well....???,Thu Dec 24 20:11:45 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
RT @Gil_Brandt: Eagles are only NFC East team this season to beat opponent with winning record (Jets and Patriots).,Wed Dec 23 21:04:26 +0000 2015,en,140,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA who would be the first player or two to go?  Hoping we don't give up on Wood or Stauskas yet.,Wed Dec 23 13:59:12 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
OH MY GOD C3PO IS A BAD GUY???#FakeStarWarsSpoilers,Fri Dec 18 02:38:42 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@Matt_Winkelman which Phillies prospects outside of the top 10 do you think have the highest ceiling?,Tue Dec 15 16:07:57 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA if the @Sixers do add a veteran (Brand or otherwise), who are the most likely roster casualties? and who would you cut?",Sun Dec 13 17:39:52 +0000 2015,en,0,False,1,False,,Jonathan Murray,jmurz
"@Matt_Winkelman feels worth the chance on Appel. Rec'd potential high end pitcher, deep at SS already, and Arauz is very far away",Sat Dec 12 18:21:25 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA you ain't kidding, but it all needed to be said.  Good breakdown. Let's just hope no one panics.",Thu Dec 10 13:34:25 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@SpikeEskin is absolutely owning @howardeskin on @SportsRadioWIP right now.,Tue Dec 08 20:16:45 +0000 2015,en,4,False,7,False,,Jonathan Murray,jmurz
RT @DerekBodnerNBA: Y'all are going to get roped back into this Eagles team again. Don't do it.,Mon Dec 07 14:30:04 +0000 2015,en,7,False,0,False,,Jonathan Murray,jmurz
RT @Matt_Winkelman: You know who looks really smart right now?  The Rangers for trading for Hamels when they did,Wed Dec 02 20:09:02 +0000 2015,en,7,False,0,False,,Jonathan Murray,jmurz
RT @SamGrittner: True love is never having to say anything.,Wed Nov 25 00:57:34 +0000 2015,en,11,False,0,False,,Jonathan Murray,jmurz
RT @JimGaffigan: I'm convinced my kid gets his ADD from cheeseburgers are delicious!,Mon Nov 23 23:10:58 +0000 2015,en,334,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA KP was super intriguing at #3 but I feel like Hinkie would have gotten roasted at the time if he had picked him,Mon Nov 23 14:28:57 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA If 76ers land #1 pick from Sacto via the swap, is that enough to convert anti-process folks? or have we reached equilibrium?",Mon Nov 23 14:26:45 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@rick_bonnell makes for a clever tweet but doesn't capture the full story,Mon Nov 23 00:26:26 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
This Chip Kelly thing isn't going so well.,Sun Nov 22 20:21:40 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@d_juhl Arguing by analogy only works when the analogy is valid. These are suffering people, not m&amp;m's to be left untouched in a bowl.",Wed Nov 18 19:44:47 +0000 2015,en,1,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA if, by chance, Sacramento ends up with the first pick and 76ers get Simmons via the swap, do Hinkie haters finally convert?",Sat Nov 14 18:59:28 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@SpikeEskin I'm excited about both AND about possibly adding Embiid, Saric, and 6 first rounders to this crew over the next 2 years",Sat Nov 07 17:38:13 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
I thought @garrytan came at things from slightly different angle then other @ycombinator partners &amp; found his feedback to always be valuable,Fri Nov 06 18:00:16 +0000 2015,en,0,False,1,False,,Jonathan Murray,jmurz
RT @joshkeown: Halloween leftovers: Trolling Tony Romo costume. https://t.co/5bK4wqBAst,Mon Nov 02 18:00:58 +0000 2015,en,12,False,0,False,,Jonathan Murray,jmurz
"@jflood15 I hear ya, but they didn't acquire them ""just to cut them before they play"". And some made team or went to Sacramento in a trade",Sun Nov 01 16:32:30 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
I think @NerlensNoel3 is already better than Jrue Holiday &amp; #sixers also netted Saric + 1st rounder + 2nd rounder for him #TrustTheProcess,Thu Oct 29 16:22:18 +0000 2015,en,0,False,2,False,,Jonathan Murray,jmurz
@MrJayBenz coming from a Raiders fan...,Sun Oct 25 13:14:09 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@JakeDiekman I would stream Spotify without using cellular. Or watch movies.,Sun Oct 25 02:03:25 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@MaxRappaport no question: https://t.co/kmTqjuy2uz,Mon Oct 19 21:04:56 +0000 2015,en,0,False,1,False,,Jonathan Murray,jmurz
Watching 76ers preseason instead of NFL games today. Tell me again how #Hinkie is doing is a disservice to fans? #Sixers #TrustTheProcess,Sun Oct 18 18:00:02 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"Players get criticized for lacking the grit &amp; intensity that Chase Utley displays every play. Unfortunate injury, but ""dirty"" is unfair, imo",Mon Oct 12 16:38:36 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@MLB_PR people calling it ""dirty"" don't know what Chase Utley is about or how he plays. Don't assume intent. A backwards Tejada didn't help.",Mon Oct 12 12:45:58 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@KeithOlbermann @ryanlawrence21 ""never close?"" http://t.co/XvEep50rfq",Sun Oct 11 15:29:59 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@SpikeEskin oh yeah, do that too. and go birds.",Sun Oct 04 16:06:53 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@SpikeEskin so I guess I'd agree with the ""reboot everything"" suggestions and also make sure there are no issues with the IP address.",Sun Oct 04 16:03:44 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@SpikeEskin on phone, you'd probably know (assuming you had wifi on), especially if you were doing something heavy like netflix streaming",Sun Oct 04 16:02:59 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@SpikeEskin hmmm would be hard to tell on Kindle because it connects only sporadically and I'd guess usually through cellular.,Sun Oct 04 16:02:09 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@SpikeEskin I had this and the cause was Internet actually going in and out.  Multiple possible causes of that.  Need to isolate the issue.,Sun Oct 04 14:48:52 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@SpikeEskin you 100% sure you're not losing Internet on other devices? Just bc it looks connected to wifi doesn't mean Internet connected,Sun Oct 04 14:47:55 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"Could 76ers trade Wroten? Only 1 year til he wants $$. Sixers have a few young PG wild cards, all multi-year, low $ deals. @DerekBodnerNBA",Sun Oct 04 14:03:46 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@JakeLFischer yes! I was trying to remember which actor he reminded me of.,Thu Oct 01 02:26:12 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"My biggest beef with Ruben Amaro, Jr was that he let #papelbon becomes the #phillies all-time saves leader.  Let's do this, @KenGiles53.",Mon Sep 28 15:50:55 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@mattesslinger if Sixers don't claim Anthony Bennett on waivers, they should sign him to the kind of deal I was referring to.",Tue Sep 22 19:46:16 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@DerekBodnerNBA Let's go Sixers!,Mon Sep 21 00:11:34 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"@DerekBodnerNBA $3MM/yr avg, front loaded",Sun Sep 20 15:23:17 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
I wonder how much energy has been wasted by people holding the door open while they look for a particular name on a can of Coke,Tue Sep 15 20:03:57 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
@ToddZolecki he didn't go there for this,Tue Sep 15 02:28:13 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
"RT @Matt_Winkelman: Since joining the Phillies here is Jake Thompson's line: 54 IP 36 H 9 ER (1.50 ERA) 13 BB 42 K, last two starts 15 IP 7…",Sat Sep 12 14:05:09 +0000 2015,en,5,False,0,False,,Jonathan Murray,jmurz
@mattesslinger http://t.co/Hrj92ZbX6g,Fri Sep 11 18:33:17 +0000 2015,und,0,False,0,False,,Jonathan Murray,jmurz
@mattesslinger I wish I had said Kendall Marshall. The downshift y/o/y is less but they kinda just did what I said: http://t.co/m1SoFBEWD8,Fri Sep 11 16:38:01 +0000 2015,en,0,False,0,False,,Jonathan Murray,jmurz
