Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
The statistics are useless: Donald Trump is a black swan.,Wed May 04 17:17:26 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
Throw out your numbers: Donald Trump is a black swan.,Wed May 04 17:16:38 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"Jesus Christ, yeast,  died on a cross, hot cross buns",Tue May 03 16:52:12 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
@MikeGuimarin It’s more of a New York thing. It was in Nevada near LA hosted by New Yorkers,Tue May 03 16:51:08 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"one April 1980 poll from Cambridge Reports found Reagan at 39 percent favorable, 44 percent unfavorable",Sat Apr 30 15:04:54 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
When you realize that the US presidency doesn’t mean much anymore because the nuclear missile silos have already been hacked by the Chinese,Sat Apr 30 00:24:19 +0000 2016,en,0,False,1,False,,Joseph Perla,jperla
And Trump's final coup will be taking Kasich as his running mate,Thu Apr 28 14:05:12 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"@jasonpjason are you saying I should write more eloquently, or less philosophically?",Thu Apr 28 10:33:55 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
AI is just software. Strong AI is just absolute power and slavery.,Wed Apr 27 17:26:40 +0000 2016,en,0,False,1,False,,Joseph Perla,jperla
"Donald Trump is like ISIS. The more you talk about how much you hate him, the stronger he gets.",Wed Apr 27 15:28:47 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
For us @SenWarren @SenSanders,Wed Apr 27 14:43:44 +0000 2016,en,0,False,1,False,,Joseph Perla,jperla
The time to move is NOW @SenWarren @SenSanders,Wed Apr 27 14:43:08 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"Bernie should just put Warren at the top of his ticket. Then he’d easily win. Hey @SenWarren,  @SenSanders has kept the seat warm for you!",Wed Apr 27 14:42:26 +0000 2016,en,0,False,1,False,,Joseph Perla,jperla
Bernie should just put Warren at the top of his ticket. Then he’d easily win. @SenWarren @SenSanders,Wed Apr 27 14:37:16 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"Pretty clear you'd make AI by uploading your brain, but then you'd just be a slave of yourself. Same as a genius dominating world with AI",Wed Apr 27 13:30:58 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
Strong AI is really interesting from a dialectical materialist viewpoint,Wed Apr 27 13:29:30 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
We should just go all in on smartphones being a part of our body and make them more hospitable for our good bacteria that ends up on them,Wed Apr 27 13:08:22 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
People who are afraid of math are not very in touch with their feelings,Wed Apr 27 04:16:13 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
What do Hindu yogis think of artificial respirators?,Mon Apr 25 16:52:56 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
https://t.co/hS9cqQ3efk,Mon Apr 25 15:11:37 +0000 2016,und,0,False,0,False,,Joseph Perla,jperla
https://t.co/OsKxRehqGE,Mon Apr 25 15:11:28 +0000 2016,und,0,False,0,False,,Joseph Perla,jperla
Cryonic brain freezing is like backing up a datacenter by moving around the routers,Mon Apr 25 02:25:25 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
"RT @alaindebotton: The internet to this generation of writers as alcohol was to previous ones: anxiety suppressant, enemy of talent, challe…",Mon Apr 25 01:21:24 +0000 2016,en,413,False,0,False,,Joseph Perla,jperla
Cryonic brain freezing is like doing a backup of a datacenter by copying the routing tables,Sun Apr 24 16:18:39 +0000 2016,en,0,False,3,False,,Joseph Perla,jperla
"Boomers robbed and sold off America’s wealth, accumulated by the Silent and Greatest Generations, for themselves. What will Millennials do?",Sun Apr 24 15:36:02 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
Why does money destroy the family? cc @Pontifex,Sun Apr 24 15:33:34 +0000 2016,en,0,False,0,False,,Joseph Perla,jperla
