Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I hate when restaurants cater to only one religion. Of course I'm talking about Coke vs. Pepsi.,Thu Apr 28 04:38:59 +0000 2016,en,0,False,4,False,,Leonard Speiser,leonardspeiser
RT @nature: A detailed atlas that maps how the meaning of narrative language is represented in the human brain is reported https://t.co/3sN…,Thu Apr 28 00:48:02 +0000 2016,en,52,False,0,False,,Leonard Speiser,leonardspeiser
Big win by @gallantlab and the team at Berkeley https://t.co/6yb4uhCPT4,Wed Apr 27 18:17:16 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
Does my ISP throttle my Internet EXCEPT when I run a speed test?  Does that sound like paranoia?,Mon Apr 25 14:00:27 +0000 2016,en,1,False,3,False,,Leonard Speiser,leonardspeiser
Too many apps get built for Apple Watch hoping to get featured in App store. Most don't make sense and turn me off to trying the next app.,Sun Apr 24 23:42:13 +0000 2016,en,0,False,1,False,,Leonard Speiser,leonardspeiser
"RT @badbanana: I like to comment ""hilarious face swap, that's awful"" on people's wedding photos.",Sat Apr 23 19:54:31 +0000 2016,en,211,False,0,False,,Leonard Speiser,leonardspeiser
@Jakewk @jhong ah well.  The 409As I've seen are just like the housing appraisers I've worked with in the Bay Area.  Not sure why.,Sat Apr 23 05:02:15 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
"@jakewk @jhong Didn’t even know that data was public knowledge, do share the source of the data so we can see!",Sat Apr 23 04:12:10 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
"@jhong more obvious with investment banks, but I think it happens elsewhere too",Sat Apr 23 03:30:51 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
Beware of valuation estimates given by companies that profit from the companies they value.,Sat Apr 23 00:44:38 +0000 2016,en,1,False,6,False,,Leonard Speiser,leonardspeiser
"It’s so hard to take actions on the phone (fill out forms, buy things), should expect a drop in the value of adwords vis-a-vis mobile growth",Thu Apr 21 21:47:56 +0000 2016,en,2,False,5,False,,Leonard Speiser,leonardspeiser
"Sales are through the roof.  Glad to hear it, let’s rebuild that roof to be even higher.  - Lord Business",Sun Apr 17 05:11:57 +0000 2016,en,0,False,1,False,,Leonard Speiser,leonardspeiser
@kentgoldman which bots does everyone love?,Wed Apr 13 03:40:49 +0000 2016,en,0,False,2,False,,Leonard Speiser,leonardspeiser
RT @kcmunneke: Mmm Mmm Mmmm. Inspiring talk by @leonardspeiser about #hardware startups and customer cent… https://t.co/0TQHZwTj24 https://…,Sun Apr 10 22:34:42 +0000 2016,en,2,False,0,False,,Leonard Speiser,leonardspeiser
RT @KurzweilAINews: Hacking life: how to program new functions for living bacteria and yeast: MIT biological engineers have create... https…,Tue Apr 05 05:10:19 +0000 2016,en,16,False,0,False,,Leonard Speiser,leonardspeiser
"Heading to Nvidia conference, message me if you want to meet up.",Mon Apr 04 15:50:41 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
RT @denhamsadler: tfw you realise the robots will steal your job https://t.co/uR0W648pFE,Mon Apr 04 02:18:47 +0000 2016,en,3195,False,0,False,,Leonard Speiser,leonardspeiser
RT @davemcclure: Earthquakes @ Avaya Stadium https://t.co/xNRt7Jw8FR,Sun Apr 03 03:34:21 +0000 2016,en,4,False,0,False,,Leonard Speiser,leonardspeiser
RT @barneyp: See the simulated world where Google DeepMind is trying to create software that can learn anything https://t.co/OpVAahVFwT,Thu Mar 31 15:44:48 +0000 2016,en,8,False,0,False,,Leonard Speiser,leonardspeiser
"In bad markets isn't it in a company's interest to mark assets down? If they grow mgmt looks good, if they don't, well every1 was struggling",Thu Mar 31 02:27:36 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
RT @mattflannery: Great to be working together @arampell ! https://t.co/kcpxkPdBGs,Wed Mar 30 22:28:54 +0000 2016,en,1,False,0,False,,Leonard Speiser,leonardspeiser
@mcgd but Saturday Night Live is so much better for it. Somebody has to pay for great satire.,Wed Mar 30 21:51:18 +0000 2016,en,0,False,2,False,,Leonard Speiser,leonardspeiser
"RT @NeuronVC: Great approach to AI experts, @MaluubaInc just gets good at one book, not all knowledge. 
https://t.co/l2TWM3lB5i",Mon Mar 28 23:23:50 +0000 2016,en,1,False,0,False,,Leonard Speiser,leonardspeiser
RT @hnshah: I'm selling a t-shirt with a 🦄 on it! Here's why https://t.co/Bzj3JPuPtY You can buy it now: https://t.co/vBWhGgAXHX https://t.…,Mon Mar 28 15:38:10 +0000 2016,en,5,False,0,False,,Leonard Speiser,leonardspeiser
When a company uses the word omnichannel I tune out.,Mon Mar 28 14:44:31 +0000 2016,en,1,False,2,False,,Leonard Speiser,leonardspeiser
"RT @Mark_J_Perry: Compared to 100 years ago, eggs are about 90% cheaper today. Hoppy Easter from the free market. https://t.co/Uapw6TDlDb",Sat Mar 26 15:44:40 +0000 2016,en,31,False,0,False,,Leonard Speiser,leonardspeiser
RT @NeuronVC: Lip reading research from @DrYogiLBear means you only need a webcam on Sand Hill Road to listen to investors. https://t.co/Cx…,Fri Mar 25 01:02:27 +0000 2016,en,1,False,0,False,,Leonard Speiser,leonardspeiser
RT @HistoricalPics: It's been 32 years since the Breakfast Club met for detention https://t.co/VND2MNlg0s,Fri Mar 25 00:34:26 +0000 2016,en,4056,False,0,False,,Leonard Speiser,leonardspeiser
"RT @NeuronVC: Dear C Students: Don't panic, your computer will soon write your papers https://t.co/Zcnn9o9SOD",Thu Mar 24 19:36:12 +0000 2016,en,1,False,0,False,,Leonard Speiser,leonardspeiser
RT @NeuronVC: This is great news for startups.  Converting speech to text: https://t.co/HEbXN0K9xe,Wed Mar 23 22:22:03 +0000 2016,en,6,False,0,False,,Leonard Speiser,leonardspeiser
"RT @Shripriya: If you are in the Bay Area, sign up for this. MD is a great teacher - https://t.co/m5wPyY1KkZ",Mon Mar 21 00:51:31 +0000 2016,en,1,False,0,False,,Leonard Speiser,leonardspeiser
@naval you must have been waiting a long time in his car.,Thu Mar 17 02:50:10 +0000 2016,en,0,False,3,False,,Leonard Speiser,leonardspeiser
"RT @BillGates: By 2020, this vaccine is expected to protect more than 400 million people: https://t.co/gThUadoWIR https://t.co/T0XIvDv28O",Thu Mar 17 00:26:35 +0000 2016,en,1150,False,0,False,,Leonard Speiser,leonardspeiser
"RT @NeuronVC: This one from @shivon is great, thinking we need a Deep Learning only version by next year: https://t.co/hITh0D8Gkn",Tue Mar 15 15:50:51 +0000 2016,en,2,False,0,False,,Leonard Speiser,leonardspeiser
What has Vegas set as the odds on tonight's Go game?,Tue Mar 15 02:45:31 +0000 2016,en,0,False,0,False,,Leonard Speiser,leonardspeiser
