Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @selectel: Поздравляем всех поклонников саги Джорджа Лукаса с Днем “Звездных войн”! https://t.co/2tbzwBXbpS,Wed May 04 15:36:20 +0000 2016,ru,3,False,0,False,,Lev Leviev,lleviev
"Take that, Kate Upton, as Megan Fox becomes the face of Plarium’s Stormfall https://t.co/3o7AsDV58e via @VentureBeat",Wed May 04 13:28:40 +0000 2016,en,0,False,0,False,,Lev Leviev,lleviev
RT @selectel: Selectel открывает для себя новые рынки! Подробнее по ссылке — https://t.co/KuxsLDIInU https://t.co/sQmHODaXb4,Fri Apr 01 16:00:47 +0000 2016,ru,3,False,0,False,,Lev Leviev,lleviev
RT @selectel: Новые возможности VPC — читайте подробный обзор в нашем блоге. https://t.co/6UPgF6B5nH https://t.co/Zcmw4CtDMz,Tue Feb 16 18:35:59 +0000 2016,ru,2,False,0,False,,Lev Leviev,lleviev
"RT @Vscaleio: Весь февраль на старшие конфигурации Vscale действует иммуностимулирующая скидка 37,5%. https://t.co/QQOspiNzat https://t.co/…",Mon Feb 01 16:39:25 +0000 2016,ru,5,False,0,False,,Lev Leviev,lleviev
RT @selectel: Детальный обзор новых ОС и шаблонов для выделенных серверов: https://t.co/AOCTViqwv8 https://t.co/F2jqO0mfIu,Wed Jan 27 10:21:58 +0000 2016,ru,1,False,0,False,,Lev Leviev,lleviev
"RT @Uploadcare: New Blog Post: ""Cloud File Systems are the New Black"" https://t.co/yppBNPHDGH https://t.co/QHkXhgU3p7",Thu Jan 21 20:29:23 +0000 2016,en,5,False,0,False,,Lev Leviev,lleviev
I liked a @YouTube video https://t.co/2EXxn5OSy1 Шарлотта Земляничка Ягодные приключения 10,Mon Jan 18 19:18:25 +0000 2016,ru,0,False,0,False,,Lev Leviev,lleviev
Саакашвили VS Аваков https://t.co/fqX0kA7p7k,Thu Dec 17 01:22:05 +0000 2015,ru,0,False,0,False,,Lev Leviev,lleviev
"RT @plarium: A New MMORPG You Won't Get Bored With. Click Here To Play
 https://t.co/HI5DjZcxJX",Sat Nov 21 23:18:26 +0000 2015,en,529,False,0,False,,Lev Leviev,lleviev
I added a video to a @YouTube playlist https://t.co/lTXSc9UTb5 Bike trip 2015,Fri Nov 20 17:47:34 +0000 2015,en,0,False,1,False,,Lev Leviev,lleviev
TJ обновил редактор для написания статей и запустил два новых раздела https://t.co/gCdia2mCr0 via @tjournal,Tue Nov 10 06:34:23 +0000 2015,ru,0,False,0,False,,Lev Leviev,lleviev
И грустно и смешно.  #ЗдесьХорошо https://t.co/XD9RTltMvF via @tjournal,Mon Oct 26 22:53:00 +0000 2015,ru,0,False,0,False,,Lev Leviev,lleviev
