Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
http://t.co/tVwDA5rI  $11 Million to Establish the Wharton Public Policy Initiative,Fri Sep 21 15:14:16 +0000 2012,en,1,False,0,False,,Marc Spilker,marcspilker
"http://t.co/YsdL1krQ Marc Spilker, Gene Donnelly and Gary Stein review Apollo's third quarter financial results at conf call 11-3-11 10 am.",Mon Oct 31 14:16:39 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
"http://t.co/rrVx8q5s The New Victory Theater gala raised $450,000",Tue Oct 18 20:41:43 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
"Looking forward to another great season at the New Victory Theater: 
http://t.co/7C203PR",Wed Sep 07 16:54:48 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
http://t.co/E2uAtLL,Mon Aug 22 15:32:33 +0000 2011,und,0,False,0,False,,Marc Spilker,marcspilker
http://t.co/GoSCsLN,Fri Aug 19 15:12:49 +0000 2011,und,0,False,0,False,,Marc Spilker,marcspilker
Are we connected on Spoke? http://t.co/6tjBHD5,Tue Aug 16 17:48:41 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
http://t.co/Ds1zmRL,Mon Aug 15 13:56:06 +0000 2011,und,0,False,0,False,,Marc Spilker,marcspilker
http://t.co/C4WxCu5 Apollo's Marc Spilker Says Market Turmoil Creates Opportunity To Invest,Tue Aug 09 18:06:25 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
Marc Spilker Profile at Metacritic.com http://t.co/IhARsf9 via @metacritic,Mon Aug 01 13:35:45 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
http://t.co/ttLnWAd Apollo Announces Second Quarter 2011 Earnings,Fri Jul 29 20:56:14 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
http://bit.ly/jRrage Apollo Investment Announces Quarter/ Fiscal Year End 3/31/11 Financial Results and Qtrly Dividend of $0.28 per Share,Tue May 31 21:48:40 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
Apollo Global Management LLC at Barclays Capital Americas Select Conference Webcast presentation http://bit.ly/iqZ4mE,Tue May 24 15:33:49 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
Apollo to Present at the Barclays Capital Americas Select Conference on 5/24. A live audio webcast will be available at http://ir.agm.com.,Wed May 18 16:39:06 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
Apollo Global Management reported total assets up 3.6% from three months earlier and 24.6% higher than a year earlier.http://bit.ly/m2hYEN,Fri May 13 20:02:19 +0000 2011,en,0,False,0,False,,Marc Spilker,marcspilker
Check out my Updated Google profile http://www.google.com/profiles/spilker.marc,Sun Dec 05 04:59:41 +0000 2010,en,0,False,0,False,,Marc Spilker,marcspilker
Check out my new Google profile http://www.google.com/profiles/spilker.marc,Thu Feb 04 15:37:14 +0000 2010,en,0,False,0,False,,Marc Spilker,marcspilker
http://marcspilker.blogspot.com,Sun Jan 24 02:41:24 +0000 2010,und,0,False,0,False,,Marc Spilker,marcspilker
http://www.facebook.com/marcspilker,Sat Jan 23 22:37:57 +0000 2010,und,0,False,0,False,,Marc Spilker,marcspilker
http://www.myspace.com/marcspilker,Sat Jan 23 22:36:00 +0000 2010,und,0,False,0,False,,Marc Spilker,marcspilker
