Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Looking forward to DMS 16 #DMS16 https://t.co/cRB4VBEvk0,Tue Mar 01 23:47:14 +0000 2016,en,0,False,0,False,,Mark Naples,markanaples
@MediaLabPete Nice fish old friend!  Good seeing your smiling face -,Wed Jan 27 23:04:44 +0000 2016,en,0,False,0,False,,Mark Naples,markanaples
@emilybabay Faulty electric caused that fire - bank on it.  Check with L&amp;I and you'll find that the building already had been cited.,Wed Jan 20 15:27:22 +0000 2016,en,0,False,0,False,,Mark Naples,markanaples
Couldn't agree more with Nikki.  We've been debating @davemorgannyc 's column within our team ever since it ran. https://t.co/Y1BbBv6hCD,Fri Jan 15 19:42:35 +0000 2016,en,2,False,2,False,,Mark Naples,markanaples
"@SugarSync My SugarSynch sudden;y stopped recognizing my account.  It's telling me to log in again, but doesn't recognize my PW or email.",Wed Dec 09 19:13:12 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
A(nother) Pox on Our House. http://t.co/R1t0mfaE7f via @upstreamdw,Wed Sep 16 15:58:47 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
@TD_Foundation @TD_Foundation,Tue Sep 08 20:11:06 +0000 2015,und,0,False,0,False,,Mark Naples,markanaples
"@melissamcglynn Hey - You have no ""Friend"" button on your FB page.  Hit me up!",Thu Aug 27 14:39:50 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
"@Uber_Support

Unfortunately, your driver had to cancel the trip. Please request a new ride and we'll get you moving shortly.  

Nevermore",Wed Jul 15 23:06:52 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
"Tweeting @Uber_support
I got billed even though that driver is the one who cancelled the ride - 30 mins after I'd contacted her.  #LAME.",Wed Jul 15 22:57:23 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
"Tweeting @Uber_Support 
Last 4 Uber rides in Philly never happened.  Drivers get lost.  Today, 484.845.0846 got lost. I still got billed.",Wed Jul 15 22:56:14 +0000 2015,en,0,False,0,False,,Mark Naples,markanaples
"This is SO good.

Blame It on Culture. http://t.co/O099VqssQy via @upstreamdw",Thu Apr 23 22:02:56 +0000 2015,en,0,False,1,False,,Mark Naples,markanaples
Generations. http://t.co/moTvdNVG80 via @upstreamdw,Wed Apr 01 19:21:03 +0000 2015,en,0,False,2,False,,Mark Naples,markanaples
Nice!  Outfielders and base runners!,Sat Dec 27 21:24:42 +0000 2014,en,0,False,1,False,,Mark Naples,markanaples
"http://t.co/Urd3nmuvbR  Simple, great message on Veterans Day.",Tue Nov 11 20:32:59 +0000 2014,en,0,False,0,False,,Mark Naples,markanaples
"Privacy Pros Want More Say In Marketing and Ad Decisions
 http://t.co/NzpYooQmKL",Wed Nov 05 16:22:08 +0000 2014,en,0,False,2,False,,Mark Naples,markanaples
DM@vikramsomaya [can't get enough of you!],Thu Oct 23 17:27:14 +0000 2014,en,0,False,0,False,,Mark Naples,markanaples
"@FanSince09 If your Tweeting ends up costing you your job, come see me.",Fri Sep 19 14:08:39 +0000 2014,en,0,False,0,False,,Mark Naples,markanaples
Hi Kris!   Good hearing from you.  I do - will send via email,Thu Mar 13 16:39:01 +0000 2014,en,0,False,0,False,,Mark Naples,markanaples
"Snowden endorses Ghostery!
http://t.co/qZyY4xJnmc",Mon Mar 10 17:36:00 +0000 2014,en,3,False,0,False,,Mark Naples,markanaples
Nice!  Thanks -,Wed Oct 30 15:52:28 +0000 2013,en,0,False,0,False,,Mark Naples,markanaples
RT @adamkleinberg: My 1st piece in Entrepreneur mag: The Secret to a Strong Branding Message? Focus. http://t.co/ViVNM65TqM via @entmagazine,Tue Apr 02 03:24:45 +0000 2013,en,5,False,0,False,,Mark Naples,markanaples
Such a great creative,Wed Aug 01 14:35:00 +0000 2012,en,0,False,1,False,,Mark Naples,markanaples
Yeah.  $150B dollars from now.   See where the new Philly train station will be? Makes a lot of sense.  And dollars.,Mon Jul 09 21:51:08 +0000 2012,en,0,False,0,False,,Mark Naples,markanaples
"@TylerKepner Mo's injury remind anyone of Tug McGraw breaking his wrist in 1980?  Much worse, of course. But, was still just shagging.",Sun May 06 16:42:50 +0000 2012,en,0,False,0,False,,Mark Naples,markanaples
The Ghostery in the machine: Tracking the trackers http://t.co/jwmPZlMZ,Tue Feb 14 19:47:46 +0000 2012,en,0,False,0,False,,Mark Naples,markanaples
See what?,Tue Nov 22 22:41:36 +0000 2011,en,0,False,0,False,,Mark Naples,markanaples
"@jointheflock: Check out @CatalystaJim, who has applied for the Agency and Brand Advocate position. I think you'll be glad u did! #hirejim",Tue Oct 25 13:09:34 +0000 2011,en,0,False,0,False,,Mark Naples,markanaples
