Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@Getaround trying to rent a car, but keep getting an error, trying to rent today please help!",Thu Nov 26 18:54:59 +0000 2015,en,0,False,0,False,,mark sugarman,marksugarman
RT @vijaynagappan: Congrats @plotlygraphs on bringing the best data viz tech open-source! https://t.co/Hz6oDbTeKy,Tue Nov 17 22:28:25 +0000 2015,en,1,False,0,False,,mark sugarman,marksugarman
Exciting open source move by @plotlygraphs  https://t.co/qKIUUP9Vbc,Tue Nov 17 18:01:22 +0000 2015,en,0,False,1,False,,mark sugarman,marksugarman
"Thinking of those in Paris
 https://t.co/SofO8R17Oq",Sat Nov 14 00:10:22 +0000 2015,en,1,False,1,False,,mark sugarman,marksugarman
"@vijaynagappan  share how @outreach_io is building the ""Homescreen for Sales""  https://t.co/nJDeOiDd9G",Wed Oct 28 17:26:43 +0000 2015,en,0,False,0,False,,mark sugarman,marksugarman
great post by @paulg http://t.co/3QghCnK9Dh its worth a read,Thu Oct 15 13:24:16 +0000 2015,en,0,False,0,False,,mark sugarman,marksugarman
RT @schoeny: Excited to share that @simplymeasured has acquired @Datarank! #SocialIntelligence #AnalyticsFirst http://t.co/xt8wDrzJZ6,Tue Oct 13 15:59:20 +0000 2015,en,7,False,0,False,,mark sugarman,marksugarman
"RT @roelofbotha: Good board members act as shock absorbers, not amplifiers.",Tue Oct 13 00:56:50 +0000 2015,en,79,False,0,False,,mark sugarman,marksugarman
"Building Thumbtack: Six Years, Forty-two Rejections, and a Singular Obsession With Solving One Big Problem  https://t.co/85Qvcjpvdo",Wed Sep 30 18:15:04 +0000 2015,en,0,False,2,False,,mark sugarman,marksugarman
"""Facebook goes down for the third time in 3u weeks"" http://t.co/IWTlqpyE9V #technews #feedly",Tue Sep 29 00:14:29 +0000 2015,en,0,False,0,False,,mark sugarman,marksugarman
"RT @peterfenton: Reminded of advice that a hero of mine gave me on the core duty of a board: structure, strategy, and staff",Thu Sep 03 03:01:11 +0000 2015,en,25,False,0,False,,mark sugarman,marksugarman
"RT @vijaynagappan: Bring Marketplace KPIs to Life http://t.co/mQjG79A8LR - Free code/template download: http://t.co/qKVqU1JAGe.  
cc: @plot…",Mon Aug 17 15:46:16 +0000 2015,en,6,False,0,False,,mark sugarman,marksugarman
RT @pmarca: One big thing tech founders *really* underestimate: How good it feels to go profitable.,Fri Aug 14 02:07:16 +0000 2015,en,404,False,0,False,,mark sugarman,marksugarman
This is insane... https://t.co/eZRC3RoSIG,Thu Aug 13 19:46:45 +0000 2015,en,0,False,0,False,,mark sugarman,marksugarman
This is insane.... https://t.co/MP1rFfaiq0,Thu Aug 13 19:39:54 +0000 2015,en,0,False,1,False,,mark sugarman,marksugarman
RT @sama: I understand SF is crazy expensive as a new founder. I have limited sympathy when you are instacarting bottled water after soulcy…,Fri Jul 31 22:27:22 +0000 2015,en,118,False,0,False,,mark sugarman,marksugarman
nice post @epaley http://t.co/iPR5aHyv65,Fri Jul 31 16:24:28 +0000 2015,en,0,False,1,False,,mark sugarman,marksugarman
Terrific to see the launch of Gears and some new fuel for the business! https://t.co/mKLLk7RrLt,Wed Jul 15 18:06:36 +0000 2015,en,0,False,1,False,,mark sugarman,marksugarman
Excited to have you on board! https://t.co/w2r8PnI1dW,Wed Jul 15 17:38:25 +0000 2015,en,0,False,2,False,,mark sugarman,marksugarman
Congrats @simplymeasured for being  the ONLY social analytics platform named a leader in @G2Crowd's new report: https://t.co/SRIrSgIT7I,Tue Jun 23 22:20:04 +0000 2015,en,1,False,2,False,,mark sugarman,marksugarman
well said @leehower http://t.co/1fkNnmL5Gu startups take extreme comittment,Thu Jun 18 17:28:11 +0000 2015,en,1,False,2,False,,mark sugarman,marksugarman
