Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Startups need to do due diligence, too https://t.co/zSWWTg8sjR",Sat Apr 30 21:53:22 +0000 2016,en,0,False,1,False,,Mehdi Daoudi,mdaoudi
"Between the cloud and the corporate data center, there is fog computing https://t.co/PBMTN5leyw",Sat Apr 30 21:45:18 +0000 2016,en,0,False,2,False,,Mehdi Daoudi,mdaoudi
RT @RobertCastley: How Fast is Fast Enough - Web Speed https://t.co/bIlidDLlER,Fri Apr 29 11:57:42 +0000 2016,en,2,False,0,False,,Mehdi Daoudi,mdaoudi
IOT Must read How different networking standards are competing to connect the Internet of Things https://t.co/BT08B7YOyP,Sun Apr 24 13:11:31 +0000 2016,en,0,False,1,False,,Mehdi Daoudi,mdaoudi
Inside Gogo’s airborne lab for testing in-flight Wi-Fi https://t.co/z6YhmLrQvG,Sat Apr 23 16:01:57 +0000 2016,en,0,False,2,False,,Mehdi Daoudi,mdaoudi
Interesting!  https://t.co/OQ7C7YiizA,Thu Apr 21 12:09:24 +0000 2016,en,0,False,1,False,,Mehdi Daoudi,mdaoudi
Great article by @avifreedman  https://t.co/qRppN16ynn,Tue Apr 19 16:05:37 +0000 2016,en,0,False,0,False,,Mehdi Daoudi,mdaoudi
Rep. Ted Lieu calls on Congress to investigate SS7 exploit via @MacHashNews https://t.co/tvULkg2kkM,Mon Apr 18 22:02:02 +0000 2016,en,0,False,1,False,,Mehdi Daoudi,mdaoudi
Microsoft Windows Genius Gets His Props https://t.co/SVQJ5VQNnK,Fri Apr 15 20:34:45 +0000 2016,en,0,False,1,False,,Mehdi Daoudi,mdaoudi
Our 1st Digital Perf Summit in Bangalore was a huge success. Thank you all for coming and presenting!,Thu Apr 07 04:06:50 +0000 2016,en,0,False,3,False,,Mehdi Daoudi,mdaoudi
