Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
New York City Casts a Net to Catch the Next Big Start-Up https://t.co/hZohoywhPQ,Mon May 02 17:49:41 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
"""Hello Tokyo"" on @Vimeo https://t.co/7TNMYQMlfy",Fri Apr 29 22:16:18 +0000 2016,cy,0,False,0,False,,Mike Hoydich,mhoydich
"..and I can't find one good Clipper, in this house, to cut it with!",Fri Apr 29 00:34:19 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
RT @alexchudesign: Check it out! I got a pre-launch #Gear360 at #SDC2016 https://t.co/dtrNjuVMiZ,Thu Apr 28 12:44:20 +0000 2016,en,7,False,0,False,,Mike Hoydich,mhoydich
RT @HypeKillsNYC: Hat Dropping In Limited Qty #HatClub #Hat #Leather #HypeKills #NYC #Streetwear #Fashion #Fitted #NewEra #Limited https://…,Tue Apr 26 20:05:49 +0000 2016,en,1,False,0,False,,Mike Hoydich,mhoydich
@fukuburger can't go wrong with a top flight CB. Everyone talking OBJ vs Norman matchup twice this year.,Mon Apr 25 18:46:20 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
@fukuburger You happy about the Norman signing?,Mon Apr 25 16:26:40 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
Morgan's status this morning:  Bacon Pancakes - New York remix https://t.co/VqKC8OEaam,Sun Apr 24 14:26:46 +0000 2016,en,0,False,1,False,,Mike Hoydich,mhoydich
RT @HistoryInPics: Michael Jackson telling his monkey Bubbles to sit down in sign language. https://t.co/fdNDNazvgC,Fri Apr 22 21:32:45 +0000 2016,en,7042,False,0,False,,Mike Hoydich,mhoydich
"Prince, Tom Petty, Steve Winwood, Jeff Lynne and others -- ""While My Guitar Gently Weeps https://t.co/PwJIYHlaII",Thu Apr 21 18:33:27 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
@MarkGray The article is a neat read as well. It will be fun to watch the progress of the category. Going to download the app now..,Thu Apr 21 16:26:08 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
@MarkGray remember indeed. Mobile + abundant (live) streaming sources + light weight VR offering 'social' viewing = new opps in category,Thu Apr 21 16:21:47 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
"The Untold Story of Magic Leap, the World’s Most Secretive Startup https://t.co/rgEcuyjkfU",Tue Apr 19 19:51:57 +0000 2016,en,0,False,1,False,,Mike Hoydich,mhoydich
The latest from Magic Leap https://t.co/OMqutkcwx5,Tue Apr 19 19:08:07 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
"RT @Oniropolis: Buckminster Fuller on work, New York Magazine, March 30th, 1970 https://t.co/HUhjeCIv7M",Tue Apr 19 11:53:04 +0000 2016,en,421,False,0,False,,Mike Hoydich,mhoydich
"@mhoydich now, Danny Glover",Mon Apr 18 23:43:40 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
I think that's TV on the Radio playing now..,Mon Apr 18 23:20:39 +0000 2016,en,0,False,0,False,,Mike Hoydich,mhoydich
Feel the Bern. Checking out the Bernie rally in LIC. (@ Hunter's Point South Park) https://t.co/dhy7fxhhzP https://t.co/M7HQCisXM2,Mon Apr 18 23:18:37 +0000 2016,en,1,False,2,False,"{'type': 'Point', 'coordinates': [-73.96070123, 40.7426319]}",Mike Hoydich,mhoydich
