Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@rallat mine is waiting to be installed!!! https://t.co/VNq0s3Nhik,Tue May 03 00:50:25 +0000 2016,en,0,False,1,False,,Michael Ducker,miradu
@_mitchellporter it's our tournament so in between games I'm running the clocks,Sun May 01 20:52:54 +0000 2016,en,0,False,1,False,,Michael Ducker,miradu
Day 2 https://t.co/Tb2zJkqJUQ,Sun May 01 20:28:56 +0000 2016,und,0,False,6,False,,Michael Ducker,miradu
"RT @WhiteHouse: ""With that, I have just two more words to say: Obama Out."" —@POTUS #WHCD https://t.co/RQSDh92YsU",Sun May 01 03:02:15 +0000 2016,en,20725,False,0,False,,Michael Ducker,miradu
@psyfe @gem_ray the lowes coupon is worth up to $500 and can be stacked.,Sun May 01 02:13:15 +0000 2016,en,0,False,1,False,,Michael Ducker,miradu
@gem_ray some of those coupons are seriously good/useful,Sun May 01 02:04:18 +0000 2016,en,0,False,2,False,,Michael Ducker,miradu
Rooftop dog park https://t.co/QrP4T3D1o4,Sun May 01 00:50:59 +0000 2016,en,0,False,6,False,,Michael Ducker,miradu
Early start to Tsunami de Mayo! https://t.co/z3GBDW86Uf,Sat Apr 30 14:09:56 +0000 2016,tl,0,False,9,False,,Michael Ducker,miradu
@jordanyelinek @tjlull whos that,Fri Apr 29 18:46:24 +0000 2016,en,0,False,0,False,,Michael Ducker,miradu
@crazyfoo @twitter @tellapart one of the best tshirts ever printed ;),Fri Apr 29 06:35:15 +0000 2016,en,0,False,2,False,,Michael Ducker,miradu
@wingwingssf I will order this,Fri Apr 29 06:30:22 +0000 2016,en,0,False,3,False,,Michael Ducker,miradu
@ericlin so I should watch it?,Fri Apr 29 05:01:39 +0000 2016,en,0,False,0,False,,Michael Ducker,miradu
Planning a move - San Francisco 311 was a really pleasant experience!,Thu Apr 28 23:24:27 +0000 2016,en,0,False,6,False,,Michael Ducker,miradu
RT @SeattleDivas: Want a pre-weekend peek at this hot studio? Join us for a Happy Hour Open House today (Thurs) from 5-6:30pm! https://t.co…,Thu Apr 28 15:19:51 +0000 2016,en,1,False,0,False,,Michael Ducker,miradu
