Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @JesseDraper: Ahh! Just got my first #beautyconbox - best products everrrr!!! @BeautyconTweets @mojism so… https://t.co/kwDovQ1rrm,Sun Apr 17 17:16:40 +0000 2016,en,3,False,0,False,,moj mahdara,mojism
The @thecoveteur came over for a visit to chat about @BeautyconTweets https://t.co/EKyvZ2XtUO #thecoveteur #beautycon,Fri Apr 15 16:10:35 +0000 2016,en,2,False,9,False,,moj mahdara,mojism
Thank you @marieclaire @lea the love felt is deep https://t.co/lGSUMwhrPI,Fri Apr 08 23:34:04 +0000 2016,en,7,False,18,False,,moj mahdara,mojism
RT @sophiaamoruso: I can't stand it anymore. Who's ready for the @GIRLBOSS conference?,Sat Mar 26 03:06:51 +0000 2016,en,30,False,0,False,,moj mahdara,mojism
@Jenn_RTR ​@renttherunway does it again! New subscription to fashion Unlimited will change the way we get dressed #RTRUnlimited,Wed Mar 23 21:36:15 +0000 2016,en,0,False,3,False,,moj mahdara,mojism
"RT @jenashtep: ""This generation thinks of beauty as an expression of power and creativity.""
-@mojism #PowerTrip",Tue Mar 22 04:07:13 +0000 2016,en,4,False,0,False,,moj mahdara,mojism
RT @ChrystinaElaine: @marieclaire @BeautyconTweets CEO @mojism w: @GwynethPaltrow @tyrabanks @BethanyMota and more! Ladies first! #PowerSum…,Mon Mar 21 22:21:13 +0000 2016,en,3,False,0,False,,moj mahdara,mojism
Looking forward to @marieclaire #PowerTrip in SF today @lea,Mon Mar 21 18:14:47 +0000 2016,en,1,False,7,False,,moj mahdara,mojism
RT @sarahkunst: Listening to @sophiaamoruso + @mojism on #girlbossradio https://t.co/R3hewEOhL7 while i get my weekend work on.,Sat Mar 19 18:37:23 +0000 2016,en,2,False,0,False,,moj mahdara,mojism
@SheilaYM When you decide tell me LOL,Fri Mar 18 05:47:53 +0000 2016,en,0,False,1,False,,moj mahdara,mojism
"RT @THR: Nielsen's Music Study Reveals Instagram's Impact on Artists, Sales and Streaming https://t.co/mn9N6tTjCk https://t.co/mTEQC3PZ7v",Tue Mar 15 04:36:51 +0000 2016,en,33,False,0,False,,moj mahdara,mojism
RT @iamthatgirl: #VoteForEmily 🙋✔️💖 7 in 10 girls believes she is not good enough. Let's change that. https://t.co/mc7qyqlo7V https://t.co/…,Mon Mar 14 14:04:56 +0000 2016,en,44,False,0,False,,moj mahdara,mojism
RT @stylehaulsteph: 1st #CES➡️awards&amp;fw season&amp;wrapping upfront partnerships ➡️#SXSW➡️bunch of key events➡️#cannes➡️#newfronts-how do we ba…,Mon Mar 14 14:03:51 +0000 2016,en,1,False,0,False,,moj mahdara,mojism
RT @MissGallo: Thank you @TwitterWomen @NolaBeth for hosting a wonderful Women in Tech brunch. #SheInspiresMe https://t.co/8pEbU3nFZq,Sat Mar 12 22:40:29 +0000 2016,en,3,False,0,False,,moj mahdara,mojism
@Chrysi @TwitterWomen @MissGallo @Liz_Keen I look sleepy LOL x,Sat Mar 12 21:01:54 +0000 2016,en,0,False,3,False,,moj mahdara,mojism
RT @BeautyconTweets: In #Austin for #sxsw2016 ? Make sure to check out our CEO @mojism &amp; @grav3yardgirl at the @refinery29 #SXSW Pop-up! ht…,Fri Mar 11 00:09:12 +0000 2016,en,4,False,0,False,,moj mahdara,mojism
@grav3yardgirl @Refinery29 @BeautyconTweets See what we have been up to with our dear friend Bunny. https://t.co/y60gboJ0kN #beautyconbox,Thu Mar 10 05:35:25 +0000 2016,en,1,False,4,False,,moj mahdara,mojism
RT @kanyewest: Be real…,Thu Mar 10 02:42:18 +0000 2016,en,56640,False,0,False,,moj mahdara,mojism
Watch Tyler Oakley Make Celebrities Do Dramatic Readings of Kanye Tweets https://t.co/QxlDlN9Bs0 via @whatstrending,Thu Mar 10 00:38:03 +0000 2016,en,0,False,2,False,,moj mahdara,mojism
RT @kanyewest: ###hashtag all positive vibes,Mon Mar 07 19:49:54 +0000 2016,en,35957,False,0,False,,moj mahdara,mojism
#HouseOfCards✔️ Done ! https://t.co/rzTsae1Sgx,Mon Mar 07 06:19:23 +0000 2016,en,0,False,1,False,,moj mahdara,mojism
RT @BeautyconTweets: Did we forget to mention that not only is @grav3yardgirl going to be at #BeautyconDallas .. She is also the curator of…,Sat Mar 05 18:36:09 +0000 2016,en,5,False,0,False,,moj mahdara,mojism
@DigitalLA excited to join you next week !,Sat Mar 05 03:47:32 +0000 2016,en,0,False,2,False,,moj mahdara,mojism
RT @DigitalLA: Just added @mojism as keynote speaker for #DigitalWomen https://t.co/wtqBDkl3VF https://t.co/fIogXlSDHL,Sat Mar 05 03:47:16 +0000 2016,en,2,False,0,False,,moj mahdara,mojism
RT @businessinsider: Instagram now has more advertisers than Twitter — via @themotleyfool https://t.co/qZA0wJWXQy,Wed Mar 02 06:50:21 +0000 2016,en,31,False,0,False,,moj mahdara,mojism
"RT @tyleroakley: live in AL, AK, AR, GA, MA, MN, OK, TN, TX, VT, VA, CO?? let me know if you vote today!! use your voice &amp; make an impact!!…",Tue Mar 01 16:12:25 +0000 2016,en,1260,False,0,False,,moj mahdara,mojism
@brooke @realDonaldTrump @eosnos Has to be be stopped.,Tue Mar 01 15:28:37 +0000 2016,en,0,False,0,False,,moj mahdara,mojism
Must get up and get to @OTheoryFitness #goalz,Tue Mar 01 15:27:27 +0000 2016,en,0,False,1,False,,moj mahdara,mojism
@SheilaYM @Inc So fun thanks! https://t.co/EbzNfTJ6Sd,Mon Feb 29 21:24:52 +0000 2016,en,0,False,4,False,,moj mahdara,mojism
RT @kanyewest: Finally!!! Our guy!!! We're so so happy for Leo!!!,Mon Feb 29 07:51:47 +0000 2016,en,125706,False,0,False,,moj mahdara,mojism
