Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @sama: ""What's the most important non-obvious skill for success?""
""The ability to keep believing in your own ideas when others say they'…",Sun May 01 20:02:10 +0000 2016,en,656,False,0,False,,Rick Morrison,morrisor
That's thirty minutes away. I'll be there in ten. -The Wolf,Sat Apr 30 00:04:47 +0000 2016,en,1,False,1,False,,Rick Morrison,morrisor
RT @garrytan: Our limbic system can't tell the difference between what we imagine and what we truly experience. So be careful what you load…,Thu Apr 28 05:56:38 +0000 2016,en,8,False,0,False,,Rick Morrison,morrisor
RT @paulg: Ooshma Garg is relentlessly resourceful: https://t.co/qCESqxkn88,Tue Apr 19 03:45:09 +0000 2016,en,32,False,0,False,,Rick Morrison,morrisor
"OH re big company: it's like Machiavellian meets political correctness, it's really awkward.",Wed Apr 13 03:41:08 +0000 2016,en,0,False,1,False,,Rick Morrison,morrisor
"Nobody takes the time to compose good tweets anymore, so they write longform instead.",Sat Mar 26 02:24:02 +0000 2016,en,0,False,3,False,,Rick Morrison,morrisor
OH: it's like they read Orwell and didn't realize it was satire.,Fri Mar 11 01:06:14 +0000 2016,en,0,False,1,False,,Rick Morrison,morrisor
RT @semil: Most voted-up comment on TechCrunch's article breaking news of Uber's Series A investment back in 2011: https://t.co/VsZ714HNln,Thu Mar 10 07:03:26 +0000 2016,en,523,False,0,False,,Rick Morrison,morrisor
Every person in the world is on the verge of becoming both a coworker and a competitor to every one of us. -Andy Grove,Thu Mar 10 01:07:08 +0000 2016,en,2,False,3,False,,Rick Morrison,morrisor
"This 2016 primary cycle reminds us: If they can get you asking the wrong questions, they don't have to worry about answers. -Thomas Pynchon",Tue Mar 08 23:38:33 +0000 2016,en,0,False,0,False,,Rick Morrison,morrisor
"Don’t show us your product, show us your solution - @frontlinemike - https://t.co/mvhaZUnNZI",Tue Mar 01 02:53:38 +0000 2016,en,0,False,0,False,,Rick Morrison,morrisor
"Check out @Comprehend’s new Clinical Operations Benchmark Report, a survey of &gt;300 Clinical Operations Leaders https://t.co/FBnBuAWnKp",Thu Feb 25 17:58:59 +0000 2016,en,1,False,3,False,,Rick Morrison,morrisor
"RT @bhalligan: “First principles are clinical, emotionless and a bigger, more powerful force…” — @mmccue https://t.co/bDtqCKPhtb https://t.…",Thu Feb 25 03:48:10 +0000 2016,en,4,False,0,False,,Rick Morrison,morrisor
"@msuster there should be a choice for ""I'm both an entrepreneur and parent, I don't know what those words mean""",Tue Feb 23 06:24:50 +0000 2016,en,0,False,5,False,,Rick Morrison,morrisor
"To put today's political polarization in perspective: in 1986, Scalia was confirmed 98-0 by the senate.",Sat Feb 20 18:43:45 +0000 2016,en,0,False,6,False,,Rick Morrison,morrisor
Your products and services are worth $0 unless the customer understands how they solve real business issues.,Wed Feb 10 01:14:17 +0000 2016,en,0,False,1,False,,Rick Morrison,morrisor
Strategy is the willful reduction of options.,Thu Jan 21 22:53:01 +0000 2016,en,4,False,8,False,,Rick Morrison,morrisor
Comprehend’s Rick Morrison on the Importance of Asking Questions - @siriusxm @harris @ycombinator - https://t.co/ofR4XDeRFa,Fri Jan 15 22:40:17 +0000 2016,en,10,False,18,False,,Rick Morrison,morrisor
Stop and focus. You can't afford yourself the indulgence of feeling stressed or anxious.,Thu Jan 14 22:46:29 +0000 2016,en,1,False,5,False,,Rick Morrison,morrisor
RT @tristanwalker: This might be the most amazing thing I've read all year. Fantastic. https://t.co/PiUdLB6JCm,Mon Dec 28 06:34:50 +0000 2015,en,91,False,0,False,,Rick Morrison,morrisor
"RT @paultoo: Finally, someone is Getting Real about these bullshit valuations! Oh wait... :)
https://t.co/wZTU97oi7g https://t.co/skvqIg8hLf",Tue Dec 01 03:49:04 +0000 2015,en,120,False,0,False,,Rick Morrison,morrisor
RT @Buddhism_Now: Delusions are very clever. Don't get robbed of your mindfulness.,Sat Nov 28 03:44:41 +0000 2015,en,31,False,0,False,,Rick Morrison,morrisor
RT @paulg: Jessica Livingston: https://t.co/XNW3ovo9Po,Tue Nov 17 02:16:42 +0000 2015,en,188,False,0,False,,Rick Morrison,morrisor
To be like the rock that the waves keep crashing over. It stands unmoved and the raging of the sea falls still around it. -Marcus Aurelius,Sat Nov 14 17:56:02 +0000 2015,en,1,False,3,False,,Rick Morrison,morrisor
