Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @GalxyzLab: It's Teacher Appreciation Week! How you can show your appreciation? #thankateacher https://t.co/dyeDUDNrrq https://t.co/ZkUe…,Tue May 03 16:11:05 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
#whendovescry RIP Prince. Gone so early...,Thu Apr 21 17:35:01 +0000 2016,en,1,False,18,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: What does Stephen Hawking have to say about our future in space? https://t.co/josD8JmbcS https://t.co/A9r7BIPMLr,Thu Apr 14 18:22:16 +0000 2016,en,4,False,0,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: A group of friends went out to the desert, and drew a scale model of our solar system! https://t.co/XK8JFEkuQt https://t.co/…",Thu Apr 14 18:22:05 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: So how do we get to Alpha Centauri anyway? Lasers. That's how. @PopSci explains. https://t.co/I5amSRCxwL https://t.co/CR8hhY…,Thu Apr 14 05:06:58 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
yes! yes! yes! SpaceX just landed a rocket on a drone ship for the first time https://t.co/pJzw2afHYj via @techcrunch,Fri Apr 08 22:43:10 +0000 2016,en,3,False,17,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: .@NASA has some mini missions planned, on the back of a very powerful rocket. https://t.co/yF8C7F0dnw https://t.co/JrqfMUGJVA",Tue Apr 05 00:43:13 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Will future generations of students benefit from a change in how we teach math? https://t.co/VuJpliKaOZ https://t.co/zDB42dA…,Tue Apr 05 00:43:08 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Want to tour Mars with Buzz Aldrin? @NASA has an app for that! https://t.co/xXygRc97Hf https://t.co/uMtiVd4Sja,Fri Apr 01 11:14:43 +0000 2016,en,7,False,0,False,,Osman Rashid,osmanrashid
Too good!! https://t.co/9bysaahIoo,Fri Apr 01 11:13:33 +0000 2016,en,1,False,7,False,,Osman Rashid,osmanrashid
X marks the spot https://t.co/8QFW8JJj4V,Sat Mar 26 18:27:29 +0000 2016,en,1,False,11,False,,Osman Rashid,osmanrashid
"Why #usa is a real superpower. Look at #UK and #japan - small size, big bite! #Russia leaving Syria so fast - money! https://t.co/7jrdmRXhxL",Sat Mar 26 16:45:34 +0000 2016,en,4,False,9,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: Is your child ""too smart"" for school? https://t.co/3jAFLYXw80 https://t.co/eCRd1zN8pm",Wed Mar 23 18:49:25 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: How much energy can we get from lemons? Check out this fun engineering experiment! https://t.co/CmFRSFKCtZ https://t.co/YKRa…,Sun Mar 20 22:55:34 +0000 2016,en,9,False,0,False,,Osman Rashid,osmanrashid
"RT @BlayzingMyPath: #Teens, make smart #decisions! 7 simple steps to ensure the #decisions that you are making are on the right track. http…",Sun Mar 20 22:55:11 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
Not good enough - end captivity. @SeaWorld is going to stop breeding killer whales https://t.co/mEpKnio6PC via @themoneygame,Thu Mar 17 12:39:01 +0000 2016,en,2,False,14,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Minecraft has become the training grounds for Microsoft A.I. https://t.co/4QX6YdoW8Y https://t.co/0QZOLo7uaD,Wed Mar 16 10:07:10 +0000 2016,en,6,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Is it time to reconsider the influence of test scores? https://t.co/EGeYjDavkH,Wed Mar 16 10:07:01 +0000 2016,en,1,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: What happened the last time we thought we found a ninth planet? https://t.co/7ZwNCGGLzP https://t.co/KjpPY6GkE1,Sun Mar 13 16:05:38 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Makers rejoice! The White announced the 2016 Week of Making! https://t.co/r2I4YqqCdi https://t.co/L2ZGEvcEor,Thu Mar 10 17:05:56 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
Hubble Space Telescope sees farther back in time than ever before https://t.co/C3PYu34v9J via @HuffPostScience,Fri Mar 04 15:06:36 +0000 2016,en,9,False,32,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Check out this ultimate collection of physics videos!  https://t.co/XBAa8B2U4R https://t.co/OUUZ7WNYMn,Tue Mar 01 03:34:58 +0000 2016,en,5,False,0,False,,Osman Rashid,osmanrashid
Having one of the most productive sleepless nights ever!! Epic ideas (at least for now) regarding upcoming product GA for @GalxyzLab !,Mon Feb 29 09:30:57 +0000 2016,en,2,False,25,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Need something to do this weekend? How about these great engineering projects for kids? https://t.co/VcjvCDKjn0 https://t.co…,Sat Feb 27 14:51:04 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
"""i don't repeat myself... I don't repeat myself"" ummm you just did! Rubio got under Trump's skin!",Fri Feb 26 02:43:59 +0000 2016,en,0,False,15,False,,Osman Rashid,osmanrashid
"RT @natashasshukor: @osmanrashid Thank you for the like, Osman! @GalxyzLab games are sooo fun! What are some things your team has done to p…",Thu Feb 25 23:09:44 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
Wow! This could be huge! New Study Implies Memories Can Be Rewritten Using Optogenetics https://t.co/ly6lpyvDqS via @Futurism,Tue Feb 23 23:53:55 +0000 2016,en,3,False,20,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: Out of 700 million trillion planets, Earth may be special after all. https://t.co/vc8Rary3DW https://t.co/1U0HyaO5r2",Tue Feb 23 12:23:46 +0000 2016,en,8,False,0,False,,Osman Rashid,osmanrashid
RT @scienmag: Model of the blood vessels in the human body. https://t.co/PdqZI3Vko0,Tue Feb 23 12:23:25 +0000 2016,en,114,False,0,False,,Osman Rashid,osmanrashid
Great cartoon in @USATODAY https://t.co/TjzAumahaj,Tue Feb 23 01:49:08 +0000 2016,en,1,False,11,False,,Osman Rashid,osmanrashid
Why Do We Teach Girls That It’s Cute to Be Scared? https://t.co/DbD06jM7yO,Sun Feb 21 19:43:12 +0000 2016,en,1,False,7,False,,Osman Rashid,osmanrashid
"RT @WiretapLawyer: ""Privacy is a fundamental human right."" -- Tim Cook (Oct-1-15) https://t.co/0Q7ax9XA8E",Sat Feb 20 18:00:47 +0000 2016,en,281,False,0,False,,Osman Rashid,osmanrashid
RT @sciam: Humans are not the only species to use visual trickery to their advantage https://t.co/AOkme8nblh https://t.co/Xptj8I2cLZ,Fri Feb 19 15:56:43 +0000 2016,en,49,False,0,False,,Osman Rashid,osmanrashid
RT @DanRosensweig: Glad we could save you money and bring you happiness! https://t.co/ST0NCZt49f,Fri Feb 19 03:57:38 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
I feel pain every time I see these! https://t.co/VRpRFtwy19,Fri Feb 19 03:50:27 +0000 2016,en,1,False,5,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: What will our children, the next generation of discoverers, uncover about the universe? https://t.co/2HAOaUgWza https://t.co…",Fri Feb 19 02:03:24 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
just saw sad #racism in #SiliconValley. A white guy in an SUV yelling at an asian dude calling him a yellow f*** and + garbage. #roadrage,Fri Feb 19 00:23:51 +0000 2016,en,2,False,4,False,,Osman Rashid,osmanrashid
"RT @karaswisher: I feel already sorry for the nominee: Supreme Court Vacancy Has Left and Right Ready to Pounce, via @nytimes https://t.co/…",Thu Feb 18 03:07:01 +0000 2016,en,5,False,0,False,,Osman Rashid,osmanrashid
Love the saying - You have two ears and one mouth for a reason! Listen twice as much! https://t.co/B6PpKF49HJ,Wed Feb 17 23:08:17 +0000 2016,en,3,False,12,False,,Osman Rashid,osmanrashid
Def value for people who only identify problems. But no value for those who only indentify problems while being in a position to solve them,Wed Feb 17 23:06:32 +0000 2016,en,0,False,2,False,,Osman Rashid,osmanrashid
"Really like working with people who believe in ""not just doing stuff, but getting stuff done""",Wed Feb 17 12:38:01 +0000 2016,en,3,False,13,False,,Osman Rashid,osmanrashid
@msuster we've been using @convo for three months. Internal email traffic is practically down to zero...,Wed Feb 17 12:11:53 +0000 2016,en,3,False,6,False,,Osman Rashid,osmanrashid
What economic slowdown!?! #USA is eating out more than ever! @Potbelly &amp; @Cheesecake report higher than expected profits!,Tue Feb 16 22:11:54 +0000 2016,en,0,False,2,False,,Osman Rashid,osmanrashid
Let's worry about more than just Apps letting crazies in... Tennessee gets an F in teacher bkgd checks https://t.co/VFgSmHqqzt via @usatoday,Tue Feb 16 19:55:00 +0000 2016,en,0,False,1,False,,Osman Rashid,osmanrashid
"RT @GalxyzLab: This #PresidentsDay, read how Obama is looking to the future of #STEM via @PopSci https://t.co/AEiV0osMhF https://t.co/Pze9X…",Mon Feb 15 16:51:04 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
RT @BlayzingMyPath: #Science is beautiful!  #teens will love the experience by attending such programs #parents #highschool  #science https…,Mon Feb 15 04:58:56 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: ICYMI: Blog post --&gt; are your kids aware of mobile privacy concerns? Do they care? https://t.co/PXrkm5389P https://t.co/Cl4q…,Sun Feb 14 04:44:31 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
The New Path To Harvard And Other Top Colleges https://t.co/NoPgxSXANr via @HuffPostEdu,Fri Feb 12 03:48:46 +0000 2016,en,3,False,15,False,,Osman Rashid,osmanrashid
"For the first time, real evidence that black holes exist! Massive find! Being hailed as one top all time discoveries in science!! Wow!",Thu Feb 11 16:02:58 +0000 2016,en,3,False,16,False,,Osman Rashid,osmanrashid
Revolutionary discovery: Scientists find gravitational waves Einstein predicted https://t.co/9gvK2aJT35 via @usatoday,Thu Feb 11 15:59:06 +0000 2016,en,1,False,6,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Even black holes can't get together on Valentine's Day. https://t.co/kqY5ZD5uNK https://t.co/8pVCycDxPJ,Wed Feb 10 22:14:42 +0000 2016,en,1,False,0,False,,Osman Rashid,osmanrashid
"Having worked closely wth @pmarca, I can 100% vouch that he holds the best of intentions towards people of all backgrounds.",Wed Feb 10 19:12:40 +0000 2016,en,0,False,3,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: How do we bring back the 'beautiful' questions to classrooms? https://t.co/06epOZjtcc https://t.co/pUmI1gvQmy,Wed Feb 10 06:39:42 +0000 2016,en,2,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: 5 clever ideas to spark independent reading in kids via @MindShiftKQED https://t.co/OfC2ZfaLWl https://t.co/hawbgHEjCh,Tue Feb 09 13:18:43 +0000 2016,en,1,False,0,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: How is Google &amp; search affecting the way students learn? https://t.co/R1BfoK1sHq https://t.co/Wvhkn5du4g,Tue Feb 09 13:18:38 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
.@karaswisher why is #zenefits COO for 1.5 years not equally responsible as the CEO? He must have left a trail of being overridden by CEO.,Tue Feb 09 05:24:40 +0000 2016,en,0,False,4,False,,Osman Rashid,osmanrashid
Wonder how much Manning was paid to bring up @Budweiser twice in national interviews! #SuperBowl,Mon Feb 08 03:45:45 +0000 2016,en,1,False,4,False,,Osman Rashid,osmanrashid
Couldn't sleep so watched @MuhammadAli movie #ali. Will Smith did a great job! Clearly shows his influence on the equal rights movement.,Sun Feb 07 13:18:11 +0000 2016,en,2,False,7,False,,Osman Rashid,osmanrashid
@pmarca @erniecline great book! One of the inspirations behind @GalxyzLab !,Sun Feb 07 10:37:06 +0000 2016,en,0,False,5,False,,Osman Rashid,osmanrashid
RT @GalxyzLab: Simple math: Play + Passion = Purpose https://t.co/BnKQouogw7 https://t.co/HWOL5Mia8W,Sat Feb 06 20:33:03 +0000 2016,en,3,False,0,False,,Osman Rashid,osmanrashid
