Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @martinvars: VC: when you hit these targets come back to see me.  Entrepreneur: when I hit those targets I won't need you.,Thu Mar 10 18:46:01 +0000 2016,en,737,False,0,False,,Otto Othman,Otto_Othman_
RT @rachaelray: This year's defending title holder. Is it a repeat? @PinchoFactory #SOBEWFF https://t.co/yD6MscJvt1,Sat Feb 27 15:24:43 +0000 2016,en,17,False,0,False,,Otto Othman,Otto_Othman_
"RT @Mari_mamacusa: It was a pleasure working with you, @PinchoFactory @NedalaAhmad @Otto_Othman_. Hope you enjoy the recap: https://t.co/9p…",Thu Feb 25 23:13:37 +0000 2016,en,2,False,0,False,,Otto Othman,Otto_Othman_
Likewise! @Mari_mamacusa thank you so much for being part of this amazing day @PinchoFactory @NedalaAhmad,Thu Feb 25 23:13:32 +0000 2016,en,2,False,3,False,,Otto Othman,Otto_Othman_
. @PapaLos2 @NedalaAhmad @PinchoFactory awesome man! Thanks for stopping by,Mon Feb 15 16:18:00 +0000 2016,en,0,False,1,False,,Otto Othman,Otto_Othman_
RT @PapaLos2: @Otto_Othman_ @NedalaAhmad @PinchoFactory HOME SWEET HOME https://t.co/ej1cVELPcV,Mon Feb 15 16:17:43 +0000 2016,en,1,False,0,False,,Otto Othman,Otto_Othman_
"RT @PinchoFactory: Before the madness begins, we would just like to thank everyone for getting us to this point. #PinchoHialeah https://t.c…",Fri Feb 12 00:23:33 +0000 2016,en,3,False,0,False,,Otto Othman,Otto_Othman_
RT @Mari_mamacusa: .@PinchoFactory finally opened in #Hialeah today! Stay tuned for the recap! @NedalaAhmad @Otto_Othman_ #HialeahTV77 http…,Fri Feb 12 00:23:19 +0000 2016,en,4,False,0,False,,Otto Othman,Otto_Othman_
RT @cityofhialeah: See more from the @PinchoFactory Grand opening in #Hialeah. #Foodlovers https://t.co/XR2UYbZYlv https://t.co/ndfI5KvtuW,Fri Feb 12 00:23:05 +0000 2016,en,7,False,0,False,,Otto Othman,Otto_Othman_
RT @tania_leets: @Mari_mamacusa @PinchoFactory @NedalaAhmad @Otto_Othman_ I'm sure it/s gonna be an amazing recap!,Fri Feb 12 00:22:57 +0000 2016,en,1,False,0,False,,Otto Othman,Otto_Othman_
Thank you @LaineDoss for the awesome write up. @PinchoFactory,Sun Feb 07 00:19:54 +0000 2016,en,0,False,4,False,,Otto Othman,Otto_Othman_
"RT @MiamiNewTimes: .@PinchoFactory is coming to #Hialeah, aims for wider #Miami expansion
https://t.co/EVNV2EkGu7 https://t.co/Bd8EpS54Jq",Sun Feb 07 00:18:53 +0000 2016,en,12,False,0,False,,Otto Othman,Otto_Othman_
RT @Tonyher80821837: Framed and ready .Honored to have created this piece. A gift from @DaveGrutman for @_isabelarangel happy bday https://…,Wed Jan 27 15:47:56 +0000 2016,en,4,False,0,False,,Otto Othman,Otto_Othman_
RT @WeWork: How @PinchoFactory went from 4th of July joke to one of the Miami's hottest Latin franchises https://t.co/uF6aX5TKhS https://t.…,Wed Dec 16 13:50:01 +0000 2015,en,4,False,0,False,,Otto Othman,Otto_Othman_
@AirbnbHelp read dm...,Sun Oct 25 15:52:53 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
. @Airbnb tells me I need to message some random guy in New York to get my money back. And he wont. What's up with that @bchesky ?,Sun Oct 25 15:42:53 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
Tried @Airbnb for the first time. Website had a glitch. Never got a confirmation. Got charged 1600 and they say they r not responsible. Lol,Sun Oct 25 15:40:32 +0000 2015,en,0,False,1,False,,Otto Othman,Otto_Othman_
RT @PinchoFactory: .@otto_othman + @nedalaahmad telling the #PinchoFactory story at the @FastCasual Summit this morning. #FCSummit https://…,Tue Oct 20 21:15:43 +0000 2015,en,3,False,0,False,,Otto Othman,Otto_Othman_
RT @SFBJLeisure: 4 South Florida franchises that want to go national http://t.co/wOfNEVToal http://t.co/nFzDtCOVWN,Tue Sep 29 01:56:12 +0000 2015,en,5,False,0,False,,Otto Othman,Otto_Othman_
. @ArshadParvez @PinchoFactory @NedalaAhmad @SFBJLeisure 👍👍👍 thanks for the love.,Tue Sep 29 01:55:44 +0000 2015,en,0,False,2,False,,Otto Othman,Otto_Othman_
"RT @ArshadParvez: Local restaurateurs behind @PinchoFactory, @Otto_Othman_ and @NedalaAhmad, have the talent necessary to go big.  https://…",Tue Sep 29 01:54:51 +0000 2015,en,3,False,0,False,,Otto Othman,Otto_Othman_
"RT @MiamiHEAT: Excited to have you on board! HEAT fans, you're are going to like @PinchoFactory at @AAarena! https://t.co/xB6xUIinbq",Thu Aug 20 20:32:58 +0000 2015,en,34,False,0,False,,Otto Othman,Otto_Othman_
Hey @bogusky have u seen this coca cola factory built in the middle of a farming land in west bank? No word from coke http://t.co/IhFB7rcEiG,Wed Jun 24 07:29:24 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
"Hey @CocaCola I wonder if building a factory in the middle of a farming land in the West Bank is ""happiness"" @VICE http://t.co/tomER3pFDY",Mon Jun 15 14:00:08 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
RT @ZagatMiami: @PinchoFactory Looking forward to your new location opening soon! http://t.co/L45oIjeqT2,Fri Jun 05 16:37:09 +0000 2015,en,3,False,0,False,,Otto Othman,Otto_Othman_
Awesomeness! http://t.co/U7ZovFPc94,Sun Feb 22 23:51:46 +0000 2015,en,0,False,1,False,,Otto Othman,Otto_Othman_
"@msuster lol! But if we are talking UX, all grey seats look unavailable. Should have been the other way around.",Sun Feb 22 23:46:08 +0000 2015,en,0,False,3,False,,Otto Othman,Otto_Othman_
. @TostonBurger baby come back!,Sun Feb 22 23:42:28 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
"RT @TostonBurger: Hey @NedalaAhmad + @Otto_Othman_, I just wanted to say... there's no place like home. Can I come back? #twotostonesmakear…",Sun Feb 22 23:42:07 +0000 2015,en,1,False,0,False,,Otto Othman,Otto_Othman_
RT @tonigemayel: Just ate at pincho factory. Not sure if @venturehive mentor @Otto_Othman_ knows more about design or burgers #sogood http:…,Sun Feb 22 03:40:33 +0000 2015,en,1,False,0,False,,Otto Othman,Otto_Othman_
@tonigemayel @venturehive hahaha! Thanks man! Really appreciate it,Sun Feb 22 03:40:31 +0000 2015,en,0,False,0,False,,Otto Othman,Otto_Othman_
"RT @jennyleeisme: Mind blown by #Miami's own, #Hialeah boy pinchofactory representing at #AmstelBurgerBash. Of course,… http://t.co/vX1kKD8…",Sun Feb 22 02:35:19 +0000 2015,en,2,False,0,False,,Otto Othman,Otto_Othman_
RT @joshsdeli: Couldnt be happier for @NedalaAhmad @PinchoFactory for keeping the burger bash trophy in the miami area.,Sun Feb 22 02:33:25 +0000 2015,en,4,False,0,False,,Otto Othman,Otto_Othman_
