Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
New AWS Security Blog Post! How to Optimize and Visualize Your Security Groups https://t.co/5ZSXioF9qY,Mon May 02 18:56:19 +0000 2016,en,0,False,1,False,,Patrick McClory,patrickmcclory
RT @krisjohnstonTX: Nice piece @patrickmcclory! How to get cloud cost reporting under control https://t.co/OenqCk6jzD via @networkworld,Sun May 01 16:03:38 +0000 2016,en,1,False,0,False,,Patrick McClory,patrickmcclory
"RT @Datapipe: Our own @patrickmcclory spoke with @CRN on Amazon's customer centric approach, how it benefits the partner ecosystem https://…",Sun May 01 16:03:05 +0000 2016,en,2,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! How to Import IP Address Reputation Lists to Automatically Update AWS WAF IP Blacklists https://t.co/LMNXC85R3d,Thu Apr 28 18:56:12 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! How to Set Up Federated Single Sign-On to AWS Using Google Apps https://t.co/ASlKc9SFWv,Wed Apr 27 18:56:06 +0000 2016,en,0,False,1,False,,Patrick McClory,patrickmcclory
Just pushed an article on @NetworkWorld on Cloud Cost Control: https://t.co/1iLYBvFbAt,Fri Apr 22 18:47:05 +0000 2016,en,0,False,2,False,,Patrick McClory,patrickmcclory
"New AWS Security Blog Post! How to Prevent Hotlinking by Using AWS WAF, Amazon CloudFront, and Referer Checking https://t.co/RRkenY20vp",Thu Apr 21 18:56:02 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! Amazon Cognito Now Provides Sign-Up and Sign-In Functionality for Your Apps (Beta) https://t.co/cPinqEnhNs,Thu Apr 21 01:21:05 +0000 2016,en,0,False,2,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! Now Generally Available: Amazon Inspector https://t.co/6LCbathX8C,Wed Apr 20 18:56:01 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! Frequently Asked Questions About HIPAA Compliance in the AWS Cloud https://t.co/pySH77gZlM,Tue Apr 19 18:56:10 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! How to Enable Windows Integrated Authentication for RDS for SQL Server Using On-Premis… https://t.co/ROQDjEyK49,Thu Apr 14 18:56:08 +0000 2016,en,0,False,1,False,,Patrick McClory,patrickmcclory
Verifying myself: I am pmcclory on Keybase.io. AD9P9XSfrPj0VMyvD7RaHEPgejJtllT9W2uZ / https://t.co/2YNtdA86n0,Tue Apr 12 22:08:45 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! Now Available: Simplified Configuration of Trust Relationships in the AWS Directory Se… https://t.co/Kh61ge5izf,Fri Apr 08 01:21:00 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! Frequently Asked Questions About Compliance in the AWS Cloud https://t.co/09o0iziCCm,Thu Apr 07 18:56:12 +0000 2016,en,0,False,1,False,,Patrick McClory,patrickmcclory
New AWS Security Blog Post! How to Detect and Automatically Revoke Unintended IAM Access with Amazon CloudWatch Ev… https://t.co/jut3vVJCpH,Tue Mar 29 18:56:03 +0000 2016,en,0,False,0,False,,Patrick McClory,patrickmcclory
