Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@prn76 @taggart my compuserve account went down last night. Can you forward such correspondence to my Hotmail address,Thu Apr 21 16:57:42 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
@prn76 @taggart @peggen unsubscribe to the unsubscribe?,Thu Apr 21 16:41:30 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
@taggart unsubscribe. Take offline unless about FFL,Thu Apr 21 01:03:21 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
Staycation R&amp;R @ The Lodge at Carmel Valley Ranch https://t.co/2rrLlpW7iv,Wed Apr 20 18:05:08 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-121.79746837, 36.51370808]}",Patrick Eggen,peggen
Speechless. Another iconic championship run by @NovaMBB. Now time to get version 2.0 of this photo. Cc @RustyEggen https://t.co/fRmZpZ4iK3,Tue Apr 05 04:31:49 +0000 2016,en,2,False,4,False,,Patrick Eggen,peggen
RT @dermotmcorrigan: Camp Nou : https://t.co/BfJQVnHVTW,Sat Apr 02 19:50:33 +0000 2016,en,321,False,0,False,,Patrick Eggen,peggen
"@Splacer_co SF launch event in the Mission. ""Breakfast Club"" meet up in one of their wonderful… https://t.co/IOml4D2COB",Thu Mar 24 22:17:48 +0000 2016,en,0,False,3,False,"{'type': 'Point', 'coordinates': [-122.42, 37.76]}",Patrick Eggen,peggen
"Great energy+creativity at @Splacer_co  ""breakfastclub"" SF event. Cc: @LihiGerstner  @QualcommVenture #qcvearlystage https://t.co/qkcHGjdPh5",Thu Mar 24 19:02:40 +0000 2016,en,1,False,4,False,,Patrick Eggen,peggen
"@gocopia Solving""most unnecessary problem of our time""-EXCESS food. Doing good+making a profit. what a cool concept! #YCDemoDay @komal_ahmad",Wed Mar 23 23:20:02 +0000 2016,en,0,False,2,False,,Patrick Eggen,peggen
@TixList ha relevant....touche.  I didn't know that Philly still had a NBA team?,Wed Mar 23 21:36:24 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
@TixList damn tight pic and seats. No love for the Cs though :) #andrewtoney,Tue Mar 22 17:51:13 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
Great to see @Ximmerse team at #GDC! Possibly next in the @QualcommVenture  portfolio company? CC @WirelessMikeB https://t.co/3TSTpf8JB0,Mon Mar 21 00:14:14 +0000 2016,en,1,False,6,False,,Patrick Eggen,peggen
Looks like someone has a case of the Mondays....@CBinsights  cc:@asanwal,Thu Mar 17 23:37:14 +0000 2016,en,0,False,3,False,,Patrick Eggen,peggen
@TixList I must have missed the grumpy cat.  very good times and seeing the @Fiksu team,Thu Mar 17 19:37:21 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
Story behind the story.....great write-up by @jvarun83 - “Cruise: From a cold email to a $1B+ exit.” https://t.co/BoxkhJGvX5,Thu Mar 17 19:21:21 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
Keep on running into @QualcommVenture portfolio companies at #SXSW. Team @blippar =global domination cc @AlanaSarah https://t.co/EdBotIEG78,Tue Mar 15 21:24:56 +0000 2016,en,1,False,6,False,,Patrick Eggen,peggen
Matt Bell @Matterport at @rothventures VRpanel.Another category leader in @QualcommVenture #frontiertech portfolio https://t.co/AuiCGnWl48,Mon Mar 14 18:45:12 +0000 2016,en,2,False,2,False,,Patrick Eggen,peggen
Consistently the best party of sxsw. #soSpredfast does it again #chromeo https://t.co/5xhryEJmQC,Mon Mar 14 03:09:49 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
"Congrats! Incredible work by @kvogt  +Cruise team in short period of time. @jvarun83 early believer! #qcvearlystage
 https://t.co/3LhCo76y2F",Fri Mar 11 18:42:38 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
@asanwal #Cruise is the undisclosed auto investment ;) in frontier tech post https://t.co/xeUB6ktOHo. Great work by @jvarun83 #QCVearlystage,Fri Mar 11 18:37:58 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
@lexnfx check out our post https://t.co/xeUB6ktOHo about frontier tech.Cruise is the undisclosed auto investment ;) Great work by @jvarun83,Fri Mar 11 18:34:47 +0000 2016,en,1,False,1,False,,Patrick Eggen,peggen
"@speechu Great line.....check out my Frontier Tech post https://t.co/xeUB6ktOHo 
last week. Cruise is the undisclosed investment in auto :)",Fri Mar 11 17:25:52 +0000 2016,en,1,False,1,False,,Patrick Eggen,peggen
cc: @jvarun83  https://t.co/0Fusy33koY,Fri Mar 11 17:22:59 +0000 2016,und,0,False,0,False,,Patrick Eggen,peggen
"@ScottLenet Ha-fair point and duly noted :). You did an awesome job moderating - love the rapid pace. Go Phila!
cc: @mercuryfund @daveknox",Thu Mar 10 20:19:56 +0000 2016,en,0,False,3,False,,Patrick Eggen,peggen
@YourFriendEvan Leapbaby! Great video! Will definitely save a few bucks if you are take a strict interpretation on technical bdays :),Thu Mar 10 00:32:11 +0000 2016,en,0,False,1,False,,Patrick Eggen,peggen
"@YourFriendEvan @boardwalkmap Dude, CONGRATS - literally just saw your announcement. Fatherhood is awesome. We accept all shwag :)",Thu Mar 10 00:18:15 +0000 2016,en,0,False,2,False,,Patrick Eggen,peggen
"At 3 months old, little ""Charlie"" only wears @QualcommVenture portfolio gear #schwag.Thank you very much @starmaker https://t.co/dB32PI9hP9",Thu Mar 10 00:14:22 +0000 2016,en,0,False,5,False,,Patrick Eggen,peggen
Thanks @jamescrr! Look forward to next BoD meeting in London. Heard that @eileentso is hosting a box @Arsenal match ;) cc: @Brendan_Gill,Fri Mar 04 20:23:32 +0000 2016,en,0,False,3,False,,Patrick Eggen,peggen
@anthony_sheehan great to hear from you and thanks for the share!  Hope all is well across the pond.,Fri Mar 04 20:20:14 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
"Thanks @davidmblanke, we are proud to have @clarifai in the portfolio as @QualcommVenture is all about big, bold bets in the early days",Fri Mar 04 20:19:48 +0000 2016,en,1,False,1,False,,Patrick Eggen,peggen
"Thanks @alexbaker74, the &lt;3 is mutual.  @relayventures had @QualcommVenture at hello.....:)",Fri Mar 04 20:18:13 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
"Read my latest post. @QualcommVenture as leader in ""Frontier tech"" investing, or ""odd-ball"" themes :) https://t.co/kbxRIQACYB #QCVearlystage",Fri Mar 04 03:09:10 +0000 2016,en,1,False,4,False,,Patrick Eggen,peggen
"@blippar continues to grow! Awesome to be involved since 2011 when just bit smaller :) cc @rishmitra @otayeb @C3PO73
https://t.co/j9s3hhfxPj",Wed Mar 02 17:30:38 +0000 2016,en,0,False,7,False,,Patrick Eggen,peggen
"""Fat burn rates, drunk and stupid” is no way for start-ups to go through life""…- Dean Vernon Wormer cc: @RolfeWinkler",Fri Feb 26 23:15:05 +0000 2016,en,0,False,1,False,,Patrick Eggen,peggen
Great day with @KaleoSoftware team. Wonderful board dinner. Sorry had to bounce early but look forward to next one! https://t.co/AsZCvWx0eJ,Thu Feb 25 04:26:45 +0000 2016,en,0,False,1,False,,Patrick Eggen,peggen
Great to kick it with @rishmitra + @RyanSchmaltz in @blippar posh new digs in downtown SF  cc: @QualcommVenture https://t.co/el80BMwzjf,Mon Feb 22 00:38:00 +0000 2016,en,1,False,5,False,,Patrick Eggen,peggen
"Love that @jvarun83 has coined the term ""white knight VC"", a much more benevolent creature than the aimless ""tourist VC"" cc @RolfeWinkler",Sun Feb 21 00:07:52 +0000 2016,en,0,False,0,False,,Patrick Eggen,peggen
Calm but always chaotic scene at 6th and market. @ The Flying Falafel https://t.co/DOTWmUCtjk,Mon Feb 15 03:51:58 +0000 2016,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-122.4113007, 37.78125]}",Patrick Eggen,peggen
