Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @BookMyTime: Get your FREE #BookMyTime T-shirt from M. Chinnaswamy Stadium, #Bengaluru between Gate No.6, 7 &amp; 8. #WT20 https://t.co/hn4H…",Wed Mar 23 12:50:29 +0000 2016,en,4,False,0,False,,pepper square,peppersquare
"RT @BookMyTime: Be it cricket or car, footwork matters!Download #BookMyTime! https://t.co/ACDa65DKqw
Credits:@wikiHow @StackExchange https:…",Wed Mar 23 12:50:21 +0000 2016,en,5,False,0,False,,pepper square,peppersquare
"RT @BookMyTime: #Cricket or #car, pace matters!Right speed=fuel efficiency. #WT20 #bookmytime Credits:blog.autointhebox @SportsBlog https:/…",Wed Mar 23 12:50:18 +0000 2016,en,4,False,0,False,,pepper square,peppersquare
"RT @BookMyTime: Impeccable service assured!#BookMyTime quality #carcare!
Download the #app now! https://t.co/5sdDFPtlMk #bengaluru https://…",Wed Mar 23 12:50:14 +0000 2016,en,4,False,0,False,,pepper square,peppersquare
RT @BookMyTime: Let's hear the #IndianTigers roar again! #WT20 #Bengaluru #indiavsbangladesh https://t.co/n9ozHKKCjq,Wed Mar 23 12:50:05 +0000 2016,en,5,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: How you can Bootstrap and build a great organisation @LinkedIn https://t.co/EdpQ4H6QLc,Fri Feb 12 09:22:35 +0000 2016,en,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: I always think about ergonomics in Indian railways. They have done it. https://t.co/npaJyyAfUa congratulations indian r…,Tue Feb 09 03:07:19 +0000 2016,en,2,False,0,False,,pepper square,peppersquare
"RT @ourownstartup: Failing Well: Lessons from a Serial #Entrepreneur @MukiRegunathan, founder @peppersquare: https://t.co/5eldQzLfQy via @l…",Sat Feb 06 12:56:59 +0000 2016,en,8,False,0,False,,pepper square,peppersquare
"RT @MukiRegunathan: How Indian Trains was an integral part of my entrepreneurial journey. Read my story, how I started my 1st start up http…",Tue Jan 26 05:57:07 +0000 2016,en,4,False,0,False,,pepper square,peppersquare
@karlmehta thank you Karl.,Mon Nov 30 15:42:47 +0000 2015,en,0,False,1,False,,pepper square,peppersquare
"RT @karlmehta: ""Muki, Peppersquare Founder on 'Art of Failing 7 times!' [UnPluggd]"" https://t.co/Axg9a9BsA0 https://t.co/AUZ9mMHNBz",Mon Nov 30 15:42:36 +0000 2015,en,4,False,0,False,,pepper square,peppersquare
Most of the biz problems can b solved with nimble solutions. Over thinking not only increases ur spend but kills #productivity.,Wed Nov 25 04:07:46 +0000 2015,en,0,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: Corporates need to guard against short term thinking that can affect long term trust #madhukarsabnavis,Wed Nov 25 02:50:05 +0000 2015,en,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: Hope all the #entrepreneurs read #madhukarsabnavis article in ET today on #TRUST https://t.co/oP0ZCG5l6c,Wed Nov 25 02:49:53 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
Design cannot b rushed. Let ur values get injected into ur design thinking.,Wed Nov 25 02:02:47 +0000 2015,en,0,False,1,False,,pepper square,peppersquare
"RT @peppercareers: #India is changing so fast, in the next 10 years ur 5 year old skills will b obsolete. Relearn, redesign ur mind and  re…",Mon Nov 23 04:21:19 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
Most of the ITServices companies have a long way in moving to #opensource. Collaboration is the key to thrive in the future markets,Mon Nov 23 04:18:59 +0000 2015,en,3,False,1,False,,pepper square,peppersquare
"#design is an iterative process. Don't wait for the perfect design, instead keep improving everyday.",Mon Nov 23 04:15:57 +0000 2015,en,2,False,1,False,,pepper square,peppersquare
"#design investment is long term, requires top leaders to make it happen. Quarter to Quarter approach doesn't help to innovate",Mon Nov 23 03:49:57 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
Urban infrastructure badly needs #designthinking in #India,Mon Nov 23 03:47:23 +0000 2015,en,3,False,1,False,,pepper square,peppersquare
RT @MukiRegunathan: With @NearexXip team. Simple and lovable team to work with @peppersquare http://t.co/jMiSSVUcpl,Mon Nov 23 03:46:09 +0000 2015,en,1,False,0,False,,pepper square,peppersquare
RT @karthikkittu: Persistence is derivative of passion ! - YiGrowthHack @RaveenSastry @MadSudn @peppersquare @AmuleekSingh @YiTweets #start…,Mon Nov 23 03:45:08 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
"RT @karthikkittu: You must scale ; billion $  company is not just it !
Change society ! @peppersquare muki renga #YiGrowthHack @YiTweets @F…",Mon Nov 23 03:44:04 +0000 2015,en,4,False,0,False,,pepper square,peppersquare
"RT @3DSIndia: Our panelist @MukiRegunathan , Founder &amp; CEO of @peppersquare talks about the power of social media &amp; collaborating w/ custom…",Tue Sep 08 11:30:41 +0000 2015,en,6,False,0,False,,pepper square,peppersquare
RT @3DSIndia: We'd like to thank our Panel members for the very experiential discussion on Social Collaboration. #3dxforum http://t.co/p1ix…,Tue Sep 08 11:30:38 +0000 2015,en,4,False,0,False,,pepper square,peppersquare
"RT @peppercareers: 75 students visited pepper square from Singhad institute, Pune. Their energy was infectious. Thank you for loving us htt…",Fri Aug 28 09:38:34 +0000 2015,en,3,False,0,False,,pepper square,peppersquare
RT @ictacttn: @MukiRegunathan #powerspeech for #youth #ictactyouth #sucessfulentrepreneur #entrepreneurship @peppersquare http://t.co/GUwEG…,Thu Aug 06 03:23:30 +0000 2015,und,2,False,0,False,,pepper square,peppersquare
"RT @PoolMagazine: @Sudhir_indi about ""original"" work and related #IPR issues in #POOL42 #editorial http://t.co/8F7luSGU9S http://t.co/jBnBQ…",Sat Jul 11 17:34:49 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: ""Every time the words ""I can do that"" come out of your mouth, write it down."" via @InVisionApp",Sat Jul 11 17:34:42 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: ""failure is losing passion for what you're doing"" via @InVisionApp",Sat Jul 11 17:34:36 +0000 2015,en,1,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: ""in the future, the lines between different types of designer will blur, even disappear."" via @InVisionApp",Sat Jul 11 17:34:28 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
RT @inkdippedletter: http://t.co/EmBGqDX6NS,Sat Jul 11 17:34:20 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: As a kid, I saw an old man make people happy by grabbing a pen and not overthinking the words he put to paper https://…",Sat Jul 11 17:34:12 +0000 2015,en,1,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: At the end of the day, your feet should be dirty, your hair messy &amp; your eyes  sparkling! http://t.co/lIjfIKTtbF",Sat Jul 11 17:33:50 +0000 2015,en,1,False,0,False,,pepper square,peppersquare
"RT @inkdippedletter: Given a chance, lines are the best storytellers http://t.co/M0oRUSvckJ",Sat Jul 11 17:33:33 +0000 2015,en,2,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: What a great start of Friday morning @NASSCOM_Product #kochi http://t.co/puajbmSrM9,Fri Jun 05 10:57:01 +0000 2015,en,5,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi with @RajivVaishnav #puru &amp; the most enterprising Principal secretary #Mr.Kurian IAS http://t.c…,Fri Jun 05 10:56:58 +0000 2015,en,5,False,0,False,,pepper square,peppersquare
"RT @MukiRegunathan: @RajivVaishnav loved ur energy, thoughts and warmth. Thx for everything u do at @NASSCOM_Product #kochi http://t.co/ivB…",Fri Jun 05 10:56:56 +0000 2015,en,6,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @RajivVaishnav @NASSCOM_Product #kochi #entrepreneurs #GodOwnCountry is the place for ur #startup,Fri Jun 05 10:56:54 +0000 2015,en,5,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/9cvCt0hHik,Fri Jun 05 10:56:46 +0000 2015,und,4,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/BiLSem76iv,Fri Jun 05 10:56:43 +0000 2015,und,2,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/GSb9YTra4a,Fri Jun 05 10:56:41 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/AocUam8hJG,Fri Jun 05 10:56:38 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi,Fri Jun 05 10:56:37 +0000 2015,und,2,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/meuYhBWwsL,Fri Jun 05 10:56:35 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/HESoc3WgMe,Fri Jun 05 10:56:33 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/iQUSyn3D7Q,Fri Jun 05 10:56:30 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
RT @MukiRegunathan: @NASSCOM_Product #kochi http://t.co/LArAaayGO0,Fri Jun 05 10:56:28 +0000 2015,und,3,False,0,False,,pepper square,peppersquare
