Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
AdExchanger: News and Views on Data-Driven Digital Advertising http://t.co/fPAlAZKQ,Wed Aug 29 22:31:48 +0000 2012,en,0,False,0,False,,provy,provy
I'm looking to grab a desk or two in NYC. Any startups have extra space?,Wed Jul 18 12:02:59 +0000 2012,en,0,False,2,False,,provy,provy
Looking for a designer in NYC to redesign our site and some marketing materials.,Fri Jun 08 00:51:41 +0000 2012,en,1,False,0,False,,provy,provy
We're hiring software engineers in Philadelphia: http://t.co/Xu4jCG0N,Wed Apr 18 12:41:35 +0000 2012,en,0,False,0,False,,provy,provy
@bankofamerica = worst bank ever,Fri Feb 24 02:19:32 +0000 2012,en,0,False,0,False,,provy,provy
Looking to grab a desk or two in NYC at a startup. Let me know if you know of anyone who has some extra space and could use the cash. Thank…,Tue Feb 21 04:28:29 +0000 2012,en,0,False,0,False,,provy,provy
Vistar Media is hiring a UI Engineer http://t.co/9vV0HsRi,Wed Jan 25 06:26:44 +0000 2012,nl,0,False,0,False,,provy,provy
I might go to Passion Pit @ Copa Bar & Grill. http://t.co/CNzNCuwq,Mon Jan 16 16:33:54 +0000 2012,en,0,False,0,False,,provy,provy
We just got a sweet dev office in Center City Philadelphia. Looking for engineers who want to work with a great team a…http://t.co/QrQgpuRK,Tue Jan 10 05:42:05 +0000 2012,en,5,False,1,False,,provy,provy
I might go to Radiohead @ Frank Erwin Center. http://t.co/4BpNQFm3,Sat Dec 31 05:40:24 +0000 2011,en,0,False,0,False,,provy,provy
Looking for office space in Philadelphia (Center City). Would love to be with other startups or have our own converted apartment type of sp…,Wed Dec 14 20:54:08 +0000 2011,en,0,False,0,False,,provy,provy
I might go to The Kills @ Stubb's BBQ . http://t.co/hS8c6gVG,Wed Nov 02 02:03:01 +0000 2011,en,0,False,0,False,,provy,provy
Assured Labor is hiring in NYC. They are an awesome startup making a big difference in the world. http://t.co/Y9UNVkbG    Check it out.,Mon Oct 24 14:32:28 +0000 2011,en,2,False,0,False,,provy,provy
I might go to Digitalism @ The Parish. http://t.co/VHuu9UuT,Mon Oct 24 14:05:20 +0000 2011,en,0,False,0,False,,provy,provy
I’m going to The Warren Haynes Band @ Austin City Limits Live at The Moody Theater. http://t.co/hFr3J4xw,Mon Oct 24 14:02:19 +0000 2011,en,0,False,0,False,,provy,provy
"Looking to bring on a UI Engineer. Ideal candidate has worked with something like Google Closure, Coffeescript, backbone.js, batman.js, cap…",Wed Sep 21 14:39:05 +0000 2011,en,0,False,0,False,,provy,provy
I might go to Rjd2 @ Belmont. http://l.songkick.com/CBfn,Thu Jul 28 14:01:47 +0000 2011,en,0,False,0,False,,provy,provy
Startup Hiring is Broken http://lnkd.in/hmmZuf,Wed Jul 13 22:25:44 +0000 2011,en,4,False,3,False,,provy,provy
I've just ordered from MOO.COM (don't be too jealous)! Get your own here: http://t.co/GsVHcbY,Sat Jul 09 01:15:58 +0000 2011,en,0,False,0,False,,provy,provy
I’m going to Bush @ Stubb's BBQ ! http://l.songkick.com/9iGB,Thu Jun 23 18:53:50 +0000 2011,en,0,False,0,False,,provy,provy
I’m going to Deadmau5 @ Austin Music Hall! http://l.songkick.com/7cqz,Wed May 18 22:16:20 +0000 2011,en,0,False,0,False,,provy,provy
I’m going to Austin City Limits Music Festival 2011! http://l.songkick.com/7cqw,Wed May 18 22:16:08 +0000 2011,en,0,False,0,False,,provy,provy
Photo: ‘MERICA http://tumblr.com/x4p2iwr7es,Sun May 15 00:31:51 +0000 2011,pt,0,False,0,False,,provy,provy
Video: Inspiration http://tumblr.com/x4p2c1s2ci,Sat Apr 30 22:36:02 +0000 2011,de,0,False,0,False,,provy,provy
Forming a Delaware LLC in Texas - I am settings up TURANS today and figured I’d document things out for any... http://tumblr.com/x4p2a2pvqc,Tue Apr 26 19:42:43 +0000 2011,en,0,False,0,False,,provy,provy
Photo: Let’s pretend we are robots! http://tumblr.com/x4p27j9z0i,Thu Apr 21 16:48:26 +0000 2011,en,0,False,0,False,,provy,provy
Great Designers - I’ve been hunting for a phenomenal designer to work with me on a prototype of my latest... http://tumblr.com/x4p27j8lbq,Thu Apr 21 16:45:38 +0000 2011,en,0,False,0,False,,provy,provy
In which the new intern writes a blog post - Carrot Blog http://bit.ly/elk4zR,Thu Apr 07 18:26:00 +0000 2011,en,0,False,0,False,,provy,provy
http://www.appsumo.com/?r=38V3,Sat Feb 19 16:40:11 +0000 2011,und,0,False,0,False,,provy,provy
"http://www.adexchanger.com/ad-exchange-news/talking-data-with-targusinfo-and-invite-media/ , #in",Mon Nov 23 05:33:12 +0000 2009,und,0,False,1,False,,provy,provy
http://bit.ly/2p577K,Sat Oct 10 00:24:17 +0000 2009,und,0,False,1,False,,provy,provy
"downloading this stupid app for scott, i hate you",Wed Sep 26 22:17:44 +0000 2007,en,0,False,1,False,,provy,provy
