Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Manage and control your #cloud spend with a powerful #Digital #Efficiency #Dashboard. https://t.co/UZjB4biTEw #CIO https://t.co/9K9hwvKkZI,Tue May 03 02:11:00 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
Discover #IT/#Business/#Financial #tools to view tomorrow's possibilities rather than digging up the past https://t.co/mduPumQpxK #analytics,Tue May 03 01:22:00 +0000 2016,en,1,False,1,False,,RampRateTony,RampRateTony
#Optimizing #IT #infrastructure spend via  #contracts #savings for #ITO #Services https://t.co/looxUpWuFN https://t.co/hOEfPctadX,Mon May 02 23:48:00 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
Manage and control your #cloud spend with a powerful #Digital #Efficiency #Dashboard. https://t.co/rfbqfPQcWO #CIO https://t.co/R9b9hngvhF,Mon May 02 23:06:01 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
How to #outsource to right #cloud provider? Check our https://t.co/kNB4OAuO6j #hypersourcing datasheet to confirm if you are doing it right.,Mon May 02 21:34:10 +0000 2016,en,0,False,1,False,,RampRateTony,RampRateTony
"How #greenenergy, #datacenter, CloudComputing &amp; cost savings get on a single plane? Read https://t.co/Dt7kpGMQkb to know how we helped #ebay",Mon May 02 20:32:03 +0000 2016,en,0,False,2,False,,RampRateTony,RampRateTony
"Quit #OldSchool, adopt new-gen analytics to #Forecast usage patterns for #buying #IT #Services #Download #whitepaper https://t.co/AiRFsHU15D",Mon May 02 20:08:00 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
#CIO #CTO #CFO Do you use #bigdata #datascience tools to find #IT #Optimization source-target gap &amp; how to fill it? https://t.co/mPYoufGpZQ,Mon May 02 19:26:00 +0000 2016,en,1,False,1,False,,RampRateTony,RampRateTony
Manage and control your #cloud spend with a powerful #Digital #Efficiency #Dashboard. https://t.co/K2UYOey0mP #CIO https://t.co/5q69Sm3rZ9,Mon May 02 18:19:19 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
#ITSM &amp; #ITBM might have helped #optimize #IT #Infrastructure  https://t.co/mm1NZixCqc https://t.co/kCUm3a47Zj,Mon May 02 18:12:59 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
How to choose #datacenter for #outsourcing data needs #greenenergy #datascience #bigdata IoT https://t.co/a9QxnLbVPl https://t.co/xwsO2UnqE8,Mon May 02 17:24:00 +0000 2016,en,1,False,0,False,,RampRateTony,RampRateTony
Are you able to demonstrate both IT value and cost efficiencies to your fellow executives? https://t.co/ymJougnpSi https://t.co/XnGPp5sKVT,Mon May 02 17:04:56 +0000 2016,en,0,False,1,False,,RampRateTony,RampRateTony
Objectives of #CIO/#CTO may be different from #CFO while making #IT #Infrastructure purchases. Right #strategy https://t.co/vgwKAUjqHa #CEO,Mon May 02 16:07:08 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
What's changed with selling IT Services over the past 16 years?  Everything or Nothing? https://t.co/uquPV26AtZ https://t.co/7vlxVee5Mj,Mon May 02 16:05:52 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
Outsourced #ITservices are complex. https://t.co/kBViFh9LIx https://t.co/RrKGubnHBz,Mon May 02 15:19:25 +0000 2016,en,0,False,0,False,,RampRateTony,RampRateTony
