Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Welcome Paul Jacobs to our Board. Engineering focused leader who has shaped our modern technology landscape. 👊🏽 https://t.co/HNQlMDcA2y,Mon May 02 16:22:55 +0000 2016,en,0,False,3,False,,ramsey homsany,rhomsany
"RT @nyulaw: ""I went to law school to make sure that people have a voice."" — @vijaya  '00: https://t.co/MjF6yNtkJi https://t.co/fGDihRLBTR",Tue Apr 19 19:10:33 +0000 2016,en,17,False,0,False,,ramsey homsany,rhomsany
"3/ Congressional leadership should take the Email Privacy Act straight to the House floor, Senate &amp; @POTUS for signature #protectourdata",Wed Apr 13 15:40:29 +0000 2016,en,3,False,4,False,,ramsey homsany,rhomsany
"2/ Dropbox is committed to protecting our users’ data, and the Email Privacy Act is an important step #protectourdata",Wed Apr 13 15:39:49 +0000 2016,en,5,False,6,False,,ramsey homsany,rhomsany
"1/ Thanks @RepGoodlatte &amp; @HouseJudiciary for passing Email Privacy Act, which mandates warrants for accessing user data #protectourdata",Wed Apr 13 15:39:11 +0000 2016,en,6,False,5,False,,ramsey homsany,rhomsany
There are so many more secrets in nature for us to find... https://t.co/GybUAtbCiu,Fri Apr 08 16:27:04 +0000 2016,en,0,False,4,False,,ramsey homsany,rhomsany
"""If one wants to see the light of the sun, he must wipe his eyes.""  And here I was so amazed by the walls of NYC. https://t.co/bpiah8dsFi",Tue Mar 29 18:06:36 +0000 2016,en,1,False,2,False,,ramsey homsany,rhomsany
"⚡️ “When Snowden talks surveillance with the creator of The Wire”

https://t.co/ibXvlLvz9t",Sun Mar 20 21:49:07 +0000 2016,en,3,False,4,False,,ramsey homsany,rhomsany
"RT @TwitterDev: During a @ps_python meetup, @jessicamckellar from @Dropbox tells us why everyone should learn to code! #HelloWorld
https://…",Sat Mar 19 01:01:39 +0000 2016,en,46,False,0,False,,ramsey homsany,rhomsany
Good @wired article on years of building @dropbox infrastructure. Exabytes of pride in my teammates. https://t.co/j8mrJxywtr,Mon Mar 14 15:44:51 +0000 2016,en,1,False,2,False,,ramsey homsany,rhomsany
Yesterday @Dropbox filed a brief supporting Apple - our government shouldn't force companies to undermine security https://t.co/KNNwNY4ToZ,Fri Mar 04 17:43:05 +0000 2016,en,15,False,24,False,,ramsey homsany,rhomsany
@CoachBlaz @Karim Not bad coach. Haven't coached a game yet and you've already met Rutgers' #1 fan!,Fri Feb 26 17:19:22 +0000 2016,en,1,False,5,False,,ramsey homsany,rhomsany
