Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Right on, Jeremy! Thrilled to see what you are building with @thehousevc. Knock'em dead and Go Bears! https://t.co/tnwDJkaAI7",Mon Apr 18 22:33:31 +0000 2016,en,1,False,9,False,,Rob Hayes,robhayes
Bill Campbell was CEO of first company I worked for and the best one I worked for. By far. He will be missed. https://t.co/NrjgUV78nS,Mon Apr 18 17:03:08 +0000 2016,en,7,False,16,False,,Rob Hayes,robhayes
Twitter's @jeffseibert outlines how to run an M&amp;A process from his experience selling and buying companies: https://t.co/ALJmyRZGJa,Tue Apr 12 18:20:35 +0000 2016,en,3,False,7,False,,Rob Hayes,robhayes
"@kentgoldman @brettberson @Kazanjy all I can say is, ""whew!""",Sun Apr 10 19:08:38 +0000 2016,en,0,False,4,False,,Rob Hayes,robhayes
"RT @joshk: Learning from Uber - Three timely lessons about kindness, taught by Uber drivers (really). https://t.co/2iEhI8Qerg",Fri Apr 01 02:24:02 +0000 2016,en,5,False,0,False,,Rob Hayes,robhayes
@ginab I have half your answer right here. See you there? https://t.co/6bt6y6TeGJ,Thu Mar 31 01:47:14 +0000 2016,en,0,False,2,False,,Rob Hayes,robhayes
RT @gduffy: Sunshine is the best disinfectant. Some facts about the Dropcam team https://t.co/CHl9N7ZPGA,Tue Mar 29 15:50:03 +0000 2016,en,48,False,0,False,,Rob Hayes,robhayes
@ImChauncey looks amazing! Mint jelly?,Mon Mar 28 05:13:57 +0000 2016,en,0,False,0,False,,Rob Hayes,robhayes
@ImChauncey lamb?,Mon Mar 28 04:42:12 +0000 2016,es,0,False,0,False,,Rob Hayes,robhayes
@adityabhaskar @ronaldklain I never said was likely. it just sucks. so we agree but otherwise have been talking past each other. Awesome :),Thu Mar 24 21:29:09 +0000 2016,en,0,False,1,False,,Rob Hayes,robhayes
"@adityabhaskar @RonaldKlain um, truth? Justice? The 15th Amendment? If you agree with me why r u arguing? Just for giggles?",Thu Mar 24 20:05:19 +0000 2016,en,0,False,0,False,,Rob Hayes,robhayes
"@adityabhaskar @ronaldklain explain how making it harder to vote creates more responsible voters, if that is what you want.",Thu Mar 24 16:07:21 +0000 2016,en,0,False,0,False,,Rob Hayes,robhayes
