Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I dug this essay about how Kylo Ren (Episode VII) was underpowered for a reason: The Logic of Kylo Ren aka Ben Solo https://t.co/MUraPoihcD,Tue May 03 18:06:18 +0000 2016,en,0,False,4,False,,Rob Walling,robwalling
7 Online Design Resources for Entrepreneurs Who Aren't Designers https://t.co/hYrLHfRkvZ via @getdrip,Tue May 03 16:23:39 +0000 2016,en,0,False,3,False,,Rob Walling,robwalling
@BuggatiCravat Very soon! Working on it right now.,Sat Apr 30 04:16:06 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
BOS Europe is shaping up really nice this year. It's only 3 weeks away in Ireland: https://t.co/zXI7cLiFO5 @bosconference,Thu Apr 28 18:13:13 +0000 2016,en,3,False,4,False,,Rob Walling,robwalling
33 World Class Experts Share Their #1 Email Marketing Tip https://t.co/KWYPJMfyC5 via @getdrip,Thu Apr 28 16:02:00 +0000 2016,en,1,False,6,False,,Rob Walling,robwalling
@peldi Employee asks to borrow money.,Thu Apr 28 04:51:03 +0000 2016,en,0,False,4,False,,Rob Walling,robwalling
"@peldi Co-founder break-up. (This is amazing, BTW).",Thu Apr 28 04:50:23 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
RT @peldi: Working on a blog post idea. What's missing? @patio11 @michaelpryor @adii @robwalling @earthlingworks @mijustin :) https://t.co/…,Thu Apr 28 04:49:11 +0000 2016,en,9,False,0,False,,Rob Walling,robwalling
In this week's episode of @ZenFounder we talk about How To Run The Room https://t.co/yp5OiXuru8,Wed Apr 27 16:12:51 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@jacob_bolda Once the cache reloads we'll know if it breaks it in itunes (or the iPhone podcasts app). I'd guess we'll be fine...,Tue Apr 26 16:37:01 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
"@jacob_bolda Yeah, iTunes has a payload limit that will break if it gets too big. I typically limit to 50 eps, but just increased to 100.",Tue Apr 26 16:35:25 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@patio11 @nodunayo Might be SaaStock. I think it’s in Ireland.,Tue Apr 26 03:29:07 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
Tear-Down: The Funnel Derek Halpern Used To Announce And Sell His Online Program “7-Figure Courses” https://t.co/YmHnkHBLQd @GrowthHackers,Mon Apr 25 18:13:18 +0000 2016,en,1,False,5,False,,Rob Walling,robwalling
How to Build a Detailed Customer Persona to Drive Your Marketing https://t.co/Bt95DOlg6R via @getdrip,Mon Apr 25 17:40:15 +0000 2016,en,0,False,7,False,,Rob Walling,robwalling
@atomgiant 👍🏻,Fri Apr 22 19:09:17 +0000 2016,und,0,False,0,False,,Rob Walling,robwalling
@tiffmreimer @derrickreimer @zenfounder 👍🏻,Fri Apr 22 19:08:51 +0000 2016,und,0,False,0,False,,Rob Walling,robwalling
"@tferriss The proposal is highly specific to your setup,""Unique Benefits of Drip for Tim's Email Software Setup."" Ping me if interested.",Fri Apr 22 16:58:42 +0000 2016,en,0,False,5,False,,Rob Walling,robwalling
@tferriss I run https://t.co/aC9kwg25zg and last week we put together a proposal for how we can dramatically improve your deliverability.,Fri Apr 22 16:55:21 +0000 2016,en,1,False,4,False,,Rob Walling,robwalling
Reaching Out: A Guide To Getting Influencers To Promote Your Product https://t.co/BqTzHNkr8b,Thu Apr 21 16:08:05 +0000 2016,en,1,False,3,False,,Rob Walling,robwalling
Episode 65 of @ZenFounder is about Playing Longball (how to think of entrepreneurship as a multi-year journey) https://t.co/v34JA2tFB8,Wed Apr 20 22:08:19 +0000 2016,en,4,False,8,False,,Rob Walling,robwalling
6 Leadership Styles and How They Can Help (Or Harm) Your Business https://t.co/GgojY3iWXe via @getdrip,Tue Apr 19 16:49:26 +0000 2016,en,0,False,2,False,,Rob Walling,robwalling
Nice....Drip got some screen time on the local news (with a special appearance by @annagjacobsen) https://t.co/ga5y2OIWmO via @abc30,Thu Apr 14 17:05:05 +0000 2016,en,3,False,8,False,,Rob Walling,robwalling
The Consultant's Guide To LinkedIn: How To Attract Leads and Clients in 3 Simple Steps https://t.co/2qdYQ1wStj via @getdrip,Thu Apr 14 16:21:59 +0000 2016,en,1,False,10,False,,Rob Walling,robwalling
"In this week's episode of @ZenFounder we dig deeper into the importance of protecting your time, focus, and ideas. https://t.co/9zTueeaaAM",Wed Apr 13 17:39:31 +0000 2016,en,0,False,3,False,,Rob Walling,robwalling
7 Ways for Creative Entrepreneurs to Spark New Ideas https://t.co/dQRXuJkeWH via @getdrip,Tue Apr 12 16:25:02 +0000 2016,en,1,False,3,False,,Rob Walling,robwalling
.@derrickreimer was on Ruby Rogues podcast talking about Building/Scaling a SaaS App https://t.co/YNK6S91TmR,Mon Apr 11 16:05:41 +0000 2016,en,2,False,7,False,,Rob Walling,robwalling
Changing email marketing platforms: Why we dumped MailChimp https://t.co/eTgvd1vXOa via @hubstaff,Mon Apr 11 16:02:09 +0000 2016,en,5,False,10,False,,Rob Walling,robwalling
@anthony_franco @AppSumo @wigglechicken 👍🏻,Sun Apr 10 03:35:59 +0000 2016,und,0,False,1,False,,Rob Walling,robwalling
@SingleFounder @patio11 @andrewculver @hnshah @nathanbarry Thx Mike. I knew I'd never heard the term before we started using it at Drip.,Thu Apr 07 20:38:17 +0000 2016,en,0,False,5,False,,Rob Walling,robwalling
The 8 Tones of Voice in Email Copywriting (And What You Can Learn From Each) https://t.co/KjaI61d9rb via @getdrip,Thu Apr 07 16:07:08 +0000 2016,en,0,False,5,False,,Rob Walling,robwalling
@hnshah @nathanbarry But I'm not sure who (if anyone) created a course about it...,Thu Apr 07 02:35:19 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
.@hnshah - you'd asked about concierge onboarding at #microconf; I coined the term 2 years ago in my talk abt launching Drip cc/@nathanbarry,Thu Apr 07 02:34:09 +0000 2016,en,0,False,11,False,,Rob Walling,robwalling
"@patrickc @SingleFounder @robwalling Hat tip to you, sir. It was an absolute pleasure.",Wed Apr 06 17:26:19 +0000 2016,en,0,False,4,False,,Rob Walling,robwalling
"For a detailed recap of every #MicroConf 2016 talk, courtesy of @kaisdavis, see https://t.co/ZpiHGYPaB1",Tue Apr 05 23:55:44 +0000 2016,en,38,False,109,False,,Rob Walling,robwalling
".@larslofgren is killing it, talking about the three SaaS growth levers at #microconf 2016. https://t.co/yeBBoeSem3",Tue Apr 05 23:54:08 +0000 2016,en,1,False,4,False,,Rob Walling,robwalling
@softwareverify @SingleFounder Soon. Hoping next couple weeks after next week’s Vegas conference.,Sat Apr 02 23:22:02 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
"@citadelgrad Wow, good luck man!",Sat Apr 02 23:19:49 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
Why traffic doesn't always matter (and what to focus on instead) https://t.co/YonpBML4em via @SumoMe,Fri Apr 01 16:35:26 +0000 2016,en,0,False,4,False,,Rob Walling,robwalling
@davegerhardt @dcancel Yes. I’m off to MicroConf next week but I’d like to make this happen. Ping me the wk after if I don’t get in touch.,Fri Apr 01 05:06:51 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
"@nedwin The New, New Thing is also interesting if you can handle all the 90s references.",Fri Apr 01 05:04:32 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@nedwin It never disappoints. Hatching Twitter is also epic. I like The Snowball as well if you can dig in for the long haul.,Fri Apr 01 05:04:12 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
"@doinad @getdrip Awesome, glad to have you aboard!",Thu Mar 31 22:56:52 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
How Talking Like Your Customers Helps Your Startup Gain Traction https://t.co/q6sBJFbkZW via @HuffPostBiz,Thu Mar 31 20:32:05 +0000 2016,en,2,False,1,False,,Rob Walling,robwalling
7 Ways to Land More High-Ticket SaaS Customers (Without Spending All Your Time On Sales) https://t.co/MczuMqsQj0 via @getdrip,Thu Mar 31 16:51:30 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
Moving The Free Line: How To Build A Fiercely Loyal Audience By Giving Away Epic Content https://t.co/0GBWzxDKTM,Tue Mar 29 15:49:45 +0000 2016,en,0,False,3,False,,Rob Walling,robwalling
7 Management Strategies That Have Changed the Way These Entrepreneurs Do Business - https://t.co/71LoYWnIIN,Mon Mar 28 16:41:53 +0000 2016,en,0,False,3,False,,Rob Walling,robwalling
“My rich friends are generous with their money...generous with everything except time.” @dcancel on his new podcast https://t.co/kacXYXbUSw,Sat Mar 26 18:35:18 +0000 2016,en,1,False,8,False,,Rob Walling,robwalling
Conversion Calculator For Startups https://t.co/L1TcOuusGl https://t.co/mWIUY6586k,Fri Mar 25 15:52:57 +0000 2016,en,1,False,7,False,,Rob Walling,robwalling
Startup Conversion Calculator by @getdrip on @producthunt: https://t.co/L1TcOuusGl https://t.co/Ue2hwT2rdv,Fri Mar 25 13:26:29 +0000 2016,en,5,False,12,False,,Rob Walling,robwalling
"SaaS Founder's Toolbox: 7 Tools for Tracking, Managing, and Growing Your Software Startup https://t.co/GqktmRZHkA",Thu Mar 24 15:28:11 +0000 2016,en,1,False,7,False,,Rob Walling,robwalling
"In this week's episode of @ZenFounder, we talk about how to get out of dodge with your spouse/partner https://t.co/2RzpMVXXLi",Wed Mar 23 15:46:44 +0000 2016,en,2,False,2,False,,Rob Walling,robwalling
Choosing the Perfect Tech Stack https://t.co/jrJzDrAA1C via @ScalingSaaS,Tue Mar 22 17:50:11 +0000 2016,en,4,False,12,False,,Rob Walling,robwalling
@donnfelker @brechtify @zenfounder I know the feeling...I also learned quite a bit from reading it.,Tue Mar 22 17:06:03 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
"@brechtify @zenfounder That's cool. I'll let him know. She's embarking on her own entrepreneurial endeavor, is she?",Tue Mar 22 17:05:22 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
"@dschwartz06 Sorry sir, all sold out...",Tue Mar 22 17:04:26 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
8 WordPress Plugins No Freelancer Or Consultant Should Live Without https://t.co/QH87A70ICc,Tue Mar 22 16:29:10 +0000 2016,en,1,False,8,False,,Rob Walling,robwalling
[Video training] Blueprints for behavioral emails that convert (Email Success Summit) https://t.co/Yynn92UcIW https://t.co/unYFR8tyTW,Mon Mar 21 15:35:28 +0000 2016,en,1,False,1,False,,Rob Walling,robwalling
[Video training] Blueprints for behavioral emails that convert (from Email Success Summit) https://t.co/Yynn92UcIW https://t.co/75fhP8tWmo,Fri Mar 18 20:35:13 +0000 2016,en,6,False,5,False,,Rob Walling,robwalling
@danbenjamin @ThRadde LOL...I guess we have different definitions of punishment. We are going to drop the bit rate as suggested.,Fri Mar 18 19:05:58 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
@danbenjamin @ThRadde But will definitely chat with our editor about dropping the sample rate. Thanks for the tip.,Fri Mar 18 18:27:15 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@danbenjamin @ThRadde Thanks for the tip. We use stereo because we have stereo intro/outro music that's not great in mono.,Fri Mar 18 18:27:00 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@ThRadde Cool; I will let our editor know.,Fri Mar 18 18:25:20 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
"Automated Trade Show Followup: How Telaeris, Inc. Uses Drip To Nurture Prospects and Win Sales From Industry Events https://t.co/QM93StotLu",Fri Mar 18 18:25:11 +0000 2016,en,0,False,2,False,,Rob Walling,robwalling
MT @gjhickman: I have one #microconf ticket if you want to make moves. I'll give a deal.,Fri Mar 18 17:49:22 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
"How WPMU DEV Used Marketing Automation To Reach $297,000+ In WP Plugin Sales (Template Emails Included) https://t.co/VLig1Nd3Cr @wpmayor",Fri Mar 18 16:09:44 +0000 2016,en,3,False,13,False,,Rob Walling,robwalling
7 Massively Successful Entrepreneurs Reveal Their Reasons ‘Why’ https://t.co/ueFfpi5SUv,Thu Mar 17 22:19:25 +0000 2016,en,0,False,2,False,,Rob Walling,robwalling
@ThRadde It’s what our audio engineer produces. Is it cramping your style?,Thu Mar 17 03:46:05 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
@jivebot Nice. I think that one has potential.,Thu Mar 17 03:45:31 +0000 2016,en,0,False,0,False,,Rob Walling,robwalling
On this week's episode of @ZenFounder the founder of 500px joins us to talk about founder struggles https://t.co/XQKTXStRr4 @tchebotarev,Wed Mar 16 17:18:50 +0000 2016,en,3,False,5,False,,Rob Walling,robwalling
@PyImageSearch @NicheDiver @MicroConf @SingleFounder Such a bummer. Hope he gets well soon.,Wed Mar 16 03:12:24 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
"[Podcast] How to actually improve your productivity, with Guest Chris Bailey (@wigglechicken) https://t.co/xvf357Xbif",Tue Mar 15 16:03:44 +0000 2016,en,5,False,7,False,,Rob Walling,robwalling
8 Tools That’ll Skyrocket Your Remote Work Productivity https://t.co/cBQRjk7fD2,Tue Mar 15 15:56:42 +0000 2016,en,3,False,3,False,,Rob Walling,robwalling
Case Study: How NinjaOutreach Saves 65 Lost SaaS Trials Per Month With Amazon-Like Behavioral Emails https://t.co/YsLzYQMoat,Fri Mar 11 16:55:34 +0000 2016,en,0,False,2,False,,Rob Walling,robwalling
@ryanscherf @mds @mixpanel 😉👍🏻,Fri Mar 11 03:14:43 +0000 2016,und,0,False,1,False,,Rob Walling,robwalling
@chrislema @strebel https://t.co/Zj8ppAHJIo. Highly recommended... cc @allanbranch,Fri Mar 11 03:03:17 +0000 2016,en,0,False,2,False,,Rob Walling,robwalling
@JasonSwett Thanks man!,Fri Mar 11 03:01:30 +0000 2016,en,0,False,1,False,,Rob Walling,robwalling
