Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @coldplay: Geert Hagelaar is selected artist for the @Talenthouse #AHFODtshirt contest! Pre-order now https://t.co/7HLHtjOcKt A https://…,Wed Mar 09 19:22:33 +0000 2016,en,606,False,0,False,,Roman Scharf,romanscharf
"RT @Elias213: From #LosÁngeles to the world: congrats to LA's own @talenthouse on launching in Dubai at #DubaiLynx @DubaiLynx
#Art https://…",Wed Mar 09 19:22:03 +0000 2016,en,5,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: HAPPY INTERNATIONAL WOMENS DAY!!! Artwork by #Talenthouseartist Andriy Markiv. https://t.co/aDkjOreHgI https://t.co/j0ddzW…,Wed Mar 09 19:21:51 +0000 2016,en,7,False,0,False,,Roman Scharf,romanscharf
RT @SAI: Tesla could be about to push the envelope on its most successful car https://t.co/LWNofSH9Zk https://t.co/NfmU4pTp54,Wed Mar 09 19:20:15 +0000 2016,en,7,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: HAPPY 2016!!!! https://t.co/7hckU1RvIo,Mon Jan 04 21:25:16 +0000 2016,en,10,False,0,False,,Roman Scharf,romanscharf
RT @YahooStyle: We've announced the winners of the @lucbesson &amp; @mrjoezee costume contest for @ValerianMovie! Check them out here: https://…,Tue Dec 15 12:58:50 +0000 2015,en,18,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Artist Tim Hobbelman creates animal sculptures from broken electronics. https://t.co/j4WlUroCOi #art https://t.co/JUFHF5Io…,Tue Oct 27 16:32:09 +0000 2015,en,2,False,0,False,,Roman Scharf,romanscharf
RT @Inc: The Question That Steve Jobs Used to Ask Jony Ive Every Day http://t.co/CPyiLW32ez http://t.co/u9FiJvel82,Tue Oct 13 07:45:52 +0000 2015,en,24,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Create a 60s inspired ad (like this one) for the new @MadMen_AMC soundtrack! http://t.co/5agdNa7gse #musicofmadmen http://…,Mon Oct 12 20:15:14 +0000 2015,en,10,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: A place for artists to directly collaborate with @RepublicRecords roster of musicians: https://t.co/fHWfMUzaK4 http://t.co…,Wed Oct 07 18:04:19 +0000 2015,en,9,False,0,False,,Roman Scharf,romanscharf
"RT @GoogleStreetArt: New Street Art by ROA

#art #arte #mural #streetart http://t.co/iqTf2qePuI",Mon Sep 14 21:28:02 +0000 2015,en,130,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Artists worldwide are invited by @flo_tweet &amp; @Shazam to create a limited edition tour poster! http://t.co/UHUP5ONL7o http…,Mon Sep 14 21:19:55 +0000 2015,en,4,False,0,False,,Roman Scharf,romanscharf
RT @Talenthouse_IND: Reimagined Horror Movie Posters With Polymer Clay #ClayDisarray #FilmyFriday http://t.co/qxS9v6kkaY,Sat Sep 05 20:49:06 +0000 2015,en,10,False,0,False,,Roman Scharf,romanscharf
Create an animated GIF for #Crimson Peak in #IMAX #IMAXTalent https://t.co/ZB104Gdm29 @talenthouse #artworks,Sat Sep 05 20:49:00 +0000 2015,en,0,False,1,False,,Roman Scharf,romanscharf
RT @talenthouse: Artist Tilen Ti captures the energy of different animals &amp; landscapes with watercolors. http://t.co/xY9yV2jgAc #art http:/…,Sat Sep 05 20:48:06 +0000 2015,en,5,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Spanish artist Chelin Sanjuan creates stunning surrealist paintings.  http://t.co/WSSfR2QWfX #art http://t.co/dExkY8BUGx,Thu Aug 06 20:16:35 +0000 2015,en,5,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: New Creative Invite! Design a dress for platinum singer-songwriter @Lenas_view http://t.co/9VcMKFFzdJ #LenasDress http://t…,Thu Aug 06 20:16:27 +0000 2015,en,5,False,0,False,,Roman Scharf,romanscharf
@ibisHotels_FR yes of course,Tue Aug 04 15:59:03 +0000 2015,en,0,False,0,False,,Roman Scharf,romanscharf
"@TeslaMotors only exception is the #superchargers in #Milan where @ibisHotels_FR is a very poor host: no wifi, no food, bad attitude",Tue Aug 04 12:02:07 +0000 2015,en,0,False,0,False,,Roman Scharf,romanscharf
@TeslaMotors cruising through Europe is a real pleasure with #superchargers everywhere,Tue Aug 04 12:00:22 +0000 2015,en,0,False,0,False,,Roman Scharf,romanscharf
@vdignan would love to but heading to Europe on the 12th. your welcome to visit @talenthouse though and connect with our amazing team,Mon Jul 06 18:03:31 +0000 2015,en,0,False,2,False,,Roman Scharf,romanscharf
RT @BrettRatner: Ratpac Proud. #lovewins #equality #pride. http://t.co/ttIj0YQN33,Sat Jun 27 05:47:06 +0000 2015,en,13,False,0,False,,Roman Scharf,romanscharf
"RT @GoogleStreetArt: New Street Art by SmugOne for the AllCity Jam in Dublin 

#art #arte #graffiti #streetart http://t.co/lRopexlsVJ",Thu Jun 25 22:17:31 +0000 2015,en,103,False,0,False,,Roman Scharf,romanscharf
@shervin one of team @talenthouse had flight cancelled since @easyJet pilot got beaten by french taxi drives cause @easyJet partners w @uber,Thu Jun 25 22:08:31 +0000 2015,en,0,False,0,False,,Roman Scharf,romanscharf
"RT @streetartnews: Mural '15: Work in progress by Nychos in Montreal, Canada #streetart http://t.co/7QQyTGA8uu http://t.co/yZ83GIhpDJ",Thu Jun 25 19:06:18 +0000 2015,en,17,False,0,False,,Roman Scharf,romanscharf
RT @billboardbiz: BMG and Dave Stewart Sign Multi-Tiered Deal: Exclusive http://t.co/Sgbw6wkcWY,Tue Jun 23 05:35:09 +0000 2015,en,6,False,0,False,,Roman Scharf,romanscharf
"RT @U2_News: #Repost @liveloudly #u2ietour
・・・
Yes bono still an acrobat, #u2 still got game and killer… https://t.co/aTFRox3K0I",Wed Jun 10 21:43:36 +0000 2015,en,5,False,0,False,,Roman Scharf,romanscharf
"RT @streetartnews: Levalet unveils ""Public Service "" a new piece in Paris, France #streetart http://t.co/BCRKTSvZYY http://t.co/CDdLd3E6D3",Tue Jun 09 17:42:32 +0000 2015,fr,34,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: L.A. based digital designer @anthonygargasz uses digital collaging to create human heads. http://t.co/Dy2DZ9p3iZ #art http…,Mon Jun 08 19:58:24 +0000 2015,en,5,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: .@TOMSuk wants you to submit photos of local heroes in your community http://t.co/AqWVqChywq #TOMSlocalheroes http://t.co/…,Tue May 05 06:58:39 +0000 2015,en,1,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: http://t.co/XCgyLa4ntp,Tue May 05 06:58:21 +0000 2015,und,7,False,0,False,,Roman Scharf,romanscharf
"RT @talenthouse: For a More Creative Brain, Travel - http://t.co/lZB52pGAKT http://t.co/jpStQ74dTm",Tue May 05 06:58:03 +0000 2015,en,2,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Weekend vibes. Illustration by #TalenthouseArtist @reichertyoung http://t.co/09AOX1ul6N http://t.co/R6xETqWb5Y,Mon May 04 17:31:35 +0000 2015,en,2,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Los Angeles #Artopia @thecontaineryard http://t.co/VOXklUrhEf http://t.co/geVGqE9rb6,Sat May 02 18:47:14 +0000 2015,es,3,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: ✌️ https://t.co/syJ7l9AtO0,Sat May 02 18:46:55 +0000 2015,und,1,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: Create #artwork or #photography that captures #LookingGood for LG. Check it out on http://t.co/FyrKtdQwh6 https://t.co/4SA…,Mon Apr 27 18:33:15 +0000 2015,en,4,False,0,False,,Roman Scharf,romanscharf
Watch @Hollie_B7's new #musicvideo directed by @talenthouse artist @Garethbowler! - http://t.co/FpTbM3eiQ7 http://t.co/LpCjCQ4x0Q #artworks,Fri Apr 17 21:40:07 +0000 2015,en,1,False,2,False,,Roman Scharf,romanscharf
RT @talenthouse: Watch @Hollie_B7's new #musicvideo directed by Selected #TalenthouseArtist @Garethbowler! - http://t.co/C86Hpd20Te http://…,Fri Apr 17 21:34:21 +0000 2015,en,4,False,0,False,,Roman Scharf,romanscharf
RT @Viber: Have you submitted your design to #ViberStickyFingers yet? It's not too late http://t.co/Mxco0yaN64 http://t.co/pfazfFcHQh,Fri Apr 17 21:33:51 +0000 2015,en,9,False,0,False,,Roman Scharf,romanscharf
RT @talenthouse: The 20 Best Ai Weiwei #Selfies - http://t.co/huIJVSc6r2 http://t.co/s3FYiCfGQJ,Fri Apr 17 21:33:17 +0000 2015,de,4,False,0,False,,Roman Scharf,romanscharf
Create hip-hop inspired art for @teambackpack on @Talenthouse #TBPxART https://t.co/we0Pt8Fq9G,Fri Apr 03 18:34:07 +0000 2015,en,1,False,1,False,,Roman Scharf,romanscharf
