Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
TIL: @TeslaMotors stages and ships cars from Point Richmond (look at all those Model Xs!) https://t.co/LkquaQdiIr,Sun May 01 14:31:08 +0000 2016,en,0,False,5,False,,Randy Reddig,rr
RT @tedfrank: Profs: violates ADA for banks to consider poor credit history if poor financial choices result of mental illness. https://t.c…,Sun May 01 14:14:51 +0000 2016,en,18,False,0,False,,Randy Reddig,rr
@teddy 👍🏼,Sun May 01 05:10:58 +0000 2016,und,0,False,0,False,,Randy Reddig,rr
Oh man. I am a convert to gravel. Sick sick sick. Thanks @cervelo!,Sun May 01 02:40:27 +0000 2016,en,0,False,2,False,,Randy Reddig,rr
@teddy indeed!,Sun May 01 02:38:56 +0000 2016,en,0,False,0,False,,Randy Reddig,rr
"@cmdrbike Cervelo C3, first in SF!",Sun May 01 02:38:08 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
First ride https://t.co/JfwUw6aQAt,Sat Apr 30 18:39:21 +0000 2016,en,0,False,9,False,,Randy Reddig,rr
"RT @AoDespair: Not to check dentalwork on this horse someone gave me, but what the fuck is wrong with Treme? Honored, POTUS. Thx. https://t…",Sat Apr 30 15:04:25 +0000 2016,en,61,False,0,False,,Randy Reddig,rr
Things not done by @elonmusk: 1. mess around. https://t.co/jb8wnTXiIA,Wed Apr 27 18:26:44 +0000 2016,en,0,False,2,False,,Randy Reddig,rr
"RT @SpaceX: Planning to send Dragon to Mars as soon as 2018. Red Dragons will inform overall Mars architecture, details to come https://t.c…",Wed Apr 27 15:52:38 +0000 2016,en,15701,False,0,False,,Randy Reddig,rr
Pier 79 renewal https://t.co/rHCPolVIXj,Wed Apr 27 15:52:02 +0000 2016,es,0,False,3,False,,Randy Reddig,rr
RT @hellolian: My brother poignantly traced our family story via a desk. Then listed it on @craigslist cc @ThisAmerLife @99piorg https://t.…,Tue Apr 26 23:53:59 +0000 2016,en,2,False,0,False,,Randy Reddig,rr
Get your @talkshow on now! https://t.co/Aj91ofpJDW,Tue Apr 26 19:17:07 +0000 2016,en,0,False,2,False,,Randy Reddig,rr
RT @fwd: Have you seen @talkshow? It’s sooooort of like texting in public. (And we have a lot to say.) https://t.co/UrJ59YO6rv,Tue Apr 26 19:16:16 +0000 2016,en,14,False,0,False,,Randy Reddig,rr
@sdrtraveller in faraday bags?,Tue Apr 26 03:28:29 +0000 2016,en,0,False,0,False,,Randy Reddig,rr
"Timing, as they say, is everything. Thanks, @hellolian! https://t.co/X1LVU6i1AA",Tue Apr 26 03:28:05 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
May fortune favor @tedr and @mollybloom. :( https://t.co/7eDHbdcAYG,Mon Apr 25 22:59:30 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
Bey divorced Jon Snow so confused,Sun Apr 24 06:57:05 +0000 2016,en,0,False,0,False,,Randy Reddig,rr
Vacation Wonderland on the Russian River https://t.co/qxPr0qUgyL,Sat Apr 23 04:06:40 +0000 2016,en,0,False,9,False,,Randy Reddig,rr
"RT @Interior: Happy birthday #JohnMuir, the OG conservationist &amp; Father of National Parks! https://t.co/Cm5fcZT4sL #FindYourPark https://t.…",Thu Apr 21 14:48:06 +0000 2016,en,821,False,0,False,,Randy Reddig,rr
Harriet Tubman on the $20 bill. Perfect. https://t.co/BjnxMzIfIo,Wed Apr 20 17:19:37 +0000 2016,en,1,False,2,False,,Randy Reddig,rr
"RT @zachklein: Photo shows farmland disturbed along a fault line in Mashiki, Kumamoto Prefecture. https://t.co/j9Mw43HFv1 https://t.co/mbQ2…",Tue Apr 19 05:40:28 +0000 2016,en,293,False,0,False,,Randy Reddig,rr
RT @robhayes: Bill Campbell was CEO of first company I worked for and the best one I worked for. By far. He will be missed. https://t.co/Nr…,Mon Apr 18 17:28:42 +0000 2016,en,7,False,0,False,,Randy Reddig,rr
@PhizLair happy birthday! https://t.co/CRfYG1ftow,Sun Apr 17 18:54:44 +0000 2016,en,1,False,2,False,,Randy Reddig,rr
Sunday brunch! https://t.co/NPjhibLkYG,Sun Apr 17 18:45:09 +0000 2016,en,0,False,10,False,,Randy Reddig,rr
RT @W7VOA: Destructive #KumamotoQuakes have disrupted transportation in southern #Japan #VOAalert https://t.co/DBiCwaJyxU,Thu Apr 14 23:56:55 +0000 2016,en,30,False,0,False,,Randy Reddig,rr
RT @mikecurtis: Thanks for having me @TechCrunch and @meganrosedickey!  https://t.co/iwoGo6hJZc,Thu Apr 14 05:36:44 +0000 2016,en,1,False,0,False,,Randy Reddig,rr
"Arq is essential. Think Time Machine that just works. Any drive, any storage, remote or local. https://t.co/UJmNulztdz",Tue Apr 12 18:17:56 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
Road bike shoes that fit. Finally. Wow. https://t.co/DOQq73fOBa,Sat Apr 09 19:37:57 +0000 2016,en,0,False,3,False,,Randy Reddig,rr
• @SpaceX IS ON A BOAT https://t.co/a9xZqPgz1l,Fri Apr 08 21:12:28 +0000 2016,en,2,False,9,False,,Randy Reddig,rr
RT @SpaceX: The 1st stage of the Falcon 9 just landed on our Of Course I Still Love You droneship. Dragon in good orbit https://t.co/SYyUCD…,Fri Apr 08 21:11:31 +0000 2016,en,18639,False,0,False,,Randy Reddig,rr
RT @SpaceX: Dragon's solar arrays just deployed https://t.co/tdni53IviI,Fri Apr 08 21:11:12 +0000 2016,en,465,False,0,False,,Randy Reddig,rr
"RT @ReformedBroker: The average American household’s financial assets are $315,000.

The median American household’s financial assets are $…",Thu Apr 07 15:14:54 +0000 2016,en,1503,False,0,False,,Randy Reddig,rr
"RT @TeslaMotors: A huge step towards a more sustainable future: 325,000 and counting https://t.co/XKlywcYhp8 #Model3 https://t.co/a367jCJgaK",Thu Apr 07 15:00:42 +0000 2016,en,2001,False,0,False,,Randy Reddig,rr
Beautiful economics: https://t.co/g0pxfUoSyq,Wed Apr 06 19:05:02 +0000 2016,en,1,False,1,False,,Randy Reddig,rr
RT @joshu: i am launching an autonomous race series. first event is here: https://t.co/yj5xBRJEis,Wed Apr 06 16:43:10 +0000 2016,en,25,False,0,False,,Randy Reddig,rr
"RT @elonmusk: Model X review
https://t.co/IS2zBgDlqn",Wed Apr 06 15:28:54 +0000 2016,en,967,False,0,False,,Randy Reddig,rr
Peak ICE. It’s all downhill from here. https://t.co/dIlko1NDm1,Wed Apr 06 01:12:14 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
@SquareJapan  https://t.co/7Te2mPNOnd,Mon Apr 04 23:01:14 +0000 2016,und,0,False,1,False,,Randy Reddig,rr
@roddrury replace the Xbox with Visual Studio. “Make your own video games.”,Sun Apr 03 14:03:29 +0000 2016,en,0,False,2,False,,Randy Reddig,rr
RT @engadget: Meet the Silicon Valley company bringing electricity to motorcross https://t.co/XalbiNmfUe https://t.co/irafKSbZZv,Sun Apr 03 04:19:42 +0000 2016,en,30,False,0,False,,Randy Reddig,rr
RT @CycleWorldMag: Silent fury: E-bike OEM @altamotors currently making 1st foray into flat track—check Garret Willis' Redshift ride 😍 http…,Sun Apr 03 04:17:47 +0000 2016,en,16,False,0,False,,Randy Reddig,rr
RT @voxdotcom: Fungi can do all kinds of weird tricks — even make battery parts. https://t.co/buII8bAWm0,Sat Apr 02 16:21:18 +0000 2016,en,11,False,0,False,,Randy Reddig,rr
Shades of Myo? https://t.co/EqsT6AnGi9,Fri Apr 01 16:06:29 +0000 2016,en,0,False,0,False,,Randy Reddig,rr
https://t.co/LJQaExXOKj,Fri Apr 01 05:52:42 +0000 2016,und,0,False,5,False,,Randy Reddig,rr
"Uses an iPad Pro:

1. Model 3
2. Kanye

https://t.co/RvuzdcmXmJ",Fri Apr 01 05:03:06 +0000 2016,in,0,False,0,False,,Randy Reddig,rr
Great work Franz von Holzhausen @TeslaMotors https://t.co/0jLMnKghck,Fri Apr 01 04:20:24 +0000 2016,de,18,False,33,False,,Randy Reddig,rr
Reserved.,Fri Apr 01 02:37:11 +0000 2016,en,0,False,5,False,,Randy Reddig,rr
https://t.co/I3GzvZheBd! https://t.co/u1ywBIvBTL,Fri Apr 01 01:07:21 +0000 2016,und,0,False,1,False,,Randy Reddig,rr
@roddrury @elonmusk time for that bach. cc @hellolian,Thu Mar 31 23:58:36 +0000 2016,en,0,False,1,False,,Randy Reddig,rr
Horrific. https://t.co/p8ujBagMp9,Thu Mar 31 18:35:59 +0000 2016,es,0,False,0,False,,Randy Reddig,rr
How to win Zeitgeist https://t.co/FmPUf4T9lh,Thu Mar 31 02:34:48 +0000 2016,de,0,False,5,False,,Randy Reddig,rr
Apple Pay for the web: https://t.co/klAao6LXSP,Wed Mar 23 23:19:32 +0000 2016,en,0,False,2,False,,Randy Reddig,rr
