Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
For those who didn't get the email blast :) https://t.co/sO8oP7CXVW,Tue Apr 26 14:26:46 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
"""Ad Buying On Facebook Just Got More TV-Like"" via @adage meanwhile...Ad buying on TV getting more digital-like... https://t.co/9dzIyBckTG",Sat Apr 23 12:23:10 +0000 2016,en,1,False,3,False,,Sam Zises,SamZises
Flyinnnn late night sesh @Flywheel,Fri Apr 22 00:37:54 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
TechCrunch launches a personalized news recommendations bot on Facebook Messenger https://t.co/sYmnZSodNT,Wed Apr 20 04:18:33 +0000 2016,en,2,False,1,False,,Sam Zises,SamZises
"Just posted, ""Who are our favorite clients?"" cc @learnedmedia Felt like sharing some secrets... https://t.co/ZPcdx5KbKg",Fri Apr 15 18:02:12 +0000 2016,en,0,False,2,False,,Sam Zises,SamZises
New Facebook rules allow publishers and celebrities to share sponsored content https://t.co/H1AyLpjXUU,Tue Apr 12 02:04:17 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
big news for @facebook and branded content: https://t.co/CWi35UZk3f,Mon Apr 11 22:00:23 +0000 2016,en,0,False,1,False,,Sam Zises,SamZises
"love this. Build a Business, Not a Financial Machine https://t.co/kANoWAZVMo via @garyvee",Mon Apr 11 21:51:27 +0000 2016,en,0,False,1,False,,Sam Zises,SamZises
Twitter has reportedly won the rights to stream NFL Thursday Night games - Business Insider https://t.co/Qt8b5uiqxJ,Tue Apr 05 12:06:11 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
"Google's April Fools' Minions prank was so not funny via @NYPost

 https://t.co/caM0udGONX",Fri Apr 01 18:51:06 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
I just published “How much does a website cost?”  https://t.co/CuwZQPsIrG,Sat Mar 26 18:09:10 +0000 2016,en,2,False,2,False,,Sam Zises,SamZises
I just published “Why is it so important to pick your clients/customers?” https://t.co/j8cHKZcghA,Tue Mar 22 18:54:05 +0000 2016,en,2,False,2,False,,Sam Zises,SamZises
"So proud of my friends @VengoLabs , a Vending Machine With an Ad Network, Secures $2M Deal on 'Shark Tank'
 https://t.co/27uMmY49x1",Tue Mar 22 13:00:00 +0000 2016,en,0,False,1,False,,Sam Zises,SamZises
The fun is over for brands on Instagram. Snapchat is now entering heyday. Think snapchat should show post metrics publicly? I do.,Mon Mar 21 21:43:32 +0000 2016,en,0,False,3,False,,Sam Zises,SamZises
Had some fun building a mobile optimized deck with https://t.co/NvZIRQfQbw. Check it https://t.co/lzQSFCwWMH (great product),Sun Mar 20 02:50:17 +0000 2016,en,2,False,1,False,,Sam Zises,SamZises
The New York Times Innovation: U.S. cities are turning to Alphabet to figure out a way to m… https://t.co/NYcqBwKYTh https://t.co/NYcqBwKYTh,Thu Mar 17 23:22:25 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
"Steve Spielberg, J.J. Abrams want to kill movie theaters via @NYPost

 https://t.co/ozE5apyPb1",Wed Mar 16 12:40:13 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
"RT @learnedmedia: Some of our #clients chase their dreams, others #FLY after them! Congrats to @Flywheel on their new site iOS &amp; app! https…",Fri Mar 04 23:06:38 +0000 2016,en,2,False,0,False,,Sam Zises,SamZises
so cool. amazon echo dot: https://t.co/QsAU0fuWp7,Thu Mar 03 18:06:38 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
What's Payton's fee on the verbal plugs for @Budweiser cc @luhersco ? 🤔,Mon Feb 08 04:40:23 +0000 2016,en,0,False,0,False,,Sam Zises,SamZises
RT @learnedmedia: Proud of our friends and #clients @JeffersonAwards - Vote today! https://t.co/DgPMEexzlv,Fri Feb 05 20:50:20 +0000 2016,en,2,False,0,False,,Sam Zises,SamZises
I just voted for @hhhmarkowitz to win the @ShortyAwards! Vote now: https://t.co/VNfCxXxyxH,Tue Jan 19 23:29:08 +0000 2016,en,0,False,2,False,,Sam Zises,SamZises
V cool  for OCD friends. Hide Unwanted iPhone App Icons With This iOS 9 Trick https://t.co/IVvvMoYN3x,Tue Jan 05 04:10:57 +0000 2016,en,0,False,1,False,,Sam Zises,SamZises
"RT @learnedmedia: To all of our friends, family, colleagues and clients: We want to wish you a very bright new year. https://t.co/AbzbZlvZlc",Thu Dec 31 23:34:07 +0000 2015,en,3,False,0,False,,Sam Zises,SamZises
Great post and &gt;&gt;2016 insights “Content Marketing Is So Last Year” by @PeterHimler https://t.co/0vgZc71FtO,Thu Dec 24 20:41:18 +0000 2015,en,0,False,2,False,,Sam Zises,SamZises
RT @learnedmedia: Happy holidays and New Years from your bffs at LM! Be safe and see you all in 2016 🎉 https://t.co/yytFyW3S3y,Thu Dec 24 19:28:13 +0000 2015,en,1,False,0,False,,Sam Zises,SamZises
Check out what #brandedcontent marketers are doing to make headlines in #BOBCM's 2015 editions... @thebcma https://t.co/60nJBq6JGf,Wed Dec 16 23:20:51 +0000 2015,en,0,False,0,False,,Sam Zises,SamZises
Product must-have for social marketers  https://t.co/LP2wSyUX1C,Tue Dec 15 02:34:31 +0000 2015,en,0,False,0,False,,Sam Zises,SamZises
@bmorrissey @jasonwstein enjoyed the @Digiday podcast great stuff,Sun Dec 13 19:37:16 +0000 2015,en,0,False,2,False,,Sam Zises,SamZises
Heading into lab session #2 this week. 3 hours of deep dive strategy and workshoping. #clients https://t.co/hGZyZeMesT,Thu Dec 10 13:03:54 +0000 2015,en,0,False,0,False,,Sam Zises,SamZises
Cards Against Humanity Has Made Over $54K Selling Nothing On Black Friday https://t.co/GWzFheQjbR,Sat Nov 28 03:05:17 +0000 2015,en,0,False,0,False,,Sam Zises,SamZises
Clear your calendar! I'm going to the CoatWalk #CoatWalk https://t.co/hbmma2dnkw,Fri Nov 20 16:36:53 +0000 2015,en,0,False,0,False,,Sam Zises,SamZises
