Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@jeffhilimire I want to see you dance like that IRL.,Thu May 05 12:19:25 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
@jstogdill little known secret: there is no bottom to the Internet. it just keeps going. and gets worse as you go.,Wed May 04 21:52:56 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
@AnnaRuth @urvib it could have been two weeks ago and there I would have forgotten. you know me well so thanks for the forgiveness. :-),Wed May 04 20:45:00 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
@AnnaRuth @urvib I just expect people to do awesome things. in this case it clearly was a total win. :-D,Wed May 04 20:24:15 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
"@AnnaRuth @urvib WHA?! I did? this is the problem of knowing so many people, I can't keep track of who I intro to who.",Wed May 04 20:23:47 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
head spinning from one friend's email about an event featuring another friend who now has a new job I didn't know about. / @urvib @AnnaRuth,Wed May 04 19:49:31 +0000 2016,en,0,False,2,False,,Sanjay Parekh,sanjay
@Mallikarjun7799 totally. except I don't know you.,Wed May 04 18:54:28 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
"so many emails, so little time.",Wed May 04 01:16:53 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
"@jamiebardin if they had said it like that, I would have been happy. of course, that would have been right. which is exactly the point. ;-)",Tue May 03 21:14:48 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
@RunShoeRun What up Jim.,Tue May 03 21:14:03 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
RT @conorsen: Campus carry was HB 859. Not listed. https://t.co/aIs9Tk0qwA,Tue May 03 14:20:34 +0000 2016,en,2,False,0,False,,Sanjay Parekh,sanjay
"being called ""Ramesh"" yesterday served as a reminder that I'm still #BrownWhileAmerican #WeHaveMoreThanOneName",Tue May 03 13:00:29 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
RT @ItsTheBrandi: Did we talk about this magical area of Nova Scotia? https://t.co/cP6XY8A6ed,Tue May 03 11:56:17 +0000 2016,en,34,False,0,False,,Sanjay Parekh,sanjay
"@rkischuk I'm thinking of making a move away from @QuickBooks. if you do, let me know what you choose.",Mon May 02 17:54:56 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
"@LeadershipAtl @AnnaRuth not sure if I'm allowed to go but dangit, I'm out of the country that day. boo!",Mon May 02 17:32:40 +0000 2016,en,0,False,2,False,,Sanjay Parekh,sanjay
there is so much awesome happening with the @PtreeCorners incubator. want to be our ops manager? apply immediately: https://t.co/7tOL4Eqr6L,Mon May 02 16:04:56 +0000 2016,en,1,False,2,False,,Sanjay Parekh,sanjay
@sQuishiepuss is there a way to email you about a possible project?,Sun May 01 03:57:27 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
"@dwessell especially when it's the other person who wants to talk. the onus should be on them to find a time that works, not on me.",Sat Apr 30 20:52:56 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
"@dwessell it would seem that way but when you ask me to dig through someone's schedule and find a time that works, that doesn't seem polite.",Sat Apr 30 20:52:30 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
putting the onus of scheduling a time to talk on the person being asked for a meeting comes across as pompous to me.,Sat Apr 30 19:11:43 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
interested in being the Ops Manager at the new @PtreeCorners incubator we're launching? apply here: https://t.co/xhhzTfLfkZ,Fri Apr 29 19:24:32 +0000 2016,en,1,False,1,False,,Sanjay Parekh,sanjay
RT @AR__PR: Future home to Georgia entrepreneurs. Stay tuned for the inside scoop! #ChooseATL https://t.co/xUWpbX7glp,Fri Apr 29 15:14:31 +0000 2016,en,4,False,0,False,,Sanjay Parekh,sanjay
@ThunderSnow11 can't tell you yet. unveiling soon. ;-),Fri Apr 29 03:27:25 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
@IDispose stay tuned.,Fri Apr 29 03:26:44 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
surprised no one has asked about the name of the incubator in @ptreecorners yet. it's pretty primo. unveiling it soon.,Fri Apr 29 01:07:57 +0000 2016,en,1,False,3,False,,Sanjay Parekh,sanjay
new incubator on @ptreecorners is coming along nicely. want to be involved? let me know.,Thu Apr 28 23:46:22 +0000 2016,en,2,False,2,False,,Sanjay Parekh,sanjay
"next up, a startup that encourages you to run with scissors. https://t.co/n6g9oFdoQY",Thu Apr 28 03:49:01 +0000 2016,en,1,False,2,False,,Sanjay Parekh,sanjay
".@MichaelCarusi well in this case, @jaredpolis is sponsoring HR 699 (and just spoke on it) so I trust it to be good.",Wed Apr 27 18:46:06 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
"@MichaelCarusi you bet. be happy that our elected officials are doing something useful, for once. :-)",Wed Apr 27 18:40:45 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
.@MichaelCarusi amazingly this legislation has broad bipartisan support. lucky us... for once.,Wed Apr 27 18:40:15 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
".@MichaelCarusi currently all email more than 180 days old on a server, can be taken - without a warrant - by gov't, local or federal.",Wed Apr 27 18:39:42 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
".@MichaelCarusi actually, truth in advertising this time. this makes any gov't seizure require a warrant - not just email &lt;180 days old.",Wed Apr 27 18:38:59 +0000 2016,en,0,False,1,False,,Sanjay Parekh,sanjay
this piece of legislation is important to you if you keep email online for more than 6 months. https://t.co/3xtTAVpZu5,Wed Apr 27 18:20:43 +0000 2016,en,0,False,0,False,,Sanjay Parekh,sanjay
