Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Looking forward to tonight's #TalesFromTheTrenches with @RishiShah @MATTERChicago,Wed Apr 27 19:20:10 +0000 2016,en,1,False,1,False,,Steven Collens,scollens
Great to be at the #ChiVentureSummit! https://t.co/2AsQMHJE3l,Thu Apr 21 21:11:03 +0000 2016,en,2,False,3,False,,Steven Collens,scollens
"Congrats @MATTERChicago company @4DHealthware - Star Cunningham Leads Charge on Health Tech Platform, Raises $710K https://t.co/eGB7HMFght",Tue Apr 19 11:26:27 +0000 2016,en,4,False,11,False,,Steven Collens,scollens
"GREAT idea from @ChicagosMayor @RahmEmanuel !! Demolish McCormick Place East, put Lucas Museum there https://t.co/cnRt5bIF84",Fri Apr 15 12:19:53 +0000 2016,en,0,False,1,False,,Steven Collens,scollens
Automating cancer genetic screening: Check out @MATTERChicago member @CancerIQ at booth 444 #ASBrS https://t.co/PopH4RdSl4,Fri Apr 15 03:36:43 +0000 2016,en,2,False,2,False,,Steven Collens,scollens
.@MATTERChicago partner @OSFHealthCare throws $75 million into health tech companies https://t.co/u6QYuNBno8,Wed Apr 13 18:46:13 +0000 2016,en,2,False,0,False,,Steven Collens,scollens
RT @Star4DFounder: Congrats @OSFHealthCare on your launch of OSF Ventures! https://t.co/Di5L2PNVjz @MATTERChicago #mcinvest https://t.co/uN…,Tue Apr 12 20:41:40 +0000 2016,en,4,False,0,False,,Steven Collens,scollens
RT @MATTERChicago: A Community That Matters https://t.co/Nwny9XgEMf via @@ChiHealthMag @4DHealthware @MyFibroblast @ScottVold @scollens #he…,Tue Apr 12 17:01:06 +0000 2016,en,6,False,0,False,,Steven Collens,scollens
How do you earn a turtle-chasing vacation? Ask @Cleversafe founder Chris Gladwin! https://t.co/mBawSBYScQ via @crainschicago,Mon Apr 11 12:27:16 +0000 2016,en,1,False,1,False,,Steven Collens,scollens
"Liberal columnist @paulkrugman on the reality of @BernieSanders: there's no there there. ""Sanders Over the Edge"" https://t.co/ye9Q2XxdJ6",Sat Apr 09 14:37:49 +0000 2016,en,0,False,1,False,,Steven Collens,scollens
Good news! New Funds Are Available to Northwestern Entrepreneurs https://t.co/T6BcthVnRm,Fri Apr 08 15:46:27 +0000 2016,en,0,False,1,False,,Steven Collens,scollens
I love this decision tree on the 2016 campaign! https://t.co/X6yi9vza2V,Thu Apr 07 22:57:40 +0000 2016,en,3,False,3,False,,Steven Collens,scollens
