Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Birdman wins: http://t.co/AUtOH1bEIf,Mon Feb 23 07:22:29 +0000 2015,en,0,False,1,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain I did not know gaga could sing like that.,Mon Feb 23 06:13:00 +0000 2015,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain Me on seeing Lupita Nyongo's dress: http://t.co/fzPz45n3oE,Mon Feb 23 05:20:46 +0000 2015,en,0,False,1,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain everything is awesome because no one in the crowd knows what to do during this. Also it's the polar opposite of the oscars,Mon Feb 23 05:17:19 +0000 2015,en,0,False,1,False,,Sean Doherty,seandohertyjr
"This would be the best. “@OnTheShaneTrain: And the Oscar for Best Foreign Film goes to...

@nickkroll http://t.co/9GNVyaX5MM”",Mon Feb 23 04:44:35 +0000 2015,en,0,False,0,False,,Sean Doherty,seandohertyjr
@BoostedBoards thanks. Just emailed you guys.,Fri Jan 16 18:43:41 +0000 2015,en,0,False,0,False,,Sean Doherty,seandohertyjr
@BoostedBoards Do you guys have a support email address? I'm having issues powering on my board.,Fri Jan 16 18:01:05 +0000 2015,en,0,False,0,False,,Sean Doherty,seandohertyjr
Asking for this for Christmas. Early Christmas would be great though. #WinABoostedBoard,Tue Nov 25 02:43:37 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
@BoostedBoards Can you try out the new boards at your office in Mountain View?,Mon Nov 10 18:53:53 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
@MIAFestival My VIP pass for LA from Gilt was cancelled. @GiltCityLA said you cancelled the VIP offer. What happened?,Mon Jul 28 19:54:57 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain bogut is out. All u got as an instigator now is David lee. Takes the punch chances down a lot.,Sat Apr 19 20:43:55 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain he's obviously hella tight. Side note this game looked like it could be terrible but it's turning out really good.,Sat Apr 19 20:24:39 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
When is @ParticleFever going to be available online?,Sat Apr 05 22:44:04 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain thanks for that Shane. I'll return the favor if I ever start tweeting srsly.,Thu Apr 03 16:25:42 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
"@bbcmag Will there be any video of the #bbcsummit14 sessions made available after the conference in any way, for a fee or otherwise?",Tue Apr 01 04:49:35 +0000 2014,en,0,False,0,False,,Sean Doherty,seandohertyjr
#nbaliveclippers @ESPNNBA,Thu Dec 26 03:54:40 +0000 2013,und,0,False,0,False,,Sean Doherty,seandohertyjr
RT @NFLfantasy: Seeing lots of this RT @mightyysunny: @NFLfantasy i just lost steven jackson &amp; eddie lacy in a matter of 5 minutes. Pray fo…,Sun Sep 15 17:38:43 +0000 2013,en,26,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain @tommyboy3891 I already did.,Thu Aug 15 19:37:44 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
Revolution finale was amazing. Can't wait for next season. Huge changes but the battle for control should be awesome.,Tue Jun 04 06:22:44 +0000 2013,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.02098282, 37.24038793]}",Sean Doherty,seandohertyjr
DUBS. #threesplease,Fri May 03 04:11:46 +0000 2013,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-71.166256, 42.33907]}",Sean Doherty,seandohertyjr
Entourage with the Rock. @OnTheShaneTrain @ksmooth780  http://t.co/LUrngZ4T0H,Thu May 02 16:43:14 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain Yeah Really. For a sec I thought they were releasing the setlist and then I realized we go to BC. It means nothing. Dumb.,Thu May 02 16:37:41 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain painandgain is still by large margin worst movie of this week according to metacritic. #therealsource#worstmoviesofalltime,Thu Apr 25 15:54:32 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
A quick runner would not have even made that let alone Sandoval.,Wed Apr 24 05:17:36 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
Why on earth did Tim Flannery wave in Sandoval their. The hit was too shallow and Sandoval isn't nearly quick enough. #ridiculous,Wed Apr 24 05:16:53 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
"RT @SethMacFarlane: Filming A Million Ways to Die in the West.  Fun being in a climate where you have to drink 9,000 glasses of water a day…",Wed Apr 24 01:53:49 +0000 2013,en,379,False,0,False,,Sean Doherty,seandohertyjr
Hey @bbelt9 just read your blog. Before you get a scooter check out the @BoostedBoards. they look awesome. Maybe theyll give you one early,Tue Apr 23 17:59:15 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
RT @OnTheShaneTrain: There's 15-20 people in my room. Every text/phone call/tweet/whatever from those possibly in trouble makes us smile ...,Mon Apr 15 19:56:01 +0000 2013,en,1,False,0,False,,Sean Doherty,seandohertyjr
RT @OnTheShaneTrain: @Tonguestoobig #hatersgonhate http://t.co/6GfV7oV6lc,Mon Apr 15 14:03:04 +0000 2013,und,1,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain nice hat. @ksmooth780 @tommyboy3891 http://t.co/iqBEk2in1U,Sun Apr 14 03:48:42 +0000 2013,en,0,False,1,False,,Sean Doherty,seandohertyjr
@ksmooth780 see what your missing at 6am on Sunday #bcfire http://t.co/Tck7yfQ8g2,Sun Apr 07 09:48:37 +0000 2013,en,1,False,1,False,,Sean Doherty,seandohertyjr
"RT @KimSherayko: @SFGiants will MLB.tv stream the ring ceremony too, or will it be shown online somewhere?",Fri Apr 05 19:10:17 +0000 2013,en,1,False,0,False,,Sean Doherty,seandohertyjr
RT @joshuatopolsky: Zuck looks skinny. All that lean meat he's catching.,Thu Apr 04 18:29:28 +0000 2013,en,4,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain yeah not good. Could affect his range at third. Hopefully not too bad though. He won't get long term deal like that,Mon Apr 01 21:44:55 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
First Pitch Thrown. #openingday #beatla,Mon Apr 01 20:16:19 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
One of the best days of the year/ Opening Day 2013. Thx to @virginamerica for letting me watch on the plane.,Mon Apr 01 17:02:33 +0000 2013,en,0,False,1,False,,Sean Doherty,seandohertyjr
RT @ksmooth780: A dad sitting in on my theology class is taking way more notes than I am #relaxbro,Mon Mar 25 15:38:26 +0000 2013,en,1,False,0,False,,Sean Doherty,seandohertyjr
Comeback Round 2? #ACCChampionship,Fri Mar 15 17:03:43 +0000 2013,en,0,False,1,False,,Sean Doherty,seandohertyjr
BC takes the lead. Awesome comeback from 14 down. #ACCTournament,Thu Mar 14 16:52:01 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
BC making a comeback. It's on WatchESPN if anyone is interested. @OnTheShaneTrain,Thu Mar 14 16:42:37 +0000 2013,en,0,False,1,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain Also This: C3 is a measure of the average number of viewers that watch commercials live + 3 of DVR. http://t.co/J7uFIIlwVc,Mon Mar 11 21:00:27 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
"@OnTheShaneTrain NBC is spending BIG money on pilot season. John Malkovich, Martin Short, Michael J Fox. Buy Viewers with Big Names.",Mon Mar 11 20:53:13 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@VirginAmerica any chance of opening up SJC to Boston direct route in the near future?,Sun Mar 10 18:55:47 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@BBTN what about the giants one?,Sat Mar 09 16:58:18 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
“@CSNBaggs: I'd pay a premium. RT @unmatchedsock: I would love to see a @bbelt9 / @hunterpence ping pong tournament. Great idea. Me too.,Fri Mar 01 02:45:53 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
"RT @SeinfeldToday: George keeps using his ex's Netflix because the suggestions are finally perfect for him. ""I can't start over. This th ...",Sun Feb 17 04:01:34 +0000 2013,en,3501,False,0,False,,Sean Doherty,seandohertyjr
"RT @ksmooth780: Skyy Doherty, master of the stars...and music http://t.co/cH7VbmjS",Sat Feb 16 01:40:58 +0000 2013,en,2,False,0,False,,Sean Doherty,seandohertyjr
Sad for @HappyEndingsABC. 1 of the best comedies on TV right now.,Thu Feb 14 20:46:55 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain @ksmooth780 @tommyboy3891 it's now obvious to me that Tom is not qualified to write news about #Beanpot,Tue Feb 12 00:16:39 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain @sockitTOOMEY21 yeah. deal with it Liz.,Sat Feb 09 05:23:08 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@Ademetree1281 black obviously. White one is silver on the back. Doesn't look as cool.,Sat Feb 02 19:59:28 +0000 2013,en,0,False,1,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain Herstory. Bets on when its cancelled? I call after 3rd episode.,Fri Feb 01 18:16:04 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain Part of me laughs and the other part of me is depressed we were even watching at all.,Fri Feb 01 18:12:09 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
Will Do No Harm be cancelled after 1 ep @ontheshanetrain http://t.co/G16RF6K6,Fri Feb 01 18:00:42 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
#LastResortFinale was awesome. Sucks that the show was cancelled. Understand it was smtimes unbelievable but come on. #SuspensionofDisbelief,Fri Jan 25 05:12:29 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
“@OnTheShaneTrain: I'm stuck in an elevator. #deadserious” me too.,Sat Jan 19 04:33:15 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain @splitsider sounds like a good idea to me. More than enough content and another channel in basic cable. #winwin,Thu Jan 17 16:39:39 +0000 2013,en,0,False,0,False,,Sean Doherty,seandohertyjr
@OnTheShaneTrain @splitsider,Thu Jan 17 16:38:32 +0000 2013,und,0,False,0,False,,Sean Doherty,seandohertyjr
"RT @ksmooth780: Found this new band on youtube, they're pretty awesome you should check them out: http://t.co/oR5pZTxU #JKitsBuckWild",Sat Jan 05 23:58:52 +0000 2013,en,4,False,0,False,,Sean Doherty,seandohertyjr
RT @NickSwardson: Just handed out iTunes gift cards to over 500 homeless people. Feels good to give back. #caring #America #Xmas,Wed Dec 19 16:49:15 +0000 2012,en,1528,False,0,False,,Sean Doherty,seandohertyjr
