Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@SouthwestAir Weather issues are known 20 minutes before flight. The board said on-time and no announcements were made.,Sun May 01 15:54:50 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
"@SouthwestAir you handled your canceled flight from DAL&gt;AUS really poorly. No communication, no new flight, just put everyone on standby.",Fri Apr 29 22:15:37 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
"Nice write up @amirpc @cratejoy For booming subscription box industry, Austin's Cratejoy is the engine  https://t.co/oh0HgjqIoU via @512tech",Sun Apr 24 20:46:15 +0000 2016,en,0,False,2,False,,Sean Spector,seanspectors
WiFi tech that actually works. Thank you @geteero  https://t.co/GAiLZwBhhG,Sun Apr 24 17:19:56 +0000 2016,en,0,False,1,False,,Sean Spector,seanspectors
@JoshuaBaer lately i have had sketchy uberX and lyft drivers in questionably maintained autos so today my answer would probably be yes,Sun Apr 24 01:06:59 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
"@JoshuaBaer as a consumer I want both uber and lyft in austin, but as a father of two girls I want stronger security checks",Sun Apr 24 00:46:07 +0000 2016,en,4,False,10,False,,Sean Spector,seanspectors
"I think Musk has mastered how to sell a car without the car. Tesla Model 3 orders hit 400,000 https://t.co/h5GN9l2kIm",Sun Apr 24 00:39:34 +0000 2016,en,0,False,1,False,,Sean Spector,seanspectors
RT @Dropoff: Happy #EarthDay from Dropoff! https://t.co/nqSRbqQetW,Fri Apr 22 19:50:07 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
Tackling Last Mile Logistics https://t.co/uLJGnE6fGT,Fri Apr 22 00:49:39 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
"#kobe farewell, you will be missed!",Thu Apr 14 02:40:17 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
Ditto! https://t.co/ncPovj3Jbm,Thu Apr 14 01:33:51 +0000 2016,it,0,False,0,False,,Sean Spector,seanspectors
"You want to be successful, stop whining and start working your ass off! Why Generation Y is unhappy https://t.co/Q9BsVsGErA via @",Sat Apr 02 17:46:06 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
5 Ways Dropoff is Different From Your Typical Courier Service https://t.co/ifLo0oMU1b,Wed Mar 30 19:25:33 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: We’re in the #TechMadnessATX Sweet 16. Please help us make it to the Elite 8. Tomorrow is the last day to vote! https://t.co/y…,Thu Mar 24 04:02:10 +0000 2016,en,2,False,0,False,,Sean Spector,seanspectors
RT @AustinInno: Congratulations @MainStreetHub @TreeHouseOnline @CivitasLearning @dropoff @favor @uShip @TrendKite on making the SWEET 16 i…,Wed Mar 23 03:04:13 +0000 2016,en,8,False,0,False,,Sean Spector,seanspectors
"RT @Dropoff: We've loved working with @airbnb again this year, helping deliver the magic at #SXSW. https://t.co/Vhrr8nt46d",Wed Mar 16 16:46:37 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
"We made it Round 2! Please vote us to the next round. Thank you. #TheZebraCo #TechMadnessATX 
https://t.co/rxuRl7Zo2f",Sat Mar 12 14:25:32 +0000 2016,en,0,False,2,False,,Sean Spector,seanspectors
Welcome to the Dropoff Blog https://t.co/vQdXStDDzE https://t.co/5TwK7cwoNU,Wed Mar 09 07:39:57 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: We'd love your vote in @AustinInno's Tech Madness bracket!  https://t.co/BJIFF0k8Tn https://t.co/PLBJNXhnTg,Fri Mar 04 23:07:08 +0000 2016,en,4,False,0,False,,Sean Spector,seanspectors
Get out and Vote! #longlines #election2016 https://t.co/Qcjo5ukvti,Tue Mar 01 15:05:58 +0000 2016,en,2,False,1,False,,Sean Spector,seanspectors
Too long to be my hair. This was in my lunch. #hairwich @ Dropoff https://t.co/kBQAJkabQ0,Tue Feb 23 20:39:52 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-97.78005, 30.26564]}",Sean Spector,seanspectors
I forgot to tweet how proud I was of the @Dropoff team for pulling off a great Valentine's Day weekend. #luckyceo https://t.co/xXslHysvgE,Sun Feb 21 13:19:39 +0000 2016,en,0,False,1,False,,Sean Spector,seanspectors
RT @Dropoff: Happy #PresidentsDay from Dropoff! https://t.co/AWo5Wo44pm,Mon Feb 15 23:06:49 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Helping spread the love this #ValentinesDay! https://t.co/tqJy0UIwPk,Fri Feb 12 22:13:26 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
Dropoff is searching for an upbeat &amp; motivated Market Development Rep for our Sales team. https://t.co/WjZIc97fA8 https://t.co/8d14sGGrRO,Tue Feb 09 21:00:24 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Happy early Spring! #GroundhogDay https://t.co/DGk1PSUZG9,Wed Feb 03 00:01:16 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
Thrilled to be involved!  https://t.co/Imao8SaRaR,Fri Jan 29 20:45:26 +0000 2016,en,0,False,2,False,,Sean Spector,seanspectors
RT @Dropoff: Proud to be named one of the top Austin startups to watch in 2016. Thanks @BuiltInAustin! https://t.co/B9CZJzbbQk https://t.co…,Tue Jan 26 19:26:40 +0000 2016,en,2,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Helping businesses get ready for #ValentinesDay! https://t.co/LoL30IwRpX,Wed Jan 20 16:16:53 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
"Amazon to launch portable version of Echo in coming wks, acc to WSJ sources; inter... via @launchticker https://t.co/Jk6r7EVkIM",Sat Jan 16 18:00:44 +0000 2016,en,0,False,1,False,,Sean Spector,seanspectors
Everything old is new again #LARams https://t.co/fgzdxOaqUD,Wed Jan 13 01:46:24 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Happy #pharmacistday to all of our great pharmacists. Don't forget to schedule your medical deliveries through Dropoff!,Wed Jan 13 00:51:55 +0000 2016,en,2,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Do you enjoy interacting with people and businesses? Apply for our Marketing Development Rep position today. https://t.co/73jL…,Thu Jan 07 16:39:53 +0000 2016,en,1,False,0,False,,Sean Spector,seanspectors
Congrats @lukepschneider and team! Audi Leads $28M Investment In Rental Startup Silvercar https://t.co/CPXESA2VM9 via techcrunch,Mon Jan 04 13:32:07 +0000 2016,en,0,False,1,False,,Sean Spector,seanspectors
What a game! ORE vs TCU - via @ESPN App https://t.co/Mu9znRAH8Z,Sun Jan 03 04:01:54 +0000 2016,en,0,False,0,False,,Sean Spector,seanspectors
About to see #willienelson #happy2016 @acllive,Fri Jan 01 05:45:32 +0000 2016,en,1,False,1,False,,Sean Spector,seanspectors
RT @Dropoff: Greetings from Dropoff's new Austin headquarters! https://t.co/jxs9xIQxNl,Mon Dec 28 23:33:04 +0000 2015,en,2,False,0,False,,Sean Spector,seanspectors
Final days at Dropoff office #1. Excited to be moving to a new… https://t.co/l9ASvumOWo,Tue Dec 22 09:05:43 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
@WHSChaps football state championship. This is serious! https://t.co/PYri3lWDzp,Sat Dec 19 21:53:29 +0000 2015,en,6,False,6,False,,Sean Spector,seanspectors
On my drive to Houston today I saw gas at a $1.59!,Wed Dec 16 00:49:21 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Happy #NationalCupcakeDay! Let us deliver yours today from @SugarMamas @FluellenCupcake @sprinkles @DimplesCupcakes https://t.…,Tue Dec 15 19:42:54 +0000 2015,en,2,False,0,False,,Sean Spector,seanspectors
My new favorite show @MasterofNone @azizansari is hysterical!,Sat Dec 12 19:44:59 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: We celebrated our 2nd annual holiday party! Thank you to those who traveled for the occasion. #companyparty https://t.co/GCAD7…,Fri Dec 11 23:54:57 +0000 2015,en,1,False,0,False,,Sean Spector,seanspectors
I can't wait to see the comedy/musical version of the Martian #GoldenGlobe #totallyconfused #didweseethesamemovie,Thu Dec 10 15:17:19 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: #HappyHolidays from Dropoff! Check out some events happening this month in our Texas markets. https://t.co/UXkCt8qDid,Mon Dec 07 19:19:04 +0000 2015,en,1,False,0,False,,Sean Spector,seanspectors
@robertreeves don't hurt yourself buddy. happy turkey day! #turkeyexplosion,Thu Nov 26 18:22:01 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
"RT @Dropoff: This Thanksgiving, focus on family &amp; football. Preschedule your business deliveries now at https://t.co/DfWn8pv0io! https://t.…",Thu Nov 26 15:27:19 +0000 2015,en,1,False,0,False,,Sean Spector,seanspectors
Nice work @robertreeves  https://t.co/rhmte0D6pz,Thu Nov 19 17:28:58 +0000 2015,en,0,False,0,False,,Sean Spector,seanspectors
RT @greycroftvc: Congrats to @dropoff who is celebrating their one-year anniversary! Read about this fast-growing company here -- https://t…,Mon Nov 16 21:45:51 +0000 2015,en,7,False,0,False,,Sean Spector,seanspectors
RT @Dropoff: Happy 1-Year Anniversary to Dropoff!  Check out some of the cool things we've delivered in the last 12 months! https://t.co/bH…,Mon Nov 16 14:56:54 +0000 2015,en,3,False,0,False,,Sean Spector,seanspectors
Thank you @NextGenAngels @SVB_Financial and @bellspringswine for a great tasting and tour. You guys are making me like wine more and more,Sun Nov 15 19:41:36 +0000 2015,en,4,False,5,False,,Sean Spector,seanspectors
