Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@tolles whoa. awesome job Chris!,Tue Sep 15 18:26:50 +0000 2015,en,0,False,2,False,,Rich Skrenta,skrenta
@pmarca thank you Marc,Wed Apr 01 18:33:19 +0000 2015,en,0,False,2,False,,Rich Skrenta,skrenta
The blekko technology and team have joined IBM Watson! http://t.co/EMDjwvSrSv,Fri Mar 27 19:11:24 +0000 2015,en,33,False,32,False,,Rich Skrenta,skrenta
@dchangster lol,Thu Jan 29 06:13:41 +0000 2015,und,0,False,0,False,,Rich Skrenta,skrenta
Can anyone hook me up with #this? Thanks in advance!,Thu Jan 29 05:54:19 +0000 2015,en,0,False,1,False,,Rich Skrenta,skrenta
"@tolles no way, I figured they would have retired that long ago. some of my code lives on in Solaris/Oracle. wacky. :)",Mon Sep 29 01:44:51 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
@tolles only think of SKIP I have left is the book we printed with the source code to get 1st amendment rights for our crypto,Sun Sep 28 23:42:21 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
"@tolles @abrams @pmarca yeah all still running in some form...RingSurf, Olympia PBEM, dmoz, Topix. weird.",Sun Sep 28 20:13:51 +0000 2014,en,0,False,3,False,,Rich Skrenta,skrenta
@glindahl use the version I ran through Portrait Professional! I can turn up the master fade if you want. :),Sat Sep 27 22:10:11 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
@ade_oshineye thanks dude! really appreciate it!,Sat Sep 27 21:57:13 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
@arjunram cool good to hear from you too :),Sat Sep 27 20:57:24 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
@arjunram haha! That's funny Arjun. :),Sat Sep 27 20:46:09 +0000 2014,en,0,False,0,False,,Rich Skrenta,skrenta
Someone invite me to ello please! I want to check out hi-res photo sharing on it.,Sat Sep 27 19:59:13 +0000 2014,en,0,False,1,False,,Rich Skrenta,skrenta
"Great lunch with @rakeshlobster. Unconventional approach, but he's definitely not crazy.",Tue May 20 20:09:47 +0000 2014,en,2,False,2,False,,Rich Skrenta,skrenta
RT @farhanmemon: PayPal's Reaction to Fired Exec Required Better Appreciation of Mental Health Issues http://t.co/HCsfT6Cejl @paypal @rakes…,Wed May 07 18:52:17 +0000 2014,en,13,False,0,False,,Rich Skrenta,skrenta
Congrats Tim Connors on PivotNorth fund 2! @timc @Pivotnorth http://t.co/BsaONnWiys,Tue Nov 05 18:49:03 +0000 2013,en,1,False,0,False,,Rich Skrenta,skrenta
@phatduckk @markson hahahah. you're probably right. still a funny series though. :),Thu Aug 29 21:19:53 +0000 2013,en,0,False,1,False,,Rich Skrenta,skrenta
.@markson livetweeting an Elvis TV concert from 1973 last night could well be my favorite tweet series from him ever.,Thu Aug 29 18:56:14 +0000 2013,en,0,False,1,False,,Rich Skrenta,skrenta
Blekko Launches Izik For Smartphones http://t.co/fgHiCz34vY,Tue Jun 18 16:18:15 +0000 2013,en,2,False,0,False,,Rich Skrenta,skrenta
RT @gsterling: Seeking Broader Appeal Blekko Offers Bold New UI: In January upstart search engine Blekko launched a specializ... http://t.c…,Wed May 29 14:52:40 +0000 2013,en,3,False,0,False,,Rich Skrenta,skrenta
"""@DavidSkrenta: Harvix, a research engine for students, aquired by Yahoo! for 31 million (NY Times) - http://t.co/Zyn1EGi3T9 #harvix""",Mon Apr 01 17:58:00 +0000 2013,en,3,False,0,False,,Rich Skrenta,skrenta
Nice Google Apr1 prank.. Son is wondering about his new pageviews from the ISS (Int'l Space Station) tonight..thx Google Analytics :),Mon Apr 01 06:52:44 +0000 2013,en,2,False,3,False,,Rich Skrenta,skrenta
"RT @dannysullivan: Next up, @Yahoo will buy @Harvix. You'll see. You'll all see.",Tue Mar 26 07:29:20 +0000 2013,en,8,False,0,False,,Rich Skrenta,skrenta
@dalelarson I arrive late this afternoon,Sat Mar 09 18:02:19 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
@Edubya yah but I don't see the aggregate counts. seems to dampen the effect of the intended social gesture. feels more like a bookmark.,Fri Mar 08 05:44:17 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
I keep looking for a 'like' button on twitter when I'm reading my feed. Seems fundamental now.,Fri Mar 08 05:11:19 +0000 2013,en,4,False,3,False,,Rich Skrenta,skrenta
"RT @morlium: If Google ever redesigns http://t.co/mBVLJS9Q, they'll probably rip-off Izik. It's that good. http://t.co/9DOhekPh",Fri Jan 18 03:50:04 +0000 2013,en,14,False,0,False,,Rich Skrenta,skrenta
"wicked cool review. ""Fantastic reimagining of traditional search. Impressive filtering. Fast results."" - http://t.co/WQxDRg0K",Fri Jan 18 01:01:17 +0000 2013,en,1,False,1,False,,Rich Skrenta,skrenta
Cracking the search category problem - http://t.co/DbLmliTY,Mon Jan 14 19:25:05 +0000 2013,en,3,False,2,False,,Rich Skrenta,skrenta
"RT @SearchIzik: izik search for iPad declared ""New and Noteworthy"" in the App Store! https://t.co/XBwcrdxh cc @AppStore #blekko",Thu Jan 10 22:46:53 +0000 2013,en,10,False,0,False,,Rich Skrenta,skrenta
"@travischapman we have an iPhone version coming out soon..the UX needs to be different to work with the smaller screen, not just shrunk-down",Thu Jan 10 08:07:42 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
RT @travischapman: This is big. I like this search engine more than Google: http://t.co/GRKiLsLC,Thu Jan 10 08:04:57 +0000 2013,en,5,False,0,False,,Rich Skrenta,skrenta
RT @saadventures: cc @blekko @skrenta  RT @FurqanR:  my dad asked me about Izik; said he liked it better than google on android. Reachin ...,Thu Jan 10 03:19:18 +0000 2013,en,4,False,0,False,,Rich Skrenta,skrenta
RT @mattgratt: I think Blekko's pivot tablet-centric search is absolutely brilliant - http://t.co/cEngfDCx - Bing should've done this.,Wed Jan 09 03:51:31 +0000 2013,en,9,False,0,False,,Rich Skrenta,skrenta
NYT: A Search Engine Made for Mobile Devices - http://t.co/Qx1JXYF0,Tue Jan 08 17:18:14 +0000 2013,en,8,False,5,False,,Rich Skrenta,skrenta
Skrentablog: http://t.co/xh51qV8t,Mon Jan 07 21:22:44 +0000 2013,no,2,False,0,False,,Rich Skrenta,skrenta
RT @SearchIzik: In case you missed it Friday - izik: Take Search for a Joyride on Your Tablet http://t.co/GPeoikZV #ipad #googleplay #an ...,Mon Jan 07 19:00:53 +0000 2013,en,1,False,0,False,,Rich Skrenta,skrenta
"RT @RyanBarkwell: @markson @blekko @billross Mark, turning the Blekko 'slash' algorithm into this #userexperience is working for me. #izik",Mon Jan 07 18:25:25 +0000 2013,en,2,False,0,False,,Rich Skrenta,skrenta
RT @SearchIzik: izik search app is #1 in iTunes Reference category. :) #blekko #apple #ipad http://t.co/GwUphN1q,Sun Jan 06 05:05:36 +0000 2013,en,4,False,0,False,,Rich Skrenta,skrenta
RT @bradleyg: Blekko's new mobile search app Izik that Scal.io helped deliver just hit #5 in the App Store!: http://t.co/2VkYgPFF,Sat Jan 05 02:26:18 +0000 2013,en,4,False,0,False,,Rich Skrenta,skrenta
@LdyDragonfly thanks bett! :-),Sat Jan 05 02:08:00 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
"@arjunram good feedback, I will pass it on. thanks!",Sat Jan 05 01:38:55 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
"RT @sarah__hills: Blekko's ""Izik"" App = ""Google search"" but for visual people like ME! App well done! http://t.co/CNqF9Kc5 via @techcrunch",Sat Jan 05 01:38:04 +0000 2013,en,3,False,0,False,,Rich Skrenta,skrenta
@arjunram did you try the demo button? It's the arrow to the right of the search box,Sat Jan 05 00:15:09 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
@scottmalt @blekko Thanks Scott!,Fri Jan 04 20:03:27 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
RT @scottmalt: @blekko @skrenta Izik looks great! Fantastic work. It's things like this that separates you from the rest,Fri Jan 04 20:03:18 +0000 2013,en,2,False,0,False,,Rich Skrenta,skrenta
@joehall Thanks Joe!,Fri Jan 04 19:02:01 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
RT @kazabyte: Izik is game changing.  Searching from the couch will never be the same.  Nice job @skrenta @blekko. http://t.co/uBIvzIXR,Fri Jan 04 19:01:24 +0000 2013,en,9,False,0,False,,Rich Skrenta,skrenta
@MarkLoundy @blekko it's been replaced with Izik,Fri Jan 04 18:57:33 +0000 2013,en,0,False,0,False,,Rich Skrenta,skrenta
RT @chrisbaglieri: I love innovation on well trodden paths. Approaching search through an exploratory versus task lens is smart. http:// ...,Fri Jan 04 17:53:16 +0000 2013,en,5,False,0,False,,Rich Skrenta,skrenta
"RT @gsterling: Blekko Launches New Tablet Search Engine “Izik”: Rich Skrenta and team at blekko are launching “izik,” a new tab... http: ...",Fri Jan 04 17:52:56 +0000 2013,en,4,False,0,False,,Rich Skrenta,skrenta
@Mobtivate 1-hardest problem in search/AI 2-users don't do those searches 3-poor coverage of what they do search 4-$0 RPM query class,Mon Nov 19 04:10:37 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@cwanda it's the largest social system on the planet by an order of magnitude,Mon Nov 19 02:47:21 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@Mobtivate agree. small corpus search is a harder problem than full web in some ways,Mon Nov 19 02:45:56 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@arjunram cool thx,Mon Nov 19 02:34:05 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@arjunram @dannysullivan time-based = $0 RPM,Mon Nov 19 02:22:58 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan heh. I do have a bunch of their former search folks, including most of their old content team. ;)",Mon Nov 19 02:22:38 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@arjunram yeah we have a new one coming out. didn't want confusion with the old app,Mon Nov 19 02:21:53 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan but you can find them in goog too. search is hard, but not that hard.",Mon Nov 19 02:01:02 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan blekko was built by a team of 40 people. 40. Fair enough you can find queries where we could be better.,Mon Nov 19 02:00:53 +0000 2012,en,0,False,1,False,,Rich Skrenta,skrenta
"@dannysullivan like I said, G's FUD machine scares off would-be competitors from investing in tech. FB should ignore you. :)",Mon Nov 19 01:45:36 +0000 2012,en,0,False,1,False,,Rich Skrenta,skrenta
"@dannysullivan yes, search is hard. But given that search should be the #1 revenue driver at FB, it's cheap. And it's not *that* hard.",Mon Nov 19 01:29:55 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan here's the thing. It's not web search. FB is the web, or should become a proxy for more and more of it.",Mon Nov 19 01:28:39 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan well yeah, twitter should get more serious about search too. but it's a clearer win with FB",Mon Nov 19 01:28:26 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan and would have time to mature technically. I bet you'd use it every day, all the time.",Mon Nov 19 01:16:23 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan starting with a different private data set, attention relevance data, FB search would be differentiated",Mon Nov 19 01:16:01 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan but I bet Marissa will be better at convincing them to try than Ballmer has,Mon Nov 19 01:15:46 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan actually I think FB should do it themselves without either of the bureaucracies of MSFT or YHOO,Mon Nov 19 01:15:05 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan search should be a core pillar of FB usage,Mon Nov 19 01:14:52 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan remember twitter back when you had to use summize to search it? can you image twitter without search now?,Mon Nov 19 01:14:37 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan 1B non-monetizable searches/day. They need to pivot that into ""audi a4"" and ""honolulu hotel"" ASAP",Mon Nov 19 01:03:22 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan FB has the same problem twitter has, like technorati and DejaNews before them...",Mon Nov 19 01:03:10 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan FB has the world's largest collection of non-searchable content.. You're *friend's* shared content to boot.,Mon Nov 19 01:02:54 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@dannysullivan ""Search is hard"" is G's FUD to scare competitors away from the high RPM intent-driven ad business",Mon Nov 19 01:02:19 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
"@IvanTheK Good question. Search is the best business invented in the history of the world. Quite the opportunity they have, given their data",Sun Nov 18 23:35:07 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
@dannysullivan FB getting into search for real is a great idea and they could clean up. More about will &amp; vision than implementation.,Sun Nov 18 23:18:28 +0000 2012,en,1,False,0,False,,Rich Skrenta,skrenta
We put together a Rockzi board to aggregate news about the hurricane aftermath.  http://t.co/m1IaEPFJ,Fri Nov 02 18:58:18 +0000 2012,en,5,False,0,False,,Rich Skrenta,skrenta
"RT @HoustonTexans: Best place for #Texans news is http://t.co/KFy896eO, &amp; now we have all team news on the site in 1 spot. Check it  ...",Thu Nov 01 16:30:22 +0000 2012,en,16,False,0,False,,Rich Skrenta,skrenta
RT @Scobleizer: The new @ROCKZi content page engine from @blekko is quite nice. Video demo: https://t.co/C6v6qH42,Sun Sep 16 06:19:03 +0000 2012,en,21,False,0,False,,Rich Skrenta,skrenta
RT @gigaom: Blekko’s new social content curation site ROCKzi turns search inside out http://t.co/tlyySBQI,Thu Jul 12 19:49:58 +0000 2012,en,6,False,0,False,,Rich Skrenta,skrenta
"@davemcclure Great post, Dave. It's impressive to see what you built from scratch at 500 Startups. Count me a fan. :-)",Sun Jul 08 10:05:40 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
Searching the bottom of the web. http://t.co/WZ3MzeUP,Wed May 09 15:23:28 +0000 2012,en,2,False,1,False,,Rich Skrenta,skrenta
@einarvollset :-),Sun Apr 29 21:55:06 +0000 2012,und,0,False,0,False,,Rich Skrenta,skrenta
"RT @glindahl: @skrenta @kazabyte Paxos is great for what it does - if you need a master, you should use it. We just have a problem with  ...",Sun Apr 29 18:56:41 +0000 2012,en,1,False,0,False,,Rich Skrenta,skrenta
@kazabyte @glindahl paxos: unnecessary and unwanted... a group of us can figure out where to go to lunch without paxos. swarm algos rule. :),Sun Apr 29 17:34:09 +0000 2012,en,0,False,0,False,,Rich Skrenta,skrenta
RT @blekko: Our investor @aplusk came by for a strategy session. blekko status monitors in the background. :) cc @skrenta @markson http: ...,Fri Apr 27 18:10:02 +0000 2012,en,10,False,0,False,,Rich Skrenta,skrenta
